index,Eukaryota;Alveolata;Alveolata_X,Eukaryota;Alveolata;Apicomplexa,Eukaryota;Alveolata;Ciliophora,Eukaryota;Alveolata;Dinoflagellata,Eukaryota;Alveolata;__,Eukaryota;Archaeplastida;Chlorophyta,Eukaryota;Archaeplastida;Streptophyta,Eukaryota;Archaeplastida;__,Eukaryota;Excavata;Discoba,Eukaryota;Hacrobia;Centroheliozoa,Eukaryota;Hacrobia;Cryptophyta,Eukaryota;Hacrobia;Haptophyta,Eukaryota;Hacrobia;Katablepharidophyta,Eukaryota;Hacrobia;Picozoa,Eukaryota;Hacrobia;Telonemia,Eukaryota;Hacrobia;__,Eukaryota;Opisthokonta;Choanoflagellida,Eukaryota;Opisthokonta;Fungi,Eukaryota;Opisthokonta;Mesomycetozoa,Eukaryota;Opisthokonta;Metazoa,Eukaryota;Opisthokonta;Opisthokonta_X,Eukaryota;Opisthokonta;__,Eukaryota;Rhizaria;Cercozoa,Eukaryota;Rhizaria;Radiolaria,Eukaryota;Stramenopiles;Ochrophyta,Eukaryota;Stramenopiles;Opalozoa,Eukaryota;Stramenopiles;Pseudofungi,Eukaryota;Stramenopiles;Sagenista,Eukaryota;Stramenopiles;Stramenopiles_X,Eukaryota;Stramenopiles;__,Eukaryota;__;__,Unassigned;__;__,depth,latitude,size-fraction
63683,0.0,1259.0,627.0,29529.0,0.0,56.0,8.0,0.0,9.0,22.0,0.0,347.0,26.0,3.0,364.0,0.0,120.0,12.0,4.0,20394.0,1961.0,0.0,17.0,147.0,375.0,123.0,81.0,83.0,3.0,0.0,0.0,6988.0,15.0,35.46,3.0
63684,0.0,10.0,1100.0,28627.0,0.0,208.0,0.0,0.0,6.0,37.0,45.0,6346.0,70.0,275.0,230.0,0.0,111.0,69.0,0.0,1466.0,1113.0,0.0,105.0,97.0,1861.0,764.0,621.0,689.0,52.0,25.0,11.0,2078.0,15.0,35.46,0.2
63685,0.0,123.0,128.0,8649.0,0.0,14.0,2.0,0.0,0.0,16.0,2.0,110.0,6.0,0.0,75.0,0.0,24.0,14.0,0.0,25445.0,511.0,0.0,6.0,24001.0,75.0,15.0,31.0,14.0,0.0,0.0,0.0,155.0,15.0,36.58,3.0
63686,0.0,57.0,2111.0,39943.0,0.0,238.0,14.0,0.0,22.0,83.0,46.0,7841.0,111.0,454.0,304.0,0.0,161.0,179.0,0.0,2469.0,7488.0,0.0,108.0,2030.0,2557.0,919.0,778.0,1037.0,80.0,18.0,0.0,2659.0,15.0,36.58,0.2
63693,0.0,0.0,0.0,475.0,874.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,110.0,33.09,3.0
63694,0.0,30.0,535.0,23531.0,0.0,7713.0,0.0,0.0,12.0,12.0,196.0,1033.0,43.0,107.0,248.0,0.0,48.0,57.0,0.0,557.0,117.0,0.0,16.0,3337.0,2444.0,229.0,375.0,825.0,32.0,25.0,0.0,2018.0,110.0,33.09,0.2
63711,0.0,1051.0,409.0,21328.0,0.0,82.0,0.0,0.0,15.0,19.0,11.0,1844.0,75.0,70.0,69.0,0.0,140.0,18.0,9.0,19408.0,86.0,0.0,18.0,239.0,667.0,191.0,220.0,167.0,4.0,8.0,0.0,1663.0,15.0,33.09,3.0
63712,0.0,1082.0,665.0,31133.0,0.0,129.0,6.0,0.0,19.0,47.0,14.0,2380.0,45.0,134.0,159.0,0.0,193.0,75.0,8.0,27498.0,112.0,0.0,31.0,373.0,1256.0,286.0,330.0,246.0,4.0,26.0,0.0,1984.0,15.0,33.09,0.2
63727,0.0,1697.0,269.0,43185.0,0.0,170.0,8.0,2.0,20.0,37.0,4.0,857.0,357.0,42.0,659.0,0.0,50.0,17.0,0.0,18963.0,17.0,0.0,49.0,194.0,648.0,74.0,101.0,47.0,0.0,2.0,38.0,1621.0,15.0,29.7,3.0
63728,0.0,114.0,392.0,36374.0,0.0,1004.0,0.0,0.0,7.0,100.0,19.0,1884.0,147.0,173.0,300.0,0.0,96.0,41.0,0.0,541.0,65.0,0.0,76.0,64.0,3054.0,352.0,309.0,450.0,0.0,27.0,192.0,2426.0,15.0,29.7,0.2
63737,0.0,1237.0,1373.0,37869.0,0.0,333.0,2.0,0.0,12.0,49.0,4.0,1035.0,317.0,15.0,678.0,0.0,268.0,30.0,3.0,47003.0,475.0,0.0,72.0,1132.0,2170.0,564.0,170.0,91.0,12.0,11.0,0.0,3350.0,90.0,29.7,3.0
63738,0.0,0.0,587.0,16818.0,0.0,1800.0,2.0,5.0,9.0,0.0,20.0,515.0,63.0,71.0,99.0,0.0,75.0,77.0,0.0,895.0,106.0,0.0,28.0,1212.0,2379.0,263.0,237.0,403.0,34.0,46.0,0.0,2834.0,90.0,29.7,0.2
63757,0.0,1241.0,565.0,64410.0,0.0,220.0,8.0,0.0,6.0,122.0,0.0,1031.0,191.0,5.0,492.0,0.0,104.0,20.0,0.0,36334.0,971.0,0.0,62.0,149.0,751.0,106.0,166.0,54.0,0.0,9.0,0.0,3236.0,15.0,26.28,3.0
63758,0.0,19.0,532.0,35415.0,0.0,981.0,10.0,0.0,11.0,136.0,19.0,969.0,123.0,128.0,131.0,0.0,48.0,32.0,0.0,2272.0,228.0,6.0,43.0,168.0,2890.0,273.0,219.0,451.0,0.0,61.0,0.0,2162.0,15.0,26.28,0.2
63777,0.0,676.0,1423.0,31046.0,49.0,132.0,0.0,0.0,0.0,4.0,0.0,2389.0,2726.0,11.0,521.0,0.0,330.0,72.0,0.0,40793.0,0.0,0.0,38.0,12.0,1651.0,115.0,307.0,10.0,0.0,0.0,0.0,2065.0,15.0,26.28,3.0
63778,0.0,0.0,3191.0,25503.0,0.0,2530.0,0.0,0.0,8.0,0.0,0.0,2555.0,1450.0,368.0,935.0,0.0,204.0,670.0,0.0,1035.0,0.0,0.0,62.0,14.0,13101.0,481.0,1178.0,1342.0,0.0,25.0,0.0,20824.0,15.0,26.28,0.2
63779,0.0,262.0,1445.0,26813.0,0.0,116.0,6.0,0.0,3.0,0.0,9.0,1637.0,1965.0,28.0,655.0,0.0,313.0,79.0,4.0,62886.0,0.0,0.0,24.0,16.0,1536.0,77.0,350.0,53.0,0.0,0.0,0.0,1454.0,15.0,23.5,3.0
63780,0.0,0.0,1508.0,22739.0,0.0,1562.0,0.0,0.0,4.0,0.0,26.0,1691.0,976.0,430.0,406.0,0.0,198.0,866.0,0.0,901.0,0.0,0.0,12.0,9.0,12488.0,219.0,467.0,1266.0,0.0,21.0,0.0,11576.0,15.0,23.5,0.2
63795,0.0,441.0,833.0,25039.0,0.0,447.0,0.0,0.0,0.0,8.0,13.0,749.0,106.0,0.0,164.0,0.0,170.0,3.0,26.0,119073.0,65.0,0.0,8.0,233.0,1386.0,107.0,29.0,33.0,12.0,55.0,0.0,1999.0,60.0,23.5,3.0
63796,0.0,33.0,818.0,18711.0,0.0,5131.0,0.0,0.0,5.0,0.0,32.0,772.0,31.0,72.0,217.0,0.0,33.0,73.0,0.0,611.0,0.0,0.0,12.0,567.0,7297.0,125.0,114.0,463.0,40.0,55.0,0.0,2777.0,60.0,23.5,0.2
63835,0.0,207.0,589.0,10729.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,973.0,1055.0,5.0,43.0,0.0,104.0,22.0,0.0,31657.0,0.0,0.0,18.0,0.0,2331.0,51.0,41.0,188.0,0.0,0.0,0.0,792.0,15.0,24.66,3.0
63836,0.0,0.0,1507.0,22266.0,0.0,1235.0,0.0,0.0,9.0,0.0,69.0,2151.0,1490.0,520.0,46.0,0.0,147.0,31.0,0.0,3220.0,0.0,0.0,29.0,20.0,10359.0,416.0,154.0,592.0,0.0,11.0,0.0,15021.0,15.0,24.66,0.2
63837,0.0,0.0,2.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2313.0,15.0,28.13,3.0
63838,0.0,0.0,1324.0,36029.0,0.0,2492.0,0.0,0.0,0.0,0.0,132.0,4944.0,1619.0,802.0,140.0,0.0,135.0,96.0,0.0,4312.0,0.0,0.0,21.0,14.0,20953.0,733.0,219.0,904.0,0.0,5.0,0.0,17722.0,15.0,28.13,0.2
63857,0.0,4755.0,398.0,2644.0,0.0,104.0,0.0,0.0,0.0,13.0,41.0,1455.0,681.0,26.0,1762.0,0.0,165.0,7.0,5.0,42911.0,0.0,0.0,18.0,0.0,2799.0,312.0,88.0,49.0,0.0,0.0,25.0,211.0,15.0,29.45,3.0
63858,0.0,0.0,3444.0,10775.0,0.0,10719.0,0.0,0.0,0.0,13.0,138.0,8664.0,668.0,166.0,2999.0,0.0,195.0,34.0,0.0,20088.0,0.0,0.0,33.0,0.0,7772.0,883.0,388.0,575.0,0.0,0.0,0.0,821.0,15.0,29.45,0.2
63879,0.0,509.0,2290.0,10563.0,0.0,147.0,10.0,0.0,6.0,0.0,58.0,998.0,4142.0,0.0,5429.0,0.0,439.0,14.0,3.0,57901.0,0.0,3.0,0.0,0.0,534.0,1186.0,157.0,25.0,0.0,0.0,0.0,212.0,15.0,36.57,3.0
63880,0.0,24.0,1848.0,6879.0,0.0,19196.0,0.0,0.0,7.0,0.0,174.0,2363.0,1356.0,71.0,1854.0,0.0,110.0,34.0,0.0,2744.0,2.0,0.0,0.0,12.0,2795.0,1997.0,141.0,165.0,4.0,0.0,0.0,3085.0,15.0,36.57,0.2
63881,0.0,354.0,856.0,6224.0,38.0,71.0,0.0,0.0,0.0,3.0,30.0,648.0,2822.0,4.0,3083.0,2.0,283.0,18.0,0.0,45584.0,0.0,0.0,4.0,0.0,333.0,935.0,104.0,13.0,0.0,0.0,6.0,469.0,15.0,36.57,3.0
63882,0.0,3.0,1730.0,6249.0,0.0,14419.0,0.0,0.0,0.0,0.0,162.0,3418.0,1403.0,122.0,1525.0,0.0,31.0,21.0,0.0,6326.0,0.0,0.0,23.0,13.0,3187.0,2859.0,158.0,190.0,0.0,0.0,0.0,3602.0,15.0,36.57,0.2
63903,0.0,707.0,1524.0,20305.0,0.0,85.0,0.0,0.0,2.0,40.0,0.0,1321.0,289.0,166.0,2133.0,0.0,977.0,27.0,2.0,44010.0,21.0,4.0,63.0,10.0,1352.0,255.0,143.0,7.0,0.0,6.0,9.0,303.0,65.0,36.57,3.0
63904,0.0,0.0,1900.0,34910.0,0.0,22125.0,0.0,4.0,6.0,3.0,45.0,3485.0,215.0,295.0,2384.0,0.0,241.0,31.0,2.0,1072.0,20.0,0.0,99.0,288.0,6392.0,975.0,211.0,530.0,0.0,76.0,34.0,2249.0,65.0,36.57,0.2
63919,0.0,467.0,2110.0,10889.0,78.0,50.0,0.0,0.0,7.0,0.0,5.0,3987.0,5656.0,0.0,330.0,0.0,921.0,21.0,0.0,29306.0,0.0,0.0,31.0,2.0,1447.0,182.0,189.0,72.0,0.0,0.0,4.0,503.0,15.0,35.46,3.0
63920,0.0,0.0,2115.0,14543.0,0.0,5761.0,0.0,0.0,13.0,0.0,99.0,2263.0,1775.0,130.0,401.0,0.0,266.0,145.0,7.0,1420.0,0.0,0.0,41.0,12.0,12295.0,662.0,302.0,305.0,0.0,0.0,0.0,7709.0,15.0,35.46,0.2
63951,0.0,497.0,733.0,10441.0,0.0,38.0,0.0,0.0,2.0,9.0,4.0,1156.0,102.0,79.0,602.0,4.0,190.0,2.0,5.0,21003.0,211.0,0.0,34.0,4.0,763.0,53.0,8.0,13.0,0.0,4.0,0.0,792.0,65.0,36.58,3.0
63952,3.0,8.0,792.0,13507.0,0.0,10229.0,6.0,5.0,5.0,0.0,33.0,4320.0,110.0,215.0,716.0,0.0,26.0,41.0,0.0,1061.0,65.0,0.0,236.0,137.0,4479.0,486.0,84.0,280.0,0.0,40.0,0.0,2209.0,65.0,36.58,0.2
63963,0.0,584.0,1053.0,5700.0,0.0,4315.0,0.0,0.0,0.0,0.0,134.0,2479.0,2523.0,37.0,2466.0,0.0,306.0,31.0,0.0,22677.0,0.0,0.0,22.0,0.0,1291.0,1399.0,371.0,51.0,0.0,0.0,0.0,109.0,15.0,36.58,3.0
