Kingdom,Phylum,Class,Order,Family,Genus,Species,Consensus,taxon.id
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.6363636,9be45a84255503edcfd9b47fadb2b98c
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-28,Dino-Group-II-Clade-28_X,1.0000000,7a4843ab258e61ea3e22ba9bead63cdc
Eukaryota,Archaeplastida,Chlorophyta,Prasino-Clade-9,Prasino-Clade-9_X,Prasino-Clade-9_XX,Prasino-Clade-9_XXX,0.6923077,0b25ac93894617f43a42860e8938c61b
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,1.0000000,b9dd654f9c927eef7da62ca6265c8794
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,77d3cfd31b9249aa4b8578c8942b736a
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,1.0000000,5447983bbc394217b2f6d170e557e41d
Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,NA,NA,1.0000000,7c531d5c0402d5932cba66f5599e7836
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,76a9d76fbee2e29e17fc6c1080f33992
Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,Telonemia-Group-2,Telonemia-Group-2_X,1.0000000,deda41eb2ce101932a0a6860d3567fe0
Eukaryota,Stramenopiles,Sagenista,MAST-9,NA,NA,NA,0.6000000,f41972e5c26c00f6c8572e4426578903
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,5324ab918ca1e6d7f74a8f474849d88d
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.6363636,4ea0fc406050a7e03273e8fab58f8a9b
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Amphidomataceae,Azadinium,0.5454545,babbbd99322e8f7b223bf5aec4916866
Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,OLIGO5,OLIGO5_X,OLIGO5_XX,1.0000000,afce957ab5d01bcb2918e68235bd7ad4
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,4986d80ddbf7cb2ccfdee22350bc3e32
Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellarida,Spumellarida-Group-I,Spumellarida-Group-I_X,0.9000000,686facd7032ce10a2fa7ebc81761e839
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,0.9090909,ae8d336708b275c7f1cecda2105c7c16
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.6363636,23c2e58e3f7964823689ecc4335de299
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,NA,NA,0.6363636,4c4aee6a23c9ebb207bcb8029994aebd
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,2c34012c302830b16eba2a26e4210c7b
