MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Area,runDate,type,SampID,replicate,Adjusted_Area,Run.Cmpd
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,47343,170410,Poo,April11AqExtracts,Full1,102727.14760553697,170410_Poo_April11AqExtracts_Full1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,53970,170410,Poo,April11AqExtracts,Full2,167768.46834919206,170410_Poo_April11AqExtracts_Full2 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,31794,170410,Poo,April11AqExtracts,Full3,149100.5415371526,170410_Poo_April11AqExtracts_Full3 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,28154,170410,Poo,April11AqExtracts,Half1,106991.4965799436,170410_Poo_April11AqExtracts_Half1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,30645,170410,Poo,April11AqExtracts,Half2,229145.07812695147,170410_Poo_April11AqExtracts_Half2 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,20297,170410,Poo,April11AqExtracts,Half3,208825.47249349338,170410_Poo_April11AqExtracts_Half3 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,84888,170413,Smp,KM1513-15m,A,242098.9572782274,170413_Smp_KM1513-15m_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,109272,170413,Smp,KM1513-15m,B,300051.9415062782,170413_Smp_KM1513-15m_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,98459,170413,Smp,KM1513-15m,C,341939.02863881056,170413_Smp_KM1513-15m_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,34646,170413,Smp,KM1513-45m,A,65765.56073561248,170413_Smp_KM1513-45m_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,38279,170413,Smp,KM1513-45m,B,93146.16564457925,170413_Smp_KM1513-45m_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,9422,170413,Smp,KM1513-45m,C,19303.84390045058,170413_Smp_KM1513-45m_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,28359,170413,Smp,KM1513-75m,A,51997.66211551228,170413_Smp_KM1513-75m_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,43335,170413,Smp,KM1513-75m,B,169786.46484847195,170413_Smp_KM1513-75m_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,43184,170413,Smp,KM1513-75m,C,101704.37313639466,170413_Smp_KM1513-75m_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,11631,170413,Smp,KM1513-125m,A,22697.976419290273,170413_Smp_KM1513-125m_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,9429,170413,Smp,KM1513-125m,B,33961.98370710787,170413_Smp_KM1513-125m_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,12794,170413,Smp,KM1513-125m,C,50315.114061260494,170413_Smp_KM1513-125m_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,28533,170425,Poo,TruePoo,Full1,19269.80677786975,170425_Poo_TruePoo_Full1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,26303,170425,Poo,TruePoo,Full2,22766.9179647838,170425_Poo_TruePoo_Full2 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,8494,170425,Poo,TruePoo,Full3,12665.605493620771,170425_Poo_TruePoo_Full3 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,7969,170425,Poo,TruePoo,Full4,13439.66249455501,170425_Poo_TruePoo_Full4 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,31401,170425,Poo,TruePoo,Half1,19667.050625399206,170425_Poo_TruePoo_Half1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,20170,170425,Poo,TruePoo,Half2,13692.281726780591,170425_Poo_TruePoo_Half2 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,16409,170425,Poo,TruePoo,Half3,14298.554660903092,170425_Poo_TruePoo_Half3 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,11828,170425,Poo,TruePoo,Half4,15947.091424972326,170425_Poo_TruePoo_Half4 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,14991,170425,Smp,S11C1,A,17795.129404419775,170425_Smp_S11C1_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,91496,170425,Smp,S12C1,A,58410.1190705031,170425_Smp_S12C1_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,17010,170425,Smp,S12C1,B,12039.80301701823,170425_Smp_S12C1_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,11126,170425,Smp,S13C1,A,12881.26039799128,170425_Smp_S13C1_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,54213,170425,Smp,S13C1,B,43174.48244270878,170425_Smp_S13C1_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,NA,170425,Smp,S14C1,A,NA,170425_Smp_S14C1_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,NA,170425,Smp,S14C1,B,NA,170425_Smp_S14C1_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,5621,170425,Smp,S14C1,C,6683.935480397663,170425_Smp_S14C1_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,20364,170425,Smp,S2C1,B,14400.096659383298,170425_Smp_S2C1_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,22547,170425,Smp,S2C1,C,18382.686818565056,170425_Smp_S2C1_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,14069,170425,Smp,S2C3,A,12656.687950613543,170425_Smp_S2C3_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,8615,170425,Smp,S4C1,A,6045.518704918789,170425_Smp_S4C1_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,NA,170425,Smp,S4C1,B,NA,170425_Smp_S4C1_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,3053,170425,Smp,S4C1,C,3688.1543916440414,170425_Smp_S4C1_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,19325,170425,Smp,S4C2,A,26569.928780570066,170425_Smp_S4C2_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,41039,170425,Smp,S4C2,B,27859.98481428702,170425_Smp_S4C2_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,35324,170425,Smp,S6C1,A,27961.609108468547,170425_Smp_S6C1_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,21062,170425,Smp,S6C1,B,27396.596076095597,170425_Smp_S6C1_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,27919,170425,Smp,S6C1,C,41058.58886671873,170425_Smp_S6C1_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,62683,170425,Smp,S6C2,A,38431.6788164152,170425_Smp_S6C2_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,3989,170425,Smp,S6C2,B,2658.6840679370957,170425_Smp_S6C2_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,24797,170425,Smp,S8C1,A,30766.106842958907,170425_Smp_S8C1_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,82649,170425,Smp,S9C1,A,53437.103697229046,170425_Smp_S9C1_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,29850,170425,Smp,S9C1,B,23336.279920194913,170425_Smp_S9C1_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,55095,170425,Smp,S9C2,A,78566.02370709277,170425_Smp_S9C2_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,44029,170425,Smp,S9C2,B,66651.98678296982,170425_Smp_S9C2_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,77407,170425,Smp,U3,A,82545.45694691478,170425_Smp_U3_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,108016,170425,Smp,U3,B,127995.81150954936,170425_Smp_U3_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,100174,170425,Smp,U4,A,63267.605762723724,170425_Smp_U4_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,70516,170425,Smp,U4,B,53270.36575286907,170425_Smp_U4_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,48596,170425,Smp,U6,A,30849.550533249345,170425_Smp_U6_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,31055,170425,Smp,U6,B,25123.764109881962,170425_Smp_U6_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,32234,170425,Smp,U7,A,28466.75958093996,170425_Smp_U7_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,11923,170425,Smp,U7,B,18231.841603106983,170425_Smp_U7_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,20092,170425,Smp,U8,A,13907.063062729789,170425_Smp_U8_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,38334,170425,Smp,U8,B,29058.171161481227,170425_Smp_U8_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,15217,170425,Smp,U9,A,15415.982975366727,170425_Smp_U9_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,3083,170425,Smp,U9,B,2382.0286290256063,170425_Smp_U9_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,83324,180716,Poo,TruePoo10,Full1,66658.03370623085,180716_Poo_TruePoo10_Full1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,99879,180716,Poo,TruePoo10,Full2,73083.51809482928,180716_Poo_TruePoo10_Full2 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,78194,180716,Poo,TruePoo10,Full3,56255.86617860792,180716_Poo_TruePoo10_Full3 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,50024,180716,Poo,TruePoo10,Half1,71087.77322459428,180716_Poo_TruePoo10_Half1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,60812,180716,Poo,TruePoo10,Half2,68394.05280098165,180716_Poo_TruePoo10_Half2 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,63036,180716,Poo,TruePoo10,Half3,81650.1619643228,180716_Poo_TruePoo10_Half3 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,543162,180716,Smp,S7E41D30,1,520444.9261441333,180716_Smp_S7E41D30_1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,404529,180716,Smp,S7E41D40,1,330154.74293431145,180716_Smp_S7E41D40_1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,15410,180716,Smp,S7E41D60,1,13796.864078545932,180716_Smp_S7E41D60_1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,NA,180716,Smp,S7E41D80,1,NA,180716_Smp_S7E41D80_1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,NA,180716,Smp,S7E41D100,1,NA,180716_Smp_S7E41D100_1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,NA,180716,Smp,S7E41D120,1,NA,180716_Smp_S7E41D120_1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,NA,180716,Smp,S7E41D140,1,NA,180716_Smp_S7E41D140_1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,3885,180716,Smp,S7E41D160,1,2743.4104911600502,180716_Smp_S7E41D160_1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,5352,180716,Smp,S7E41D180,1,3422.3364726978557,180716_Smp_S7E41D180_1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,NA,180716,Smp,S7E41D250,1,NA,180716_Smp_S7E41D250_1 Adenosyl Homocysteine
Agmatine,"Indole 3 Acetic Acid, D5",0.3657756063826741,0.36459904666995757,1204642,170410,Poo,April11AqExtracts,Full1,1005187.952744252,170410_Poo_April11AqExtracts_Full1 Agmatine
Agmatine,"Indole 3 Acetic Acid, D5",0.3657756063826741,0.36459904666995757,997682,170410,Poo,April11AqExtracts,Full2,821638.7136528238,170410_Poo_April11AqExtracts_Full2 Agmatine
Agmatine,"Indole 3 Acetic Acid, D5",0.3657756063826741,0.36459904666995757,548147,170410,Poo,April11AqExtracts,Full3,651407.0024058996,170410_Poo_April11AqExtracts_Full3 Agmatine
