MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Area,runDate,type,SampID,replicate,Column,Adjusted_Area,Run.Cmpd
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,223835,170410,Poo,April11AqExtracts,Full1,HILICPos,255572.5911694992,170410_Poo_April11AqExtracts_Full1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,100275,170410,Poo,April11AqExtracts,Full2,HILICPos,167361.70154167197,170410_Poo_April11AqExtracts_Full2 Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,23338,170410,Poo,April11AqExtracts,Full3,HILICPos,41967.89143660431,170410_Poo_April11AqExtracts_Full3 Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,319522,170410,Poo,April11AqExtracts,Half1,HILICPos,893130.4496109777,170410_Poo_April11AqExtracts_Half1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,36665,170410,Poo,April11AqExtracts,Half2,HILICPos,137781.1499960866,170410_Poo_April11AqExtracts_Half2 Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,8780,170410,Poo,April11AqExtracts,Half3,HILICPos,33460.58622453058,170410_Poo_April11AqExtracts_Half3 Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,579478,170410,Smp,KM1513-15m,A,HILICPos,617340.469242798,170410_Smp_KM1513-15m_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,692871,170410,Smp,KM1513-15m,B,HILICPos,713079.5394488372,170410_Smp_KM1513-15m_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,142058,170410,Smp,KM1513-15m,C,HILICPos,230550.3609190881,170410_Smp_KM1513-15m_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,252745,170410,Smp,KM1513-45m,A,HILICPos,305374.15328184236,170410_Smp_KM1513-45m_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,226249,170410,Smp,KM1513-45m,B,HILICPos,256835.64084447458,170410_Smp_KM1513-45m_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,147315,170410,Smp,KM1513-45m,C,HILICPos,160941.30990358847,170410_Smp_KM1513-45m_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,258450,170410,Smp,KM1513-75m,A,HILICPos,297526.3724738673,170410_Smp_KM1513-75m_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,26154,170410,Smp,KM1513-75m,B,HILICPos,47979.229671547284,170410_Smp_KM1513-75m_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Sulfolactic Acid, 13C3",0.7312625924386191,0.6401346019898256,92863,170410,Smp,KM1513-75m,C,HILICPos,198139.4306456251,170410_Smp_KM1513-75m_C Adenosyl Homocysteine
