cluster_overlap,pval.01,pval.05,pval.1,count,pval
KM_a&Org_a,39,33,32,42,0.01
KM_a&Org_b,21,16,16,13,not sig
KM_a&Org_c,17,14,13,11,not sig
KM_a&Org_d,24,20,19,18,not sig
KM_a&Org_e,27,23,22,10,not sig
KM_a&Org_f,15,12,11,9,not sig
KM_a&Org_g,55,50,48,45,not sig
KM_a&Org_NA,44,37,35,20,not sig
KM_b&Org_a,22,18,16,9,not sig
KM_b&Org_b,13,9,9,11,0.05
KM_b&Org_c,11,8,7,6,not sig
KM_b&Org_d,17,11,10,10,not sig
KM_b&Org_e,16,12,11,10,not sig
KM_b&Org_f,10,7,6,7,0.1
KM_b&Org_g,29,25,23,14,not sig
KM_b&Org_NA,24,19,18,8,not sig
KM_c&Org_a,15,11,10,NA,NA
KM_c&Org_b,10,6,5,NA,NA
KM_c&Org_c,8,5,5,1,not sig
KM_c&Org_d,10,7,6,2,not sig
KM_c&Org_e,12,8,7,14,0.01
KM_c&Org_f,7,5,4,NA,NA
KM_c&Org_g,20,16,15,16,0.1
KM_c&Org_NA,16,12,11,11,not sig
KM_d&Org_a,7,5,4,NA,NA
KM_d&Org_b,5,3,3,NA,NA
KM_d&Org_c,4,3,2,NA,NA
KM_d&Org_d,6,3,3,NA,NA
KM_d&Org_e,6,4,3,NA,NA
KM_d&Org_f,5,2,2,NA,NA
KM_d&Org_g,10,7,6,2,not sig
KM_d&Org_NA,10,5,5,13,0.01
KM_NA&Org_a,6,4,3,1,not sig
KM_NA&Org_b,4,3,2,NA,NA
KM_NA&Org_c,3,2,2,1,not sig
KM_NA&Org_d,5,3,2,NA,NA
KM_NA&Org_e,6,3,3,NA,NA
KM_NA&Org_f,4,2,2,NA,NA
KM_NA&Org_g,8,5,5,3,not sig
KM_NA&Org_NA,6,4,4,6,0.05
