Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 40000. RT flexibility: 2.5. Blank can be this fraction of a sample: 5. S/N ratio: 3. Parts per million flexibility: 6. Processed on: 2020-09-10 16:00:02. 
"","Replicate.Name","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RTFlag","Blank.Area","BlankFlag","Flags","QC_area"
"1","161114_Smp_7803_B","I126.904R4.8_HILICNeg",4.6,2562884,0,"262902",-0.1,NA,NA,NA,4.635,NA,971470,"BlankFlag","BlankFlag",NA
"2","161114_Smp_7803_F","I126.904R4.8_HILICNeg",4.58,2350169,0,"278504",0.1,NA,NA,NA,4.635,NA,971470,"BlankFlag","BlankFlag",NA
"3","161114_Smp_8102_A","I126.904R4.8_HILICNeg",4.53,2844787,0,"374941",0,NA,NA,NA,4.635,NA,971470,"BlankFlag","BlankFlag",NA
"4","161114_Smp_8102_F","I126.904R4.8_HILICNeg",4.55,2544174,0,"301493",0,NA,NA,NA,4.635,NA,971470,"BlankFlag","BlankFlag",NA
"5","161114_Smp_8501_B","I126.904R4.8_HILICNeg",4.55,2732282,0,"293134",0.1,NA,NA,NA,4.635,NA,1112901,"BlankFlag","BlankFlag",NA
"6","161114_Smp_8501_C","I126.904R4.8_HILICNeg",4.55,2227913,0,"226672",0.1,NA,NA,NA,4.635,NA,1112901,"BlankFlag","BlankFlag",NA
"7","161114_Smp_8501_D","I126.904R4.8_HILICNeg",4.53,2540189,0,"276995",0.1,NA,NA,NA,4.635,NA,1112901,"BlankFlag","BlankFlag",NA
"8","161114_Smp_MED4_D","I126.904R4.8_HILICNeg",4.41,1742809,0,"216618",0.1,NA,NA,NA,4.635,NA,971470,"BlankFlag","BlankFlag",NA
"9","161114_Smp_MED4_E","I126.904R4.8_HILICNeg",4.53,1621618,0,"198075",0.2,NA,NA,NA,4.635,NA,971470,"BlankFlag","BlankFlag",NA
"10","161114_Smp_MED4_F","I126.904R4.8_HILICNeg",4.52,1699577,0,"200613",0.3,NA,NA,NA,4.635,NA,971470,"BlankFlag","BlankFlag",NA
"11","170821_Smp_1314P_A","I126.904R4.8_HILICNeg",5.07,1315618,0,"74229",0.3,NA,NA,NA,4.635,NA,411559,"BlankFlag","BlankFlag",NA
"12","170821_Smp_1314P_B","I126.904R4.8_HILICNeg",5.1,1281684,0,"66485",0.5,NA,NA,NA,4.635,NA,411559,"BlankFlag","BlankFlag",NA
"13","170821_Smp_1314P_C","I126.904R4.8_HILICNeg",5,1235928,0,"61868",0.7,NA,NA,NA,4.635,NA,411559,"BlankFlag","BlankFlag",NA
"14","170821_Smp_As9601_A","I126.904R4.8_HILICNeg",5.07,1189872,0,"59897",0.7,NA,NA,NA,4.635,NA,330989,"BlankFlag","BlankFlag",NA
"15","170821_Smp_As9601_B","I126.904R4.8_HILICNeg",5.04,1481135,0,"82321",0.4,NA,NA,NA,4.635,NA,330989,"BlankFlag","BlankFlag",NA
"16","170821_Smp_As9601_C","I126.904R4.8_HILICNeg",4.99,735466,0,"40818",0.7,NA,NA,NA,4.635,NA,330989,"BlankFlag","BlankFlag",NA
"17","170821_Smp_Nat_A","I126.904R4.8_HILICNeg",5.17,1188282,0,"63272",0.2,NA,NA,NA,4.635,NA,158955,NA,"",1188282
"18","170821_Smp_Nat_B","I126.904R4.8_HILICNeg",5.09,910758,0,"53831",0.4,NA,NA,NA,4.635,NA,158955,NA,"",910758
"19","170821_Smp_Nat_C","I126.904R4.8_HILICNeg",5.01,1026388,0,"50898",0.7,NA,NA,NA,4.635,NA,158955,NA,"",1026388
"20","161114_Smp_7803_B","I146.045R12.11_HILICNeg",12.29,4406580736,67820784,"384175648",-0.8,NA,NA,NA,12.39,NA,103137,NA,"",4406580736
"21","161114_Smp_7803_F","I146.045R12.11_HILICNeg",12.29,5957427712,35302804,"499352448",-0.8,NA,NA,NA,12.39,NA,103137,NA,"",5957427712
"22","161114_Smp_8102_A","I146.045R12.11_HILICNeg",12.23,4839947264,26248038,"402115360",-1,NA,NA,NA,12.39,NA,103137,NA,"",4839947264
"23","161114_Smp_8102_F","I146.045R12.11_HILICNeg",12.24,4466173952,58777264,"361770176",-0.9,NA,NA,NA,12.39,NA,103137,NA,"",4466173952
"24","161114_Smp_8501_B","I146.045R12.11_HILICNeg",12.24,964962048,8324398,"85158448",-0.4,NA,NA,NA,12.39,NA,1475492,NA,"",964962048
"25","161114_Smp_8501_C","I146.045R12.11_HILICNeg",12.24,1155337472,12068188,"95206344",-0.4,NA,NA,NA,12.39,NA,1475492,NA,"",1155337472
"26","161114_Smp_8501_D","I146.045R12.11_HILICNeg",12.23,771913344,13394816,"68512776",-0.2,NA,NA,NA,12.39,NA,1475492,NA,"",771913344
"27","161114_Smp_MED4_D","I146.045R12.11_HILICNeg",12.15,3788958464,29051874,"297281344",-0.5,NA,NA,NA,12.39,NA,103137,NA,"",3788958464
"28","161114_Smp_MED4_E","I146.045R12.11_HILICNeg",12.23,3944718080,31146246,"303132960",-0.5,NA,NA,NA,12.39,NA,103137,NA,"",3944718080
"29","161114_Smp_MED4_F","I146.045R12.11_HILICNeg",12.23,4478050304,28160724,"335817568",-0.8,NA,NA,NA,12.39,NA,103137,NA,"",4478050304
"30","170821_Smp_1314P_A","I146.045R12.11_HILICNeg",12.13,525763776,5426219,"41240556",-0.2,NA,NA,NA,12.39,NA,266908,NA,"",525763776
"31","170821_Smp_1314P_B","I146.045R12.11_HILICNeg",12.09,534351328,4423509,"40935428",-0.1,NA,NA,NA,12.39,NA,266908,NA,"",534351328
