Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 40000. RT flexibility: 2.5. Blank can be this fraction of a sample: 5. S/N ratio: 3. Parts per million flexibility: 6. Processed on: 2020-06-28 13:09:35. 
"","Replicate.Name","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RTFlag","Blank.Area","BlankFlag","Flags","QC_area"
"1","161114_Smp_7803_B","I130.05R12.12_HILICPos",12.28,1678457344,61833532,"132158240",-1.3,NA,NA,NA,12.4,NA,15440,NA,"",1678457344
"2","161114_Smp_7803_F","I130.05R12.12_HILICPos",12.28,2264670208,75510456,"168213824",-1.4,NA,NA,NA,12.4,NA,15440,NA,"",2264670208
"3","161114_Smp_8102_A","I130.05R12.12_HILICPos",12.22,1689986176,113097520,"138986352",-1.3,NA,NA,NA,12.4,NA,15440,NA,"",1689986176
"4","161114_Smp_8102_F","I130.05R12.12_HILICPos",12.24,1554167040,66380992,"124005296",-1.4,NA,NA,NA,12.4,NA,15440,NA,"",1554167040
"5","161114_Smp_8501_B","I130.05R12.12_HILICPos",12.24,328761664,14372824,"31378454",-1.2,NA,NA,NA,12.4,NA,76863,NA,"",328761664
"6","161114_Smp_8501_C","I130.05R12.12_HILICPos",12.24,435155360,16405879,"39968788",-0.9,NA,NA,NA,12.4,NA,76863,NA,"",435155360
"7","161114_Smp_8501_D","I130.05R12.12_HILICPos",12.24,256200400,10241021,"25223464",-0.7,NA,NA,NA,12.4,NA,76863,NA,"",256200400
"8","161114_Smp_MED4_D","I130.05R12.12_HILICPos",12.16,1279172480,35888356,"101680368",-1.1,NA,NA,NA,12.4,NA,15440,NA,"",1279172480
"9","161114_Smp_MED4_E","I130.05R12.12_HILICPos",12.24,1406800000,46982544,"109810512",-1.2,NA,NA,NA,12.4,NA,15440,NA,"",1406800000
"10","161114_Smp_MED4_F","I130.05R12.12_HILICPos",12.22,1601001600,45649252,"116784128",-1.2,NA,NA,NA,12.4,NA,15440,NA,"",1601001600
"11","170821_Smp_1314P_A","I130.05R12.12_HILICPos",12.1,285211520,9011703,"21744182",-0.7,NA,NA,NA,12.4,NA,143212,NA,"",285211520
"12","170821_Smp_1314P_B","I130.05R12.12_HILICPos",12.08,272625728,6029593,"21396460",-0.8,NA,NA,NA,12.4,NA,143212,NA,"",272625728
"13","170821_Smp_1314P_C","I130.05R12.12_HILICPos",12.05,279749376,5675605,"20503792",-0.5,NA,NA,NA,12.4,NA,143212,NA,"",279749376
"14","170821_Smp_As9601_A","I130.05R12.12_HILICPos",12.08,391605952,7666720,"29309610",-0.4,NA,NA,NA,12.4,NA,195854,NA,"",391605952
"15","170821_Smp_As9601_B","I130.05R12.12_HILICPos",12.08,399758624,7163768,"28854844",-0.6,NA,NA,NA,12.4,NA,195854,NA,"",399758624
"16","170821_Smp_As9601_C","I130.05R12.12_HILICPos",12.07,393224128,6392217,"28539750",-0.7,NA,NA,NA,12.4,NA,195854,NA,"",393224128
"17","170821_Smp_Nat_A","I130.05R12.12_HILICPos",12.1,335572096,15405323,"25218530",-0.6,NA,NA,NA,12.4,NA,620163,NA,"",335572096
"18","170821_Smp_Nat_B","I130.05R12.12_HILICPos",12.1,352745536,12348181,"26018804",-0.7,NA,NA,NA,12.4,NA,620163,NA,"",352745536
"19","170821_Smp_Nat_C","I130.05R12.12_HILICPos",12.08,359320224,9677049,"25750230",-0.5,NA,NA,NA,12.4,NA,620163,NA,"",359320224
"20","161114_Smp_7803_B","I195.0765R10.08_HILICPos",10.62,78345,0,"15174",-0.9,NA,NA,NA,10.59,NA,0,NA,"",78345
"21","161114_Smp_7803_F","I195.0765R10.08_HILICPos",10.6,93728,0,"27639",-1.4,NA,NA,NA,10.59,NA,0,NA,"",93728
"22","161114_Smp_8102_A","I195.0765R10.08_HILICPos",10.57,26900,0,"13410",-0.4,NA,NA,"areaminFlag",10.59,NA,0,NA,"areaminFlag, ",NA
"23","161114_Smp_8102_F","I195.0765R10.08_HILICPos",10.45,51759,0,"9619",-0.7,NA,NA,NA,10.59,NA,0,NA,"",51759
"24","161114_Smp_8501_B","I195.0765R10.08_HILICPos",6.03,1256867,0,"65609",-7.2,NA,"ppmFlag",NA,10.59,"RTFlag",15912,NA,"ppmFlag, RTFlag, ",NA
"25","161114_Smp_8501_C","I195.0765R10.08_HILICPos",10.41,5872,0,"4824",-1.1,NA,NA,"areaminFlag",10.59,NA,15912,"BlankFlag","areaminFlag, BlankFlag",NA
"26","161114_Smp_8501_D","I195.0765R10.08_HILICPos",10.05,20582,0,"10936",-3.5,NA,NA,"areaminFlag",10.59,NA,15912,"BlankFlag","areaminFlag, BlankFlag",NA
"27","161114_Smp_MED4_D","I195.0765R10.08_HILICPos",10.07,703570,0,"73676",-6.8,NA,"ppmFlag",NA,10.59,NA,0,NA,"ppmFlag, ",NA
"28","161114_Smp_MED4_E","I195.0765R10.08_HILICPos",10.07,1250640,0,"112930",-7,NA,"ppmFlag",NA,10.59,NA,0,NA,"ppmFlag, ",NA
"29","161114_Smp_MED4_F","I195.0765R10.08_HILICPos",10.02,1182922,0,"107133",-7,NA,"ppmFlag",NA,10.59,NA,0,NA,"ppmFlag, ",NA
