Hello! Welcome to the world of QE Quality Control! Minimum area for a real peak: 40000. RT flexibility: 0.2. Blank can be this fraction of a sample: 5. S/N ratio: 10. Parts per million flexibility: 4. Processed on: 2020-06-02 14:53:16. 
"","Replicate.Name","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RTFlag","Blank.Area","BlankFlag","Flags","QC_area"
"1","161118_Smp_7803_B","I132.1021R0.87_CyanoAq",0.89,321141504,10676318,"87877656",-1.4,NA,NA,NA,0.81,NA,715048,NA,"",321141504
"2","161118_Smp_7803_F","I132.1021R0.87_CyanoAq",0.88,234165504,1027729,"65846940",-1.8,NA,NA,NA,0.81,NA,715048,NA,"",234165504
"3","161118_Smp_8102_A","I132.1021R0.87_CyanoAq",0.89,113832368,634383,"30130284",-1.6,NA,NA,NA,0.81,NA,715048,NA,"",113832368
"4","161118_Smp_8102_F","I132.1021R0.87_CyanoAq",0.9,122248944,735364,"27885268",-1.6,NA,NA,NA,0.81,NA,715048,NA,"",122248944
"5","161118_Smp_8501_B","I132.1021R0.87_CyanoAq",0.89,27805780,384709,"7182845",-1.1,NA,NA,NA,0.81,NA,1392285,NA,"",27805780
"6","161118_Smp_8501_C","I132.1021R0.87_CyanoAq",0.89,61086604,0,"17041634",-1.8,NA,NA,NA,0.81,NA,1392285,NA,"",61086604
"7","161118_Smp_8501_D","I132.1021R0.87_CyanoAq",0.89,37832160,0,"9183851",-1.3,NA,NA,NA,0.81,NA,1392285,NA,"",37832160
"8","161118_Smp_MED4_D","I132.1021R0.87_CyanoAq",0.88,22460640,171569,"5324427",-1,NA,NA,NA,0.81,NA,715048,NA,"",22460640
"9","161118_Smp_MED4_E","I132.1021R0.87_CyanoAq",0.89,34267524,694511,"9730476",-1.2,NA,NA,NA,0.81,NA,715048,NA,"",34267524
"10","161118_Smp_MED4_F","I132.1021R0.87_CyanoAq",0.9,28178830,260347,"7376207",-1.7,NA,NA,NA,0.81,NA,715048,NA,"",28178830
"11","170828_Smp_1314P_A","I132.1021R0.87_CyanoAq",0.88,4583262,35805,"1754675",-1.2,NA,NA,NA,0.81,NA,1436610,"BlankFlag","BlankFlag",NA
"12","170828_Smp_1314P_B","I132.1021R0.87_CyanoAq",0.88,3466618,89461,"1507640",-1.1,NA,NA,NA,0.81,NA,1436610,"BlankFlag","BlankFlag",NA
"13","170828_Smp_1314P_C","I132.1021R0.87_CyanoAq",0.88,3140444,79436,"1185449",-1.2,NA,NA,NA,0.81,NA,1436610,"BlankFlag","BlankFlag",NA
"14","170828_Smp_As9601_A","I132.1021R0.87_CyanoAq",0.88,6917377,136676,"2612383",-1.2,NA,NA,NA,0.81,NA,524393,NA,"",6917377
"15","170828_Smp_As9601_B","I132.1021R0.87_CyanoAq",0.88,6820331,23170,"2139631",-1,NA,NA,NA,0.81,NA,524393,NA,"",6820331
"16","170828_Smp_As9601_C","I132.1021R0.87_CyanoAq",0.88,6738464,66321,"2405267",-1.4,NA,NA,NA,0.81,NA,524393,NA,"",6738464
"17","170828_Smp_Nat_A","I132.1021R0.87_CyanoAq",0.88,10797739,127720,"4235665",-1,NA,NA,NA,0.81,NA,319217,NA,"",10797739
"18","170828_Smp_Nat_B","I132.1021R0.87_CyanoAq",0.88,9779604,74909,"3714800",-1.4,NA,NA,NA,0.81,NA,319217,NA,"",9779604
"19","170828_Smp_Nat_C","I132.1021R0.87_CyanoAq",0.87,9028515,136400,"3489306",-1.2,NA,NA,NA,0.81,NA,319217,NA,"",9028515
"20","161118_Smp_7803_B","I166.0864R1.12_CyanoAq",1.13,150100032,898169,"59844628",-1.7,NA,NA,NA,1.135,NA,191297,NA,"",150100032
