MassFeature_Column,Identification,umol.intracell.med,umol.intracell.min,umol.intracell.max,umol.intracellC.med,umol.intracellC.min,umol.intracellC.max,molFractionmed,molFractionmin,molFractionmax
Gonyol_X_HILICPos,Gonyol,95498.21123834059,18.721710824939514,196600.96196401675,668487.4786683841,131.0519757745766,1376206.7337481172,0.5734188158375387,2.3072832129461695e-4,0.8985409799050817
I148.0605R12.12_HILICPos_X_HILICPos,Glutamic acid,23389.728762897394,4128.863531561892,1697065.5008332233,116948.64381448698,20644.31765780946,8485327.504166117,0.18084723533394664,0.017813252004473555,0.844949225040254
Trehalose_X_HILICNeg,Trehalose,4395.512243183132,3328.2900536472885,5462.734432718977,52746.146918197584,39939.48064376746,65552.81319262771,0.08146065454773155,0.056026595821554163,0.10689471327390893
DHPS_X_HILICNeg,DHPS,13087.611291565036,1.023077928268179,45747.28160576802,39262.833874695105,3.069233784804537,137241.84481730405,0.06760807458736344,2.0039375370915813e-6,0.14593321621011804
DMSP_HILICPos_X_HILICPos,DMSP,7079.422154410277,0.2345268279986465,42284.3941977814,35397.11077205138,1.1726341399932325,211421.970988907,0.058631668963702616,1.4132434209736358e-6,0.30670982239044264
I138.0549R5.35_HILICPos_X_HILICPos,Homarine,3619.37374157319,8.318126195378653,457745.922555698,25335.61619101233,58.22688336765057,3204221.457889886,0.037826452063760334,5.1415131857034075e-5,0.27519225973513795
Sucrose_X_HILICNeg,Sucrose,14951.892890669707,13.112991283646625,178183.7723965312,179422.71468803647,157.35589540375952,2138205.2687583743,0.030066655286265117,0.0011760839539128728,0.21424265531993547
I118.0864R7.19_HILICPos_X_HILICPos,Betaine,3385.3234497369,85.66411675669039,30955.349925393974,16926.6172486845,428.320583783452,154776.74962696986,0.0232387985578945,6.984476144190031e-4,0.057093583626440125
Glutathione Disulfide_X_RP,Glutathione Disulfide,738.4404891814143,18.294655709217658,25806.77748821926,14768.809783628285,365.8931141843532,516135.5497643852,0.021409560492090314,0.001247940385985142,0.07041232880309518
Aspartic acid_X_HILICPos,Aspartic acid,3470.9809021593396,496.97224380867215,551428.8301088826,13883.923608637358,1987.8889752346886,2205715.3204355305,0.02110001994504401,0.0016871135927503688,0.16175009843905036
Glutamine_X_HILICPos,Glutamine,5124.756268979312,139.48300987708637,116039.32961697094,25623.78134489656,697.4150493854319,580196.6480848547,0.01849015616014258,9.783249672247372e-4,0.14836536605611433
I132.102R6.53_HILICPos_X_HILICPos,Leucine,2245.497978503644,1246.8346878830246,3117.0240012527465,13472.987871021864,7481.008127298148,18702.14400751648,0.012405563348178696,0.01022651423963615,0.013651944974669818
