MassFeature_Column,1314_A,1314_B,1314_C,1314P_A,1314P_B,1314P_C,1545_A,1545_B,1545_C,1771_A,1771_B,1771_C,2021_A,2021_B,2021_C,2090_A,2090_B,2090_C,3430_A,3430_B,3430_C,371_A,371_B,371_C,449_A,449_B,449_C,7803_B,7803_F,8102_A,8102_F,8501_B,8501_C,8501_D,As9601_A,As9601_B,As9601_C,Cy_A,Cy_B,Cy_C,MED4_D,MED4_E,MED4_F,Nat_A,Nat_B,Nat_C,Nmar_1,Nmar_2,Nmar_3,Np_A,Np_C,Np_F,Pc55x_A,Pc55x_B,Pc55x_C,Pt_C,Pt_F,To_A,To_B,To_C,Tp_A,Tp_E,Tp_F
Adenine_X_HILICPos,8.779850809834889,8.898400601678702,8.712454666171789,8.456168872629432,8.155420088115195,8.523907896492409,7.921614805154324,7.810318900907716,7.940566278128336,8.08724149537993,8.036504172540553,8.333543964867713,8.125417060374433,7.893834775626379,8.007036771509192,0,0,0,8.31857271096623,8.559032139010768,8.429800377475873,0,0,0,8.8450131642171,8.83327525399398,8.574212159435895,7.701357870225628,7.775035986505531,0,0,0,0,0,8.308788140596686,8.442099978037028,8.22347646983648,0,0,0,0,0,0,8.965989150289685,8.963847762279414,8.852700361803766,11.249423883749788,11.266885594051928,11.19459192055219,7.907212308174456,7.655431717064598,7.571755885153089,7.357731125529806,7.282916075768215,7.55695446770464,7.168526339568253,7.158898658490685,0,0,0,0,0,0
Adenosine_X_HILICPos,8.736734724446142,8.833096135372527,8.660572273674662,7.0431154093264166,6.842072277409754,7.086103390748312,6.748512357964372,6.3888751477564965,6.681720149851556,7.803532067144017,7.843003626105374,8.108675360068757,8.040502373667865,7.685482907067251,7.765263526896175,8.880408273330799,8.712280861513356,8.735800842134395,7.325385794399619,7.649746912771837,7.319872145083426,8.850636347073165,8.954860446257092,8.935981690280386,9.370815111840699,9.270760698201013,9.117115152169518,9.179342408239403,9.30203389151923,8.897381931309763,8.991904595035992,6.88058116984854,6.753802404010421,6.893584851592952,7.113328372411844,7.1291592484653385,7.091297188189343,6.342643815174462,6.577825752898259,6.235844879336994,7.707732219034171,7.697023189864837,7.7186933065985786,7.73957571170408,7.800603513181399,7.695117228088741,9.921729045587899,9.918953705407011,9.846158954070424,7.34178972596734,7.606394670613517,7.402658271062286,6.591742188237997,6.7208830377147395,6.498405892812146,6.2585314153506575,6.156709900179866,5.70739357043882,5.7125252312989545,7.492986902651231,6.19716337952394,6.59752885660337,5.869693866765576
Adenosyl Homocysteine_X_HILICPos,5.093868372107557,5.175141704558187,4.826611578360371,6.129754626220992,5.803976163826815,0,0,0,4.972872195194247,0,0,0,0,0,0,5.839889481911571,5.942575957424219,6.044723723554706,6.154149705186491,6.11579212551643,6.069770835876754,0,5.475608832817263,0,0,5.507383987811789,0,7.172521408206175,7.44475051644091,7.433124403912443,7.72719151248945,5.00685130563867,4.298655091804396,4.756104250169313,5.505575556644467,5.229779414711044,5.638506816099046,5.911101407862642,6.193995049089732,5.92585726816591,7.00995419369934,7.106088701987323,7.285308491977654,0,0,0,0,0,0,6.0466969359780265,6.042970799741338,6.1563382135546805,4.965534128588674,5.054391439146406,4.985613565138733,5.509408930354953,5.49943857847138,5.678546203307663,5.218835349960543,5.137003377186345,6.012121483448462,5.869528344392615,5.643952413480556
Adenosyl Homocysteine_X_RP,4.931062322641889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0338665242945195,6.029592026430132,5.970895685718899,5.959951265565075,0,0,0,0,0,0,6.5095033461904235,6.4098105623448856,6.622911637466707,6.917096396589413,4.9183988208978775,4.816510615992431,4.938327718030701,5.280192208451439,5.214356083740916,5.227246426220482,4.964511238800631,5.316754711893346,5.00536275880447,6.252372847707029,6.349312132270798,6.426162453051508,0,0,0,0,0,0,4.696635577385625,4.58458485578913,4.948721119707966,0,0,0,3.930413639305017,3.714349600612339,4.607222070140633,4.332897777750295,4.295636186993441,5.25989895945061,5.156947096310488,4.936183484162635
Adenosyl Methionine_X_HILICPos,7.270295289470345,7.282500707858473,7.106575909904854,7.751047381703275,7.615780329250571,7.608744971270915,7.215944421247038,7.274725170754121,7.2000144789662714,6.0224970267855245,6.1693100037844095,6.381064985652532,6.942021993491111,6.636239510813251,6.313391448150245,6.296998015339873,6.490066450095177,6.337369867134862,7.816945180821734,7.802495168217078,7.813532255144382,6.398504999683889,6.446561688865435,6.419791719584317,6.522851843629775,6.466796404217478,6.361131563297752,8.00732189813483,8.35597451132839,8.591426135794203,8.233152980032223,6.661135419908132,7.106682158640045,6.836440540975089,8.010469679457358,7.877600350157394,7.93506287826234,7.111951107468362,7.4078326304177455,7.261169551757249,7.472020608685764,8.070469001648107,8.31240215287511,8.186037704385715,8.19574236121585,8.278604353206664,10.060072254301,10.120809264086828,10.156534678843396,7.0194824874129464,7.132776002585444,7.0656500025501945,6.745999932116647,6.8076680177953515,6.7796694036587475,6.465976741793234,6.425616357713758,7.057720636549211,6.390955157474695,6.435444880159827,6.527996245590922,6.556686078068941,6.278522006330473
Agmatine_X_RP,0,0,0,6.642926146484353,6.337584978360166,6.6338591993562375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.131399034262602,7.1505567590236385,6.987156178630522,6.947018676787512,4.940590693415617,4.803716569684742,4.919861955406958,6.639906570382521,6.5747316912335725,6.49555601714564,0,0,0,6.743265880925275,7.144988616811951,7.179719811645776,7.135726101822208,6.9847214585663275,7.143318865913363,9.443548708202309,9.457433637887338,9.567649294641178,0,0,0,0,0,0,3.0040055475060976,2.955073476314585,0,0,0,0,0,0
Alanine_X_HILICPos,0,0,0,0,0,0,0,7.9566447796888315,0,6.727013828732853,6.7358946058440825,7.081003784300028,6.379766593710356,6.163351245640863,6.576516466129096,7.1259470824935205,7.11293801261993,7.13073650346154,8.87138375590746,8.86359264401141,8.8183239018144,6.8357674746224655,6.926658231796729,0,0,0,0,7.791838460486566,7.856952511690567,8.174396875875257,8.1347327005712,6.672996727617416,6.6395330476844,6.56741098455193,0,0,0,7.0633097212094205,7.5252123166953515,7.260626697357103,7.892442755137406,7.964480552488925,7.951155302129938,0,0,0,0,0,0,7.5893659495255354,7.498105031515855,7.4805391926718885,6.411695506730971,6.3912042011287555,0,6.892537782637273,6.947978957622674,7.36824264687723,7.128415906466871,7.174050310391545,7.290430936658153,7.107680813789036,6.83785131927768
Allopurinol_X_RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.274192867229689,4.26619346091366,0,0,0,5.862065486597227,5.714911854545927,5.73769756193428,4.481174696690728,4.765275795349743,4.476892798671788
Amino Propanesulfonic Acid_X_HILICNeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40353155485975,8.428832128122854,8.43850952185078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argininosuccinic Acid_X_HILICPos,0,0,0,5.66184387701082,5.547136323480249,5.569972775718706,0,4.93794902072761,4.938730845480985,0,0,0,0,0,0,6.095449525616892,6.4127652048813335,5.302758835172752,5.447172540427224,0,0,0,0,0,0,0,0,5.1272143311547405,5.172528449551156,5.887243690412478,5.634538618312141,4.707819845120706,4.735306187888065,4.583238302834155,6.2692782652273396,6.291266791866868,6.23248055332679,4.954927493644782,5.321751825421712,4.997603042519932,6.033166478957748,6.2235337017765335,6.281150125455538,6.693763066643863,6.845845482054672,6.832357353266514,0,7.614110482075245,0,6.5782705682634015,6.525839002253098,6.346568926848938,4.366957409908665,4.387893453765693,0,4.458268637798126,4.477575961608441,5.316443540986902,4.9107762701474735,4.912929249575087,4.562860008466632,4.458445269653813,4.024106638779176
