Quantified metabolites in all environmental samples, all values in nmol L-1
"","Identification","KM1513-125m_A","KM1513-125m_B","KM1513-125m_C","KM1513-15m_A","KM1513-15m_B","KM1513-15m_C","KM1513-45m_A","KM1513-45m_B","KM1513-45m_C","KM1513-75m_A","KM1513-75m_B","KM1513-75m_C","S11C1_A","S12C1_A","S12C1_B","S13C1_A","S13C1_B","S14C1_A","S14C1_B","S14C1_C","S2C3_A","S4C1_A","S4C1_B","S4C1_C","S4C2_A","S4C2_B","S6C1_A","S6C1_B","S6C1_C","S6C2_A","S6C2_B","S7E41D100_1","S7E41D120_1","S7E41D140_1","S7E41D160_1","S7E41D180_1","S7E41D250_1","S7E41D30_1","S7E41D40_1","S7E41D60_1","S7E41D80_1","S8C1_A","S9C1_A","S9C1_B","S9C2_A","S9C2_B","U3_A","U3_B","U4_A","U4_B","U6_A","U6_B","U7_A","U7_B","U8_A","U8_B","U9_A","U9_B"
"1","4-Hydroxyisoleucine",0.25375526442733,0.231717124572876,0.318729491322189,0.558407717991965,0.619541534792842,0.592267608260999,0.602180913565116,0.572217040084331,0.398375637600259,0.460005841129766,0.353039999156881,0.470349270899349,0.655264067772042,1.25287572641286,1.12872518850223,1.16846399035024,1.54317662533228,1.39222686531925,2.23392710301312,1.63032604471139,0.897085448615379,1.93876653538219,0.584156082980238,1.20158333015566,0.923806521510145,1.23372156978922,1.22700629624436,1.54550785361465,1.70681336059518,1.12166654125961,1.07487639121968,0.128639532780328,0.159219233672744,0.120066640787831,0.0979630648828514,0.1061436142893,0.0434612815549603,2.07384823905545,1.70836226376894,0.577253909238998,0.210364044783201,0.988003727275564,0.729933068288789,0.606820415742885,0.775026489608941,0.703476134973095,1.18081195855162,2.07065431045033,0.83574875918407,0.652666007736993,0.972808200274609,1.13364161307721,1.15641073369013,1.19641961704376,0.914531871307463,1.50407972534048,1.36108241896658,0.581958197548197
"2","Acetyl-L-carnitine",0.00286170386386802,0.00266415579018914,0.00311160224539758,0.00413804684869453,0.00437484889024851,0.00382570366792798,0.00221668795626336,0.00245834837478591,0.00221227040354997,0.00249836767449961,0.00226198691411695,0.00303284972680564,0.00472098802006593,0.00459491622170118,0.00451539386652573,0.00330203439940476,0.00404522003772563,0.00259421481980344,0.00329967900051903,0.00420951069675067,0.00325339855689642,0.00311561265221147,0.00186733025327865,0.00325732408538431,0.0022471519216864,0.00252743019188817,0.00246879761102599,0.00365292815743254,0.00349340872917727,0.00275255491957128,0.00320824381911073,0.00171356853221821,0.0026284526622909,0.0020769173773275,0.00199163338565794,0.00406539756979157,0.00140558612376008,0.0615378265544957,0.0320837622169707,0.00528453598504046,0.0017544142200548,0.0100016690885774,0.00375740565446107,0.00355548009948548,0.00795068818984098,0.00604749649362226,0.0129532423627496,0.0212027099430906,0.00311303691419038,0.00322583056998413,0.00590601956477757,0.0123079159180242,0.0112031549884997,0.00619462490996499,0.00479199773450887,0.00816353527496633,0.00727167055208154,0.00278178070150076
"3","Adenosyl Homocysteine",0.000233139454365397,NA,NA,0.00174670675589701,0.00208850457940615,0.000428202051379374,0.000905746967194867,0.000810794854817589,0.000527923853972628,0.000656356273640972,6.64203597632268e-05,0.000235833672428406,0.00164053402286262,0.00207852088105986,0.000105559281223492,0.000808313675967725,0.00161356618826934,NA,NA,0.000138482975034218,0.000438502325254393,0.000177477527774528,NA,0.000474265246407859,0.000767122065789923,0.00152949979030881,0.00119915054252556,0.00247981160892624,0.00153565995130347,0.00189457449501901,NA,0.000143471733471247,NA,NA,NA,NA,NA,0.0166350280441733,0.0152319242895112,NA,NA,0.0025945244745387,0.0023640080685396,0.000969281616969105,0.00651664405497437,0.00529054165206857,0.00285775036973502,0.00530661507337279,0.00240432706888406,0.00150790825927413,0.0022699592130492,0.0012406895017567,0.000623164139425382,0.00153187658505863,0.00104898032878698,0.000996542872633374,0.000281044418880383,NA
"4","Adenosyl Methionine",0.000931505996040044,0.000249225636589696,0.000517053981025243,0.00440757452959007,0.00510383519270343,0.00279445542811596,0.00201553776141437,0.00260619785049938,0.00210372924451509,0.000933005907010871,0.00105663736142357,0.00166595554533358,0.00926886600636167,0.0256572284133617,0.00834058778070777,0.00836472675575847,0.00619445894557366,0.00759287528402391,0.00398860223189604,0.002889325699269,0.00406025662279184,0.00211111131430753,0.00181395088578954,0.0029293126434112,0.00453455293020453,0.0141301291215934,0.00929018013859929,0.0165540229741791,0.0128836661471783,0.0572322468978388,0.00359475896213997,0.00206850500741381,NA,NA,NA,0.00273777215382541,4.86550133762483e-05,0.113221520901587,0.0460480970643992,0.0003287645106811,5.3340562466215e-05,0.0112011629882333,0.0494087697545357,0.00484449710990061,0.0172810636437588,0.0107963650968846,0.0255535145303014,0.0635510585001766,0.0527128281544709,0.0151251846961289,0.129673918669464,0.0246339755248355,0.0102872543348331,0.0205850769178746,0.0346123234878575,0.020546128097815,0.0283244302666928,0.00748608474434998
"5","Agmatine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Alanine",0.140922002836461,0.159610402503851,0.266219266442599,0.325035296142552,0.416616680484092,0.42857330129048,0.226579565988561,0.311587014084175,0.274373526327337,0.133941445632645,0.194049743039334,0.397916462470043,0.477569743022385,0.440114678287335,0.351732681368749,0.198154504427128,0.337297762182755,0.402867088488148,1.11538165920557,0.386925394474799,0.260557962079901,0.272959779750766,0,0,0,0.221243650848379,0.288518977952976,0.423004804241126,0.258071255685445,0.364959476629351,0.280870535291374,0.146327007360282,0.197166588830431,0.118400241106973,0.191739872303284,0.188925129140857,0.0692890751033391,3.99162557767684,2.45961790149842,0.827667089431751,0.318938443574362,0.946681426790049,0.387779438170039,0.592080140323884,0.989196379353045,0.593151753647346,0.534082305531811,0.648904270547416,0.284304451331646,0.272815086261702,0.376954782228872,0.79224765986345,0.854133931067558,0.576802739287887,0.458260830918109,0.575295894715496,0.519002397383496,0.241088921770238
"7","Allopurinol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Amino Propanesulfonic Acid",0.0350045442541528,0.0234459149016247,0.0529925714208909,0.0183177414050784,0.020930858924049,0.0140659781155189,0.0215385573632274,0.018887862337652,0.0206322023903638,0.0137248498941467,0.0121658258662478,0.0219953426359159,0.0285746414943077,0.00776837281313995,0.0233236306376694,0.0168978275287031,0.00329502001050722,0.0017279299456267,0.0188068394544221,0.0312502706646952,0.0207113382749815,0.0182611201000742,0.0142152440376543,0.0350647970067996,0.0231233883549869,0.00997634122249745,0.00882753798503862,0.019515909378856,0.0246130578171729,0.00776561996888826,0.0265604529969943,NA,0.00566592628701756,NA,0.0149780858962628,0.0205935989286066,0.00102016666373067,0.590431889255312,0.297369028113663,0.0301055103198656,NA,0.080495072886552,0.0256348643465472,0.0277278602889355,0.0567758538667431,0.0378334307595749,0.0242235032339816,0.0642176764254839,0.00209204485066683,0.0124889891387111,0.0291901961300805,0.0698141224381898,0.0750970876218617,0.0441537307675658,0.00945202520349415,0.0204275124513985,0.026360839077351,0.00704882864080937
"9","AMP",0.0496212500337009,0.0514858597689417,0.21521239777618,0.191549001329491,0.203888114029789,0.18370427980908,0.0836507041915512,0.100992454039355,0.0971193998973368,0.0764433562738385,0.0881617088473772,0.120370057056664,0.0450055911941976,0.0245635499226823,0.0448832233224497,0.0310631749736483,0.0458482426828267,0,0.00628300948528773,0.017582664796759,0.0628197564866519,0.0634078847410229,0.0371919068096243,0.0733346960697592,0.0540706028428304,0.0821559581111863,0.136049224119493,0.0852859805835558,0.143004228314041,0.0423619543249339,0.0906232190499009,0,0,0,0,0.0467816358317876,0,1.39358850255469,0.763398200636388,0.278352740016252,0.0205677487033044,0.211610777970595,0.0608508276562648,0.0746289478208721,0.213338668947025,0.115677140325549,0.187056133554252,0.268536252755404,0.0807615594033965,0.107386481991151,0.0938655201364158,0.112504302221346,0.172950338318095,0.115551391630951,0.0704308643182142,0.101678011757622,0.14774622084357,0.0526093218735348
"10","Arginine",0.100465265894527,0.107040660239263,0.396813760163906,0.144923772190173,0.138117463715012,0.109150727129761,0.0856096851063973,0.098066064733062,0.0892320041531768,0.103264970150388,0.0867399858791394,0.133238068568411,0.188353600311443,0.18155436734304,0.183472838329503,0.0719096635203749,0.0902994451397437,0.125032063408087,0.200317791267118,0.130491126688823,0.0674746189122189,0.0533843401393878,0.0602308564233983,0.0762102065012324,0.0542207594308073,0.0813468796609396,0.107546141495249,0.142438910462908,0.121446681815308,0.102096120975164,0.162731811329816,0.0425545781176364,0.0399874038244331,0.0269538983576719,0.0594756286311587,0.117523297132567,0.016225132693764,2.84439739618337,1.71249712006788,0.159257853234345,0.0239359077737798,0.45732016950042,0.261429205680528,0.334141147163394,0.305585927976678,0.167789276575631,0.149399573981405,0.16927476060556,0.122004275103228,0.0894506122243347,0.324203814591503,0.335559971910235,0.741578525575499,0.204905220673018,0.275106710516095,0.259288132909455,0.2373246147559,0.107924036250708
