"","Identification","MassFeature_Column","Rank","RankPercent","SampID","nmolinEnviroave","nmolCave","nmolNave","percentCave","percentNave","totalCmeasured_nM","totalNmeasured_nM","molFractionC","molFractionN"
"1","Agmatine","Agmatine_X_RP",31,0.602564102564103,"KM1513-15m_A",NA,NA,NA,NA,NA,116.646181235958,23.9160329799436,NA,NA
"2","Allopurinol","Allopurinol_X_RP",29,0.628205128205128,"KM1513-15m_A",NA,NA,NA,NA,NA,116.646181235958,23.9160329799436,NA,NA
"3","Glutathione Disulfide","Glutathione Disulfide_X_RP",62,0.205128205128205,"KM1513-15m_A",NA,NA,NA,NA,NA,116.646181235958,23.9160329799436,NA,NA
"4","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",24,0.692307692307692,"KM1513-15m_A",0.00134888142711636,0.01483769569828,0.0067444071355818,0.000427599299662246,NA,116.646181235958,23.9160329799436,0.000127202584268623,0.000282003589024892
"5","Kynurenine","Kynurenine_X_RP",66,0.153846153846154,"KM1513-15m_A",0.000102742252633112,0.00102742252633113,0.000205484505266225,2.96087183380728e-05,NA,116.646181235958,23.9160329799436,8.8080253930714e-06,8.59191427936847e-06
"6","Sulfurol","Sulfurol_X_RP",65,0.166666666666667,"KM1513-15m_A",1.28779671643912e-05,7.72678029863471e-05,1.28779671643912e-05,2.22673783822326e-06,NA,116.646181235958,23.9160329799436,6.62411766657374e-07,5.38465855737481e-07
"7","Vitamin B5","Vitamin B5_X_RP",78,0,"KM1513-15m_A",NA,NA,NA,NA,NA,116.646181235958,23.9160329799436,NA,NA
"8","Agmatine","Agmatine_X_RP",30,0.620253164556962,"KM1513-15m_B",NA,NA,NA,NA,NA,131.905942835892,26.7615565773666,NA,NA
"9","Allopurinol","Allopurinol_X_RP",32,0.59493670886076,"KM1513-15m_B",NA,NA,NA,NA,NA,131.905942835892,26.7615565773666,NA,NA
"10","Glutathione Disulfide","Glutathione Disulfide_X_RP",64,0.189873417721519,"KM1513-15m_B",NA,NA,NA,NA,NA,131.905942835892,26.7615565773666,NA,NA
"11","Methylthioadenosine","I298.0971R2.1_CyanoAq_X_RP",25,0.683544303797468,"KM1513-15m_B",0.001368131341544,0.015049444756984,0.00684065670771999,0.000433701578011066,NA,131.905942835892,26.7615565773666,0.000114092242043313,0.000255615053180629
