Org_Type,ID_rep,Org_Name,4-Hydroxyisoleucine_HILIC,Acetyl-L-carnitine_HILIC,Adenine_HILIC,Adenosine_HILIC,Adenosyl Homocysteine_HILIC,Adenosyl Methionine_HILIC,Agmatine_RP,Alanine_HILIC,Allopurinol_RP,Amino Propanesulfonic Acid_HILIC,AMP_HILIC,Arginine_HILIC,Argininosuccinic Acid_HILIC,Arsenobetaine_HILIC,Asparagine_HILIC,Aspartic acid_HILIC,beta-Alanine_HILIC,beta-Glutamic acid_HILIC,Betaine_HILIC,Betonicine_HILIC,Butyryl-L-carnitine_HILIC,Carnitine_HILIC,Choline_HILIC,Citrulline_HILIC,Creatine_HILIC,Cystathionine_HILIC,Cysteic Acid_HILIC,Cytidine_HILIC,Cytosine_HILIC,Deoxyadenosine_HILIC,Dexpanthenol_HILIC,DHPS_HILIC,Dimethylsulfonioacetate (DMS-Ac)_HILIC,DMSP_HILIC,Ectoine_HILIC,Gluconic Acid_HILIC,Glucosylglycerol_HILIC,Glutamic acid_HILIC,Glutamine_HILIC,Glutathione Disulfide_RP,Glycerophosphocholine_HILIC,Gonyol_HILIC,Guanine_HILIC,Guanosine_HILIC,Histidine_HILIC,Homarine_HILIC,Homoserine_HILIC,Inosine_HILIC,Isethionic Acid_HILIC,Kynurenine_RP,L-Pyroglutamic acid_HILIC,Leucine_HILIC,Lysine_HILIC,Malic Acid_HILIC,Methionine Sulfoxide_HILIC,Methionine_HILIC,Methylthioadenosine_RP,N-acetyltaurine_HILIC,N(e)-Acetyl-Lysine_HILIC,NAD_HILIC,Ornithine_HILIC,Phenylalanine_RP,Proline_HILIC,Propionyl-L-carnitine_HILIC,Sarcosine_HILIC,Serine_HILIC,Stachydrine hydrochloride_HILIC,Sucrose_HILIC,Sulfolactic Acid_HILIC,Sulfurol_RP,Taurine_HILIC,Threonine_HILIC,Thymidine_HILIC,Trehalose_HILIC,Trigonelline_HILIC,Trimethylammonium Propionate (TMAP)_HILIC,Tryptophan_RP,Tyrosine_HILIC,UDP-glucosamine_HILIC,Uracil_HILIC,Uridine_HILIC,Vitamin B2_RP,Vitamin B3_HILIC,Vitamin B5_RP
Dinoflagellate,1314_A,Amphidinium carterae CCMP1314,NA,NA,602352628.5167996,545424603.3184131,124127.60391426773,18633536.5447679,NA,NA,NA,NA,NA,474720677.335864,NA,NA,18327871.33248099,18174860.510738168,NA,NA,NA,NA,NA,2857463.2689748523,122699463.11277723,NA,NA,1740551.8692726952,NA,1176084.246148366,47737982.26370262,5543555.119925228,NA,NA,151772.9695501705,28813201509.273674,NA,NA,NA,137782676.27787784,315896115.08956224,1293223.691584965,49089751.97445326,14086081414.363947,2687059110.409533,17021677.408063225,NA,NA,7214894.371350883,29024118.768634506,NA,NA,NA,NA,8412645.420417447,NA,NA,3146664.1691901297,220341.20192954646,NA,NA,NA,13002697.920801621,5370726.3723689765,87783764.8854799,NA,NA,NA,23275057.359085716,NA,NA,NA,108665232.23301092,77050719.0007397,NA,NA,156871431.64962962,NA,799041.4915413082,NA,NA,NA,18615902.85743342,90308.77968352,NA,237623.725521429
Dinoflagellate,1314_B,Amphidinium carterae CCMP1314,NA,NA,791408301.8287745,680920070.3945003,149672.393769922,19164641.86386187,NA,NA,NA,NA,320045.82231703337,393946182.80056995,NA,NA,16079279.952667661,17871323.095381252,NA,NA,NA,NA,NA,2973318.246836503,125233476.92273901,NA,NA,1552194.9548777842,NA,1275878.009406067,45168281.70429368,4742393.605192281,NA,192231.003231448,134325.0748833851,43240737879.3245,NA,NA,NA,138790966.22217098,269087314.9879336,1005970.0795919097,45138901.472409144,14696645279.258059,3376626280.430384,16557126.550861673,NA,NA,6709570.178978841,23656291.0966332,NA,NA,NA,NA,7400825.844994825,NA,NA,2557221.270450508,379629.93468466616,NA,NA,NA,12840101.665692016,4512679.726987945,95558028.78926402,NA,NA,NA,23477811.593128577,NA,NA,NA,111537292.06304756,77260167.25557542,NA,NA,165718180.39551607,NA,NA,NA,NA,NA,26781421.507661305,NA,NA,219663.64936730062
Dinoflagellate,1314_C,Amphidinium carterae CCMP1314,NA,NA,515768323.78728855,457690895.76791215,67082.86129589772,12781325.935806736,NA,NA,NA,NA,296300.7102219018,399916409.28960097,NA,NA,13387401.96099547,16612379.37020514,NA,NA,NA,NA,NA,2370811.011765877,117639949.22815597,NA,NA,802308.0895609967,NA,1156218.0073487074,36511620.01812049,4282659.845396671,NA,109240.1716900065,128876.98883909661,24355324031.862587,NA,NA,NA,110857315.70677345,212662090.11715144,797067.2176522138,35611978.88622618,12381927176.290009,2295903169.746337,14542893.066589704,NA,NA,NA,24630346.526929226,NA,NA,NA,NA,6371079.995328683,NA,NA,2389219.8734820015,369761.1622195834,83134.52719916796,NA,NA,9342916.11206755,4534306.95092773,99883354.70364664,NA,NA,NA,19631528.415337425,NA,NA,NA,141554693.88282558,70382672.1937524,NA,NA,109595282.64093997,NA,NA,NA,NA,NA,23159477.279264763,NA,NA,142439.8388587439
Cyanobacteria,1314P_A,Prochlorococcus marinus MIT1314,22806458.398744114,NA,285870191.52276295,11043720.565149136,1348200.9419152276,56369915.22762951,4394668.7598116165,NA,NA,NA,12639397.174254317,93433193.09262167,459032.967032967,NA,31009893.249607533,249319886.97017267,NA,NA,NA,NA,NA,NA,NA,143031886.97017267,NA,NA,777246.4678178964,NA,116428923.07692307,7749952.904238618,NA,NA,NA,NA,NA,NA,196565.1491365777,3537171692.307692,729935522.7629514,2089698.5871271584,NA,NA,80574455.25902669,793397.1742543171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1187930.9262166405,578295.1334379906,NA,2075105.1805337518,637667.1899529042,NA,5512072.213500785,83430668.75981161,NA,NA,NA,NA,183076533.75196233,NA,NA,NA,6796339.089481946,NA,NA,NA,NA,1848687.5981161695,12623795.918367347,712857.1428571428,NA,NA,NA,NA,NA
Cyanobacteria,1314P_B,Prochlorococcus marinus MIT1314,18316871.306443285,NA,143027678.00791785,6951399.965574617,636760.5714613575,41283863.10172701,2175629.6976303863,NA,NA,NA,9820282.288140455,63651988.06586723,352481.49635664694,NA,27223756.38303976,211138355.6142062,NA,NA,NA,NA,NA,NA,NA,126226633.7713007,NA,NA,677161.6271731023,NA,76798439.38263813,3210585.8052670835,NA,NA,NA,NA,NA,NA,182070.11303000746,3096698513.970968,528613230.8221929,2442698.9500258192,NA,NA,45928423.89121579,295536.17533995066,NA,NA,NA,NA,NA,NA,NA,NA,6616323.3690974815,NA,NA,1122488.3814332434,392555.51093005907,NA,NA,582425.8419874922,NA,4378673.475242412,64072649.03322049,NA,NA,NA,NA,150173435.07946527,NA,NA,NA,6337371.622009295,NA,NA,NA,NA,1315984.8528314878,9265290.60760801,998797.9803775317,NA,NA,NA,NA,NA
Cyanobacteria,1314P_C,Prochlorococcus marinus MIT1314,18895498.564714044,NA,334124172.7390303,12192798.334437398,NA,40620472.54029841,4303870.540361502,NA,NA,NA,10071291.126462888,71498293.42922936,371511.9396864452,NA,26342228.95176808,250661039.08394057,NA,NA,NA,NA,NA,NA,NA,118737654.96356581,NA,NA,665922.2106558152,NA,115190523.95823476,6896908.614870193,NA,NA,NA,NA,NA,NA,204930.44383457935,3508326122.2043467,473291870.91889846,1601198.7003564555,NA,NA,61828055.897290304,801769.6602630832,NA,NA,NA,NA,NA,NA,NA,NA,10350695.561654206,NA,NA,1101618.245481215,465026.3398630958,NA,2139632.8191539696,530948.5505189111,NA,4762537.459386139,77808649.56941421,NA,NA,NA,NA,230526456.57865682,NA,NA,NA,NA,NA,NA,NA,NA,1494836.125043374,11544367.68556197,932450.0804391028,NA,NA,NA,NA,NA
Prasinophyte,1545_A,Micromonas pusilla CCMP1545,13941325.406894615,NA,83486221.37979782,5604183.639901019,NA,16441612.985240929,NA,NA,NA,NA,2408282.581864888,45573670.931662485,NA,NA,23640319.281570386,11480478.527285421,NA,NA,NA,NA,NA,NA,NA,NA,NA,193900.18953778478,332278.70105785906,NA,28034914.673780855,1089540.1168105344,NA,NA,NA,10184773387.806055,NA,NA,NA,305045351.1486781,522050100.95770353,1276984.255593895,NA,NA,17057724.913774934,6091298.225612522,NA,NA,NA,NA,99631366.85056429,NA,NA,NA,7745033.012169543,NA,NA,12378647.46277985,455506.4638197028,NA,NA,899778.4673038337,NA,17243428.67907619,599924082.0767949,NA,NA,17365052.28708367,NA,NA,NA,NA,211304856.3817186,22912785.810796298,NA,NA,1493360578.2259874,NA,1132339.6825975669,NA,566323.9835433366,NA,349130.39156121685,NA,NA,577275.2523133341
Prasinophyte,1545_B,Micromonas pusilla CCMP1545,14124181.006233836,NA,64612850.476810016,2448359.279199117,NA,18824574.6004078,NA,90499208.24523032,NA,NA,2703270.544952458,45546964.40791908,86686.01141804375,NA,22059832.57952584,12282889.988931803,NA,NA,NA,NA,NA,NA,NA,NA,NA,282457.5973346387,304267.0069667737,NA,17360612.287459914,NA,NA,NA,NA,9621914049.967722,NA,NA,NA,313247986.66086495,502047328.12106544,966224.7931540183,NA,NA,10348803.03326404,7060012.7076673815,NA,NA,NA,NA,137449925.3047859,NA,NA,NA,7617851.3145477185,NA,NA,15276792.719637305,579154.17890879,197718.91717650613,NA,1032414.7928220613,NA,9496962.93726369,661228797.8267447,NA,NA,16552222.895794922,NA,NA,NA,NA,251531315.10754094,23229271.546595216,NA,NA,1447379204.1874964,NA,1114980.2372845556,NA,550726.995147874,NA,547541.5674844041,NA,NA,603984.403669834
Prasinophyte,1545_C,Micromonas pusilla CCMP1545,13900550.468479726,NA,87209998.32088913,4805296.055835432,93944.68081218605,15849460.321783174,NA,NA,NA,NA,3053855.516824158,50305451.82280858,86842.20568778028,NA,23184070.804421656,12967991.75631185,NA,NA,NA,NA,NA,NA,NA,NA,NA,289974.85841248464,325494.69070131076,NA,24457932.34090107,NA,NA,NA,NA,10551705126.901909,NA,NA,NA,312951234.94826835,478038198.9865708,650502.8338940992,NA,NA,13820413.670409396,8116628.413002845,NA,NA,NA,115319.21618657885,149240413.6807369,NA,NA,NA,8900215.971728034,NA,NA,13077151.765723879,571521.8191773477,204379.78024654885,NA,1060433.0910743694,NA,8769563.984439556,587958296.2719129,NA,NA,14960845.611218346,NA,NA,NA,NA,257715408.94076684,20975542.183237437,NA,NA,1476698249.012267,NA,1140952.0433180593,NA,598552.2363174746,NA,681826.4269427581,NA,NA,651190.711406148
Dinoflagellate,1771_A,Alexandrium tamarense CCMP1771,19216818.27613971,NA,122247924.74873488,63610977.174900986,NA,1053166.4770437875,NA,5333518.781192726,NA,NA,9119735.300199904,46066571.8433831,NA,NA,1763557.1771608302,5958492.57628205,NA,NA,NA,NA,NA,172567526.9457546,90977933.51094636,1774323.3980893688,NA,525746.0138333503,NA,2334322.339233317,37005031.43167998,NA,NA,NA,NA,34096827198.245567,NA,NA,NA,101217417.96885826,51153247.0282743,189599.19100555082,494853.08905263647,6513031249.045075,2938782059.7095323,734232.7273218262,14197682.917382933,NA,1627662.507754877,NA,NA,NA,NA,NA,NA,NA,NA,5148334.4514095215,484724.22484985914,NA,NA,120493.73249600797,1757054.8061049802,24575991.22073311,10430760.319049673,NA,NA,1245050.8250904824,NA,NA,NA,NA,17240290.680858653,8603747.284460612,NA,NA,3567236861.834919,3969031089.8613467,12315364.196736876,2758466.5845638686,NA,NA,40436886.494184464,NA,15403039.965064855,NA
