Org_Type,ID,Org_Name,4-Hydroxyisoleucine_HILIC,Acetyl-L-carnitine_HILIC,Adenine_HILIC,Adenosine_HILIC,Adenosyl Homocysteine_HILIC,Adenosyl Methionine_HILIC,Agmatine_RP,Alanine_HILIC,Allopurinol_RP,Amino Propanesulfonic Acid_HILIC,AMP_HILIC,Arginine_HILIC,Argininosuccinic Acid_HILIC,Arsenobetaine_HILIC,Asparagine_HILIC,Aspartic acid_HILIC,beta-Alanine_HILIC,beta-Glutamic acid_HILIC,Betaine_HILIC,Betonicine_HILIC,Butyryl-L-carnitine_HILIC,Carnitine_HILIC,Choline_HILIC,Citrulline_HILIC,Creatine_HILIC,Cystathionine_HILIC,Cysteic Acid_HILIC,Cytidine_HILIC,Cytosine_HILIC,Deoxyadenosine_HILIC,Dexpanthenol_HILIC,DHPS_HILIC,Dimethylsulfonioacetate (DMS-Ac)_HILIC,DMSP_HILIC,Ectoine_HILIC,Gluconic Acid_HILIC,Glucosylglycerol_HILIC,Glutamic acid_HILIC,Glutamine_HILIC,Glutathione Disulfide_RP,Glycerophosphocholine_HILIC,Gonyol_HILIC,Guanine_HILIC,Guanosine_HILIC,Histidine_HILIC,Homarine_HILIC,Homoserine_HILIC,Inosine_HILIC,Isethionic Acid_HILIC,Kynurenine_RP,L-Pyroglutamic acid_HILIC,Leucine_HILIC,Lysine_HILIC,Malic Acid_HILIC,Methionine Sulfoxide_HILIC,Methionine_HILIC,Methylthioadenosine_RP,N-acetyltaurine_HILIC,N(e)-Acetyl-Lysine_HILIC,NAD_HILIC,Ornithine_HILIC,Phenylalanine_RP,Proline_HILIC,Propionyl-L-carnitine_HILIC,Sarcosine_HILIC,Serine_HILIC,Stachydrine hydrochloride_HILIC,Sucrose_HILIC,Sulfolactic Acid_HILIC,Sulfurol_RP,Taurine_HILIC,Threonine_HILIC,Thymidine_HILIC,Trehalose_HILIC,Trigonelline_HILIC,Trimethylammonium Propionate (TMAP)_HILIC,Tryptophan_RP,Tyrosine_HILIC,UDP-glucosamine_HILIC,Uracil_HILIC,Uridine_HILIC,Vitamin B2_RP,Vitamin B3_HILIC,Vitamin B5_RP
Dinoflagellate,1314,Amphidinium carterae CCMP1314,NA,NA,636509751.3776208,561345189.8269418,113627.61966002914,16859834.781478837,NA,NA,NA,NA,308173.2662694676,422861089.8086783,NA,NA,15931517.748714706,17552854.32544152,NA,NA,NA,NA,NA,2733864.1758590774,121857629.7545574,NA,NA,1365018.3045704921,NA,1202726.7543010467,43139294.66203893,4856202.856838061,NA,150735.58746072726,138325.01109088407,32136421140.153587,NA,NA,NA,129143652.73560742,265881840.06488243,1032086.9962763628,43280210.77769619,13721551289.97067,2786529520.195418,16040565.675171534,NA,NA,6962232.275164861,25770252.13073231,NA,NA,NA,NA,7394850.420246985,NA,NA,2697701.7710408797,323244.09961126535,83134.52719916796,NA,NA,11728571.899520395,4805904.350094884,94408382.79279685,NA,NA,NA,22128132.45585057,NA,NA,NA,120585739.39296135,74897852.81668916,NA,NA,144061631.56202856,NA,799041.4915413082,NA,NA,NA,22852267.214786496,90308.77968352,NA,199909.07124915783
Cyanobacteria,1314P,Prochlorococcus marinus MIT1314,20006276.089967147,NA,254340680.75657037,10062639.621720383,992480.7566882926,46091416.95655164,3624722.999267835,NA,NA,NA,10843656.862952553,76194491.52923942,394342.1343586864,NA,28191959.52813846,237039760.55610648,NA,NA,NA,NA,NA,NA,NA,129332058.5683464,NA,NA,706776.768548938,NA,102805962.13926531,5952482.441458631,NA,NA,NA,NA,NA,NA,194521.90200038816,3380732109.4943357,577280208.1680143,2044532.079169811,NA,NA,62776978.34917759,630234.336619117,NA,NA,NA,NA,NA,NA,NA,NA,8483509.465375844,NA,NA,1137345.8510436995,478625.6614103818,NA,2107368.999843861,583680.5274864358,NA,4884427.716043112,75103989.12081544,NA,NA,NA,NA,187925475.13669482,NA,NA,NA,6566855.355745621,NA,NA,NA,NA,1553169.5253303437,11144484.737179108,881368.4012245925,NA,NA,NA,NA,NA
Prasinophyte,1545,Micromonas pusilla CCMP1545,13988685.627202725,NA,78436356.72583231,4285946.324978523,93944.68081218605,17038549.3024773,NA,90499208.24523032,NA,NA,2721802.8812138345,47142029.05413005,86764.10855291202,NA,22961407.555172626,12243786.757509692,NA,NA,NA,NA,NA,NA,NA,NA,NA,255444.21509496938,320680.1329086478,NA,23284486.434047278,1089540.1168105344,NA,NA,NA,10119464188.22523,NA,NA,NA,310414857.58593714,500711876.0217799,964570.6275473376,NA,NA,13742313.87248279,7089313.1154275825,NA,NA,NA,115319.21618657885,128773901.94536236,NA,NA,NA,8087700.099481765,NA,NA,13577530.649380345,535394.1539686135,201049.34871152748,NA,997542.1170667548,NA,11836651.866926478,616370392.0584842,NA,NA,16292706.931365646,NA,NA,NA,NA,240183860.14334214,22372533.18020965,NA,NA,1472479343.8085837,NA,1129423.987733394,NA,571867.7383362284,NA,526166.128662793,NA,NA,610816.7891297721
Dinoflagellate,1771,Alexandrium tamarense CCMP1771,25863590.667123627,NA,148854889.10181442,87235611.84176257,NA,1644883.1214406749,NA,7609229.494448716,NA,NA,11735116.504942536,67393482.98831625,NA,NA,2755012.46211293,8661636.169201978,NA,NA,NA,NA,NA,232133462.39097914,107140460.68074578,2426227.8281287123,NA,726726.6740826353,NA,4833715.930022963,52724922.09283111,NA,NA,6704917.936710187,NA,40829905965.45347,NA,141328376.23350048,NA,136317577.89798507,71056497.5139941,218097.9302426716,494853.08905263647,8176052530.495071,4904202128.201776,1170762.3399862025,33935784.57933555,NA,2884593.727338075,NA,NA,NA,NA,NA,NA,NA,NA,4213785.574877046,482615.91453069315,NA,NA,122027.8270637369,2820107.728133988,36166088.43090779,12722791.018890487,NA,NA,3266495.02685762,NA,NA,118866.1965712962,NA,21358860.73056674,12930932.612048607,NA,NA,4749966945.575464,5139903351.739817,17931701.315278493,8848435.972038213,NA,NA,55642712.05211119,NA,20595483.829872705,NA
Dinoflagellate,2021,Lingulodinium polyedra CCMP2021,10162588.138792526,1969513609.2230701,104475634.7119071,72163828.87580349,NA,5045183.207071091,NA,2541900.392612867,NA,NA,19866842.663708143,531840826.28933203,NA,NA,2320069.1699562483,12003250.403267913,846862.8241499077,NA,NA,NA,NA,343898927.5071613,56833228.94108913,442209.12512330734,NA,710770.2455112004,NA,940073.718691521,16610674.8343277,951914.0971270478,NA,261515.01742281165,NA,749548589.3262908,NA,131165681.17574139,402525.6281713472,117162966.42430876,55194285.09110332,732467.8023656203,1597044.1384685594,12344488448.972612,322942196.3051924,8636249.81744246,4081760.7793089896,1416879.0075839271,846677.1998792735,4503886.455988287,NA,NA,17758564.076108165,199893330.2711204,4258267.165031656,NA,360663.91724217945,17282239.66540462,893879.8149951929,NA,NA,NA,647826.1131824397,17296003.028482538,37412019.54583354,NA,NA,1894272.240581924,168151908.48478317,NA,94706.62017866786,NA,31524833.368701037,6860817.619888204,NA,NA,13615100.036174107,5408348.543348255,3604111.4762271517,29635908.44977941,254722.3744897464,NA,9952432.256450754,86878.70335490433,133739718.89625907,NA
Haptophyte,2090,Emiliania huxleyi CCMP2090,NA,213903772.5390191,NA,606368668.2728372,892089.7722373732,2415612.8750827266,NA,13282264.268864917,NA,NA,14285781.345696904,NA,1344471.733121046,NA,34101892.62737701,4699292.982976491,NA,NA,27098782784.1593,NA,NA,1018624617.8929206,287975286.9294181,9343620.508194257,NA,NA,1984079.7377693858,NA,92141785.14858755,4001805.636607051,NA,1040720505.0396684,5311420.259593579,99834077701.16515,29125088.929772496,NA,3400928.6411021827,374635596.88821757,450592499.3064591,858332.6399976048,11703677.882766308,5969386023.873775,NA,11370409.916409139,NA,NA,22608833.253475104,16596596.338768665,NA,NA,NA,NA,44673781.14086791,61597861.556052074,4737509.304505935,6856208.019411473,659433.4791560216,NA,NA,2330695.9334934973,NA,10773035.268519312,49775174.79260491,15559861.290311301,7385599.350524397,3683134.8469723403,67908175.12787797,NA,NA,NA,2247347.850071229,10637694.13925262,NA,NA,83054546.78960674,NA,2658121.7729761982,4182094.698284942,NA,NA,38778287.932519555,638537.6018874906,NA,712124.130915224
Prasinophyte,3430,Ostreococcus lucimarinus CCMP3430,NA,NA,279847900.63510144,28894273.621951487,1301974.233046912,64719408.110164694,NA,710759369.5841278,NA,265383160.13126555,41078765.30883727,92836444.82991925,280009.35450905556,NA,81082131.82903175,117303382.35890016,117068914.16592076,NA,37187324449.46739,NA,NA,NA,NA,45524636.068795905,NA,NA,921109.4390848639,NA,128728168.29813245,2758900.4916882366,NA,NA,2561677.134176218,35393034983.36249,NA,24827140.907148615,NA,2505236331.909632,295522949.35777825,5360522.253155256,NA,NA,23588353.529578004,9863601.50316874,203672322.46273556,NA,19382388.546678055,NA,NA,NA,NA,NA,23355809.479895085,1157126126.1322448,7970044.193533078,26461722.398715917,4380474.533813228,327035166.62874454,NA,3854047.8014605283,NA,86848282.3855237,25836024793.13003,NA,NA,88676809.25118212,NA,116404186.60676646,NA,NA,3590499008.467052,189433695.53550044,NA,NA,NA,NA,9737654.532366665,11732107.405145638,NA,NA,3112167.6139981993,NA,NA,10931264.254377896
Haptophyte,371,Emiliania huxleyi CCMP371,NA,82105879.63841447,NA,824402500.501058,298957.0730022594,2642806.401376024,NA,7648676.110644728,NA,NA,622042.9407619872,NA,NA,NA,9760036.80297575,2976977.821951891,NA,2088835.1917694286,8446940589.365445,NA,NA,774002376.0703577,108940878.69430785,1982570.5433610794,NA,NA,1595551.7528894714,NA,NA,8672268.069106117,NA,1695000688.4610589,2001170.248518923,88523641877.74042,NA,NA,216204.3356316242,351699869.44776297,117060592.2099998,1202361.5413862602,43538197.36098331,3190172193.079543,31584460.845613983,11719395.694959639,NA,946598016.9787854,5003749.276864244,NA,NA,NA,NA,NA,14778607.12437819,NA,1875739.028508821,4842184.4156630775,981676.831689051,NA,466827.95478465303,364499.23996309395,NA,5353000.382362831,53997405.05667261,NA,NA,1434428.5311714492,68270721.63010384,NA,144410.55531556552,NA,3507970.982379348,NA,NA,NA,NA,NA,1680474.156540985,2606859.062208126,125372.48250659824,NA,32602934.786658812,781941.6096648204,NA,1843283.38548511
Dinoflagellate,449,Heterocapsa triquetra CCMP449,NA,306045020.3279324,585406800.3037667,1841171139.00693,321650.3200066495,2853163.591738352,NA,NA,NA,NA,761777.7078141181,22403540.788798638,NA,NA,1679385.001375374,6403136.040512362,NA,NA,NA,NA,NA,265167778.4767292,NA,776877.2675189588,NA,592526.8664913699,NA,3344810.667507164,90683376.50848375,21105956.840940833,NA,183541.5948783982,137889.38375857795,43977814393.7327,NA,NA,NA,219329987.51022193,73173633.85753483,876570.2367531746,30467715.53771852,12242913485.62114,392639937.2258341,14918724.889836712,NA,2548756.3558779857,5156165.032837964,10205989.401823072,NA,NA,NA,NA,3307054.385467275,NA,NA,5738848.210016128,759743.6523736877,NA,NA,NA,1963488.5225064585,6447011.767740859,26877291.676131025,23888815.04600954,NA,1550891.6927264007,41948300.52148725,NA,NA,NA,22076996.43062445,12116803.996209249,NA,NA,267798382.33080122,66764041.45309693,1379394.2858981718,3990999.0561665967,NA,NA,89592078.8838798,NA,121353514.2082564,NA
Cyanobacteria,7803,Synechococcus sp. 7803,NA,NA,54923410.3562208,1757949832.949736,21361209.146988668,164336692.56158632,13838324.95095326,66929051.25460077,NA,NA,199841628.46310052,70914556.23672046,141404.1415727432,NA,6479801.064665241,25563532.283664517,NA,264352.38941906457,43983198330.186584,NA,NA,NA,NA,61807942.50527017,NA,NA,1639761.205190471,3609685.913328026,95471207.92080195,127111340.42881568,NA,NA,NA,NA,1675817.6423575443,12645223.766398072,120513524.21290784,3508014100.1598086,201687970.76469296,42494984.755050264,NA,NA,5672400.596791737,22136609.70390164,29104463.867064,1158305880.253769,43667741.06718936,NA,NA,NA,21489744.264712892,NA,23035563.992599882,NA,522310.0253110932,12307993.69188448,6841067.282518188,NA,NA,492344.817539574,1412339.2226702834,53827043.1216414,451591084.35384154,NA,5513809.106190163,25904630.77777201,NA,2796087703.025282,89583.25773794405,NA,NA,30075473.602975793,NA,NA,NA,NA,10028068.736776575,27434617.252087835,5300274.082702441,NA,28327491.860181514,336894.5921785309,2191130.484945871,344827.0174308773
