Org_Type,ID,Org_Name,4-Hydroxyisoleucine_HILIC,Acetyl-L-carnitine_HILIC,Adenine_HILIC,Adenosine_HILIC,Adenosyl Homocysteine_HILIC,Adenosyl Methionine_HILIC,Agmatine_RP,Alanine_HILIC,Allopurinol_RP,Amino Propanesulfonic Acid_HILIC,AMP_HILIC,Arginine_HILIC,Argininosuccinic Acid_HILIC,Arsenobetaine_HILIC,Asparagine_HILIC,Aspartic acid_HILIC,beta-Alanine_HILIC,beta-Glutamic acid_HILIC,Betaine_HILIC,Betonicine_HILIC,Butyryl-L-carnitine_HILIC,Carnitine_HILIC,Choline_HILIC,Citrulline_HILIC,Creatine_HILIC,Cystathionine_HILIC,Cysteic Acid_HILIC,Cytidine_HILIC,Cytosine_HILIC,Deoxyadenosine_HILIC,Dexpanthenol_HILIC,DHPS_HILIC,Dimethylsulfonioacetate (DMS-Ac)_HILIC,DMSP_HILIC,Ectoine_HILIC,Gluconic Acid_HILIC,Glucosylglycerol_HILIC,Glutamic acid_HILIC,Glutamine_HILIC,Glutathione Disulfide_RP,Glycerophosphocholine_HILIC,Gonyol_HILIC,Guanine_HILIC,Guanosine_HILIC,Histidine_HILIC,Homarine_HILIC,Homoserine_HILIC,Inosine_HILIC,Isethionic Acid_HILIC,Kynurenine_RP,L-Pyroglutamic acid_HILIC,Leucine_HILIC,Lysine_HILIC,Malic Acid_HILIC,Methionine Sulfoxide_HILIC,Methionine_HILIC,Methylthioadenosine_RP,N-acetyltaurine_HILIC,N(e)-Acetyl-Lysine_HILIC,NAD_HILIC,Ornithine_HILIC,Phenylalanine_RP,Proline_HILIC,Propionyl-L-carnitine_HILIC,Sarcosine_HILIC,Serine_HILIC,Stachydrine hydrochloride_HILIC,Sucrose_HILIC,Sulfolactic Acid_HILIC,Sulfurol_RP,Taurine_HILIC,Threonine_HILIC,Thymidine_HILIC,Trehalose_HILIC,Trigonelline_HILIC,Trimethylammonium Propionate (TMAP)_HILIC,Tryptophan_RP,Tyrosine_HILIC,UDP-glucosamine_HILIC,Uracil_HILIC,Uridine_HILIC,Vitamin B2_RP,Vitamin B3_HILIC,Vitamin B5_RP
Dinoflagellate,1314,Amphidinium carterae CCMP1314,NA,NA,1379.9229160260372,6798.505709843205,16.70758308335011,3673.823216313194,NA,NA,NA,NA,182.31230399366,25464.501084863936,NA,NA,3957.6348783841636,13636.510697462209,NA,NA,NA,NA,NA,9.454840696908267,545.0763781353884,NA,NA,302.12788195840875,NA,408.46631706303003,176.63485438571178,30.001153236407376,NA,16.76083293512809,0.5401851364084852,109713.5618382339,NA,NA,NA,39119.059653770404,19213.248329401362,7706.226012334456,1357.981269729626,1202172.6175564816,147127.94500969246,2625.429529919539,NA,NA,651.0065782082077,2460.12976319377,NA,NA,NA,NA,3025.011980349234,NA,NA,146.0535868991147,19.091853676640802,1.7724221526669692,NA,NA,3651.416346785348,227.41962475769986,1539.7296123969277,NA,NA,NA,46.27334388753664,NA,NA,NA,6666.702761788149,16841.85971074076,NA,NA,416.72438504733606,NA,103.39699116368926,NA,NA,NA,4253.604002967151,19.104423130720413,NA,57.23255356837649
Cyanobacteria,1314P,Prochlorococcus marinus MIT1314,2910.7190360297136,NA,551.3985183951006,121.86959853606483,145.93243043028275,10043.498046242321,301.50157274044864,NA,NA,NA,6415.001827812372,4588.3973696535495,85.78284140113242,NA,7003.317830628963,184152.11398764455,NA,NA,NA,NA,NA,NA,NA,13364.992271280571,NA,NA,120.30040961051557,NA,420.9414246272207,36.773862857018585,NA,NA,NA,NA,NA,NA,1359.4971184426986,1024061.6419258348,41715.628237242374,15265.792853116956,NA,NA,3314.6061261840573,103.15320990769152,NA,NA,NA,NA,NA,NA,NA,NA,3470.349812337506,NA,NA,61.575909862588496,28.269196884093635,NA,77.39665938096053,3286.14738055412,NA,231.13541956295956,1224.8894921996193,NA,NA,NA,NA,184174.88149380847,NA,NA,NA,1476.6518996596687,NA,NA,NA,NA,200.98212343956953,2378.674237488808,1650.5445395249465,NA,NA,NA,NA,NA
Prasinophyte,1545,Micromonas pusilla CCMP1545,2035.2180166379526,NA,170.04629679484043,51.90750912363034,13.81344223001919,3712.765801744559,NA,13638.187204657901,NA,NA,1610.1920854380069,2838.871390448148,18.874147890408253,NA,5703.967997931402,9511.98739536211,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.539036441313684,54.58293630967545,NA,95.33887614400864,6.731073837992279,NA,NA,NA,34547.794078956234,NA,NA,NA,94028.13900719736,36182.62011854315,7202.105333714204,NA,NA,725.5901597607293,1160.3388793762365,NA,NA,NA,11.00882655588972,2056.0250354931873,NA,NA,NA,3308.436047255016,NA,NA,735.0875748617415,31.622129713087674,4.286357683635736,NA,5616.206572982695,NA,560.1207868214858,10052.536827583093,NA,NA,7545.771334475503,NA,NA,NA,NA,13278.804042793989,5030.785944120204,NA,NA,4259.413435695622,NA,146.14890880630978,NA,1070.9405641612257,NA,97.93786892434146,NA,NA,174.87252772417992
Dinoflagellate,1771,Alexandrium tamarense CCMP1771,3762.9014693359054,NA,322.7103311293121,1056.5189048662335,NA,358.426394919892,NA,1146.7072291647967,NA,NA,6942.3806728885875,4058.404667701157,NA,NA,684.3876134350603,6729.07619974094,NA,NA,NA,NA,NA,802.8141729604305,479.2456112698498,250.72295709396812,NA,160.85087655462036,NA,1641.6115602357147,215.88343085637848,NA,NA,745.5439771992977,NA,139393.0703563292,NA,2715.6316516753764,NA,41292.121979592,5134.709959208599,1628.4595672033215,15.5267549331722,716320.3535921458,258940.44035962192,191.62379196359637,1366.7053104380896,NA,269.72519986928364,NA,NA,NA,NA,NA,NA,NA,NA,228.13437135309448,28.504874283301724,NA,NA,687.0221043471919,877.9745348728446,1711.4111436172168,207.49913836695873,NA,NA,1512.8378999083252,NA,NA,507.8917886285475,NA,1180.8458988429047,2907.7062264278684,NA,NA,13740.140472710305,22206.241029200675,2320.3850889762143,1888.6065336461745,NA,NA,10357.049499564062,NA,182.00463154129847,NA
Dinoflagellate,2021,Lingulodinium polyedra CCMP2021,1478.5579594069152,7509.741632252677,226.49821498146298,873.9830883872862,NA,1099.3649366631248,NA,383.0631679794258,NA,NA,11753.03069907794,32027.21088418688,NA,NA,576.3409872247363,9325.118837865319,102.68093490839688,NA,NA,NA,NA,1189.3456902979,254.21839117783776,45.69726643946909,NA,157.3191422535004,NA,319.26491056135495,68.01279792809683,5.880833551998645,NA,29.078796791718887,NA,2558.9546871807634,NA,2520.3549698038023,2813.217565583909,35489.97550927663,3988.4691092868998,5469.076203994676,50.10964567874578,1081525.3813134185,17051.253666951114,1413.5327741945853,164.38588947244952,79.9260304059179,79.16892240244319,429.95873941056504,NA,NA,1237.9323083964437,15216.039916520069,1741.9296480263756,NA,32.30224157499634,935.6605388625263,52.79546526267425,NA,NA,NA,201.68549758777576,818.4620899639588,610.161859045081,NA,NA,877.3094141378306,351.6316210681718,NA,404.6626888465905,NA,1742.881826176354,1542.7535437890172,NA,NA,39.38414502469158,23.366021324674346,466.3766355131067,6325.476107378172,477.02030583887955,NA,1852.4947781945425,18.378805646106116,1181.873097093486,NA
Haptophyte,2090,Emiliania huxleyi CCMP2090,NA,519.95168060072206,NA,9509.616939070645,167.63207336625624,1001.068051102997,NA,2174.307140260574,NA,NA,3633.2525585323747,NA,617.3019136136933,NA,10298.512904195613,13238.981205629292,NA,NA,42168.888028857655,NA,NA,2206.8560187207127,808.7268871770464,1502.1294180089953,NA,NA,240.73985869957954,NA,383.32177702697345,23.910048546478023,NA,52876.798772245864,12.637247701948763,207654.58781937396,38.74307998293903,NA,63630.3649304385,131340.47210614968,47753.951713775845,12465.456538199058,234.102097913461,318634.7947122701,NA,1799.8658835313904,NA,NA,2939.420038409797,537.3712614622897,NA,NA,NA,NA,22015.908181279516,2297.0089263392497,706.3532530269209,476.0558130937753,913.5643543323295,NA,NA,4479.3180507254565,NA,991.5577707271383,698.1153117032308,61.91421636144378,926.9687300050598,6731.27442015942,102.49757472327504,NA,NA,NA,88.28514581636578,3256.286284201599,NA,NA,128.2901664769267,NA,603.7154716183759,883.2074190841669,NA,NA,2448.118586798727,167.72861355475308,NA,293.41350306844475
Prasinophyte,3430,Ostreococcus lucimarinus CCMP3430,NA,NA,492.3498210481782,293.65287456938665,181.54499137446007,44391.53622990552,NA,61575.27232333947,NA,19811.912385552365,16256.764323766423,13613.920894521729,214.59568353379535,NA,24536.606758832168,122966.60574276572,8160.001074243668,NA,91620.43994992352,NA,NA,NA,NA,7546.756177446762,NA,NA,179.75833245356122,NA,387.90736794446326,18.888542020665817,NA,NA,12.664147540460785,152964.3632868983,NA,1563.0209557850135,NA,986793.9198557344,19235.312674677214,NA,NA,NA,1042.0532235169994,1789.1117793818137,8519.19416816999,NA,1482.7212928569998,NA,NA,NA,NA,NA,21464.20940268158,67030.91488678733,833.9204877413171,1266.6794832714972,NA,4271.9267374613055,NA,15286.598503217583,NA,NA,330781.1816126098,NA,NA,34893.59951204984,NA,69317.4590322716,NA,NA,94594.78192174858,34891.685806817135,NA,NA,NA,NA,NA,2791.3777761887204,NA,NA,542.0130663014795,NA,NA,NA
Haptophyte,371,Emiliania huxleyi CCMP371,NA,199.58081897506852,NA,12929.018917991883,56.17685075481517,1095.220629496528,NA,1252.0885554053607,NA,NA,158.201994791223,NA,NA,NA,2947.457082783062,8386.82618367689,NA,NA,13144.431421015019,NA,NA,1676.8805427737664,305.94089740198325,318.72843442742703,NA,NA,193.59751335917537,NA,NA,51.81519778062105,NA,86119.38545321292,4.761303547507101,184128.91459183098,NA,NA,4045.118915322139,123299.6204221435,12406.122775204845,17461.744828198865,870.8701182373459,170285.4963263115,2384.617633267472,1855.10818361278,NA,26962.28498968462,650.5475416044553,NA,NA,NA,NA,NA,7283.1188493213895,NA,279.6689736010844,336.2135502047332,1359.9930686758876,NA,15.138711855727228,700.5238227687289,NA,492.69393383938444,757.3336591859673,NA,NA,2621.5526937218706,103.04478626492791,NA,1375.5555958761245,NA,137.80765166777576,NA,NA,NA,NA,NA,381.6710950840692,550.5368554167874,94.34183167569874,NA,2058.2613336178897,205.3974295048037,NA,759.4802813211147
Dinoflagellate,449,Heterocapsa triquetra CCMP449,NA,1166.947524372237,1269.1341447452457,22298.6011605374,47.29483431384122,621.7153832837548,NA,NA,NA,NA,450.660275382754,1349.1309616102874,NA,NA,417.1851521311974,4974.486285526458,NA,NA,NA,NA,NA,917.0605934227544,NA,80.28139960857044,NA,131.14760921306427,NA,1135.9541888828815,371.3052132694196,130.3905672915718,NA,20.40865107057282,0.5384839298944265,150140.01210509732,NA,NA,NA,66437.51112444274,5287.699220550112,6545.03775793788,955.9700909080095,1072626.195136146,20731.274036070627,2441.8129427411277,NA,143.77514022495936,482.12946969298986,974.3039440550336,NA,NA,NA,NA,1352.8169695379524,NA,NA,310.7012697771321,44.87294481266254,NA,NA,NA,611.2861948775426,305.078272520999,438.3483825328897,149.10792782339976,NA,718.2768417273772,87.72037764150755,NA,NA,NA,1220.5487466175634,2724.6376948369234,NA,NA,774.6553678688816,288.44480044341196,178.49538515846066,851.8371966606122,NA,NA,16676.210801877776,NA,1072.414798417093,NA
Cyanobacteria,7803,Synechococcus sp. 7803,NA,NA,81.15418036552154,12866.518226579325,3592.3678210958633,153947.2583634575,942.6243251748913,8129.728349105324,NA,NA,35512.06874720836,10803.673684476347,89.7696258937656,NA,3421.6590762157202,78353.99667519738,NA,NA,62198.96150804812,NA,NA,NA,NA,13739.084205992895,NA,NA,189.03082198819246,631.8570075564609,260.6859475786684,810.7191606118272,NA,NA,NA,NA,1.8743323266597436,448.8516822930098,2142160.7703073462,1889400.137887122,25678.323020867923,259838.4839270745,NA,NA,299.16635836278516,3740.5615354169186,2557.8235483949884,30991.418073148212,5902.917787389641,NA,NA,NA,331.454981232049,NA,20013.340339445058,NA,64.43777894673875,707.1336089735207,5125.070190656493,NA,NA,1043.9583895790315,1190.7522867638518,2085.9010320827138,6674.952223522681,NA,864.6881883921237,44978.6549195736,NA,469738.3540783718,290.93587676263166,NA,NA,9572.162535567648,NA,NA,NA,NA,947.6582700126243,7219.345460289967,3728.706871864786,NA,1839.3166470319109,34.50743372753928,24.83152219810115,56.30431611845961
