MassFeature_Column,SampID,std_area,cluster,latitude,Depth,cluster_letters
Adenine_X_HILICPos,KM1513-15m_A,0.07409444134222408,1,24.5548,15,a
Adenosine_X_HILICPos,KM1513-15m_A,0.11609407316024546,1,24.5548,15,a
Adenosyl Homocysteine_X_HILICPos,KM1513-15m_A,0.2268559687851194,2,24.5548,15,b
Adenosyl Methionine_X_HILICPos,KM1513-15m_A,0.1807515335671633,2,24.5548,15,b
Agmatine_X_RP,KM1513-15m_A,0.12443687398297,1,24.5548,15,a
Alanine_X_HILICPos,KM1513-15m_A,0.09923454977422703,1,24.5548,15,a
Allopurinol_X_RP,KM1513-15m_A,0.10313247958816023,1,24.5548,15,a
Amino Propanesulfonic Acid_X_HILICNeg,KM1513-15m_A,0.06692579778919548,1,24.5548,15,a
Argininosuccinic Acid_X_HILICPos,KM1513-15m_A,0.10536330291457105,2,24.5548,15,b
Asparagine_X_HILICPos,KM1513-15m_A,0.11390438421356487,1,24.5548,15,a
Aspartic acid_X_HILICPos,KM1513-15m_A,0.093203471198041,1,24.5548,15,a
Beta_GlutamicAcid_X_HILICPos,KM1513-15m_A,0.13248399379520664,1,24.5548,15,a
beta-Alanine_X_HILICPos,KM1513-15m_A,0.10882440280977466,1,24.5548,15,a
Butyryl-L-carnitine_X_HILICPos,KM1513-15m_A,0.08483485866150427,1,24.5548,15,a
Carnitine_X_HILICPos,KM1513-15m_A,0.1185742242983134,1,24.5548,15,a
Citrulline_X_HILICPos,KM1513-15m_A,0.06811582375058367,1,24.5548,15,a
Creatine_X_HILICPos,KM1513-15m_A,0.06845232126606682,1,24.5548,15,a
Cystathionine_X_HILICPos,KM1513-15m_A,0.16540435036383938,2,24.5548,15,b
Cysteic Acid_X_HILICNeg,KM1513-15m_A,0.14297020338808317,1,24.5548,15,a
Cytidine_X_HILICNeg,KM1513-15m_A,0.165725405632424,2,24.5548,15,b
Cytosine_X_HILICPos,KM1513-15m_A,0.08771258891068036,1,24.5548,15,a
Dexpanthenol_X_HILICPos,KM1513-15m_A,0.10598047657409594,1,24.5548,15,a
DHPS_X_HILICNeg,KM1513-15m_A,0.22700358541539728,2,24.5548,15,b
DMSP_HILICPos_X_HILICPos,KM1513-15m_A,0.11343366565704284,1,24.5548,15,a
Gluconic Acid_X_HILICNeg,KM1513-15m_A,0,3,24.5548,15,c
Glucosylglycerol_X_HILICPos,KM1513-15m_A,0.2760637428347848,3,24.5548,15,c
Glutamine_X_HILICPos,KM1513-15m_A,0.10077911970189019,1,24.5548,15,a
Glutathione Disulfide_X_RP,KM1513-15m_A,0.16942257275652833,1,24.5548,15,a
Glycerophosphocholine_X_HILICPos,KM1513-15m_A,0.25822535636627164,2,24.5548,15,b
Gonyol_X_HILICPos,KM1513-15m_A,0.1546132026919917,2,24.5548,15,b
Histidine_X_HILICPos,KM1513-15m_A,0.09481810788572724,1,24.5548,15,a
Homoserine_X_HILICPos,KM1513-15m_A,0.1010935792106465,1,24.5548,15,a
Hypotaurine_X_HILICPos,KM1513-15m_A,0.09691125005982733,1,24.5548,15,a
I102.0549R12.14_HILICNeg_X_HILICNeg,KM1513-15m_A,0.11351510575511961,1,24.5548,15,a
I104.1074R10.68_HILICPos_X_HILICPos,KM1513-15m_A,0.1953323199896486,2,24.5548,15,b
I107.0734R9.09_HILICPos_X_HILICPos,KM1513-15m_A,0.09737203323160909,1,24.5548,15,a
I116.0709R8.8_HILICPos_X_HILICPos,KM1513-15m_A,0.13605550774640365,1,24.5548,15,a
I118.0864R7.19_HILICPos_X_HILICPos,KM1513-15m_A,0.09739211241452828,1,24.5548,15,a
I120.0811R5.29_HILICPos_X_HILICPos,KM1513-15m_A,0.12030891790594189,1,24.5548,15,a
I121.032R8.27_HILICPos_X_HILICPos,KM1513-15m_A,0.1012671911707125,1,24.5548,15,a
I121.0684R10.7_HILICPos_X_HILICPos,KM1513-15m_A,0.2260287617013345,2,24.5548,15,b
I124.0064R10.88_HILICNeg_X_HILICNeg,KM1513-15m_A,0.09177111854457032,1,24.5548,15,a
I126.904R4.8_HILICNeg_X_HILICNeg,KM1513-15m_A,0.12335462260586208,1,24.5548,15,a
I130.05R11.1_HILICPos_X_HILICPos,KM1513-15m_A,0.10158031683058566,1,24.5548,15,a
I130.1592R4.02_CyanoAq_X_RP,KM1513-15m_A,0,1,24.5548,15,a
I131.0704R10.12_HILICPos_X_HILICPos,KM1513-15m_A,0.10640350345826284,1,24.5548,15,a
I132.102R6.53_HILICPos_X_HILICPos,KM1513-15m_A,0.16359943811304514,2,24.5548,15,b
I132.102R9.3_HILICPos_X_HILICPos,KM1513-15m_A,0.15479260087262625,2,24.5548,15,b
I134.0813R10.18_HILICPos_X_HILICPos,KM1513-15m_A,0.22750115724060735,2,24.5548,15,b
I136.0508R7.09_HILICPos_X_HILICPos,KM1513-15m_A,0.08913245481313627,1,24.5548,15,a
I137.0459R1.05_CyanoAq_X_RP,KM1513-15m_A,0.14348004654054555,1,24.5548,15,a
I137.0459R6.2_HILICPos_X_HILICPos,KM1513-15m_A,0.14356771937743415,1,24.5548,15,a
I137.0459R7.49_HILICPos_X_HILICPos,KM1513-15m_A,0.11874701554466421,1,24.5548,15,a
I138.0549R5.35_HILICPos_X_HILICPos,KM1513-15m_A,0.12499588538467812,1,24.5548,15,a
I138.055R7.72_HILICPos_X_HILICPos,KM1513-15m_A,0.07371662670188073,1,24.5548,15,a
I139.0157R7.24_HILICNeg_X_HILICNeg,KM1513-15m_A,0.1478374924005155,2,24.5548,15,b
I141.0659R7.2_HILICPos_X_HILICPos,KM1513-15m_A,0.054892221522440394,1,24.5548,15,a
I143.0816R7.97_HILICPos_X_HILICPos,KM1513-15m_A,0.0772580138509365,1,24.5548,15,a
I144.1019R6.44_HILICPos_X_HILICPos,KM1513-15m_A,0.1873963709918676,2,24.5548,15,b
I145.0608R10.18_HILICPos_X_HILICPos,KM1513-15m_A,0.11921781917029482,1,24.5548,15,a
I146.0601R1.92_CyanoAq_X_RP,KM1513-15m_A,0.11266198795457529,1,24.5548,15,a
I148.0605R12.12_HILICPos_X_HILICPos,KM1513-15m_A,0.10523971117984193,1,24.5548,15,a
I148.0968R8.21_HILICPos_X_HILICPos,KM1513-15m_A,0.1028263928664084,1,24.5548,15,a
I148.9235R3.57_HILICNeg_X_HILICNeg,KM1513-15m_A,0,1,24.5548,15,a
I149.0631R10.15_HILICPos_X_HILICPos,KM1513-15m_A,0.21879085322484068,2,24.5548,15,b
I150.0775R6.27_HILICPos_X_HILICPos,KM1513-15m_A,0.13518349583192374,1,24.5548,15,a
I151.1441R6.61_HILICPos_X_HILICPos,KM1513-15m_A,0.07884006152941005,1,24.5548,15,a
I152.0567R7.37_HILICPos_X_HILICPos,KM1513-15m_A,0.13321984252127253,1,24.5548,15,a
I152.0567R8.12_HILICPos_X_HILICPos,KM1513-15m_A,0.05900658489444584,1,24.5548,15,a
I152.0568R1.08_CyanoAq_X_RP,KM1513-15m_A,0.12134345799558896,1,24.5548,15,a
I152.0707R9.08_HILICPos_X_HILICPos,KM1513-15m_A,0.10704512395870248,1,24.5548,15,a
I152.1282R1.07_CyanoAq_X_RP,KM1513-15m_A,0.013036441907384117,1,24.5548,15,a
I154.0532R5.23_HILICPos_X_HILICPos,KM1513-15m_A,0.10592116110425552,1,24.5548,15,a
I154.0723R8.97_HILICPos_X_HILICPos,KM1513-15m_A,0.18341369021022924,2,24.5548,15,b
I155.0815R8.72_HILICPos_X_HILICPos,KM1513-15m_A,0.04536965531075983,1,24.5548,15,a
I157.0973R7.33_HILICPos_X_HILICPos,KM1513-15m_A,0.0542758652258821,1,24.5548,15,a
I158.0813R7.81_HILICPos_X_HILICPos,KM1513-15m_A,0.1015344011279984,1,24.5548,15,a
I158.1176R5.48_HILICPos_X_HILICPos,KM1513-15m_A,0.1541081699041398,2,24.5548,15,b
I160.037R5.34_HILICPos_X_HILICPos,KM1513-15m_A,0.12731234249885684,1,24.5548,15,a
I160.0969R6.82_HILICPos_X_HILICPos,KM1513-15m_A,0.11425611464959065,1,24.5548,15,a
I160.0969R7.56_HILICPos_X_HILICPos,KM1513-15m_A,0.13163712327041585,1,24.5548,15,a
I160.0969R8.37_HILICPos_X_HILICPos,KM1513-15m_A,0.12959718818149135,1,24.5548,15,a
I161.0631R9.25_HILICPos_X_HILICPos,KM1513-15m_A,0.0951849926965091,1,24.5548,15,a
I162.0776R1.13_CyanoAq_X_RP,KM1513-15m_A,0.08008284252757054,1,24.5548,15,a
I162.1125R6.83_HILICPos_X_HILICPos,KM1513-15m_A,0.12156964841363138,1,24.5548,15,a
I162.1125R8.11_HILICPos_X_HILICPos,KM1513-15m_A,0.271415297521058,3,24.5548,15,c
I165.0581R8.33_HILICPos_X_HILICPos,KM1513-15m_A,0.1900334399434351,2,24.5548,15,b
I166.0864R1.12_CyanoAq_X_RP,KM1513-15m_A,0.14760523251878135,1,24.5548,15,a
I167.0204R10.56_HILICNeg_X_HILICNeg,KM1513-15m_A,0.24251653703534454,2,24.5548,15,b
I168.0517R1.05_CyanoAq_X_RP,KM1513-15m_A,0.2053300182043826,3,24.5548,15,c
I170.0684R16.91_HILICPos_X_HILICPos,KM1513-15m_A,0.1604482811239889,2,24.5548,15,b
I170.1176R8.07_HILICPos_X_HILICPos,KM1513-15m_A,0.10155352922989908,1,24.5548,15,a
I172.0067R5.44_HILICNeg_X_HILICNeg,KM1513-15m_A,0.18566363173737488,2,24.5548,15,b
I173.0921R8.33_HILICPos_X_HILICPos,KM1513-15m_A,0.12999259085509307,1,24.5548,15,a
I174.022R5.45_HILICPos_X_HILICPos,KM1513-15m_A,0.19775918273719062,2,24.5548,15,b
I174.1126R6.89_HILICPos_X_HILICPos,KM1513-15m_A,0.09070842287983295,1,24.5548,15,a
I174.1126R8.06_HILICPos_X_HILICPos,KM1513-15m_A,0.09653922150488933,1,24.5548,15,a
I175.0789R1_CyanoAq_X_RP,KM1513-15m_A,0.11827617752322037,2,24.5548,15,b
I175.119R17.83_HILICPos_X_HILICPos,KM1513-15m_A,0.09099465753025239,1,24.5548,15,a
I176.0918R10.77_HILICPos_X_HILICPos,KM1513-15m_A,0.0963625255929575,1,24.5548,15,a
I176.0918R7.43_HILICPos_X_HILICPos,KM1513-15m_A,0.10841260430326922,1,24.5548,15,a
I176.1281R10.33_HILICPos_X_HILICPos,KM1513-15m_A,0.210235199921692,2,24.5548,15,b
I176.1282R7.85_HILICPos_X_HILICPos,KM1513-15m_A,0.13157900940114575,1,24.5548,15,a
I177.0581R9.17_HILICPos_X_HILICPos,KM1513-15m_A,0.06415055144545428,1,24.5548,15,a
I177.0582R7.98_HILICPos_X_HILICPos,KM1513-15m_A,0.04469748711312432,1,24.5548,15,a
I179.0048R7.02_HILICPos_X_HILICPos,KM1513-15m_A,0.047397347250433285,1,24.5548,15,a
I179.024R6.59_HILICPos_X_HILICPos,KM1513-15m_A,0.08462591669237016,1,24.5548,15,a
I180.1019R8.38_HILICPos_X_HILICPos,KM1513-15m_A,0.10520859631063262,1,24.5548,15,a
I182.0674R1.17_CyanoAq_X_RP,KM1513-15m_A,0.18010742474520455,2,24.5548,15,b
I185.0922R8.02_HILICPos_X_HILICPos,KM1513-15m_A,0.043592145436784364,1,24.5548,15,a
I186.0253R12.12_HILICNeg_X_HILICNeg,KM1513-15m_A,0.06475336029921372,1,24.5548,15,a
I188.0707R7.54_HILICPos_X_HILICPos,KM1513-15m_A,0.11604164777658695,1,24.5548,15,a
I190.1439R0.83_CyanoAq_X_RP,KM1513-15m_A,0.1191845906767131,1,24.5548,15,a
I192.9131R3.72_HILICNeg_X_HILICNeg,KM1513-15m_A,0.1023330496406631,1,24.5548,15,a
I192.9808R2.93_HILICNeg_X_HILICNeg,KM1513-15m_A,0.1422558308505992,1,24.5548,15,a
I193.0531R10.87_HILICPos_X_HILICPos,KM1513-15m_A,0.15790110335869623,2,24.5548,15,b
I193.0894R10.12_HILICPos_X_HILICPos,KM1513-15m_A,0.10697971583990988,1,24.5548,15,a
I194.9965R12.04_HILICNeg_X_HILICNeg,KM1513-15m_A,0.16158156685238415,2,24.5548,15,b
I195.0765R10.08_HILICPos_X_HILICPos,KM1513-15m_A,0.1632399517986052,2,24.5548,15,b
I196.0831R1.52_CyanoAq_X_RP,KM1513-15m_A,0.168512507329196,2,24.5548,15,b
I196.083R5.03_HILICPos_X_HILICPos,KM1513-15m_A,0.11606009144949976,1,24.5548,15,a
I203.1392R1.16_CyanoAq_X_RP,KM1513-15m_A,0.20054557986863047,2,24.5548,15,b
I204.1232R7.22_HILICPos_X_HILICPos,KM1513-15m_A,0.1160528501545079,1,24.5548,15,a
I204.1233R3.65_HILICPos_X_HILICPos,KM1513-15m_A,0.16467640768978706,2,24.5548,15,b
I204.1596R0.89_CyanoAq_X_RP,KM1513-15m_A,0.08816113929663429,1,24.5548,15,a
I206.0351R6.59_HILICPos_X_HILICPos,KM1513-15m_A,0.08267457547011332,1,24.5548,15,a
I206.0675R2.59_CyanoAq_X_RP,KM1513-15m_A,0.062176418951550495,1,24.5548,15,a
I206.1389R6.76_HILICPos_X_HILICPos,KM1513-15m_A,0.1393231035771813,2,24.5548,15,b
I207.0686R8.88_HILICPos_X_HILICPos,KM1513-15m_A,0.21326649977278128,2,24.5548,15,b
I207.1704R6.56_HILICPos_X_HILICPos,KM1513-15m_A,0.16829863567511746,2,24.5548,15,b
I209.0478R11.07_HILICPos_X_HILICPos,KM1513-15m_A,0.126476404049889,1,24.5548,15,a
I209.0843R7.18_HILICPos_X_HILICPos,KM1513-15m_A,0.21721974828803628,3,24.5548,15,c
I209.0844R8.07_HILICPos_X_HILICPos,KM1513-15m_A,0.08562394356062913,1,24.5548,15,a
I211.0565R12.12_HILICPos_X_HILICPos,KM1513-15m_A,0.062402304378081294,1,24.5548,15,a
I214.0388R5.25_HILICNeg_X_HILICNeg,KM1513-15m_A,0.08992726695641942,1,24.5548,15,a
I214.0484R11.68_HILICNeg_X_HILICNeg,KM1513-15m_A,0.2605321953253273,2,24.5548,15,b
I217.93R10.87_HILICNeg_X_HILICNeg,KM1513-15m_A,0.042933243487526564,1,24.5548,15,a
I219.1703R6.51_HILICPos_X_HILICPos,KM1513-15m_A,0.18555932695738034,2,24.5548,15,b
I219.9271R10.87_HILICNeg_X_HILICNeg,KM1513-15m_A,0.04638608004672816,1,24.5548,15,a
I221.022R10.39_HILICNeg_X_HILICNeg,KM1513-15m_A,0.37261153144982945,3,24.5548,15,c
I221.0843R5.26_HILICPos_X_HILICPos,KM1513-15m_A,0.10268078498910489,1,24.5548,15,a
I221.0843R5.58_HILICPos_X_HILICPos,KM1513-15m_A,0.10277006949397764,1,24.5548,15,a
I221.0843R8.12_HILICPos_X_HILICPos,KM1513-15m_A,0.17263889306765762,2,24.5548,15,b
I221.0844R0.89_CyanoAq_X_RP,KM1513-15m_A,0.19448335576697137,2,24.5548,15,b
I225.1607R2.2_HILICNeg_X_HILICNeg,KM1513-15m_A,0.01027443051859044,3,24.5548,15,c
I227.1754R2.2_HILICPos_X_HILICPos,KM1513-15m_A,0.016637793200467772,2,24.5548,15,b
I228.0979R6.34_HILICPos_X_HILICPos,KM1513-15m_A,0.08885576963357536,1,24.5548,15,a
I229.1549R0.89_CyanoAq_X_RP,KM1513-15m_A,0.09260842158146526,1,24.5548,15,a
I229.1557R2_HILICNeg_X_HILICNeg,KM1513-15m_A,0.1739590502378761,2,24.5548,15,b
I232.0231R10.77_HILICNeg_X_HILICNeg,KM1513-15m_A,0.13267311525189884,1,24.5548,15,a
I232.118R6.16_HILICPos_X_HILICPos,KM1513-15m_A,0.27807559892356865,3,24.5548,15,c
I235.1653R7.18_HILICPos_X_HILICPos,KM1513-15m_A,0.17883664424760012,2,24.5548,15,b
I236.1492R9.91_HILICPos_X_HILICPos,KM1513-15m_A,0.23850595358716023,3,24.5548,15,c
I236.1493R8.23_HILICPos_X_HILICPos,KM1513-15m_A,0.20501149747760233,2,24.5548,15,b
I237.1235R1.65_CyanoAq_X_RP,KM1513-15m_A,0.2192013305837526,2,24.5548,15,b
I238.0524R11.67_HILICPos_X_HILICPos,KM1513-15m_A,0.012165074790873897,1,24.5548,15,a
I239.002R2.89_HILICNeg_X_HILICNeg,KM1513-15m_A,0.34699889342262114,3,24.5548,15,c
I240.1092R0.94_CyanoAq_X_RP,KM1513-15m_A,0.15060873497135327,2,24.5548,15,b
I241.0119R13.69_HILICNeg_X_HILICNeg,KM1513-15m_A,0.19639771109573098,2,24.5548,15,b
I241.0297R0.89_CyanoAq_X_RP,KM1513-15m_A,0,2,24.5548,15,b
I243.1715R1.84_HILICNeg_X_HILICNeg,KM1513-15m_A,0.18635851396287637,2,24.5548,15,b
I244.0828R9.94_HILICNeg_X_HILICNeg,KM1513-15m_A,0.3542405135584511,3,24.5548,15,c
I244.0929R7.89_HILICPos_X_HILICPos,KM1513-15m_A,0.15326620788195913,1,24.5548,15,a
I245.1588R2.3_CyanoAq_X_RP,KM1513-15m_A,0.0939094075241178,1,24.5548,15,a
I245.1861R2.33_CyanoAq_X_RP,KM1513-15m_A,0.20388768467698432,2,24.5548,15,b
I245.1862R2.58_CyanoAq_X_RP,KM1513-15m_A,0.19175541034146842,2,24.5548,15,b
I248.9764R0.9_CyanoAq_X_RP,KM1513-15m_A,0.16071284695535407,2,24.5548,15,b
I252.083R12.11_HILICPos_X_HILICPos,KM1513-15m_A,0.05870471389382129,1,24.5548,15,a
I252.1092R3.46_HILICPos_X_HILICPos,KM1513-15m_A,0.13765726968695352,1,24.5548,15,a
I252.1441R10.53_HILICPos_X_HILICPos,KM1513-15m_A,0.2219202469736502,2,24.5548,15,b
