MassFeature_Column,SampID,std_area,cluster,latitude,cluster_letters
Adenine_X_HILICPos,S2C3_A,0.009862385092334022,1,23.596524,a
Adenosine_X_HILICPos,S2C3_A,0.002366392158856411,1,23.596524,a
Adenosyl Homocysteine_X_HILICPos,S2C3_A,0.00801870971842798,2,23.596524,b
Adenosyl Methionine_X_HILICPos,S2C3_A,0.005576858111001633,2,23.596524,b
Agmatine_X_RP,S2C3_A,0.019049710467686845,1,23.596524,a
Alanine_X_HILICPos,S2C3_A,0.016571758392236003,1,23.596524,a
Allopurinol_X_RP,S2C3_A,0.007801668345573197,3,23.596524,d
Amino Propanesulfonic Acid_X_HILICNeg,S2C3_A,0.021725643893281018,1,23.596524,a
Argininosuccinic Acid_X_HILICPos,S2C3_A,0.012602193905621837,4,23.596524,c
Asparagine_X_HILICPos,S2C3_A,0.016722819009411707,1,23.596524,a
Aspartic acid_X_HILICPos,S2C3_A,0.020387564889718192,2,23.596524,b
beta-Alanine_X_HILICPos,S2C3_A,0.008966563859732815,1,23.596524,a
beta-Glutamic acid_X_HILICPos,S2C3_A,0.013967365001491367,1,23.596524,a
Butyryl-L-carnitine_X_HILICPos,S2C3_A,0.029348296333314584,1,23.596524,a
Carnitine_X_HILICPos,S2C3_A,0.014942755042661258,2,23.596524,b
Citrulline_X_HILICPos,S2C3_A,0.010469239491551187,1,23.596524,a
Creatine_X_HILICPos,S2C3_A,0.010277486797232322,1,23.596524,a
Cystathionine_X_HILICPos,S2C3_A,9.79354202188426e-4,1,23.596524,a
Cysteic Acid_X_HILICNeg,S2C3_A,0.011474598765343007,1,23.596524,a
Cytidine_X_HILICNeg,S2C3_A,0.010865130246494931,1,23.596524,a
Cytosine_X_HILICPos,S2C3_A,0.011847050435725938,1,23.596524,a
Dexpanthenol_X_HILICPos,S2C3_A,0,1,23.596524,a
DHPS_X_HILICNeg,S2C3_A,0.010893763532955372,1,23.596524,a
DMSP_HILICPos_X_HILICPos,S2C3_A,0.027473402981302738,1,23.596524,a
Gluconic Acid_X_HILICNeg,S2C3_A,0,4,23.596524,c
Glucosylglycerol_X_HILICPos,S2C3_A,6.60172110368869e-4,4,23.596524,c
Glutamine_X_HILICPos,S2C3_A,0.018930740774842053,2,23.596524,b
Glutathione Disulfide_X_RP,S2C3_A,0.009771198191969095,1,23.596524,a
Glycerophosphocholine_X_HILICPos,S2C3_A,0.004839757983223013,1,23.596524,a
Gonyol_X_HILICPos,S2C3_A,0.03029487312200524,2,23.596524,b
Histidine_X_HILICPos,S2C3_A,0.02087188309019505,1,23.596524,a
Homoserine_X_HILICPos,S2C3_A,0,1,23.596524,a
Hypotaurine_X_HILICPos,S2C3_A,6.54173155916949e-4,1,23.596524,a
I102.0549R12.14_HILICNeg_X_HILICNeg,S2C3_A,0.014250931764989691,1,23.596524,a
I104.1074R10.68_HILICPos_X_HILICPos,S2C3_A,0.005885494937192253,3,23.596524,d
I107.0734R9.09_HILICPos_X_HILICPos,S2C3_A,8.475479557045305e-4,4,23.596524,c
I116.0709R8.8_HILICPos_X_HILICPos,S2C3_A,0.0070508970564589655,1,23.596524,a
I118.0864R7.19_HILICPos_X_HILICPos,S2C3_A,0.016669941438146593,1,23.596524,a
I120.0811R5.29_HILICPos_X_HILICPos,S2C3_A,0.014305378776746765,1,23.596524,a
I121.032R8.27_HILICPos_X_HILICPos,S2C3_A,0.00752702155824405,1,23.596524,a
I121.0684R10.7_HILICPos_X_HILICPos,S2C3_A,0.0037614940775215575,5,23.596524,e
I124.0064R10.88_HILICNeg_X_HILICNeg,S2C3_A,0.01021736679070707,1,23.596524,a
I126.904R4.8_HILICNeg_X_HILICNeg,S2C3_A,0.008922719479295174,2,23.596524,b
I130.05R11.1_HILICPos_X_HILICPos,S2C3_A,0.019778268073189175,2,23.596524,b
I130.1592R4.02_CyanoAq_X_RP,S2C3_A,0.00939876292684353,1,23.596524,a
I131.0704R10.12_HILICPos_X_HILICPos,S2C3_A,0.012369867944322342,2,23.596524,b
I132.102R6.53_HILICPos_X_HILICPos,S2C3_A,0.03453334539876516,2,23.596524,b
I132.102R9.3_HILICPos_X_HILICPos,S2C3_A,0.013623392024131062,2,23.596524,b
I134.0813R10.18_HILICPos_X_HILICPos,S2C3_A,0.00872685906089534,1,23.596524,a
I136.0508R7.09_HILICPos_X_HILICPos,S2C3_A,0.03909576952242432,2,23.596524,b
I137.0459R1.05_CyanoAq_X_RP,S2C3_A,0.014491643299610989,1,23.596524,a
I137.0459R6.2_HILICPos_X_HILICPos,S2C3_A,0.021704791280695135,1,23.596524,a
I137.0459R7.49_HILICPos_X_HILICPos,S2C3_A,0.004446590431748413,3,23.596524,d
I138.0549R5.35_HILICPos_X_HILICPos,S2C3_A,0.0029597214241678517,1,23.596524,a
I138.055R7.72_HILICPos_X_HILICPos,S2C3_A,0.012285071455472245,1,23.596524,a
I139.0157R7.24_HILICNeg_X_HILICNeg,S2C3_A,0.028506497859503255,3,23.596524,d
I141.0659R7.2_HILICPos_X_HILICPos,S2C3_A,0.008504006302967933,1,23.596524,a
I143.0816R7.97_HILICPos_X_HILICPos,S2C3_A,0.005221530911528685,1,23.596524,a
I144.1019R6.44_HILICPos_X_HILICPos,S2C3_A,0.029754527170858344,2,23.596524,b
I145.0608R10.18_HILICPos_X_HILICPos,S2C3_A,0.004483788083152345,1,23.596524,a
I146.0601R1.92_CyanoAq_X_RP,S2C3_A,0.0123919779938891,3,23.596524,d
I148.0605R12.12_HILICPos_X_HILICPos,S2C3_A,0.012423115656829688,1,23.596524,a
I148.0968R8.21_HILICPos_X_HILICPos,S2C3_A,0.021449034097110013,2,23.596524,b
I148.9235R3.57_HILICNeg_X_HILICNeg,S2C3_A,0.013065976762547789,2,23.596524,b
I149.0631R10.15_HILICPos_X_HILICPos,S2C3_A,0.005030383053360534,4,23.596524,c
I150.0775R6.27_HILICPos_X_HILICPos,S2C3_A,0.017503294176825338,1,23.596524,a
I151.1441R6.61_HILICPos_X_HILICPos,S2C3_A,0.002261473331508229,6,23.596524,f
I152.0567R7.37_HILICPos_X_HILICPos,S2C3_A,0.003479698106620012,5,23.596524,e
I152.0567R8.12_HILICPos_X_HILICPos,S2C3_A,0.04199806770916523,2,23.596524,b
I152.0568R1.08_CyanoAq_X_RP,S2C3_A,0.0032957319194530754,5,23.596524,e
I152.0707R9.08_HILICPos_X_HILICPos,S2C3_A,0.002018539430869574,4,23.596524,c
I152.1282R1.07_CyanoAq_X_RP,S2C3_A,0.009846104624487397,1,23.596524,a
I154.0532R5.23_HILICPos_X_HILICPos,S2C3_A,0.010319163113917656,1,23.596524,a
I154.0723R8.97_HILICPos_X_HILICPos,S2C3_A,0,2,23.596524,b
I155.0815R8.72_HILICPos_X_HILICPos,S2C3_A,0.009467217675836097,2,23.596524,b
I157.0973R7.33_HILICPos_X_HILICPos,S2C3_A,0.011120122616254443,1,23.596524,a
I158.0813R7.81_HILICPos_X_HILICPos,S2C3_A,0.008323938712036691,1,23.596524,a
I158.1176R5.48_HILICPos_X_HILICPos,S2C3_A,0.013614373514469754,1,23.596524,a
I160.037R5.34_HILICPos_X_HILICPos,S2C3_A,0.00258549200495701,1,23.596524,a
I160.0969R6.82_HILICPos_X_HILICPos,S2C3_A,0.011457428159859178,1,23.596524,a
I160.0969R7.56_HILICPos_X_HILICPos,S2C3_A,0.08304975784552772,7,23.596524,g
I160.0969R8.37_HILICPos_X_HILICPos,S2C3_A,0.027821336343929578,2,23.596524,b
I161.0631R9.25_HILICPos_X_HILICPos,S2C3_A,0.0026153456742506642,4,23.596524,c
I162.0776R1.13_CyanoAq_X_RP,S2C3_A,0.0030558488446347817,1,23.596524,a
I162.1125R6.83_HILICPos_X_HILICPos,S2C3_A,0.04415531635363628,7,23.596524,g
I162.1125R8.11_HILICPos_X_HILICPos,S2C3_A,0.011201603437419636,4,23.596524,c
I165.0581R8.33_HILICPos_X_HILICPos,S2C3_A,0.02874997629933562,2,23.596524,b
I166.0864R1.12_CyanoAq_X_RP,S2C3_A,0.01146881215774387,3,23.596524,d
I167.0204R10.56_HILICNeg_X_HILICNeg,S2C3_A,0.011573349447945209,4,23.596524,c
I168.0517R1.05_CyanoAq_X_RP,S2C3_A,0.07697503364122565,7,23.596524,g
I170.0684R16.91_HILICPos_X_HILICPos,S2C3_A,0.022161895318672017,2,23.596524,b
I170.1176R8.07_HILICPos_X_HILICPos,S2C3_A,0.04294228950051191,2,23.596524,b
I172.0067R5.44_HILICNeg_X_HILICNeg,S2C3_A,0.01867257078156888,2,23.596524,b
I173.0921R8.33_HILICPos_X_HILICPos,S2C3_A,0.013420685647155674,2,23.596524,b
I174.022R5.45_HILICPos_X_HILICPos,S2C3_A,0.01862897718564789,2,23.596524,b
I174.1126R6.89_HILICPos_X_HILICPos,S2C3_A,0.032576505715171705,2,23.596524,b
I174.1126R8.06_HILICPos_X_HILICPos,S2C3_A,0.013884534067580927,1,23.596524,a
I175.0789R1_CyanoAq_X_RP,S2C3_A,0.004200838920798552,7,23.596524,g
I175.119R17.83_HILICPos_X_HILICPos,S2C3_A,0.010006848285289345,1,23.596524,a
I176.0918R10.77_HILICPos_X_HILICPos,S2C3_A,0.04429670896200341,2,23.596524,b
I176.0918R7.43_HILICPos_X_HILICPos,S2C3_A,0.05732353470976707,2,23.596524,b
I176.1281R10.33_HILICPos_X_HILICPos,S2C3_A,0.018634144113575987,2,23.596524,b
I176.1282R7.85_HILICPos_X_HILICPos,S2C3_A,0.001217137955874084,4,23.596524,c
I177.0581R9.17_HILICPos_X_HILICPos,S2C3_A,0.00972875403725579,2,23.596524,b
I177.0582R7.98_HILICPos_X_HILICPos,S2C3_A,0.07552889480799642,7,23.596524,g
I179.0048R7.02_HILICPos_X_HILICPos,S2C3_A,0.05315595637324539,2,23.596524,b
I179.024R6.59_HILICPos_X_HILICPos,S2C3_A,0.007235558189766429,1,23.596524,a
I180.1019R8.38_HILICPos_X_HILICPos,S2C3_A,0.014444043933702702,1,23.596524,a
I182.0674R1.17_CyanoAq_X_RP,S2C3_A,0.0011372529740644607,4,23.596524,c
I185.0922R8.02_HILICPos_X_HILICPos,S2C3_A,0.03830758466629261,7,23.596524,g
I186.0253R12.12_HILICNeg_X_HILICNeg,S2C3_A,0.021974183115994503,1,23.596524,a
I188.0707R7.54_HILICPos_X_HILICPos,S2C3_A,0.010930267978966438,1,23.596524,a
I189.1235R6.93_HILICPos_X_HILICPos,S2C3_A,0.007599386531361887,1,23.596524,a
I190.1439R0.83_CyanoAq_X_RP,S2C3_A,0.011189475851991523,2,23.596524,b
I192.9131R3.72_HILICNeg_X_HILICNeg,S2C3_A,0.014913008726404204,7,23.596524,g
I192.9808R2.93_HILICNeg_X_HILICNeg,S2C3_A,0.004324640759610908,1,23.596524,a
I193.0531R10.87_HILICPos_X_HILICPos,S2C3_A,0.012494139500090535,2,23.596524,b
I193.0894R10.12_HILICPos_X_HILICPos,S2C3_A,0.013038926286467864,2,23.596524,b
I194.9965R12.04_HILICNeg_X_HILICNeg,S2C3_A,0.014822732649790712,1,23.596524,a
I195.0765R10.08_HILICPos_X_HILICPos,S2C3_A,0.002223442741427517,3,23.596524,d
I196.0831R1.52_CyanoAq_X_RP,S2C3_A,0,3,23.596524,d
I196.083R5.03_HILICPos_X_HILICPos,S2C3_A,0,1,23.596524,a
I203.1392R1.16_CyanoAq_X_RP,S2C3_A,0.0042670092041066235,3,23.596524,d
I204.1232R7.22_HILICPos_X_HILICPos,S2C3_A,0.01680870395433569,1,23.596524,a
I204.1233R3.65_HILICPos_X_HILICPos,S2C3_A,3.8996142752058515e-4,4,23.596524,c
I204.1596R0.89_CyanoAq_X_RP,S2C3_A,0.014535648045604947,2,23.596524,b
I206.0351R6.59_HILICPos_X_HILICPos,S2C3_A,0.00639697784137847,1,23.596524,a
I206.0675R2.59_CyanoAq_X_RP,S2C3_A,0,1,23.596524,a
I206.1389R6.76_HILICPos_X_HILICPos,S2C3_A,0.08014082698105136,7,23.596524,g
I207.0686R8.88_HILICPos_X_HILICPos,S2C3_A,0.06800349462766472,7,23.596524,g
I207.1704R6.56_HILICPos_X_HILICPos,S2C3_A,0.009746729058180846,1,23.596524,a
I209.0478R11.07_HILICPos_X_HILICPos,S2C3_A,0.0120637802748225,2,23.596524,b
I209.0843R7.18_HILICPos_X_HILICPos,S2C3_A,0.036829970151084,7,23.596524,g
I209.0844R8.07_HILICPos_X_HILICPos,S2C3_A,0.04993190118531875,7,23.596524,g
I211.0565R12.12_HILICPos_X_HILICPos,S2C3_A,0.016823141134091377,1,23.596524,a
I214.0388R5.25_HILICNeg_X_HILICNeg,S2C3_A,0.006835360308800646,1,23.596524,a
I214.0484R11.68_HILICNeg_X_HILICNeg,S2C3_A,0.001991459247006108,3,23.596524,d
I217.93R10.87_HILICNeg_X_HILICNeg,S2C3_A,0.010109008789207301,1,23.596524,a
I219.1703R6.51_HILICPos_X_HILICPos,S2C3_A,0.008362934955035723,1,23.596524,a
I219.9271R10.87_HILICNeg_X_HILICNeg,S2C3_A,0.009120299610213694,3,23.596524,d
