MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Area,runDate,type,SampID,replicate,Adjusted_Area,Run.Cmpd,Column,Rank,RankPercent
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,84888,170413,Smp,KM1513-15m_A,A,242098.9572782274,170413_Smp_KM1513-15m_A Adenosyl Homocysteine,RP,69,0.21590909090909094
Agmatine,"Indole 3 Acetic Acid, D5",0.3657756063826741,0.36459904666995757,1493456,170413,Smp,KM1513-15m_A,A,1200972.9196449914,170413_Smp_KM1513-15m_A Agmatine,RP,36,0.5909090909090908
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.2226406377978596,1641451,170413,Smp,KM1513-15m_A,A,1748356.6482881177,170413_Smp_KM1513-15m_A Allopurinol,RP,34,0.6136363636363636
Deoxyadenosine,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.255047550388743,0.1765051013425569,4314961,170413,Smp,KM1513-15m_A,A,3301646.35254602,170413_Smp_KM1513-15m_A Deoxyadenosine,RP,17,0.8068181818181819
Glutathione Disulfide,"Pyridoxal, D3",0.6672759216234156,0.5655414546622515,109070,170413,Smp,KM1513-15m_A,A,311065.56015380577,170413_Smp_KM1513-15m_A Glutathione Disulfide,RP,67,0.23863636363636365
I130.1592R4.02_CyanoAq,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.3900205316220178,0.26032986070712577,0,170413,Smp,KM1513-15m_A,A,NA,170413_Smp_KM1513-15m_A I130.1592R4.02_CyanoAq,RP,88,0
I132.1021R0.87_CyanoAq,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.35305394088682823,0.20923818229903596,190214656,170413,Smp,KM1513-15m_A,A,145545122.0030021,170413_Smp_KM1513-15m_A I132.1021R0.87_CyanoAq,RP,1,0.9886363636363636
I136.0619R0.89_CyanoAq,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.2679290265332057,0.16766520179298552,17822804,170413,Smp,KM1513-15m_A,A,13637341.29201692,170413_Smp_KM1513-15m_A I136.0619R0.89_CyanoAq,RP,6,0.9318181818181819
I137.0459R1.05_CyanoAq,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.2908416517549794,0.195761288740383,14114686,170413,Smp,KM1513-15m_A,A,10800028.447356157,170413_Smp_KM1513-15m_A I137.0459R1.05_CyanoAq,RP,10,0.8863636363636364
I137.0459R1.2_CyanoAq,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.2908416517549794,0.195761288740383,14114686,170413,Smp,KM1513-15m_A,A,10800028.447356157,170413_Smp_KM1513-15m_A I137.0459R1.2_CyanoAq,RP,10,0.8863636363636364
I146.0601R1.92_CyanoAq,Inj_vol,0.15135173708572083,0.15135173708572083,864362,170413,Smp,KM1513-15m_A,A,810339.375,170413_Smp_KM1513-15m_A I146.0601R1.92_CyanoAq,RP,43,0.5113636363636364
I152.0567R0.9_CyanoAq,"Pyridoxal, D3",0.3010495960654766,0.18339455527546245,83715096,170413,Smp,KM1513-15m_A,A,238753857.43623015,170413_Smp_KM1513-15m_A I152.0567R0.9_CyanoAq,RP,2,0.9772727272727273
I152.0568R1.08_CyanoAq,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.23173443445247618,0.17147501893673828,2756095,170413,Smp,KM1513-15m_A,A,2108860.5445148456,170413_Smp_KM1513-15m_A I152.0568R1.08_CyanoAq,RP,27,0.6931818181818181
I152.1282R1.07_CyanoAq,"Tryptamine Hydrochloride, D4",0.982980475880938,0.7589370336776444,4265,170413,Smp,KM1513-15m_A,A,9184.663905390888,170413_Smp_KM1513-15m_A I152.1282R1.07_CyanoAq,RP,86,0.022727272727272707
I162.0776R1.13_CyanoAq,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.22279236821899415,0.17880205619131181,548266,170413,Smp,KM1513-15m_A,A,419512.5840361005,170413_Smp_KM1513-15m_A I162.0776R1.13_CyanoAq,RP,56,0.36363636363636365
