MassFeature_Column,SampID,std_area,cluster,latitude,Depth,cluster_letters
Adenine_X_HILICPos,S7E41D30_1,0.3633966672962799,1,41.417,30,a
Adenosine_X_HILICPos,S7E41D30_1,0.44696814791683426,2,41.417,30,b
Adenosyl Homocysteine_X_HILICPos,S7E41D30_1,0.5196753410474704,2,41.417,30,b
Adenosyl Methionine_X_HILICPos,S7E41D30_1,0.6882488781652905,3,41.417,30,c
Agmatine_X_RP,S7E41D30_1,0.26391745389897864,4,41.417,30,g
Alanine_X_HILICPos,S7E41D30_1,0.46906788953536405,2,41.417,30,b
Allopurinol_X_RP,S7E41D30_1,0.24517694682825436,1,41.417,30,a
Amino Propanesulfonic Acid_X_HILICNeg,S7E41D30_1,0.61492803615784,5,41.417,30,d
Argininosuccinic Acid_X_HILICPos,S7E41D30_1,0.6796317092728068,5,41.417,30,d
Asparagine_X_HILICPos,S7E41D30_1,0.41559919213354174,2,41.417,30,b
Aspartic acid_X_HILICPos,S7E41D30_1,0.38787020840146264,2,41.417,30,b
beta-Alanine_X_HILICPos,S7E41D30_1,0.36469493002331704,1,41.417,30,a
beta-Glutamic acid_X_HILICPos,S7E41D30_1,0.09213831239877328,4,41.417,30,g
Butyryl-L-carnitine_X_HILICPos,S7E41D30_1,0.5748041546850086,5,41.417,30,d
Carnitine_X_HILICPos,S7E41D30_1,0.39343253424221525,1,41.417,30,a
Citrulline_X_HILICPos,S7E41D30_1,0.5952525028903841,3,41.417,30,c
Creatine_X_HILICPos,S7E41D30_1,0.6206214839420996,3,41.417,30,c
Cystathionine_X_HILICPos,S7E41D30_1,0.5688741934502811,5,41.417,30,d
Cysteic Acid_X_HILICNeg,S7E41D30_1,0.4923708311233588,2,41.417,30,b
Cytidine_X_HILICNeg,S7E41D30_1,0.468327007561625,2,41.417,30,b
Cytosine_X_HILICPos,S7E41D30_1,0.22569981688949187,1,41.417,30,a
Dexpanthenol_X_HILICPos,S7E41D30_1,0.006807735738593846,4,41.417,30,g
DHPS_X_HILICNeg,S7E41D30_1,0.5006073775614993,2,41.417,30,b
DMSP_HILICPos_X_HILICPos,S7E41D30_1,0.5486063094170331,5,41.417,30,d
Gluconic Acid_X_HILICNeg,S7E41D30_1,0.5714118586088096,5,41.417,30,d
Glucosylglycerol_X_HILICPos,S7E41D30_1,0.4956824017904354,2,41.417,30,b
Glutamine_X_HILICPos,S7E41D30_1,0.3853456992865723,2,41.417,30,b
Glutathione Disulfide_X_RP,S7E41D30_1,0.6146199741751637,5,41.417,30,d
Glycerophosphocholine_X_HILICPos,S7E41D30_1,0.5571063008542522,5,41.417,30,d
Gonyol_X_HILICPos,S7E41D30_1,0.6248498266999931,5,41.417,30,d
Histidine_X_HILICPos,S7E41D30_1,0.37026029159683094,1,41.417,30,a
Homoserine_X_HILICPos,S7E41D30_1,0.8345318577958658,3,41.417,30,c
Hypotaurine_X_HILICPos,S7E41D30_1,0.48906622371367814,2,41.417,30,b
I102.0549R12.14_HILICNeg_X_HILICNeg,S7E41D30_1,0.3766885742117062,2,41.417,30,b
I104.1074R10.68_HILICPos_X_HILICPos,S7E41D30_1,0.5318186159431096,5,41.417,30,d
I107.0734R9.09_HILICPos_X_HILICPos,S7E41D30_1,0.5796585008786995,5,41.417,30,d
I116.0709R8.8_HILICPos_X_HILICPos,S7E41D30_1,0.4268198859237461,2,41.417,30,b
I118.0864R7.19_HILICPos_X_HILICPos,S7E41D30_1,0.30290975256147123,1,41.417,30,a
I120.0811R5.29_HILICPos_X_HILICPos,S7E41D30_1,0.5031206783869773,2,41.417,30,b
I121.032R8.27_HILICPos_X_HILICPos,S7E41D30_1,0.7186506694445014,3,41.417,30,c
I121.0684R10.7_HILICPos_X_HILICPos,S7E41D30_1,0.7579180528276892,3,41.417,30,c
I124.0064R10.88_HILICNeg_X_HILICNeg,S7E41D30_1,0.42218417896138405,2,41.417,30,b
I126.904R4.8_HILICNeg_X_HILICNeg,S7E41D30_1,0.2248775652518724,1,41.417,30,a
I130.05R11.1_HILICPos_X_HILICPos,S7E41D30_1,0.38045428916969665,2,41.417,30,b
I131.0704R10.12_HILICPos_X_HILICPos,S7E41D30_1,0.5284441730482907,5,41.417,30,d
I132.102R6.53_HILICPos_X_HILICPos,S7E41D30_1,0.34385608423716435,1,41.417,30,a
I132.102R9.3_HILICPos_X_HILICPos,S7E41D30_1,0.3277551527518949,1,41.417,30,a
I134.0813R10.18_HILICPos_X_HILICPos,S7E41D30_1,0.7365660127601287,3,41.417,30,c
I136.0508R7.09_HILICPos_X_HILICPos,S7E41D30_1,0.08913076606994365,4,41.417,30,g
I137.0459R1.05_CyanoAq_X_RP,S7E41D30_1,0.3601379774563011,1,41.417,30,a
I137.0459R6.2_HILICPos_X_HILICPos,S7E41D30_1,0.37727517280180445,2,41.417,30,b
I137.0459R7.49_HILICPos_X_HILICPos,S7E41D30_1,0.35485233869242055,1,41.417,30,a
I138.0549R5.35_HILICPos_X_HILICPos,S7E41D30_1,0.4559854361794305,2,41.417,30,b
I138.055R7.72_HILICPos_X_HILICPos,S7E41D30_1,0.4470277141098678,2,41.417,30,b
I139.0157R7.24_HILICNeg_X_HILICNeg,S7E41D30_1,0.676981840546091,5,41.417,30,d
I141.0659R7.2_HILICPos_X_HILICPos,S7E41D30_1,0.40780298754019656,1,41.417,30,a
I143.0816R7.97_HILICPos_X_HILICPos,S7E41D30_1,0.4712991244722004,2,41.417,30,b
I144.1019R6.44_HILICPos_X_HILICPos,S7E41D30_1,0.26669570920690633,1,41.417,30,a
I145.0608R10.18_HILICPos_X_HILICPos,S7E41D30_1,0.7046199290742406,3,41.417,30,c
I146.0601R1.92_CyanoAq_X_RP,S7E41D30_1,0.45621955793108676,2,41.417,30,b
I148.0605R12.12_HILICPos_X_HILICPos,S7E41D30_1,0.35781673687560245,1,41.417,30,a
I148.0968R8.21_HILICPos_X_HILICPos,S7E41D30_1,0.39688430848544476,2,41.417,30,b
I148.9235R3.57_HILICNeg_X_HILICNeg,S7E41D30_1,0,6,41.417,30,e
I149.0631R10.15_HILICPos_X_HILICPos,S7E41D30_1,0.8053235221842525,3,41.417,30,c
I150.0775R6.27_HILICPos_X_HILICPos,S7E41D30_1,0.28199986727952087,1,41.417,30,a
I151.1441R6.61_HILICPos_X_HILICPos,S7E41D30_1,0.6035863897584722,5,41.417,30,d
I152.0567R7.37_HILICPos_X_HILICPos,S7E41D30_1,0.30099874770831814,1,41.417,30,a
I152.0567R8.12_HILICPos_X_HILICPos,S7E41D30_1,0.3182765585155626,1,41.417,30,a
I152.0568R1.08_CyanoAq_X_RP,S7E41D30_1,0.2840460508469344,1,41.417,30,a
I152.0707R9.08_HILICPos_X_HILICPos,S7E41D30_1,0.4926368283859317,2,41.417,30,b
I152.1282R1.07_CyanoAq_X_RP,S7E41D30_1,0.09009263817898303,4,41.417,30,g
I154.0532R5.23_HILICPos_X_HILICPos,S7E41D30_1,0.15453316509858492,4,41.417,30,g
I154.0723R8.97_HILICPos_X_HILICPos,S7E41D30_1,0.47277962645028176,2,41.417,30,b
I155.0815R8.72_HILICPos_X_HILICPos,S7E41D30_1,0.2991776369254784,1,41.417,30,a
I157.0973R7.33_HILICPos_X_HILICPos,S7E41D30_1,0.3047010314546782,1,41.417,30,a
I158.0813R7.81_HILICPos_X_HILICPos,S7E41D30_1,0.1800686906772496,1,41.417,30,a
I158.1176R5.48_HILICPos_X_HILICPos,S7E41D30_1,0.3618326811133741,1,41.417,30,a
I160.037R5.34_HILICPos_X_HILICPos,S7E41D30_1,0.515099738512304,2,41.417,30,b
I160.0969R6.82_HILICPos_X_HILICPos,S7E41D30_1,0.2742166515672419,1,41.417,30,a
I160.0969R7.56_HILICPos_X_HILICPos,S7E41D30_1,0.1950320300147313,4,41.417,30,g
I160.0969R8.37_HILICPos_X_HILICPos,S7E41D30_1,0.3250671188183936,1,41.417,30,a
I161.0631R9.25_HILICPos_X_HILICPos,S7E41D30_1,0.8163190965943574,3,41.417,30,c
I162.0776R1.13_CyanoAq_X_RP,S7E41D30_1,0.4061523785511546,1,41.417,30,a
I162.1125R6.83_HILICPos_X_HILICPos,S7E41D30_1,0.33155566567598727,1,41.417,30,a
I162.1125R8.11_HILICPos_X_HILICPos,S7E41D30_1,0.49511037192903173,2,41.417,30,b
I165.0581R8.33_HILICPos_X_HILICPos,S7E41D30_1,0.6848127870074374,3,41.417,30,c
I166.0864R1.12_CyanoAq_X_RP,S7E41D30_1,0.4604469873706732,2,41.417,30,b
I167.0204R10.56_HILICNeg_X_HILICNeg,S7E41D30_1,0.5561406401572662,5,41.417,30,d
I168.0517R1.05_CyanoAq_X_RP,S7E41D30_1,0.6972008442987188,5,41.417,30,d
I170.0684R16.91_HILICPos_X_HILICPos,S7E41D30_1,0.6819202012595229,3,41.417,30,c
I170.1176R8.07_HILICPos_X_HILICPos,S7E41D30_1,0.07776590699219871,4,41.417,30,g
I172.0067R5.44_HILICNeg_X_HILICNeg,S7E41D30_1,0.769461686439129,3,41.417,30,c
I173.0921R8.33_HILICPos_X_HILICPos,S7E41D30_1,0.09208467385002683,4,41.417,30,g
I174.022R5.45_HILICPos_X_HILICPos,S7E41D30_1,0.7160399355761712,3,41.417,30,c
I174.1126R6.89_HILICPos_X_HILICPos,S7E41D30_1,0.05371874444941254,4,41.417,30,g
I174.1126R8.06_HILICPos_X_HILICPos,S7E41D30_1,0.1600265176673976,4,41.417,30,g
I175.0789R1_CyanoAq_X_RP,S7E41D30_1,0.5838000822789255,3,41.417,30,c
I175.119R17.83_HILICPos_X_HILICPos,S7E41D30_1,0.564050281973683,5,41.417,30,d
I176.0918R10.77_HILICPos_X_HILICPos,S7E41D30_1,0.3630931062943803,1,41.417,30,a
I176.0918R7.43_HILICPos_X_HILICPos,S7E41D30_1,0.09096515308674141,4,41.417,30,g
I176.1281R10.33_HILICPos_X_HILICPos,S7E41D30_1,0.3437861175777256,1,41.417,30,a
I176.1282R7.85_HILICPos_X_HILICPos,S7E41D30_1,0.7670148218743381,3,41.417,30,c
I177.0581R9.17_HILICPos_X_HILICPos,S7E41D30_1,0.3344850446763051,1,41.417,30,a
I179.0048R7.02_HILICPos_X_HILICPos,S7E41D30_1,0.03227418487490414,4,41.417,30,g
I179.024R6.59_HILICPos_X_HILICPos,S7E41D30_1,0.35310907322571355,1,41.417,30,a
I180.1019R8.38_HILICPos_X_HILICPos,S7E41D30_1,0.46644440151260363,2,41.417,30,b
I182.0674R1.17_CyanoAq_X_RP,S7E41D30_1,0.6939500625371032,5,41.417,30,d
I185.0922R8.02_HILICPos_X_HILICPos,S7E41D30_1,0.09047191596674865,4,41.417,30,g
I186.0253R12.12_HILICNeg_X_HILICNeg,S7E41D30_1,0,4,41.417,30,g
I188.0707R7.54_HILICPos_X_HILICPos,S7E41D30_1,0.5002271546990825,2,41.417,30,b
I189.1235R6.93_HILICPos_X_HILICPos,S7E41D30_1,0.1591808574749702,4,41.417,30,g
I192.9808R2.93_HILICNeg_X_HILICNeg,S7E41D30_1,1,7,41.417,30,f
I193.0531R10.87_HILICPos_X_HILICPos,S7E41D30_1,0.7773545265003244,3,41.417,30,c
I193.0894R10.12_HILICPos_X_HILICPos,S7E41D30_1,0.5154695552474139,1,41.417,30,a
I194.9965R12.04_HILICNeg_X_HILICNeg,S7E41D30_1,0.7721138253484434,3,41.417,30,c
I195.0765R10.08_HILICPos_X_HILICPos,S7E41D30_1,0.7084284209052865,3,41.417,30,c
