BestMatch,MassFeature_Column,Rank,RankPercent,SampID,nmolinEnviroave,nmolCave,nmolNave,percentCave,percentNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN
Adenosyl Homocysteine,Adenosyl Homocysteine_X_HILICPos,143,0.020547945205479423,KM1513-15m_A,0.0018513943034499294,0.02591952024829901,0.011108365820699576,7.469602377031415e-4,NA,188.47106248363508,188.47106248363508,1.3752519833409228e-4,1.3752519833409228e-4
Adenosyl Methionine,Adenosyl Methionine_X_HILICPos,129,0.11643835616438358,KM1513-15m_A,0.002796304085402715,0.04194456128104073,0.01677782451241629,0.001208776982162557,NA,188.47106248363508,188.47106248363508,2.2255173143454195e-4,2.2255173143454195e-4
Alanine,Alanine_X_HILICPos,89,0.3904109589041096,KM1513-15m_A,0.3250352961425523,0.9751058884276569,0.3250352961425523,0.028101034248635644,NA,188.47106248363508,188.47106248363508,0.005173769785015804,0.005173769785015804
Argininosuccinic Acid,Argininosuccinic Acid_X_HILICPos,144,0.013698630136986356,KM1513-15m_A,5.467846789305448e-4,0.005467846789305448,0.0021871387157221794,1.5757483542667e-4,NA,188.47106248363508,188.47106248363508,2.901159847698222e-5,2.901159847698222e-5
Asparagine,Asparagine_X_HILICPos,113,0.226027397260274,KM1513-15m_A,0.03326605929231646,0.13306423716926585,0.06653211858463293,0.003834704241189218,NA,188.47106248363508,188.47106248363508,7.060194568639406e-4,7.060194568639406e-4
Aspartic acid,Aspartic acid_X_HILICPos,118,0.1917808219178082,KM1513-15m_A,0.06526064872882012,0.2610425949152805,0.06526064872882012,0.007522841352025375,NA,188.47106248363508,188.47106248363508,0.0013850539784480006,0.0013850539784480006
beta-Alanine,beta-Alanine_X_HILICPos,74,0.4931506849315068,KM1513-15m_A,0.058836065952995203,0.1765081978589856,0.058836065952995203,0.005086691580950594,NA,188.47106248363508,188.47106248363508,9.36526783119885e-4,9.36526783119885e-4
Butyryl-L-carnitine,Butyryl-L-carnitine_X_HILICPos,105,0.2808219178082192,KM1513-15m_A,1.373904268009581e-4,0.0015112946948105392,1.373904268009581e-4,4.355316123373312e-5,NA,188.47106248363508,188.47106248363508,8.01870947664321e-6,8.01870947664321e-6
Carnitine,Carnitine_X_HILICPos,27,0.815068493150685,KM1513-15m_A,0.02153890294465774,0.15077232061260418,0.02153890294465774,0.004345023648778219,NA,188.47106248363508,188.47106248363508,7.999759677998086e-4,7.999759677998086e-4
Citrulline,Citrulline_X_HILICPos,95,0.34931506849315064,KM1513-15m_A,0.0166027034045287,0.09961622042717219,0.049808110213586096,0.0028707844503507835,NA,188.47106248363508,188.47106248363508,5.285491529280356e-4,5.285491529280356e-4
Creatine,Creatine_X_HILICPos,30,0.7945205479452055,KM1513-15m_A,0.019957273062216462,0.07982909224886585,0.05987181918664938,0.0023005502089010334,NA,188.47106248363508,188.47106248363508,4.235615335155093e-4,4.235615335155093e-4
Cystathionine,Cystathionine_X_HILICPos,140,0.04109589041095896,KM1513-15m_A,0.004930992504260208,0.03451694752982146,0.009861985008520415,9.947247126749698e-4,NA,188.47106248363508,188.47106248363508,1.8314189496766148e-4,1.8314189496766148e-4
