MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,MassFeature_Column,Volume,Adjusted_Area_VolNormed,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFFlag,RFratio,nmolinEnviroave,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,molFractionC_pertotalC
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,1493456,170413,Smp,KM1513-15m_A,A,170413,1493456,170413_Smp_KM1513-15m_A Agmatine,RP,Agmatine_X_RP,10.7,139575.32710280374,29,0.618421052631579,1,400,1,1,Agmatine,39594888.47169144,14259471.039947825,31593254.34093568,used relative RF,0.5739625810760454,0.0030788653918623747,C5H14N4,5,4,0.015394326959311873,0.012315461567449499,107.57775766256508,23.45714628549105,1.430995337121513e-4,5.250196003197108e-4,3.47,4.436405463778638e-6
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,1641451,170413,Smp,KM1513-15m_A,A,170413,1500713.647801049,170413_Smp_KM1513-15m_A Allopurinol,RP,Allopurinol_X_RP,10.7,140253.6119440233,27,0.6447368421052632,1,400,1,1,Allopurinol,6475830.387471045,6466174.695705364,6471002.541588205,used relative RF,0.8382497728907972,0.010342583383459584,C5H4N4O,5,4,0.05171291691729792,0.04137033353383834,107.57775766256508,23.45714628549105,4.8070268465256354e-4,0.0017636558612173184,3.47,1.4902857901238594e-5
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,109070,170413,Smp,KM1513-15m_A,A,170413,109070,170413_Smp_KM1513-15m_A Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,10.7,10193.457943925234,60,0.21052631578947367,1,400,1,1,Glutathione Disulfide,1480891.373896514,843324.9727176229,1305888.0688367917,used relative RF,0.41903843437671984,0.007451122686356104,C20H32N6O12S2,20,6,0.14902245372712208,0.04470673611813662,107.57775766256508,23.45714628549105,0.0013852533921979947,0.0019058898117453053,3.47,4.2945952082744115e-5
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,2365423,170413,Smp,KM1513-15m_A,A,170413,2365423,170413_Smp_KM1513-15m_A I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,10.7,221067.57009345797,22,0.7105263157894737,1,400,1,1,Methylthioadenosine,100395888,65555820,85624910.66666667,NA,0.910014845623046,0.0011348446648470605,C11H15N5O3S,11,5,0.012483291313317666,0.005674223324235303,107.57775766256508,23.45714628549105,1.1603970546098865e-4,2.4189742670211253e-4,3.47,3.5974902920223822e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,52809,170413,Smp,KM1513-15m_A,A,170413,52809,170413_Smp_KM1513-15m_A Kynurenine,RP,Kynurenine_X_RP,10.7,4935.420560747664,64,0.1578947368421053,1,400,1,1,Kynurenine,34068732,22632140,26481184,NA,0.7534280860084843,9.89475289197795e-5,C10H12N2O3,10,2,9.894752891977951e-4,1.97895057839559e-4,107.57775766256508,23.45714628549105,9.19776829985101e-6,8.436450684624117e-6,3.47,2.8515138017227524e-7
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,55789,170413,Smp,KM1513-15m_A,A,170413,55789,170413_Smp_KM1513-15m_A Sulfurol,RP,Sulfurol_X_RP,10.7,5213.92523364486,63,0.17105263157894737,1,400,1,1,Sulfurol,164414928,116305160,133106810.66666669,NA,1.0047080853267951,1.5594972589035825e-5,C6H9NOS,6,1,9.356983553421495e-5,1.5594972589035825e-5,107.57775766256508,23.45714628549105,8.697879335588289e-7,6.648282105262645e-7,3.47,2.6965370470955317e-8
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,0,170413,Smp,KM1513-15m_A,A,170413,NA,170413_Smp_KM1513-15m_A Vitamin B5,RP,Vitamin B5_X_RP,10.7,NA,76,0,1,400,1,1,Vitamin B5,37068364,25428540,30543792,NA,0.5472808295696836,NA,C9H17NO5,9,1,NA,NA,107.57775766256508,23.45714628549105,NA,NA,3.47,NA
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,1490818,170413,Smp,KM1513-15m_B,B,170413,1490818,170413_Smp_KM1513-15m_B Agmatine,RP,Agmatine_X_RP,10.7,139328.78504672897,28,0.6363636363636364,1,400,1,1,Agmatine,39594888.47169144,14259471.039947825,31593254.34093568,used relative RF,0.5739625810760454,0.0030734269678955937,C5H14N4,5,4,0.015367134839477969,0.012293707871582375,122.18628090439404,26.27220668378334,1.2576808726588666e-4,4.6793586924583427e-4,3.47,4.428569118005178e-6
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,1458616,170413,Smp,KM1513-15m_B,B,170413,1338384.0599541264,170413_Smp_KM1513-15m_B Allopurinol,RP,Allopurinol_X_RP,10.7,125082.6224256193,30,0.6103896103896104,1,400,1,1,Allopurinol,6475830.387471045,6466174.695705364,6471002.541588205,used relative RF,0.8382497728907972,0.009223844108735536,C5H4N4O,5,4,0.04611922054367768,0.036895376434942145,122.18628090439404,26.27220668378334,3.774500721546976e-4,0.0014043501133734614,3.47,1.3290841655238525e-5
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,93102,170413,Smp,KM1513-15m_B,B,170413,93102,170413_Smp_KM1513-15m_B Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,10.7,8701.121495327103,62,0.19480519480519476,1,400,1,1,Glutathione Disulfide,1480891.373896514,843324.9727176229,1305888.0688367917,used relative RF,0.41903843437671984,0.006360267941185716,C20H32N6O12S2,20,6,0.12720535882371434,0.0381616076471143,122.18628090439404,26.27220668378334,0.0010410772623748777,0.0014525467200541533,3.47,3.665860484833266e-5
