Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,170410_Std_4uM_StdsInH2O_22,Uracil,4.22,130814088,21036516,7980464,-5.4,molecules1
molecules1,170410_Std_4uM_StdsInH2O_32,Uracil,4.21,124805848,22176690,7741473,-6.3,molecules1
molecules1,170419_Std_4uM_StdsInH2O_12,Uracil,3.73,136444832,18320376,13182723,-4.9,molecules1
molecules1,170419_Std_4uM_StdsInH2O_22,Uracil,3.69,96539664,4356215,8533031,-5.2,molecules1
molecules1,180702_Std_4uMStdsMix1InH2O_1,Uracil,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180702_Std_4uMStdsMix1InH2O_2,Uracil,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180702_Std_4uMStdsMix1InMatrix_1,Uracil,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180702_Std_4uMStdsMix1InMatrix_2,Uracil,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180702_Std_4uMStdsMix2InH2O_1,Uracil,3.83,62912024,0,7019657,-4.4,molecules1
molecules1,180702_Std_4uMStdsMix2InH2O_2,Uracil,3.81,69269568,0,5607469,-3.4,molecules1
molecules1,180702_Std_4uMStdsMix2InMatrix_1,Uracil,3.83,61605308,0,6783404,-4.6,molecules1
molecules1,180702_Std_4uMStdsMix2InMatrix_2,Uracil,3.81,74296176,0,5885866,-3.3,molecules1
molecules1,170410_Std_4uM_StdsInH2O_22,Isethionic Acid,6.18,520860544,6630465,25836726,-4.4,molecules1
molecules1,170410_Std_4uM_StdsInH2O_32,Isethionic Acid,5.74,688715072,3149142,28294760,-5.2,molecules1
molecules1,170419_Std_4uM_StdsInH2O_12,Isethionic Acid,7.3,476717728,5920850,37488200,-3.8,molecules1
molecules1,170419_Std_4uM_StdsInH2O_22,Isethionic Acid,6.79,1016757184,15464231,74039144,-4.5,molecules1
molecules1,180702_Std_4uMStdsMix1InH2O_1,Isethionic Acid,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180702_Std_4uMStdsMix1InH2O_2,Isethionic Acid,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180702_Std_4uMStdsMix1InMatrix_1,Isethionic Acid,7.81,162518448,0,7214465,-3.7,molecules1
molecules1,180702_Std_4uMStdsMix1InMatrix_2,Isethionic Acid,7.01,263222048,0,9815649,-2.2,molecules1
molecules1,180702_Std_4uMStdsMix2InH2O_1,Isethionic Acid,7.86,207454400,0,18210946,-3.5,molecules1
molecules1,180702_Std_4uMStdsMix2InH2O_2,Isethionic Acid,7.02,343393760,2835320,22690050,-2.5,molecules1
molecules1,180702_Std_4uMStdsMix2InMatrix_1,Isethionic Acid,7.83,413188896,0,16210057,-3.3,molecules1
molecules1,180702_Std_4uMStdsMix2InMatrix_2,Isethionic Acid,7.06,617893632,0,20287922,-2.5,molecules1
molecules1,170410_Std_4uM_StdsInH2O_22,L-Pyroglutamic acid,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
