Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules2,170410_Std_4uM_StdsInH2O_2,Alanine,11.38,46072744,2658818,3082040,0.4,molecules2
molecules2,170410_Std_4uM_StdsInH2O_3,Alanine,11.42,27098516,3569854,1690961,-0.5,molecules2
molecules2,170419_Std_4uM_StdsInH2O_1,Alanine,10.73,25412424,2400227,1756463,0,molecules2
molecules2,170419_Std_4uM_StdsInH2O_2,Alanine,10.73,29407800,1794524,3140099,0,molecules2
molecules2,180702_Std_4uMStdsMix1InH2O_1,Alanine,10.94,50812200,1182761,4809488,-0.5,molecules2
molecules2,180702_Std_4uMStdsMix1InH2O_2,Alanine,10.64,29650164,959606,3347538,-0.3,molecules2
molecules2,180702_Std_4uMStdsMix1InMatrix_1,Alanine,11.03,57907996,515306,6634602,-0.4,molecules2
molecules2,180702_Std_4uMStdsMix2InH2O_1,Alanine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules2
molecules2,180702_Std_4uMStdsMix2InMatrix_1,Alanine,11.06,22954912,431827,2839190,-0.1,molecules2
molecules2,170410_Std_4uM_StdsInH2O_2,beta-Alanine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules2
molecules2,170410_Std_4uM_StdsInH2O_3,beta-Alanine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules2
molecules2,170419_Std_4uM_StdsInH2O_1,beta-Alanine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules2
molecules2,170419_Std_4uM_StdsInH2O_2,beta-Alanine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules2
molecules2,180702_Std_4uMStdsMix1InH2O_1,beta-Alanine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules2
molecules2,180702_Std_4uMStdsMix1InH2O_2,beta-Alanine,10.99,18880046,1573940,2026780,-0.3,molecules2
molecules2,180702_Std_4uMStdsMix1InMatrix_1,beta-Alanine,11.77,17557374,3178837,1512374,-0.5,molecules2
molecules2,180702_Std_4uMStdsMix2InH2O_1,beta-Alanine,11.66,66864088,2194007,6444540,-0.6,molecules2
molecules2,180702_Std_4uMStdsMix2InMatrix_1,beta-Alanine,11.79,92917808,4424861,7723129,-0.2,molecules2
molecules2,170410_Std_4uM_StdsInH2O_2,Sarcosine,10.58,91099888,963242,8236153,0,molecules2
molecules2,170410_Std_4uM_StdsInH2O_3,Sarcosine,10.52,46396600,0,3668756,-0.4,molecules2
molecules2,170419_Std_4uM_StdsInH2O_1,Sarcosine,10,43144532,683287,4688316,0,molecules2
molecules2,170419_Std_4uM_StdsInH2O_2,Sarcosine,9.88,57451028,997756,6311779,0,molecules2
molecules2,180702_Std_4uMStdsMix1InH2O_1,Sarcosine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules2
