MF_Frac,m.z,Column,z,Manual_Annote,Manual_Confidence,mz,rt,Confidence,BestMatch
Adenine,136.06232,HILICPos,1,NA,NA,NA,NA,1,Adenine
Adenosine,268.10458,HILICPos,1,NA,NA,NA,NA,1,Adenosine
Adenosyl Homocysteine,385.129416,CyanoAq,1,NA,NA,NA,NA,1,Adenosyl Homocysteine
Adenosyl Homocysteine,385.129416,HILICPos,1,NA,NA,NA,NA,1,Adenosyl Homocysteine
Adenosyl Methionine,399.145066,HILICPos,1,NA,NA,NA,NA,1,Adenosyl Methionine
Agmatine,131.129671,CyanoAq,1,NA,NA,NA,NA,1,Agmatine
Alanine,90.055504,HILICPos,1,NA,NA,NA,NA,1,Alanine
Allopurinol,137.046336,CyanoAq,1,NA,NA,NA,NA,1,Allopurinol
Amino Propanesulfonic Acid,138.022491,HILICNeg,-1,NA,NA,NA,NA,1,Amino Propanesulfonic Acid
Argininosuccinic Acid,291.13046,HILICPos,1,NA,NA,NA,NA,1,Argininosuccinic Acid
Asparagine,133.061318,HILICPos,1,NA,NA,NA,NA,1,Asparagine
Aspartic acid,134.045334,HILICPos,1,NA,NA,NA,NA,1,Aspartic acid
beta-Alanine,90.055504,HILICPos,1,NA,NA,NA,NA,1,beta-Alanine
Butyryl-L-carnitine,232.154884,HILICPos,1,NA,NA,NA,NA,1,Butyryl-L-carnitine
Carnitine,162.113019,HILICPos,1,NA,NA,NA,NA,1,Carnitine
Citrulline,176.103517,HILICPos,1,NA,NA,NA,NA,1,Citrulline
Creatine,132.077302,HILICPos,1,NA,NA,NA,NA,1,Creatine
Cystathionine,223.075255,HILICPos,1,NA,NA,NA,NA,1,Cystathionine
Cysteic Acid,167.996671,HILICNeg,-1,NA,NA,NA,NA,1,Cysteic Acid
Cytidine,242.077697,HILICNeg,-1,NA,NA,NA,NA,1,Cytidine
Cytosine,112.051087,HILICPos,1,NA,NA,NA,NA,1,Cytosine
Deoxyadenosine,252.109665,CyanoAq,1,NA,NA,NA,NA,1,Deoxyadenosine
Dexpanthenol,206.139234,HILICPos,1,NA,NA,NA,NA,1,Dexpanthenol
DHPS,155.001422,HILICNeg,-1,NA,NA,NA,NA,1,DHPS
DMSP_HILICPos,NA,HILICPos,NA,DMSP,1,NA,NA,1,DMSP
Gluconic Acid,195.05048,HILICNeg,-1,NA,NA,NA,NA,1,Gluconic Acid
Glucosylglycerol,255.107995,HILICPos,1,NA,NA,NA,NA,1,Glucosylglycerol
Glutamine,147.076968,HILICPos,1,NA,NA,NA,NA,1,Glutamine
Glutathione Disulfide,613.159793,CyanoAq,1,NA,NA,NA,NA,1,Glutathione Disulfide
Glycerophosphocholine,258.110652,HILICPos,1,NA,NA,NA,NA,1,Glycerophosphocholine
Gonyol,179.074191,HILICPos,1,NA,NA,NA,NA,1,Gonyol
Guanosine,282.083845,HILICNeg,-1,NA,NA,NA,NA,1,Guanosine
Histidine,156.077302,HILICPos,1,NA,NA,NA,NA,1,Histidine
Homoserine,120.066069,HILICPos,1,NA,NA,NA,NA,1,Homoserine
Hypotaurine,110.027576,HILICPos,1,NA,NA,NA,NA,1,Hypotaurine
Inosine,267.072946,HILICNeg,-1,NA,NA,NA,NA,1,Inosine
Inosine,269.088596,HILICPos,1,NA,NA,NA,NA,1,Inosine
Isethionic Acid,124.990857,HILICNeg,-1,NA,NA,NA,NA,1,Isethionic Acid
Kynurenine,209.092618,CyanoAq,1,NA,NA,NA,NA,1,Kynurenine
Kynurenine,209.092618,HILICPos,1,NA,NA,NA,NA,1,Kynurenine
L-Pyroglutamic acid,128.034768,HILICNeg,-1,NA,NA,NA,NA,1,L-Pyroglutamic acid
Lysine,147.113353,HILICPos,1,NA,NA,NA,NA,1,Lysine
Malic Acid,133.0137,HILICNeg,-1,NA,NA,NA,NA,1,Malic Acid
Methionine Sulfoxide,166.053791,HILICPos,1,NA,NA,NA,NA,1,Methionine Sulfoxide
