MassFeature_Column,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C1_B,S2C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
Adenosyl Homocysteine_X_HILICPos,87971,0,0,579478,692871,142058,252745,226249,147315,258450,26154,92863,177389,224748,11414,87402,174473,0,0,14974,0,73033,45044,22069,0,58974,82948,165383,142629,294953,182654,215101,0,8355,0,0,0,0,0,968732,887023,0,0,294570,293960,115288,704637,572060,478958,860697,350969,195658,245448,140862,67382,165640,113425,107755,30389,0
Adenosyl Homocysteine_X_RP,11631,9429,12794,84888,109272,98459,34646,38279,9422,28359,43335,43184,14991,91496,17010,11126,54213,0,0,5621,20364,22547,14069,8615,0,3053,19325,41039,35324,21062,27919,62683,3989,0,0,0,3885,5352,0,543162,404529,15410,0,24797,82649,29850,55095,44029,77407,108016,100174,70516,48596,31055,32234,11923,20092,38334,15217,3083
Adenosyl Methionine_X_HILICPos,963718,257844,534934,4009195,4642524,2541878,1542081,1993993,1609556,1007307,1140784,1798626,777942,2153428,700031,702057,519905,637275,334766,242503,738271,371982,323741,203765,175083,282738,380588,1185951,857704,1528329,1189468,5043717,316796,426455,0,0,0,564435,10031,23342406,9493543,67780,10997,987127,4768947,447262,1450411,906146,3324321,8000823,5972700,1523360,10883617,2170923,863416,1727719,2905035,1724450,2377288,628312
Agmatine_X_RP,956713,491402,462921,1493456,1490818,1141316,940690,746003,916576,1200604,1009474,1470458,59028,47471,292471,42563,104684,24028,208807,214483,312195,150947,90504,99451,131298,180534,136325,141147,282077,40337,306455,163708,262596,0,0,15687,0,33529,9026,37855,0,12235,35103,49875,27379,41579,13563,91992,137392,450788,31461,137748,168143,274987,342595,186744,67280,283664,117198,129935
Alanine_X_HILICPos,11063894,4525609,6227192,20613254,17935444,9917414,12457721,14872409,12569655,13897377,11200963,17302158,1201462,3602690,1307500,422974,2388433,2952956,2341227,1326003,4269798,2657849,842693,2470118,0,0,0,2272624,1190501,827433,566969,2179364,1245253,3893342,1526612,804568,1582758,5133890,1019733,82810376,68396056,2639043,1175602,1778968,2304459,2051295,1238187,862932,1355816,2403715,2995904,1150064,2163248,3009244,3722263,643211,3900969,1517737,1283768,681341
Allopurinol_X_RP,1120026,1004907,1081693,1641451,1458616,1482305,837340,934264,1046668,1368431,988739,1380217,792395,1741693,2044731,367851,645699,278249,1498491,164767,310978,405748,194463,299846,257670,132961,254902,687920,284984,366369,209443,534712,779300,121052,155941,191438,701501,382378,81370,1860482,1420639,1771113,395205,583156,912825,1047767,710401,403040,464904,1254080,176940,224452,2719045,3160585,2406587,293926,589531,3793910,566312,286683
Amino Propanesulfonic Acid_X_HILICNeg,14848076,8351444,15788375,7682454,8496466,4639494,6960326,7403876,7438928,6423442,4878261,8255540,2995627,637404,2343634,1830159,301135,141096,1742999,2593606,431511,2466410,2060412,1736419,1989487,3345704,2272356,966285,1151496,2086717,2298567,881043,2907169,0,235365,0,572283,992800,45817,26731732,13189528,863545,0,8567756,2874038,3104921,5693504,3641901,3370973,7943129,253967,1681705,2633821,6690862,6465278,3473123,736037,2156353,2501000,763775
Argininosuccinic Acid_X_HILICPos,30553,18986,0,373254,495909,390518,101054,281434,260718,180727,89629,165248,0,28571,0,10744,15365,31658,0,0,0,0,10029,0,0,0,0,10117,10057,32379,0,15669,0,0,0,0,0,0,0,255560,161472,0,0,11894,52741,15279,0,0,0,32651,41766,0,141714,45506,14728,12154,161388,67856,191266,0
Asparagine_X_HILICPos,4632103,2687341,3445199,8225586,9664658,6039599,4001693,4820312,4359025,4274084,4143423,6120584,1597443,3446983,2293349,1388181,2148204,2482969,2039441,1392256,3119328,2756818,1225517,1733998,884965,1250282,623663,2038702,2887324,3054614,1531421,2959659,1145966,1160610,724451,43500,175759,1412757,76544,26015376,22651002,2515709,500786,3016798,3450691,2055233,2556050,1088009,4676478,6217660,4879326,2881869,4448189,4071920,2292352,1540015,3175944,3270256,2842344,1380761
Aspartic acid_X_HILICPos,2300207,941622,1260271,7057615,8544512,4621441,5543029,8033539,5833546,6469511,6155130,8440318,597965,863111,953355,690662,590018,958651,799840,804165,1409872,1956146,638749,782259,637771,478868,429433,880820,1087764,973031,771924,1537179,681251,1793432,1119401,409495,286709,1810073,333682,32894230,32797802,2173022,921953,1028310,1177567,857858,999988,636430,2052809,3541901,1998408,1440831,1735186,1759915,867030,876725,971160,1354343,1479188,706113
