MassFeature_Column,Identification,Confidence,mz,rt,Column,z,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B,1314_A,1314_B,1314_C,1314P_A,1314P_B,1314P_C,1545_A,1545_B,1545_C,1771_A,1771_B,1771_C,2021_A,2021_B,2021_C,2090_A,2090_B,2090_C,3430_A,3430_B,3430_C,371_A,371_B,371_C,449_A,449_B,449_C,7803_B,7803_F,8102_A,8102_F,8501_B,8501_C,8501_D,As9601_A,As9601_B,As9601_C,Cy_A,Cy_B,Cy_C,MED4_D,MED4_E,MED4_F,Nat_A,Nat_B,Nat_C,Nmar_1,Nmar_2,Nmar_3,Np_A,Np_C,Np_F,Pc55x_A,Pc55x_B,Pc55x_C,Pt_C,Pt_F,To_A,To_B,To_C,Tp_A,Tp_E,Tp_F
Adenine_X_HILICPos,Adenine,1,136.06232,283.2,HILIC,1,32197507.67559432,30553731.38882703,44684913.317761295,49035778.0699877,60852235.707052335,67286921.44793086,79182135.99847418,84625940.35493077,56364052.159918815,45455772.8576973,49478905.70728254,62083141.69058411,26458360.445875544,26830558.998097777,82340328.28146724,21636664.423788585,19541942.784354396,29235237.721146356,90029845.43996443,39744489.302129224,13012674.536787258,9397529.62298389,17686417.789287258,19542691.76678823,11845433.191148823,17928590.06114015,28987887.681616463,35226139.16584614,33340484.058557864,17636219.103077356,20740404.746290717,8317322.288204037,11563018.091200724,11042511.03914287,9369156.77917262,6163526.403400418,4620513.897883154,113765864.68687683,89028003.62878408,48437450.208108395,10755120.680568164,32538811.41529051,18434540.469648305,49762698.00368402,34910473.191500925,28212898.700264435,27853744.756785102,62153119.86946354,18297281.298521936,33583585.890638515,26877466.61878903,85236845.72511189,67059134.51806992,50960819.03177298,25479119.190895226,86162221.09241721,46875430.731024586,63864614.94363171,8.779850809834889,8.898400601678702,8.712454666171789,8.456168872629432,8.155420088115195,8.523907896492409,7.921614805154324,7.810318900907716,7.940566278128336,8.08724149537993,8.036504172540553,8.333543964867713,8.125417060374433,7.893834775626379,8.007036771509192,0,0,0,8.31857271096623,8.559032139010768,8.429800377475873,0,0,0,8.8450131642171,8.83327525399398,8.574212159435895,7.701357870225628,7.775035986505531,0,0,0,0,0,8.308788140596686,8.442099978037028,8.22347646983648,0,0,0,0,0,0,8.965989150289685,8.963847762279414,8.852700361803766,11.249423883749788,11.266885594051928,11.19459192055219,7.907212308174456,7.655431717064598,7.571755885153089,7.357731125529806,7.282916075768215,7.55695446770464,7.168526339568253,7.158898658490685,0,0,0,0,0,0
Adenosine_X_HILICPos,Adenosine,1,268.10458,267.6,HILIC,1,10110002.48756239,12914888.077265823,28994729.4005001,42084799.61164597,40313561.46729781,41568652.11591314,36000110.62426903,36766418.76862697,24404829.11356661,24493993.88015719,21658914.15208417,43195113.4509468,31117666.00216279,52494921.23878881,61471336.627988614,34965510.65344936,24339029.601869255,39532623.73838933,58315613.77009906,60609922.7921327,2957236.237016032,6668334.696980269,8778648.14942019,23201084.697026942,14150583.517928565,10728636.898919541,10592713.792712305,44122457.745029405,13804501.472718125,28618105.819954883,16798881.97867341,1803198.324402251,2328415.248752989,1768018.8098840583,2169477.4953623493,2685311.6028266517,2090221.4636399471,76912269.3202823,51340449.79277333,27385686.61407733,3592455.318034985,33381917.65292979,35107181.21805078,34908031.89452093,39310948.45581903,34366364.34596444,20927189.986430723,59891490.570646875,28865481.270713475,23369925.33733943,39245180.74238978,70439685.80933888,73992121.29487444,29760462.475994222,43254266.003771864,77096354.58346489,33088382.89838786,29408593.76780636,8.736734724446142,8.833096135372527,8.660572273674662,7.0431154093264166,6.842072277409754,7.086103390748312,6.748512357964372,6.3888751477564965,6.681720149851556,7.803532067144017,7.843003626105374,8.108675360068757,8.040502373667865,7.685482907067251,7.765263526896175,8.880408273330799,8.712280861513356,8.735800842134395,7.325385794399619,7.649746912771837,7.319872145083426,8.850636347073165,8.954860446257092,8.935981690280386,9.370815111840699,9.270760698201013,9.117115152169518,9.179342408239403,9.30203389151923,8.897381931309763,8.991904595035992,6.88058116984854,6.753802404010421,6.893584851592952,7.113328372411844,7.1291592484653385,7.091297188189343,6.342643815174462,6.577825752898259,6.235844879336994,7.707732219034171,7.697023189864837,7.7186933065985786,7.73957571170408,7.800603513181399,7.695117228088741,9.921729045587899,9.918953705407011,9.846158954070424,7.34178972596734,7.606394670613517,7.402658271062286,6.591742188237997,6.7208830377147395,6.498405892812146,6.2585314153506575,6.156709900179866,5.70739357043882,5.7125252312989545,7.492986902651231,6.19716337952394,6.59752885660337,5.869693866765576
Adenosyl Homocysteine_X_HILICPos,Adenosyl Homocysteine,1,385.129416,651,HILIC,1,7228.5127362366475,NA,NA,54156.82242990655,64754.299065420564,13276.448598130843,28082.777777777777,25138.777777777777,16368.333333333334,20350.3937007874,2059.3700787401576,7312.047244094489,17738.9,22474.8,1141.4,8740.2,17447.3,NA,NA,1497.4,4741.473684210527,1919.0434782608695,NA,5128.173913043478,8294.8,16538.3,12966.272727272728,26813.909090909092,16604.909090909092,20485.809523809523,NA,2088.75,NA,NA,NA,NA,NA,242183,221755.75,NA,NA,28054.285714285714,25561.739130434784,10480.727272727272,70463.7,57206,30900.516129032258,57379.8,25997.703703703704,16304.833333333334,24544.8,13415.42857142857,6738.2,16564,11342.5,10775.5,3038.9,NA,5.093868372107557,5.175141704558187,4.826611578360371,6.129754626220992,5.803976163826815,0,0,0,4.972872195194247,0,0,0,0,0,0,5.839889481911571,5.942575957424219,6.044723723554706,6.154149705186491,6.11579212551643,6.069770835876754,0,5.475608832817263,0,0,5.507383987811789,0,7.172521408206175,7.44475051644091,7.433124403912443,7.72719151248945,5.00685130563867,4.298655091804396,4.756104250169313,5.505575556644467,5.229779414711044,5.638506816099046,5.911101407862642,6.193995049089732,5.92585726816591,7.00995419369934,7.106088701987323,7.285308491977654,0,0,0,0,0,0,6.0466969359780265,6.042970799741338,6.1563382135546805,4.965534128588674,5.054391439146406,4.985613565138733,5.509408930354953,5.49943857847138,5.678546203307663,5.218835349960543,5.137003377186345,6.012121483448462,5.869528344392615,5.643952413480556
Adenosyl Methionine_X_HILICPos,Adenosyl Methionine,1,399.145066,780.6,HILIC,1,79188.00328677075,21186.85291700904,43955.13557929335,374691.12149532716,433880.7476635514,237558.69158878506,171342.33333333334,221554.77777777778,178839.55555555556,79315.51181102362,89825.51181102362,141624.09448818897,77794.2,215342.8,70003.1,70205.7,51990.5,63727.5,33476.6,24250.3,34078,17718.695652173912,15224.608695652174,24585.91304347826,38058.8,118595.1,77973.09090909091,138939,108133.45454545454,480354,30171.04761904762,106613.75,NA,NA,NA,141108.75,2507.75,5835601.5,2373385.75,16945,2749.25,94012.09523809524,414691.04347826086,40660.181818181816,145041.1,90614.6,214472.32258064515,533388.2,442422.22222222225,126946.66666666667,1088361.7,206754.57142857142,86341.6,172771.9,290503.5,172445,237728.8,62831.2,7.270295289470345,7.282500707858473,7.106575909904854,7.751047381703275,7.615780329250571,7.608744971270915,7.215944421247038,7.274725170754121,7.2000144789662714,6.0224970267855245,6.1693100037844095,6.381064985652532,6.942021993491111,6.636239510813251,6.313391448150245,6.296998015339873,6.490066450095177,6.337369867134862,7.816945180821734,7.802495168217078,7.813532255144382,6.398504999683889,6.446561688865435,6.419791719584317,6.522851843629775,6.466796404217478,6.361131563297752,8.00732189813483,8.35597451132839,8.591426135794203,8.233152980032223,6.661135419908132,7.106682158640045,6.836440540975089,8.010469679457358,7.877600350157394,7.93506287826234,7.111951107468362,7.4078326304177455,7.261169551757249,7.472020608685764,8.070469001648107,8.31240215287511,8.186037704385715,8.19574236121585,8.278604353206664,10.060072254301,10.120809264086828,10.156534678843396,7.0194824874129464,7.132776002585444,7.0656500025501945,6.745999932116647,6.8076680177953515,6.7796694036587475,6.465976741793234,6.425616357713758,7.057720636549211,6.390955157474695,6.435444880159827,6.527996245590922,6.556686078068941,6.278522006330473
Agmatine_X_RP,Agmatine,1,131.129671,37.2,RP,1,78612.40755957272,40378.14297452752,38037.88003286771,139575.32710280374,139328.78504672897,106665.04672897197,104521.11111111111,82889.22222222222,101841.77777777778,94535.74803149607,79486.141732283475,115784.09448818899,5902.8,4747.1,29247.1,4256.3,10468.4,2402.8,20880.7,21448.3,9526.736842105263,8647.91304347826,11417.217391304348,15698.608695652174,13632.5,14114.7,25643.363636363636,3667,27859.545454545456,15591.238095238095,25009.14285714286,NA,NA,3921.75,NA,8382.25,2256.5,9463.75,NA,3058.75,8775.75,4750,2380.782608695652,3779.909090909091,1356.3,9199.2,8864,30052.533333333333,2330.4444444444443,11479,16814.3,26189.238095238095,34259.5,18674.4,6728,28366.4,11719.8,12993.5,0,0,0,6.642926146484353,6.337584978360166,6.6338591993562375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.131399034262602,7.1505567590236385,6.987156178630522,6.947018676787512,4.940590693415617,4.803716569684742,4.919861955406958,6.639906570382521,6.5747316912335725,6.49555601714564,0,0,0,6.743265880925275,7.144988616811951,7.179719811645776,7.135726101822208,6.9847214585663275,7.143318865913363,9.443548708202309,9.457433637887338,9.567649294641178,0,0,0,0,0,0,3.0040055475060976,2.955073476314585,0,0,0,0,0,0
Alanine_X_HILICPos,Alanine,1,90.055504,678,HILIC,1,584705.3654623788,662246.1847630326,1104581.4730513634,1348617.5174486777,1728601.6627429558,1778211.3773196577,940110.7369400205,1292818.6888944902,1138414.6531794788,555742.0441297609,805139.8904212719,1651011.8074467648,199829.5764531081,184157.24831384802,147175.55659580085,82913.8178674198,141135.5512788459,168571.7339419259,466709.30853374227,161901.24861663766,109025.30565356818,114214.6000103122,NA,NA,NA,92575.01273462913,120725.03755817785,176997.9612489228,107984.79273827664,152710.0464444053,117524.69859214293,518453.5838739285,698584.1263578021,419505.80717001134,679356.6393550761,669383.6773805891,245499.24145026036,14142793.073967569,8714711.925000766,2932520.636562051,1130035.9522775498,396120.04595235095,162258.60624321603,247744.17851189672,413909.5836852493,248192.57382939267,223476.13613477742,271521.10751711734,118961.55257615047,114154.0558928137,157729.24389650524,331500.302583153,357395.38396899204,241351.65339293325,191750.1455763765,240721.14420117432,217166.24799329144,100878.87230876133,0,0,0,0,0,0,0,7.9566447796888315,0,6.727013828732853,6.7358946058440825,7.081003784300028,6.379766593710356,6.163351245640863,6.576516466129096,7.1259470824935205,7.11293801261993,7.13073650346154,8.87138375590746,8.86359264401141,8.8183239018144,6.8357674746224655,6.926658231796729,0,0,0,0,7.791838460486566,7.856952511690567,8.174396875875257,8.1347327005712,6.672996727617416,6.6395330476844,6.56741098455193,0,0,0,7.0633097212094205,7.5252123166953515,7.260626697357103,7.892442755137406,7.964480552488925,7.951155302129938,0,0,0,0,0,0,7.5893659495255354,7.498105031515855,7.4805391926718885,6.411695506730971,6.3912042011287555,0,6.892537782637273,6.947978957622674,7.36824264687723,7.128415906466871,7.174050310391545,7.290430936658153,7.107680813789036,6.83785131927768
Allopurinol_X_RP,Allopurinol,1,137.046336,76.2,RP,1,75448.97252739005,118542.68652373303,152520.86518005625,140253.6119440233,125082.6224256193,182190.9837370808,81344.61129294221,109618.67674204866,110514.26704044087,74372.55609808788,95602.20462650481,94444.33148539209,107783.76979712644,144747.7199811025,171296.98537841474,61072.34274819901,46125.8881385389,25351.38788656338,119030.30504999666,25472.733159128264,22717.72066432064,21897.605262448615,16885.40749410388,16913.316337510423,43058.565273083696,47688.846309020664,23629.443957892956,53742.143627879974,36861.3719723558,38066.16781890189,60042.50507883287,28241.89678528253,34504.8634277481,43656.34414189489,150118.6925478664,81740.49706064166,17959.105269857395,414215.81002366036,322211.1297579641,509100.66864455235,87707.5884120101,88452.29935723073,62263.861144538845,77999.78870943048,141483.92701222625,71906.82802686616,39957.460262416134,100764.79579688284,10996.711309587772,16032.943634559952,202149.49632495808,259064.2305041231,235719.53238381734,64975.19901175434,48446.76498228987,325073.85779891454,58794.827908765896,25438.711400623015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.274192867229689,4.26619346091366,0,0,0,5.862065486597227,5.714911854545927,5.73769756193428,4.481174696690728,4.765275795349743,4.476892798671788
Amino Propanesulfonic Acid_X_HILICNeg,Amino Propanesulfonic Acid,1,138.022491,689.4,HILIC,-1,1071605.0103437158,717757.091715107,1622278.0857627369,560766.720039038,640762.9001239578,430606.1668603749,659366.5616221181,578220.009629438,631620.0346849667,420163.1024245704,372436.2145264508,673350.2713744928,261230.0082176556,71018.63707436621,213225.15015132166,154480.31517956188,30123.14623767409,15796.7740027645,171932.54467271295,285690.669615874,189343.51525809607,166943.56619509208,129956.07722715163,320563.1542940416,211394.5307484115,91203.93339158103,80701.5486382457,178414.877695987,225013.1221111751,70993.47051097688,242816.25216721135,NA,54958.6669659626,NA,145285.27073259774,199754.9364066384,9895.469351625385,5727104.082172517,2884436.6400490985,292019.10361964366,NA,735887.747036955,234354.50013400946,253488.71560049357,519046.1190957823,345874.06565344555,221451.80544553822,587079.4264799351,19125.52056480809,114174.61653843064,266857.42239163147,638242.2604276529,686539.2456625903,403654.3889290474,86410.62468182288,186748.77326485896,240991.37727318477,64440.548243808924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40353155485975,8.428832128122854,8.43850952185078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argininosuccinic Acid_X_HILICPos,Argininosuccinic Acid,1,291.13046,821.4,HILIC,1,1614.6668642136358,2778.279357299965,NA,24420.059193846286,47795.25513665546,70020.62741840951,7625.949434149058,24464.303993410344,23612.835161159743,7227.089860873695,6442.649907741698,15768.345148446973,NA,1460.4522569454914,NA,2106.101224112022,907.9374407402122,1807.2209518643317,NA,NA,1297.5244726129627,NA,NA,NA,NA,412.11454417283414,1019.8493766259706,6926.261083711757,NA,1097.941288255375,NA,NA,NA,NA,NA,NA,NA,43645.88560717503,20574.022045272955,NA,NA,2648.4185362284547,3713.5315281692824,1845.31396190371,NA,NA,NA,3688.222472939346,1658.4470680287154,NA,10332.815317314216,5012.970955279452,1414.1180284937725,4560.537670123351,7932.944992457067,10762.321773083797,32355.1604251585,NA,0,0,0,5.66184387701082,5.547136323480249,5.569972775718706,0,4.93794902072761,4.938730845480985,0,0,0,0,0,0,6.095449525616892,6.4127652048813335,5.302758835172752,5.447172540427224,0,0,0,0,0,0,0,0,5.1272143311547405,5.172528449551156,5.887243690412478,5.634538618312141,4.707819845120706,4.735306187888065,4.583238302834155,6.2692782652273396,6.291266791866868,6.23248055332679,4.954927493644782,5.321751825421712,4.997603042519932,6.033166478957748,6.2235337017765335,6.281150125455538,6.693763066643863,6.845845482054672,6.832357353266514,0,7.614110482075245,0,6.5782705682634015,6.525839002253098,6.346568926848938,4.366957409908665,4.387893453765693,0,4.458268637798126,4.477575961608441,5.316443540986902,4.9107762701474735,4.912929249575087,4.562860008466632,4.458445269653813,4.024106638779176
Asparagine_X_HILICPos,Asparagine,1,133.061318,711.5999999999999,HILIC,1,310363.8392680639,267008.1985972697,353680.6054519021,580087.5600500964,660865.9822043558,533445.144036266,357251.1009828517,414136.44865734945,398771.65150126145,276216.8415284405,361837.80963065976,579093.6618815698,149238.48192321998,309629.76923540875,235815.20491626003,121863.84667949654,208214.937467424,260499.4817782697,223527.88727044142,148553.18414176462,127070.26763013245,165340.77317773842,81247.7151512149,120598.99113019896,62801.317694905585,171239.2083653073,231141.59443385628,250368.2000947333,144838.6249504723,202592.9445126481,118107.64003956928,190240.9435488968,235771.37689110107,16513.406845455607,70873.81029332313,234384.06216624277,24452.274832154417,3478661.4908535318,3225734.3273911136,727076.2359101244,166523.67108251542,271800.8849385564,256303.71166798842,172643.45070557614,249431.49248457723,113592.12406453618,290724.30421374546,348135.2505773912,294707.3497790886,225261.13166696185,331766.50088312506,319768.778313614,227447.13813974755,153921.86310530154,286272.2868604565,305942.8344041939,260503.95149036823,157702.13102874934,7.263112027305869,7.2062665966770565,7.1266963034138,7.491500271197462,7.434948049738395,7.420652520075177,7.373653337745927,7.343602212090391,7.365189694469519,6.246389544708297,6.346359770188686,6.631590417153291,6.424712220393261,6.237749598503025,6.410342835704694,7.403481235351006,7.6795142502783715,7.465013101546539,7.892523121288783,7.921443211991873,7.912307913060308,7.005288006818083,6.994159058622906,6.968071692856477,6.2803438346168035,6.2229931699881815,6.164388783436421,6.694873611081674,6.903444979490326,5.487146367720065,5.467603126407309,5.612919756572683,5.695276470687825,5.683775911400622,7.253819433329174,7.20839430964139,7.197801471853483,6.979755284709445,7.430968574019732,7.1926556859125705,7.183779249115009,7.472548772383852,7.36398528996407,8.43126377598566,8.519284763611001,8.490025676044889,0,0,0,7.57190272259935,7.547436481201437,7.447592872137725,6.235329787748028,6.234214509036878,6.2608965814493756,6.76461455357493,6.78143183154297,7.057957380821599,6.881048448522029,6.910862805566185,7.303938602272547,7.265189113881918,6.9480497400820305
