MassFeature_Column,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
Adenine_X_HILICPos,0.9097222222222222,0.9230769230769231,0.9214285714285715,0.8435374149659864,0.8707482993197279,0.8843537414965986,0.903448275862069,0.9097222222222222,0.9097222222222222,0.8958333333333334,0.9236111111111112,0.9166666666666666,0.8979591836734694,0.8378378378378378,0.9251700680272109,0.8767123287671232,0.8716216216216216,0.896551724137931,0.9594594594594594,0.910958904109589,0.8811188811188811,0.7945205479452055,0.920863309352518,0.8819444444444444,0.8661971830985915,0.8581081081081081,0.912751677852349,0.9121621621621622,0.9189189189189189,0.8783783783783784,0.903448275862069,0.8916666666666666,0.8861788617886179,0.9159663865546218,0.8823529411764706,0.8376068376068376,0.9009009009009009,0.7985611510791367,0.8333333333333334,0.9022556390977443,0.9126984126984127,0.9183673469387755,0.8783783783783784,0.9391891891891891,0.904109589041096,0.8986486486486487,0.8775510204081632,0.8775510204081632,0.8639455782312925,0.9183673469387755,0.8639455782312925,0.9324324324324325,0.8986486486486487,0.9189189189189189,0.8513513513513513,0.9256756756756757,0.9054054054054054,0.9310344827586207
Adenosine_X_HILICPos,0.8402777777777778,0.8601398601398601,0.8928571428571429,0.8163265306122449,0.8095238095238095,0.8299319727891157,0.8551724137931034,0.8541666666666666,0.8541666666666666,0.8194444444444444,0.8819444444444444,0.875,0.9319727891156463,0.9121621621621622,0.9115646258503401,0.910958904109589,0.8783783783783784,0.9172413793103449,0.9189189189189189,0.9315068493150684,0.7272727272727273,0.726027397260274,0.8705035971223022,0.9027777777777778,0.8802816901408451,0.7905405405405406,0.8053691275167785,0.9324324324324325,0.8310810810810811,0.9189189189189189,0.8827586206896552,0.7166666666666667,0.7317073170731707,0.7394957983193278,0.7394957983193278,0.717948717948718,0.8288288288288288,0.7266187050359711,0.7463768115942029,0.8571428571428572,0.7857142857142857,0.9319727891156463,0.9189189189189189,0.9256756756756757,0.910958904109589,0.9189189189189189,0.8571428571428572,0.8707482993197279,0.9115646258503401,0.9115646258503401,0.9047619047619048,0.9189189189189189,0.9189189189189189,0.8783783783783784,0.8986486486486487,0.9189189189189189,0.8716216216216216,0.903448275862069
Adenosyl Homocysteine_X_HILICPos,0.02083333333333337,0,0,0.020408163265306145,0.020408163265306145,0.013605442176870763,0.020689655172413834,0.01388888888888884,0.01388888888888884,0.02777777777777779,0.00694444444444442,0.01388888888888884,0.020408163265306145,0.013513513513513487,0.006802721088435382,0.013698630136986356,0.03378378378378377,0,0,0.013698630136986356,0.04195804195804198,0.006849315068493178,0,0.03472222222222221,0.007042253521126751,0.020270270270270285,0.020134228187919434,0.027027027027026973,0.020270270270270285,0.013513513513513487,0,0.01666666666666672,0,0,0,0,0,0.03597122302158273,0.04347826086956519,0,0,0.020408163265306145,0.027027027027026973,0.020270270270270285,0.0273972602739726,0.05405405405405406,0.006802721088435382,0.020408163265306145,0.020408163265306145,0.006802721088435382,0.013605442176870763,0.013513513513513487,0.013513513513513487,0.013513513513513487,0.006756756756756799,0.013513513513513487,0.006756756756756799,0
Adenosyl Methionine_X_HILICPos,0.11805555555555558,0.06293706293706292,0.0714285714285714,0.12244897959183676,0.12244897959183676,0.10204081632653061,0.1103448275862069,0.10416666666666663,0.11805555555555558,0.07638888888888884,0.08333333333333337,0.11805555555555558,0.10204081632653061,0.10810810810810811,0.061224489795918324,0.09589041095890416,0.07432432432432434,0.07586206896551728,0.06756756756756754,0.0547945205479452,0.0699300699300699,0.0273972602739726,0.03597122302158273,0.05555555555555558,0.04225352112676062,0.10810810810810811,0.06040268456375841,0.09459459459459463,0.10135135135135132,0.21621621621621623,0.04137931034482756,0.19999999999999996,0,0,0,0.1367521367521367,0.027027027027026973,0.41007194244604317,0.3405797101449275,0.015037593984962405,0.015873015873015928,0.08843537414965985,0.2567567567567568,0.05405405405405406,0.0821917808219178,0.08783783783783783,0.108843537414966,0.16326530612244894,0.26530612244897955,0.108843537414966,0.3129251700680272,0.08108108108108103,0.04729729729729726,0.1283783783783784,0.11486486486486491,0.08783783783783783,0.1283783783783784,0.06206896551724139
Agmatine_X_RP,0.7846153846153846,0.6811594202898551,0.6571428571428571,0.6233766233766234,0.641025641025641,0.6233766233766234,0.8875,0.7692307692307692,0.8571428571428572,0.8356164383561644,0.8607594936708861,0.8235294117647058,0.22891566265060237,0.07777777777777772,0.2921348314606742,0.31707317073170727,0.3157894736842105,0.18666666666666665,0.3783783783783784,0.5903614457831325,0.4098360655737705,0.34246575342465757,0.4722222222222222,0.5696202531645569,0.44594594594594594,0.3802816901408451,0.6024096385542168,0.12222222222222223,0.696629213483146,0.46153846153846156,0.5842696629213483,0,0,0.2272727272727273,0,0.36170212765957444,0.32499999999999996,0.04938271604938271,0,0.11864406779661019,0.339622641509434,0.15294117647058825,0.08333333333333337,0.1785714285714286,0.04705882352941182,0.3214285714285714,0.17582417582417587,0.4725274725274725,0.07777777777777772,0.3666666666666667,0.25287356321839083,0.28888888888888886,0.32558139534883723,0.5056179775280899,0.11111111111111116,0.30000000000000004,0.2696629213483146,0.4269662921348315
Alanine_X_HILICPos,0.45138888888888884,0.35664335664335667,0.34285714285714286,0.3945578231292517,0.33333333333333337,0.27210884353741494,0.40689655172413797,0.4305555555555556,0.42361111111111116,0.4722222222222222,0.4027777777777778,0.41666666666666663,0.12244897959183676,0.17567567567567566,0.09523809523809523,0.06164383561643838,0.20945945945945943,0.18620689655172418,0.15540540540540537,0.12328767123287676,0.12587412587412583,0.2465753424657534,0,0,0,0.19594594594594594,0.09395973154362414,0.07432432432432434,0.060810810810810856,0.1216216216216216,0.08275862068965523,0.5583333333333333,0.3089430894308943,0.31092436974789917,0.3445378151260504,0.5726495726495726,0.36036036036036034,0.5827338129496402,0.6376811594202898,0.3157894736842105,0.2857142857142857,0.1496598639455783,0.16216216216216217,0.16216216216216217,0.06164383561643838,0.08108108108108103,0.05442176870748294,0.05442176870748294,0.12925170068027214,0.07482993197278909,0.08843537414965985,0.10135135135135132,0.15540540540540537,0.05405405405405406,0.14864864864864868,0.07432432432432434,0.08108108108108103,0.08275862068965523
Allopurinol_X_RP,0.8153846153846154,0.8260869565217391,0.8285714285714285,0.6493506493506493,0.6153846153846154,0.6623376623376623,0.85,0.8717948717948718,0.8831168831168831,0.863013698630137,0.8354430379746836,0.8117647058823529,0.8433734939759037,0.7888888888888889,0.797752808988764,0.7439024390243902,0.7105263157894737,0.5733333333333333,0.7702702702702703,0.5180722891566265,0.6065573770491803,0.6164383561643836,0.6527777777777778,0.5189873417721519,0.6486486486486487,0.6901408450704225,0.6265060240963856,0.6777777777777778,0.6404494382022472,0.6923076923076923,0.7865168539325843,0.6888888888888889,0.6458333333333333,0.75,0.7619047619047619,0.7446808510638299,0.675,0.6296296296296297,0.759493670886076,0.9152542372881356,0.8490566037735849,0.7529411764705882,0.8333333333333334,0.8809523809523809,0.8235294117647058,0.7738095238095238,0.5384615384615384,0.7692307692307692,0.3666666666666667,0.5222222222222221,0.8620689655172413,0.8666666666666667,0.8255813953488372,0.5955056179775281,0.6333333333333333,0.8777777777777778,0.6853932584269663,0.6067415730337078
Amino Propanesulfonic Acid_X_HILICNeg,0.8,0.75,0.7692307692307692,0.5454545454545454,0.5507246376811594,0.5072463768115942,0.7068965517241379,0.7213114754098361,0.7258064516129032,0.6909090909090909,0.6666666666666667,0.6779661016949152,0.6,0.19047619047619047,0.4492753623188406,0.4657534246575342,0.1527777777777778,0.17142857142857137,0.4657534246575342,0.5,0.5846153846153845,0.42622950819672134,0.5774647887323944,0.5833333333333333,0.5,0.28125,0.4029850746268657,0.5,0.6029411764705883,0.3623188405797102,0.6164383561643836,0,0.44999999999999996,0,0.2857142857142857,0.5294117647058824,0.09999999999999998,0.7272727272727273,0.6976744186046512,0.48484848484848486,0,0.7205882352941176,0.5666666666666667,0.6212121212121212,0.6666666666666667,0.6865671641791045,0.5,0.5774647887323944,0.18333333333333335,0.5,0.4193548387096774,0.5671641791044777,0.6212121212121212,0.6153846153846154,0.296875,0.37681159420289856,0.5223880597014925,0.3076923076923077
Argininosuccinic Acid_X_HILICPos,0.01388888888888884,0.006993006993006978,0,0.013605442176870763,0.013605442176870763,0.020408163265306145,0.01379310344827589,0.02777777777777779,0.02083333333333337,0.02083333333333337,0.02083333333333337,0.02083333333333337,0,0.006756756756756799,0,0.006849315068493178,0.006756756756756799,0.006896551724137945,0,0,0.006993006993006978,0,0,0,0,0.006756756756756799,0.006711409395973145,0.006756756756756799,0,0.006756756756756799,0,0,0,0,0,0,0,0.014388489208633115,0.007246376811594235,0,0,0.013605442176870763,0.013513513513513487,0.006756756756756799,0,0,0,0.006802721088435382,0.006802721088435382,0,0.006802721088435382,0.006756756756756799,0.006756756756756799,0.006756756756756799,0.013513513513513487,0.006756756756756799,0.020270270270270285,0
Asparagine_X_HILICPos,0.3055555555555556,0.25874125874125875,0.2571428571428571,0.23129251700680276,0.23809523809523814,0.217687074829932,0.26206896551724135,0.2569444444444444,0.23611111111111116,0.19444444444444442,0.2222222222222222,0.2152777777777778,0.15646258503401356,0.16891891891891897,0.13605442176870752,0.14383561643835618,0.18243243243243246,0.1586206896551724,0.1351351351351351,0.13013698630136983,0.16083916083916083,0.15753424657534243,0.09352517985611508,0.11805555555555558,0.07746478873239437,0.18918918918918914,0.18791946308724827,0.15540540540540537,0.10810810810810811,0.14864864864864868,0.06896551724137934,0.32499999999999996,0.21138211382113825,0.07563025210084029,0.0672268907563025,0.2564102564102564,0.08108108108108103,0.4316546762589928,0.46376811594202894,0.30827067669172936,0.17460317460317465,0.1768707482993197,0.22297297297297303,0.16891891891891897,0.15068493150684936,0.11486486486486491,0.12244897959183676,0.13605442176870752,0.20408163265306123,0.18367346938775508,0.15646258503401356,0.14189189189189189,0.1216216216216216,0.11486486486486491,0.1283783783783784,0.1351351351351351,0.14189189189189189,0.1103448275862069
Aspartic acid_X_HILICPos,0.2152777777777778,0.1748251748251748,0.16428571428571426,0.19727891156462585,0.23129251700680276,0.16326530612244894,0.2827586206896552,0.3125,0.2847222222222222,0.29166666666666663,0.2847222222222222,0.26388888888888884,0.0680272108843537,0.06756756756756754,0.08163265306122447,0.08904109589041098,0.08108108108108103,0.096551724137931,0.10135135135135132,0.10273972602739723,0.08391608391608396,0.0821917808219178,0.06474820143884896,0.07638888888888884,0.05633802816901412,0.08108108108108103,0.0738255033557047,0.08108108108108103,0.07432432432432434,0.08783783783783783,0.06206896551724139,0.4,0.26016260162601623,0.18487394957983194,0.12605042016806722,0.3076923076923077,0.1711711711711712,0.48920863309352514,0.5289855072463768,0.2857142857142857,0.26190476190476186,0.09523809523809523,0.07432432432432434,0.09459459459459463,0.0547945205479452,0.060810810810810856,0.08843537414965985,0.0680272108843537,0.10204081632653061,0.09523809523809523,0.05442176870748294,0.060810810810810856,0.05405405405405406,0.08108108108108103,0.04729729729729726,0.060810810810810856,0.09459459459459463,0.08965517241379306
Beta_GlutamicAcid_X_HILICPos,0.4305555555555556,0.36363636363636365,0.3214285714285714,0.3197278911564626,0.34013605442176875,0.2925170068027211,0.2689655172413793,0.2847222222222222,0.27083333333333337,0.2569444444444444,0.20138888888888884,0.20833333333333337,0.1496598639455783,0.18243243243243246,0.19727891156462585,0.136986301369863,0.1351351351351351,0.13103448275862073,0.10810810810810811,0.1095890410958904,0.1678321678321678,0.14383561643835618,0.12230215827338131,0.09027777777777779,0.07042253521126762,0.060810810810810856,0.2751677852348994,0.25,0.21621621621621623,0.18918918918918914,0.24827586206896557,0.8416666666666667,0.7073170731707317,0.7563025210084033,0.6722689075630253,0.7948717948717949,0.8018018018018018,0.3453237410071942,0.37681159420289856,0.2706766917293233,0.4841269841269841,0.12925170068027214,0.11486486486486491,0.1216216216216216,0.11643835616438358,0.1216216216216216,0.20408163265306123,0.20408163265306123,0.19727891156462585,0.17006802721088432,0.16326530612244894,0.1283783783783784,0.08108108108108103,0.14189189189189189,0.16216216216216217,0.18243243243243246,0.18243243243243246,0.1724137931034483
beta-Alanine_X_HILICPos,0.4652777777777778,0.4125874125874126,0.4,0.4897959183673469,0.5238095238095238,0.4897959183673469,0.5241379310344827,0.5694444444444444,0.5763888888888888,0.47916666666666663,0.4305555555555556,0.5069444444444444,0.47619047619047616,0.3648648648648649,0.2925170068027211,0.29452054794520544,0.31756756756756754,0.24137931034482762,0.6418918918918919,0.17123287671232879,0.32867132867132864,0.36986301369863017,0.2158273381294964,0.20138888888888884,0.176056338028169,0.3716216216216216,0.5100671140939597,0.5067567567567568,0.3716216216216216,0.4932432432432432,0.32413793103448274,0.4833333333333333,0.8292682926829268,0.5294117647058824,0.5210084033613445,0.5726495726495726,0.6036036036036037,0.6115107913669064,0.6594202898550725,0.6015037593984962,0.5952380952380952,0.5374149659863945,0.4932432432432432,0.43918918918918914,0.6917808219178082,0.5608108108108107,0.41496598639455784,0.41496598639455784,0.5442176870748299,0.5170068027210885,0.5442176870748299,0.3918918918918919,0.29054054054054057,0.3918918918918919,0.44594594594594594,0.472972972972973,0.41891891891891897,0.43448275862068964
Butyryl-L-carnitine_X_HILICPos,0.45833333333333337,0.5244755244755245,0.5071428571428571,0.2857142857142857,0.25850340136054417,0.2857142857142857,0.35862068965517246,0.3402777777777778,0.3402777777777778,0.3680555555555556,0.39583333333333337,0.3819444444444444,0.27210884353741494,0.19594594594594594,0.1768707482993197,0.20547945205479456,0.22297297297297303,0.2068965517241379,0.21621621621621623,0.26027397260273977,0.3426573426573427,0.2191780821917808,0.2086330935251799,0.19444444444444442,0.16901408450704225,0.22297297297297303,0.18120805369127513,0.19594594594594594,0.18243243243243246,0.1351351351351351,0.13793103448275867,0,0.2520325203252033,0,0,0,0,0.302158273381295,0.26086956521739135,0.23308270676691734,0,0.3129251700680272,0.21621621621621623,0.25,0.21232876712328763,0.2364864864864865,0.18367346938775508,0.15646258503401356,0.4013605442176871,0.33333333333333337,0.19727891156462585,0.25,0.22972972972972971,0.16891891891891897,0.1351351351351351,0.18918918918918914,0.15540540540540537,0.13103448275862073
