MassFeature_Column,KOK_clusters,MGL_clusters,KM_clusters,Org_clusters,MetaClusterAssignment
Adenine_X_HILICPos,a,a,a,a,Core
Adenosine_X_HILICPos,a,b,a,a,Core
Adenosyl Homocysteine_X_HILICPos,b,b,b,a,NA
Adenosyl Methionine_X_HILICPos,b,c,b,a,NA
Agmatine_X_RP,a,g,a,c,NA
Alanine_X_HILICPos,a,b,a,b,NA
Allopurinol_X_RP,d,a,a,g,NA
Amino Propanesulfonic Acid_X_HILICNeg,a,d,a,g,NA
Argininosuccinic Acid_X_HILICPos,c,d,b,a,NA
Asparagine_X_HILICPos,a,b,a,a,Core
Aspartic acid_X_HILICPos,b,b,a,a,Core
beta-Alanine_X_HILICPos,a,a,a,g,NA
beta-Glutamic acid_X_HILICPos,a,g,a,g,NA
Butyryl-L-carnitine_X_HILICPos,a,d,a,d,NA
Carnitine_X_HILICPos,b,a,a,b,NA
Citrulline_X_HILICPos,a,c,a,a,Core
Creatine_X_HILICPos,a,c,a,g,NA
Cystathionine_X_HILICPos,a,d,b,e,NA
Cysteic Acid_X_HILICNeg,a,b,a,a,Core
Cytidine_X_HILICNeg,a,b,b,e,NA
Cytosine_X_HILICPos,a,a,a,a,Core
Dexpanthenol_X_HILICPos,a,g,a,g,NA
DHPS_X_HILICNeg,a,b,b,d,NA
DMSP_HILICPos_X_HILICPos,a,d,a,a,Core
Gluconic Acid_X_HILICNeg,c,d,c,g,NA
Glucosylglycerol_X_HILICPos,c,b,c,c,NA
Glutamine_X_HILICPos,b,b,a,a,Core
Glutathione Disulfide_X_RP,a,d,a,a,Core
Glycerophosphocholine_X_HILICPos,a,d,b,d,NA
Gonyol_X_HILICPos,b,d,b,f,NA
Histidine_X_HILICPos,a,a,a,b,NA
Homoserine_X_HILICPos,a,c,a,a,Core
Hypotaurine_X_HILICPos,a,b,a,g,NA
I102.0549R12.14_HILICNeg_X_HILICNeg,a,b,a,a,Core
I104.1074R10.68_HILICPos_X_HILICPos,d,d,b,f,NA
I107.0734R9.09_HILICPos_X_HILICPos,c,d,a,e,NA
I116.0709R8.8_HILICPos_X_HILICPos,a,b,a,a,Core
I118.0864R7.19_HILICPos_X_HILICPos,a,a,a,d,NA
I120.0811R5.29_HILICPos_X_HILICPos,a,b,a,a,Core
I121.032R8.27_HILICPos_X_HILICPos,a,c,a,d,NA
I121.0684R10.7_HILICPos_X_HILICPos,e,c,b,a,NA
I124.0064R10.88_HILICNeg_X_HILICNeg,a,b,a,f,NA
I126.904R4.8_HILICNeg_X_HILICNeg,b,a,a,g,NA
I130.05R11.1_HILICPos_X_HILICPos,b,b,a,a,Core
I130.1592R4.02_CyanoAq_X_RP,a,NA,a,NA,NA
I131.0704R10.12_HILICPos_X_HILICPos,b,d,a,f,NA
I132.102R6.53_HILICPos_X_HILICPos,b,a,b,g,NA
I132.102R9.3_HILICPos_X_HILICPos,b,a,b,e,NA
I134.0813R10.18_HILICPos_X_HILICPos,a,c,b,d,NA
I136.0508R7.09_HILICPos_X_HILICPos,b,g,a,NA,NA
I137.0459R1.05_CyanoAq_X_RP,a,a,a,a,Core
I137.0459R6.2_HILICPos_X_HILICPos,a,b,a,a,Core
I137.0459R7.49_HILICPos_X_HILICPos,d,a,a,a,NA
I138.0549R5.35_HILICPos_X_HILICPos,a,b,a,b,NA
I138.055R7.72_HILICPos_X_HILICPos,a,b,a,e,NA
I139.0157R7.24_HILICNeg_X_HILICNeg,d,d,b,NA,NA
I141.0659R7.2_HILICPos_X_HILICPos,a,a,a,d,NA
I143.0816R7.97_HILICPos_X_HILICPos,a,b,a,g,NA
I144.1019R6.44_HILICPos_X_HILICPos,b,a,b,f,NA
I145.0608R10.18_HILICPos_X_HILICPos,a,c,a,g,NA
I146.0601R1.92_CyanoAq_X_RP,d,b,a,b,NA
I148.0605R12.12_HILICPos_X_HILICPos,a,a,a,a,Core
I148.0968R8.21_HILICPos_X_HILICPos,b,b,a,e,NA
I148.9235R3.57_HILICNeg_X_HILICNeg,b,e,a,g,NA
I149.0631R10.15_HILICPos_X_HILICPos,c,c,b,a,NA
I150.0775R6.27_HILICPos_X_HILICPos,a,a,a,d,NA
I151.1441R6.61_HILICPos_X_HILICPos,f,d,a,NA,NA
I152.0567R7.37_HILICPos_X_HILICPos,e,a,a,g,NA
I152.0567R8.12_HILICPos_X_HILICPos,b,a,a,a,NA
I152.0568R1.08_CyanoAq_X_RP,e,a,a,g,NA
I152.0707R9.08_HILICPos_X_HILICPos,c,b,a,f,NA
I152.1282R1.07_CyanoAq_X_RP,a,g,a,NA,NA
I154.0532R5.23_HILICPos_X_HILICPos,a,g,a,g,NA
I154.0723R8.97_HILICPos_X_HILICPos,b,b,b,c,NA
I155.0815R8.72_HILICPos_X_HILICPos,b,a,a,g,NA
I157.0973R7.33_HILICPos_X_HILICPos,a,a,a,g,NA
I158.0813R7.81_HILICPos_X_HILICPos,a,a,a,e,NA
I158.1176R5.48_HILICPos_X_HILICPos,a,a,a,g,NA
I160.037R5.34_HILICPos_X_HILICPos,a,b,a,b,NA
I160.0969R6.82_HILICPos_X_HILICPos,a,a,a,g,NA
