MassFeature_Column,SampID,std_area,cluster,cluster_letters
Adenine_X_HILICPos,1314_A,0.7792615569354847,1,a
Adenosine_X_HILICPos,1314_A,0.8805657445696209,1,a
Adenosyl Homocysteine_X_HILICPos,1314_A,0.6592134236448448,1,a
Adenosyl Methionine_X_HILICPos,1314_A,0.7158243947726343,1,a
Agmatine_X_RP,1314_A,0,2,c
Alanine_X_HILICPos,1314_A,0,3,b
Allopurinol_X_RP,1314_A,0,4,g
Amino Propanesulfonic Acid_X_HILICNeg,1314_A,0,4,g
Argininosuccinic Acid_X_HILICPos,1314_A,0,1,a
Asparagine_X_HILICPos,1314_A,0.8525495072461121,1,a
Aspartic acid_X_HILICPos,1314_A,0.7679384474937678,1,a
beta-Alanine_X_HILICPos,1314_A,0,4,g
beta-Glutamic acid_X_HILICPos,1314_A,0,4,g
Butyryl-L-carnitine_X_HILICPos,1314_A,0,5,d
Carnitine_X_HILICPos,1314_A,0.7150633994388214,3,b
Citrulline_X_HILICPos,1314_A,0,1,a
Creatine_X_HILICPos,1314_A,0,4,g
Cystathionine_X_HILICPos,1314_A,0.9218897728374951,6,e
Cysteic Acid_X_HILICNeg,1314_A,0,1,a
Cytidine_X_HILICNeg,1314_A,0.8928197921918073,6,e
Cytosine_X_HILICPos,1314_A,0.7370296265932883,1,a
Dexpanthenol_X_HILICPos,1314_A,0,4,g
DHPS_X_HILICNeg,1314_A,0,5,d
DMSP_HILICPos_X_HILICPos,1314_A,0.9502596953713096,1,a
Gluconic Acid_X_HILICNeg,1314_A,0,4,g
Glucosylglycerol_X_HILICPos,1314_A,0,2,c
Glutamine_X_HILICPos,1314_A,0.7590103323960766,1,a
Glutathione Disulfide_X_RP,1314_A,0.7758572950538994,1,a
Glycerophosphocholine_X_HILICPos,1314_A,0.8244879858901341,5,d
Gonyol_X_HILICPos,1314_A,0.9953580513242214,7,f
Histidine_X_HILICPos,1314_A,0,3,b
Homoserine_X_HILICPos,1314_A,0.6923810421999235,1,a
Hypotaurine_X_HILICPos,1314_A,1,4,g
I102.0549R12.14_HILICNeg_X_HILICNeg,1314_A,0.6614166288614718,1,a
I104.1074R10.68_HILICPos_X_HILICPos,1314_A,0.9371171401657851,7,f
I107.0734R9.09_HILICPos_X_HILICPos,1314_A,0.8781346107876852,6,e
I116.0709R8.8_HILICPos_X_HILICPos,1314_A,0.7262780867883296,1,a
I118.0864R7.19_HILICPos_X_HILICPos,1314_A,0,5,d
I120.0811R5.29_HILICPos_X_HILICPos,1314_A,0,1,a
I121.032R8.27_HILICPos_X_HILICPos,1314_A,0.6985623405341045,5,d
I121.0684R10.7_HILICPos_X_HILICPos,1314_A,0.8876011277871749,1,a
I124.0064R10.88_HILICNeg_X_HILICNeg,1314_A,0.8402618654426482,7,f
I126.904R4.8_HILICNeg_X_HILICNeg,1314_A,0,4,g
I130.05R11.1_HILICPos_X_HILICPos,1314_A,0.7786589501821083,1,a
I131.0704R10.12_HILICPos_X_HILICPos,1314_A,0.857305961886162,7,f
I132.102R6.53_HILICPos_X_HILICPos,1314_A,0,4,g
I132.102R9.3_HILICPos_X_HILICPos,1314_A,0,6,e
I134.0813R10.18_HILICPos_X_HILICPos,1314_A,0,5,d
I137.0459R1.05_CyanoAq_X_RP,1314_A,1,1,a
I137.0459R6.2_HILICPos_X_HILICPos,1314_A,1,1,a
