"","CTDPRS","CTDTMP","CTDSAL","CTDOXY","CHLPIG","OPTODE","OPTODE","NUMBER","QUALT1"
"1",1,26.898,35.377,216.66,0.2054,-9,-9,6,2223255
"2",2,26.898,35.377,210.18,0.1864,-9,-9,3,2222255
"3",3,26.898,35.377,210.4,0.1991,-9,-9,2,2222255
"4",4,26.898,35.377,210.05,0.2242,-9,-9,6,2222255
"5",5,26.898,35.377,209.96,0.2368,-9,-9,2,2222255
"6",6,26.898,35.377,210,0.2305,-9,-9,6,2222255
"7",7,26.898,35.377,209.95,0.2368,-9,-9,2,2222255
"8",8,26.898,35.377,209.79,0.2293,-9,-9,5,2222255
"9",9,26.899,35.377,210.32,0.2142,-9,-9,5,2222255
"10",10,26.899,35.378,209.95,0.2179,-9,-9,2,2222255
"11",11,26.898,35.378,210.28,0.2274,-9,-9,4,2222255
"12",12,26.897,35.378,210,0.2293,-9,-9,5,2222255
"13",13,26.897,35.378,210.06,0.1991,-9,-9,3,2222255
"14",14,26.898,35.377,209.96,0.2263,-9,-9,75,2222255
"15",15,26.898,35.377,209.95,0.2259,-9,-9,142,2222255
"16",16,26.899,35.377,209.94,0.2305,-9,-9,24,2222255
"17",17,26.899,35.374,210.06,0.2098,-9,-9,7,2222255
"18",18,26.899,35.374,209.36,0.1991,-9,-9,2,2222255
"19",19,26.891,35.374,209.5,0.1991,-9,-9,1,2222255
"20",20,26.885,35.374,209.95,0.2621,-9,-9,3,2222255
"21",21,26.89,35.373,210.28,0.2368,-9,-9,1,2222255
"22",22,26.868,35.376,210.13,0.2558,-9,-9,2,2222255
"23",23,26.879,35.374,209.95,0.2444,-9,-9,5,2222255
"24",24,26.895,35.371,209.5,0.2748,-9,-9,1,2222255
"25",25,26.888,35.371,209.76,0.1991,-9,-9,1,2222255
"26",26,26.858,35.373,209.74,0.2368,-9,-9,1,2222255
"27",27,26.743,35.38,210.61,0.2368,-9,-9,2,2222255
"28",28,26.627,35.387,210.97,0.2368,-9,-9,2,2222255
"29",29,26.63,35.387,211.75,0.2621,-9,-9,3,2222255
"30",30,26.621,35.385,211.39,0.2368,-9,-9,1,2222255
"31",31,26.606,35.384,211.6,0.3126,-9,-9,1,2222255
