CultureID,CultureID_short,Org_Name,Org_Type,Org_Type_Specific,BioVol_perFilter_uL,Species,strain,volume_reconst,HILIC_injectVol,RP_injectVolume,DateRun_HILIC,DateRun_RP,RP_stdVolpersmpVol,Cell_volume_um3,,Cells filtered,log(pgC/cell)_MDLcalc,nmolC_on_filter_MDLcalc,C_perVolume_mmol/L_HoCalc,nmolC_on_filter_Hocalc,pgC/cel_White,nmolC_on_filter_WhiteCalc,pgC/cel_Feng2008,nmolC_on_filter_WhiteCalc,fmolC/cell_Dron2011,nmolC_on_filter_DronCalc,nmolC_filtered_final,Method
1314P_A,1314P,Prochlorococcus marinus MIT1314,Cyanobacteria,Prochlorococcus,0.3185,Prochlorococcus marinus,1314,400,2,,170821,170828,3,0.18,,1769468850,,,,,0.04,5898,,,,,5898,"White, direct"
1314P_B,1314P,Prochlorococcus marinus MIT1314,Cyanobacteria,Prochlorococcus,0.34858,Prochlorococcus marinus,1314,400,2,,170821,170828,3,0.18,,1936571770,,,,,0.04,6455,,,,,6455,"White, direct"
1314P_C,1314P,Prochlorococcus marinus MIT1314,Cyanobacteria,Prochlorococcus,0.31701,Prochlorococcus marinus,1314,400,2,,170821,170828,3,0.18,,1761162141,,,,,0.04,5871,,,,,5871,"White, direct"
7803_B,7803,Synechococcus sp. 7803,Cyanobacteria,Synechococcus,2.20472,Synechococcus sp.,7803,400,2,,161114,161118,1.5,1,,707997613.8,,,,,0.56,33040,,,,,33040,"White, direct"
7803_F,7803,Synechococcus sp. 7803,Cyanobacteria,Synechococcus,2.18928,Synechococcus sp.,7803,400,2,,161114,161118,1.5,1,,754840255.6,,,,,0.56,35226,,,,,35226,"White, direct"
8102_A,8102,Synechococcus sp. 8102,Cyanobacteria,Synechococcus,0.708,Synechococcus sp.,8102,400,2,,161114,161118,1.5,1,,2204716157,,,,,0.26,47769,,,,,47769,"White, direct"
8102_F,8102,Synechococcus sp. 8102,Cyanobacteria,Synechococcus,0.75484,Synechococcus sp.,8102,400,2,,161114,161118,1.5,1,,2189278433,,,,,0.26,47434,,,,,47434,"White, direct"
8501_B,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,3.711258,Crocosphaera watsonii,8501,400,2,,161114,161118,1.5,40,,92781450,,,,,,,,,170,15773,15773,"Dron, direct"
8501_C,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,5.351031818,Crocosphaera watsonii,8501,400,2,,161114,161118,1.5,40,,133775795.5,,,,,,,,,170,22742,22742,"Dron, direct"
8501_D,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,3.515528571,Crocosphaera watsonii,8501,400,2,,161114,161118,1.5,40,,87888214.29,,,,,,,,,170,14941,14941,"Dron, direct"
