,Peri,19But,Fucox,19Hex,Prasinox,Viola,Diadinox,Allox,Lut,Zeax,Chlb,chla
Chlorophytes,0,0,0,0,0,0.108,0,0,0.12,0.075,0.22,1
Chrysophytes,0,1.33,0.166,0.008,0,0,0.2,0,0,0,0,1
Cryptophytes,0,0,0,0,0,0,0,0.17,0,0,0,1
Cyanobacteria,0,0,0,0,0,0,0,0,0,1.91,0,1
Diatoms,0,0,0.934,0,0,0,0.288,0,0,0,0,1
Dinoflagellates,0.63,0,0,0,0,0,0.198,0,0,0,0,1
Euglenophytes,0,0,0,0,0,0,0.4,0,0,0,0.3,1
Haptophytes,0,0.015,0.025,1.197,0,0,0.07,0,0,0,0,1
Prasinophytes,0,0,0,0,0.064,0.2,0,0,0.07,0.05,0.6,1
Prochlorphytes,0,0,0,0,0,0,0,0,0,1,1,1
