KOK1606 HPLC,,,,,analyzed June 2016,,,,,,All values are in ng/L,,,,,,,,,,,,,,,,,,Bidigare's calcs,,,,,
Date analyzed,Rosette,Date,latitude,longitude,Station,Depth (m),Cast,Niskin,HPLC ID#,L filtered,19But,19Hex,Allo,B Car,A Car,Chla,Chlb,"Chlc 1,2",Chl c 3,Cphlid,Diadino,Fuco,Lut,Peri,Prasino,Viola,Zea,,Total car,A car,B car,DVa,MVa,TOTCHLA
61016,Regular,2016-4-20T15:13:00,23.496122,-157.994013,2,15,1,12,3,4.4,3.4,8.6,0,3.2,6.5,116.1,9.8,2.4,0,0,4,6.8,0,0,0,0,65.7,,9.7,6.5,3.2,64.5,31,95.5
61016,Regular,2016-4-20T15:13:00,23.496122,-157.994013,2,15,1,12,4,4.4,4.8,8.5,0,2.7,6.7,118.5,8.5,2.7,0,0,5,7.3,0,0,0,0,66.6,,9.5,6.7,2.7,65,32.8,97.8
60716,Regular,2016-4-21T01:22:00,23.596524,-157.955307,2,100,1,8,1,4.4,51,107.5,4.5,5.6,12.9,434.6,20.5,29.4,17.7,0,20.1,24.4,2.3,11.4,0,1.6,110.5,,18.5,12.9,5.6,183.2,193.2,376.3
61016,Regular,2016-4-21T01:22:00,23.596524,-157.955307,2,15,3,16,6,4.4,3,8,0,2.8,4.4,95.6,3.7,1.8,0,0,6.5,7.3,3.5,0,0,0,60,,7.2,4.4,2.8,42.6,39.4,82
62916,Regular,2016-4-21T01:22:00,23.596524,-157.955307,2,15,3,16,5,4.4,2.4,8.7,0,2.9,4,97.9,6.8,1.4,0,0,6.7,5.7,0,0,0,0,55.7,,6.9,4,2.9,41.6,43,84.6
61016,Regular,2016-4-21T01:22:00,23.596524,-157.955307,2,45,3,13,7,4.4,3.6,11.6,0,3.1,6.1,106.6,6.8,3.8,0,0,5.1,9.7,0,0,0,0,61.2,,9.2,6.1,3.1,48.6,42.6,91.2
61016,Regular,2016-4-21T01:22:00,23.596524,-157.955307,2,45,3,13,8,4.4,5,11.8,0,3.4,6.5,109.9,7.9,3.4,1.3,0,5.7,9.4,0,0,0,0,63.3,,9.8,6.5,3.4,54.8,37.7,92.5
61016,Regular,2016-4-21T01:22:00,23.596524,-157.955307,2,200,3,2,11,4.4,3.3,5.5,0,0,1.1,13.5,2.1,0,0,0,0,0,0,0,0,0,0,,1.1,1.1,0,4,8.2,12.2
62916,Regular,2016-4-21T01:22:00,23.596524,-157.955307,2,200,3,2,12,4.4,3.1,5.1,0,0,0.8,14.3,2.9,0,0,0,0,0,0,0,0,0,0,,0.8,0.8,0,5.2,7.5,12.7
61016,TM,,24.6833,-157.955307,3,15,1,8,13,4.4,4.7,11.8,0,2.5,6.5,111.6,8.2,2.6,0,0,4.9,7.1,0,0,0,0,62.4,,9,6.5,2.5,57.9,35.4,93.2
63016,,,28.143572,-157.998665,4,15,3,16,17,4.4,4.4,12.5,0,2.8,3.1,75.2,6.6,1.9,0,0,7.9,3.2,0,0,0,0,48.6,,5.9,3.1,2.8,37.7,25.6,63.3
63016,,,28.143572,-157.998665,4,15,3,16,18,4.4,4.2,12.1,0,2.7,3.1,72.5,4.7,1.8,0,0,7.4,3.2,0,0,0,0,48.6,,5.8,3.1,2.7,33.1,28.9,62
62916,,,28.143572,-157.998665,4,45,3,13,19,4.4,8.5,17.7,0,2.3,4.6,95.1,8,4.7,0,0,5.4,4.3,0,2.3,0,1.3,58.1,,7,4.6,2.3,42.7,38.8,81.5
62916,,,28.143572,-157.998665,4,45,3,13,20,4.4,6.7,17.2,0,2.4,5,99.2,8.3,3.4,0.9,0,4.9,4.3,0,1,0,0.9,62.8,,7.4,5,2.4,38.1,49,87.1
60716,,,28.143572,-157.998665,4,100,3,7,21,4.4,86.4,115,3.5,4.2,28.3,474.8,129.9,38.3,45.3,0,7.1,16.8,2.1,5.4,0,0,65.5,,32.6,28.3,4.2,282.8,102,384.8
60716,,,28.143572,-157.998665,4,100,3,7,22,4.4,77.9,108,0,3.5,27.9,505.2,131.7,35.8,33.6,0,6.8,14.9,2.1,2.1,0,4.2,69,,31.3,27.9,3.5,263.9,157.2,421.2
60716,,,28.143572,-157.998665,4,200,3,2,23,4.4,1.7,2.1,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,,0,#DIV/0!,#DIV/0!,2.5,6.3,8.8
62916,,,28.143572,-157.998665,4,15,1,12,15,4.4,5,13.9,0,2.4,5.5,98,8.3,3.2,2.7,0,4.7,2.6,0,0,0,1.6,51.8,,7.9,5.5,2.4,36,50.5,86.5
62916,,,28.143572,-157.998665,4,15,1,12,16,4.4,5.1,14.7,0,2.5,5.3,95.4,6.2,3.3,1.9,0,4.5,3.2,0,0,0,1.3,49.1,,7.8,5.3,2.5,37.7,45.7,83.4
62916,,,29.450719,-158.03958,5,15,1,8,25,4.4,5,10.6,0,2.9,3.9,81.9,8.2,2.2,1.2,0,4.7,3.5,0,2.1,0,1.5,44.4,,6.8,3.9,2.9,45.4,22.1,67.5
62916,,,29.450719,-158.03958,5,15,1,8,26,4.4,4.6,11.6,0,2.5,3.6,84.7,6.5,2.8,2,0,4.8,4.1,0,1.5,0,1.1,45.3,,6.1,3.6,2.5,42.2,29.1,71.3
62916,,,32.583641,-158.00027,6,15,1,12,27,4.4,18.8,39.9,0,4.2,7.5,197.9,15.7,9.9,6.2,0,11.9,9,0,4.4,0,3.2,77.8,,11.8,7.5,4.2,71.4,103.7,175.2
62916,,,32.583641,-158.00027,6,15,1,12,28,4.4,18.8,41,0,3.2,7.2,194.6,18,15,10.8,0,10.9,10.3,0,3,0,2.2,74.4,,10.4,7.2,3.2,73.8,97.4,171.1
60716,,,32.583641,-158.00027,6,15,2,16,29,4.4,10.6,19.6,0,2.8,5.1,122.2,8.9,4.1,0,0,6.8,4.7,1.5,2.1,0,0,61.3,,7.9,5.1,2.8,87.5,0,87.5
60716,,,32.583641,-158.00027,6,15,2,16,30,4.4,9.3,19,0.4,3.2,5.5,125,11.4,3.5,0,0,6.2,5,1.7,0,0,0,61.2,,8.7,5.5,3.2,72.3,29.7,102
60716,,,32.583641,-158.00027,6,45,2,13,31,4.4,47.1,103.3,0,4.5,9.7,399.2,13.7,30.4,18.2,0,17.2,22.5,0,10,0,0,93.2,,14.2,9.7,4.5,167.2,178.8,346
60716,,,32.583641,-158.00027,6,45,2,13,32,4.4,53.6,64.7,1.6,8.8,22.2,434.8,71.3,0,41.4,0,6.9,19.1,7.7,0,0,3.6,149.6,,31,22.2,8.8,261.6,89.9,351.5
60716,,,32.583641,-158.00027,6,60,2,8,33,4.36,105,107,0,7.6,19.5,535.1,113.1,49.9,40.8,4.8,8.7,17.5,5.9,3.5,5.8,7.6,74.3,,27.1,19.5,7.6,264.1,187,451.1
60716,,,32.583641,-158.00027,6,60,2,8,34,4.38,107.2,109.2,0,8.3,19.9,548.1,114.1,47.2,34.8,0,7.5,15.6,5.6,4.2,0,4.9,73.2,,28.2,19.9,8.3,266.6,196.7,463.3
60716,,,32.583641,-158.00027,6,200,2,2,35,4.4,1.6,2.5,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,,0,#DIV/0!,#DIV/0!,6.6,0,6.6
60716,,,32.583641,-158.00027,6,200,2,2,36,4.4,1.2,1.7,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,,0,#DIV/0!,#DIV/0!,3.1,5.6,8.7
61016,,,34.05,-158.00027,7,15,1,8,37,4.4,23.4,54,0,3.6,13.2,304.6,12,16,4,0,10.8,14.3,0,5.3,0,0,125.4,,16.8,13.2,3.6,156.2,98.7,254.9
