Station,latitude,depth,centric,pennate,ciliate,dinoflagellate,protist
2,23.496122,15,0.059,0.267,1.038,0.831,0.504
3,24.6833,15,0.224,0.056,0.448,1.233,1.962
14,26.283176,15,0.000,0.204,1.121,1.121,6.523
4,28.143572,15,0.112,0.112,0.617,2.859,1.962
5,29.450719,15,0.142,0.195,0.811,2.547,4.471
13,29.700608,15,0.000,0.224,0.897,1.009,6.951
6,32.583641,15,0.000,0.000,2.543,6.242,10.866
12,33.090833,15,0.287,1.433,2.437,3.010,24.940
7,34.05,15,0.305,0.252,0.510,3.073,4.900
10,35.6433,15,0.080,0.160,1.303,0.657,13.959
9,36.569491,15,0.538,0.179,1.523,0.000,34.042
11,37,15,0.000,0.000,5.375,5.913,37.625
8,37.299396,15,0.718,0.406,0.312,1.577,5.667
