Depth,PC Average,Stdev,PN Average,PN Stdev,Cruise,Pcaverage_Std,Pcstdev_Std
15,10.308,0.591,1.88,0.182,MGL1704,1,0.057334109
25,10.075,0.87,1.809,0.294,MGL1704,0.977396197,0.084400466
45,6.117,0.665,0.896,0.137,MGL1704,0.593422584,0.064513
120,1.698,0.204,0.215,0.017,MGL1704,0.164726426,0.019790454
5,3.747815315,0.907220254,,,KM1513,1,0.242066425
25,3.121704687,0.390482988,,,KM1513,0.832939839,0.104189496
45,2.569772277,0.914815886,,,KM1513,0.685672068,0.244093107
75,1.943938274,0.251694337,,,KM1513,0.518685717,0.067157615
100,1.980572049,0.665408464,,,KM1513,0.528460418,0.177545692
125,1.655584134,0.669439555,,,KM1513,0.441746456,0.178621276
150,1.342239305,0.274511418,,,KM1513,0.358139127,0.073245716
175,0.790978647,0.19048772,,,KM1513,0.211050594,0.050826336
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
