,Cruise,SampID,Dilution_Factor,Zone,AMorPM,Day_Extract,SampType,Station,Cast,Depth,Date,Latitude,Longitude,UTC,Time out water,Replicate,Niskin bottle,Volume,Notes,X15,X16,date,cruise,latitude,longitude,temp1,temp2,conductivity,salinity,NBorSB,PO4,NO3,SIO3,PP_ave,PP_Stdev,PC_ave,PC_Stdev,PN_ave,PN_Stdev
1,KOK1606,S2C1_A,3,1,AM,4,S,2,1,15,4/20/16,23 29 N,158 W,4/20/16 15:13,5:57,A,22,9,No prefilter; leaked a lot and so probably actually lost ~2 L,Station 2 may say Station1 of samples~,NA,4/20/16 15:13,KOK1606,23.496122,-157.994013,24.12598,24.0559,5.22839,35.09794,NB,0.0535,0.0013,1.243,10.58,3.56805269,1.773076923,0.401505181,0.264615385,0.060085409
2,KOK1606,S2C1_B,3,1,AM,1,S,2,1,15,4/20/16,23 29 N,158 W,4/20/16 15:13,5:57,B,21,11,No prefilter,Station 2 may say Station1 of samples~,NA,4/20/16 15:13,KOK1606,23.496122,-157.994013,24.12598,24.0559,5.22839,35.09794,NB,0.0535,0.0013,1.243,10.58,3.56805269,1.773076923,0.401505181,0.264615385,0.060085409
3,KOK1606,S2C1_C,3,1,AM,2,S,2,1,15,4/20/16,23 29 N,158 W,4/20/16 15:13,5:57,C,20,11,No prefilter,Station 2 may say Station1 of samples~,NA,4/20/16 15:13,KOK1606,23.496122,-157.994013,24.12598,24.0559,5.22839,35.09794,NB,0.0535,0.0013,1.243,10.58,3.56805269,1.773076923,0.401505181,0.264615385,0.060085409
4,KOK1606,S2C3_A,3,1,PM,3,S,2,3,15,4/20/16,23 36,157 57,4/21/16 1:22,16:06,A,19,9.5,NA,Station 2 may say Station1 of samples~,NA,4/21/16 1:22,KOK1606,23.596524,-157.955307,23.35722,23.28544,5.1667,35.23797,NB,0.0535,0.0013,1.243,10.58,3.56805269,1.773076923,0.401505181,0.264615385,0.060085409
5,KOK1606,S2C3_B,3,1,PM,4,S,2,3,15,4/20/16,23 36,157 57,4/21/16 1:22,16:06,B,20,10,NA,Station 2 may say Station1 of samples~,NA,4/21/16 1:22,KOK1606,23.596524,-157.955307,23.35722,23.28544,5.1667,35.23797,NB,0.0535,0.0013,1.243,10.58,3.56805269,1.773076923,0.401505181,0.264615385,0.060085409
6,KOK1606,S4C1_A,3,1,AM,1,S,4,1,15,4/22/16,28 08,158W,4/22/16 15:08,5:47,A,20,11.5,a little leaky,NA,NA,4/22/16 15:08,KOK1606,28.143572,-157.998665,20.1367,20.05862,4.82613,35.17109,NB,0.0449,0.0014,1.3,12.36692308,4.082097877,2.393846154,0.348700886,0.327692308,0.063921025
7,KOK1606,S4C1_B,3,1,AM,2,S,4,1,15,4/22/16,28 08,158W,4/22/16 15:08,5:47,B,21,11.5,NA,NA,NA,4/22/16 15:08,KOK1606,28.143572,-157.998665,20.1367,20.05862,4.82613,35.17109,NB,0.0449,0.0014,1.3,12.36692308,4.082097877,2.393846154,0.348700886,0.327692308,0.063921025
8,KOK1606,S4C1_C,3,1,AM,3,S,4,1,15,4/22/16,28 08,158W,4/22/16 15:08,5:47,C,22,11.5,NA,NA,NA,4/22/16 15:08,KOK1606,28.143572,-157.998665,20.1367,20.05862,4.82613,35.17109,NB,0.0449,0.0014,1.3,12.36692308,4.082097877,2.393846154,0.348700886,0.327692308,0.063921025
9,KOK1606,S4C2_A,3,1,PM,4,S,4,2,15,4/22/16,28 08,158 00,4/23/16 1:57,16:30,A,19,10,bag was labeled S4C3,NA,NA,4/23/16 1:57,KOK1606,28.140122,-158.00368,20.80219,20.72833,4.89658,35.19031,NB,0.0449,0.0014,1.3,12.36692308,4.082097877,2.393846154,0.348700886,0.327692308,0.063921025
10,KOK1606,S4C2_B,3,1,PM,1,S,4,2,15,4/22/16,28 08,158 00,4/23/16 1:57,16:30,B,20,10,NA,NA,NA,4/23/16 1:57,KOK1606,28.140122,-158.00368,20.80219,20.72833,4.89658,35.19031,NB,0.0449,0.0014,1.3,12.36692308,4.082097877,2.393846154,0.348700886,0.327692308,0.063921025
