Sample.Name,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Bio.Normalization2,Injec_vol,Blanks,Notes,Volume_filterd,RP_InjectionCorrection
170706_Blk_Blk0p2_1,HILIC,,1,,,1,,,,1
170706_Blk_Blk0p2_2,HILIC,,1,,,1,,,,1
170706_Blk_BlkMQ_1,HILIC,,1,,,1,,,,1
170706_Blk_BlkMQ_3,HILIC,,1,,,1,,,,1
170706_Blk_MQBlk_2,HILIC,,1,,,1,,,,1
170410_Blk_FilterBlk_A,HILIC,,1,,,1,,,,1
170410_Blk_FilterBlk_B,HILIC,,1,,,1,,,,1
170419_Blk_FilterBlk_A,HILIC,,1,,,1,,,,1
170419_Blk_FilterBlk_B,HILIC,,1,,,1,,,,1
170410_Poo_April11AqExtractsFull_1,HILIC,Poo,1,,,1,,,,1
170410_Poo_April11AqExtractsFull_2,HILIC,Poo,1,,,1,,,,1
170410_Poo_April11AqExtractsFull_3,HILIC,Poo,1,,,1,,,,1
170410_Poo_April11AqExtractsHalf_1,HILIC,Poo,1,,,0.5,,,,1
170410_Poo_April11AqExtractsHalf_2,HILIC,Poo,1,,,0.5,,,,1
170410_Poo_April11AqExtractsHalf_3,HILIC,Poo,1,,,0.5,,,,1
170410_Smp_KM1513-15m_A,HILIC,15m,1,,,1,,,,1
170410_Smp_KM1513-15m_B,HILIC,15m,1,,,1,,,,1
170410_Smp_KM1513-15m_C,HILIC,15m,1,,,1,,,,1
170410_Smp_KM1513-45m_A,HILIC,45m,1,,,1,,,,1
170410_Smp_KM1513-45m_B,HILIC,45m,1,,,1,,,,1
170410_Smp_KM1513-45m_C,HILIC,45m,1,,,1,,,,1
170410_Smp_KM1513-75m_A,HILIC,75m,1,,,1,,,,1
170410_Smp_KM1513-75m_B,HILIC,75m,1,,,1,,,,1
170410_Smp_KM1513-75m_C,HILIC,75m,1,,,1,,,,1
170410_Smp_KM1513-125m_A,HILIC,125m,1,,,1,,,,1
170410_Smp_KM1513-125m_B,HILIC,125m,1,,,1,,,,1
170410_Smp_KM1513-125m_C,HILIC,125m,1,,,1,,,,1
170419_Poo_April1718AqExtracts_1,HILIC,Poo,1,,,1,,,,1
170419_Poo_April1718AqExtracts_2,HILIC,Poo,1,,,1,,,,1
170419_Poo_April1718AqExtracts_3,HILIC,Poo,1,,,1,,,,1
170419_Poo_April21AqExtracts_1,HILIC,Poo,1,,,0.5,,,,1
170419_Poo_April21AqExtracts_2,HILIC,Poo,1,,,0.5,,,,1
170419_Poo_April21AqExtracts_3,HILIC,Poo,1,,,0.5,,,,1
170419_Poo_QC_Full1,HILIC,,1,,,1,,,,1
170419_Poo_QC_Full2,HILIC,,1,,,1,,,,1
170419_Poo_QC_Full3,HILIC,,1,,,1,,,,1
170419_Poo_QC_Full4,HILIC,,1,,,1,,,,1
170419_Poo_QC_Half1,HILIC,,1,,,1,,,,1
170419_Poo_QC_Half2,HILIC,,1,,,1,,,,1
170419_Poo_QC_Half3,HILIC,,1,,,1,,,,1
170419_Poo_QC_Half4,HILIC,,1,,,1,,,,1
170419_Smp_S11C1_A,HILIC,,1,,,1,,,,1
170419_Smp_S12C1_A,HILIC,,1,,,1,,,,1
170419_Smp_S12C1_B,HILIC,,1,,,1,,,,1
170419_Smp_S13C1_A,HILIC,,1,,,1,,,,1
170419_Smp_S13C1_B,HILIC,,1,,,1,,,,1
170419_Smp_S14C1_A,HILIC,,1,,,1,,,,1
170419_Smp_S14C1_B,HILIC,,1,,,1,,,,1
170419_Smp_S14C1_C,HILIC,,1,,,1,,,,1
170419_Smp_S2C1_B,HILIC,,1,,,1,,,,1
170419_Smp_S2C1_C,HILIC,,1,,,1,,,,1
170419_Smp_S2C3_A,HILIC,,1,,,1,,,,1
170419_Smp_S4C1_A,HILIC,,1,,,1,,,,1
170419_Smp_S4C1_B,HILIC,,1,,,1,,,,1
170419_Smp_S4C1_C,HILIC,,1,,,1,,,,1
170419_Smp_S4C2_A,HILIC,,1,,,1,,,,1
170419_Smp_S4C2_B,HILIC,,1,,,1,,,,1
170419_Smp_S6C1_A,HILIC,,1,,,1,,,,1
170419_Smp_S6C1_B,HILIC,,1,,,1,,,,1
170419_Smp_S6C1_C,HILIC,,1,,,1,,,,1
170419_Smp_S6C2_A,HILIC,,1,,,1,,,,1
170419_Smp_S6C2_B,HILIC,,1,,,1,,,,1
170419_Smp_S8C1_A,HILIC,,1,,,1,,,,1
170419_Smp_S9C1_A,HILIC,,1,,,1,,,,1
170419_Smp_S9C1_B,HILIC,,1,,,1,,,,1
170419_Smp_S9C2_A,HILIC,,1,,,1,,,,1
170419_Smp_S9C2_B,HILIC,,1,,,1,,,,1
170419_Smp_U3_A,HILIC,,1,,,1,,,,1
170419_Smp_U3_B,HILIC,,1,,,1,,,,1
170419_Smp_U4_A,HILIC,,1,,,1,,,,1
170419_Smp_U4_B,HILIC,,1,,,1,,,,1
170419_Smp_U6_A,HILIC,,1,,,1,,,,1
170419_Smp_U6_B,HILIC,,1,,,1,,,,1
170419_Smp_U7_A,HILIC,,1,,,1,,,,1
170419_Smp_U7_B,HILIC,,1,,,1,,,,1
170419_Smp_U8_A,HILIC,,1,,,1,,,,1
170419_Smp_U8_B,HILIC,,1,,,1,,,,1
170419_Smp_U9_A,HILIC,,1,,,1,,,,1
170419_Smp_U9_B,HILIC,,1,,,1,,,,1
180702_Poo_TruePoo_Full1,HILIC,Poo,1,,,1,,,,1
180702_Poo_TruePoo_Full2,HILIC,Poo,1,,,1,,,,1
180702_Poo_TruePoo_Full3,HILIC,Poo,1,,,1,,,,1
180702_Poo_TruePoo_Half1,HILIC,Poo,1,,,0.5,,,,1
180702_Poo_TruePoo_Half2,HILIC,Poo,1,,,0.5,,,,1
180702_Poo_TruePoo_Half3,HILIC,Poo,1,,,0.5,,,,1
180702_Smp_S7E41D30_1,HILIC,30m,1,,,1,,,,1
180702_Smp_S7E41D40_1,HILIC,40m,1,,,1,,,,1
180702_Smp_S7E41D60_1,HILIC,60m,1,,,1,,,,1
180702_Smp_S7E41D80_1,HILIC,80m,1,,,1,,,,1
180702_Smp_S7E41D100_1,HILIC,100m,1,,,1,,,,1
180702_Smp_S7E41D120_1,HILIC,120m,1,,,1,,,,1
180702_Smp_S7E41D140_1,HILIC,140m,1,,,1,,,,1
180702_Smp_S7E41D160_1,HILIC,160m,1,,,1,,,,1
180702_Smp_S7E41D180_1,HILIC,180m,1,,,1,,,,1
180702_Smp_S7E41D250_1,HILIC,250m,1,,,1,,,,1
180702_Std_4uMStdsMix1InH2O_1,HILIC,,1,,,1,,,,1
180702_Std_4uMStdsMix1InMatrix_1,HILIC,,1,,,1,,,,1
180702_Std_4uMStdsMix2InH2O_1,HILIC,,1,,,1,,,,1
180702_Std_4uMStdsMix2InMatrix_1,HILIC,,1,,,1,,,,1
180709_Blk_Blk0p2_2,HILIC,,1,,,1,,,,1
180709_Blk_BlkMQBlk_1,HILIC,,1,,,1,,,,1
180709_Blk_BlkMQBlk_3,HILIC,,1,,,1,,,,1
180709_Std_4uMStdsMix1InH2O_2,HILIC,,1,,,1,,,,1
180709_Std_4uMStdsMix1InMatrix_2,HILIC,,1,,,1,,,,1
180709_Std_4uMStdsMix2InH2O_2,HILIC,,1,,,1,,,,1
180709_Std_4uMStdsMix2InMatrix_2,HILIC,,1,,,1,,,,1
170413_Poo_April11AqExtractsFull_1,RP,,1,,,1,,,,1
170413_Poo_April11AqExtractsFull_2,RP,,1,,,1,,,,1
170413_Poo_April11AqExtractsFull_3,RP,,1,,,1,,,,1
170413_Poo_April11AqExtractsHalf_1,RP,,1,,,0.5,,,,1
170413_Poo_April11AqExtractsHalf_2,RP,,1,,,0.5,,,,1
170413_Poo_April11AqExtractsHalf_3,RP,,1,,,0.5,,,,1
170413_Smp_KM1513-15m_A,RP,,1,,,1,,,,1
170413_Smp_KM1513-15m_B,RP,,1,,,1,,,,1
170413_Smp_KM1513-15m_C,RP,,1,,,1,,,,1
170413_Smp_KM1513-45m_A,RP,,1,,,1,,,,1
170413_Smp_KM1513-45m_B,RP,,1,,,1,,,,1
170413_Smp_KM1513-45m_C,RP,,1,,,1,,,,1
170413_Smp_KM1513-75m_A,RP,,1,,,1,,,,1
170413_Smp_KM1513-75m_B,RP,,1,,,1,,,,1
170413_Smp_KM1513-75m_C,RP,,1,,,1,,,,1
170413_Smp_KM1513-125m_A,RP,,1,,,1,,,,1
170413_Smp_KM1513-125m_B,RP,,1,,,1,,,,1
170413_Smp_KM1513-125m_C,RP,,1,,,1,,,,1
170425_Poo_TruePoo_Full1,RP,,1,,,1,,,,3
170425_Poo_TruePoo_Full2,RP,,1,,,1,,,,3
170425_Poo_TruePoo_Full3,RP,,1,,,1,,,,3
170425_Poo_TruePoo_Full4,RP,,1,,,1,,,,3
170425_Poo_TruePoo_Half1,RP,,1,,,0.5,,,,3
170425_Poo_TruePoo_Half2,RP,,1,,,0.5,,,,3
170425_Poo_TruePoo_Half3,RP,,1,,,0.5,,,,3
170425_Poo_TruePoo_Half4,RP,,1,,,0.5,,,,3
170425_Smp_S11C1_A,RP,,1,,,1,,,,3
170425_Smp_S12C1_A,RP,,1,,,1,,,,3
170425_Smp_S12C1_B,RP,,1,,,1,,,,3
170425_Smp_S13C1_A,RP,,1,,,1,,,,3
170425_Smp_S13C1_B,RP,,1,,,1,,,,3
170425_Smp_S14C1_A,RP,,1,,,1,,,,3
170425_Smp_S14C1_B,RP,,1,,,1,,,,3
170425_Smp_S14C1_C,RP,,1,,,1,,,,3
170425_Smp_S2C1_B,RP,,1,,,1,,,,3
170425_Smp_S2C1_C,RP,,1,,,1,,,,3
170425_Smp_S2C3_A,RP,,1,,,1,,,,3
170425_Smp_S4C1_A,RP,,1,,,1,,,,3
170425_Smp_S4C1_B,RP,,1,,,1,,,,3
170425_Smp_S4C1_C,RP,,1,,,1,,,,3
170425_Smp_S4C2_A,RP,,1,,,1,,,,3
170425_Smp_S4C2_B,RP,,1,,,1,,,,3
170425_Smp_S6C1_A,RP,,1,,,1,,,,3
170425_Smp_S6C1_B,RP,,1,,,1,,,,3
170425_Smp_S6C1_C,RP,,1,,,1,,,,3
170425_Smp_S6C2_A,RP,,1,,,1,,,,3
170425_Smp_S6C2_B,RP,,1,,,1,,,,3
170425_Smp_S8C1_A,RP,,1,,,1,,,,3
170425_Smp_S9C1_A,RP,,1,,,1,,,,3
170425_Smp_S9C1_B,RP,,1,,,1,,,,3
170425_Smp_S9C2_A,RP,,1,,,1,,,,3
170425_Smp_S9C2_B,RP,,1,,,1,,,,3
170425_Smp_U3_A,RP,,1,,,1,,,,3
170425_Smp_U3_B,RP,,1,,,1,,,,3
170425_Smp_U4_A,RP,,1,,,1,,,,3
170425_Smp_U4_B,RP,,1,,,1,,,,3
170425_Smp_U6_A,RP,,1,,,1,,,,3
170425_Smp_U6_B,RP,,1,,,1,,,,3
170425_Smp_U7_A,RP,,1,,,1,,,,3
170425_Smp_U7_B,RP,,1,,,1,,,,3
170425_Smp_U8_A,RP,,1,,,1,,,,3
170425_Smp_U8_B,RP,,1,,,1,,,,3
170425_Smp_U9_A,RP,,1,,,1,,,,3
170425_Smp_U9_B,RP,,1,,,1,,,,3
180716_Poo_TruePoo10_Full1,RP,,1,,,1,,,,1.875
180716_Poo_TruePoo10_Full2,RP,,1,,,1,,,,1.875
180716_Poo_TruePoo10_Full3,RP,,1,,,1,,,,1.875
180716_Poo_TruePoo10_Half1,RP,,1,,,0.5,,,,1.875
180716_Poo_TruePoo10_Half2,RP,,1,,,0.5,,,,1.875
180716_Poo_TruePoo10_Half3,RP,,1,,,0.5,,,,1.875
180716_Smp_S7E41D30_1,RP,,1,,,1,,,,1.875
180716_Smp_S7E41D40_1,RP,,1,,,1,,,,1.875
180716_Smp_S7E41D60_1,RP,,1,,,1,,,,1.875
180716_Smp_S7E41D80_1,RP,,1,,,1,,,,1.875
180716_Smp_S7E41D100_1,RP,,1,,,1,,,,1.875
180716_Smp_S7E41D120_1,RP,,1,,,1,,,,1.875
180716_Smp_S7E41D140_1,RP,,1,,,1,,,,1.875
180716_Smp_S7E41D160_1,RP,,1,,,1,,,,1.875
180716_Smp_S7E41D180_1,RP,,1,,,1,,,,1.875
180716_Smp_S7E41D250_1,RP,,1,,,1,,,,1.875
