Replicate.Name,Blank.Name
170216_Smp_Pc55x_A,170216_Blk_MediaBlk_Pc55x
170216_Smp_Pc55x_B,170216_Blk_MediaBlk_Pc55x
170216_Smp_Pc55x_C,170216_Blk_MediaBlk_Pc55x
170216_Smp_Np_A,161110_Blk_MediaBlk_DiatomZ
170216_Smp_Np_C,161110_Blk_MediaBlk_DiatomZ
170216_Smp_Np_F,161110_Blk_MediaBlk_DiatomZ
170216_Smp_Pt_C,161110_Blk_MediaBlk_DiatomZ
170216_Smp_Pt_F,161110_Blk_MediaBlk_DiatomZ
180302_Smp_P3_A,180302_Blk_MediaBlk_RAC5
180302_Smp_P3_B,180302_Blk_MediaBlk_RAC5
180302_Smp_P3_C,180302_Blk_MediaBlk_RAC5
180302_Smp_P5-5_A,180302_Blk_MediaBlk_RAC5
180302_Smp_P5-5_B,180302_Blk_MediaBlk_RAC5
180302_Smp_P5-5_C,180302_Blk_MediaBlk_RAC5
170828_Smp_1314_A,170828_Blk_MediaBlk_N
170828_Smp_1314_B,170828_Blk_MediaBlk_N
170828_Smp_1314_C,170828_Blk_MediaBlk_N
170828_Smp_1545_A,170828_Blk_MediaBlk_N
170828_Smp_1545_B,170828_Blk_MediaBlk_N
170828_Smp_1545_C,170828_Blk_MediaBlk_N
170828_Smp_1771_A,170828_Blk_MediaBlk_71
170828_Smp_1771_B,170828_Blk_MediaBlk_71
170828_Smp_1771_C,170828_Blk_MediaBlk_71
170828_Smp_2021_A,170828_Blk_MediaBlk_21
170828_Smp_2021_B,170828_Blk_MediaBlk_21
170828_Smp_2021_C,170828_Blk_MediaBlk_21
170828_Smp_449_A,170828_Blk_MediaBlk_49
170828_Smp_449_B,170828_Blk_MediaBlk_49
170828_Smp_449_C,170828_Blk_MediaBlk_49
180302_Smp_3430_A,180302_Blk_MediaBlk_3430
180302_Smp_3430_B,180302_Blk_MediaBlk_3430
180302_Smp_3430_C,180302_Blk_MediaBlk_3430
170828_Smp_1314_A,170828_Blk_MediaBlk_O
170828_Smp_1314_B,170828_Blk_MediaBlk_O
170828_Smp_1314_C,170828_Blk_MediaBlk_O
170828_Smp_1545_A,170828_Blk_MediaBlk_O
170828_Smp_1545_B,170828_Blk_MediaBlk_O
170828_Smp_1545_C,170828_Blk_MediaBlk_O
161110_Smp_Cy_A,161110_Blk_MediaBlk_DiatomA
161110_Smp_Cy_B,161110_Blk_MediaBlk_DiatomA
161110_Smp_Cy_C,161110_Blk_MediaBlk_DiatomA
161110_Smp_To_A,161110_Blk_MediaBlk_DiatomB
161110_Smp_To_B,161110_Blk_MediaBlk_DiatomB
161110_Smp_To_C,161110_Blk_MediaBlk_DiatomB
161110_Smp_2090_A,161110_Blk_MediaBlk_DiatomC
161110_Smp_2090_B,161110_Blk_MediaBlk_DiatomC
161110_Smp_2090_C,161110_Blk_MediaBlk_DiatomC
161110_Smp_371_A,161110_Blk_MediaBlk_DiatomH
161110_Smp_371_B,161110_Blk_MediaBlk_DiatomH
161110_Smp_371_C,161110_Blk_MediaBlk_DiatomH
161110_Smp_Tp_A,161110_Blk_MediaBlk_DiatomZ
161110_Smp_Tp_E,161110_Blk_MediaBlk_DiatomZ
161110_Smp_Tp_F,161110_Blk_MediaBlk_DiatomZ
161118_Smp_7803_B,161118_Blk_MediaBlk_C
161118_Smp_7803_F,161118_Blk_MediaBlk_C
161118_Smp_8102_A,161118_Blk_MediaBlk_C
161118_Smp_8102_F,161118_Blk_MediaBlk_C
161118_Smp_8501_B,161118_Blk_MediaBlk_A
161118_Smp_8501_C,161118_Blk_MediaBlk_A
161118_Smp_8501_D,161118_Blk_MediaBlk_A
161118_Smp_MED4_D,161118_Blk_MediaBlk_C
161118_Smp_MED4_E,161118_Blk_MediaBlk_C
161118_Smp_MED4_F,161118_Blk_MediaBlk_C
170828_Smp_1314P_A,170828_Blk_MediaBlk_1314P
170828_Smp_1314P_B,170828_Blk_MediaBlk_1314P
170828_Smp_1314P_C,170828_Blk_MediaBlk_1314P
170828_Smp_As9601_A,170828_Blk_MediaBlk_As9601
170828_Smp_As9601_B,170828_Blk_MediaBlk_As9601
170828_Smp_As9601_C,170828_Blk_MediaBlk_As9601
170828_Smp_Nat_A,170828_Blk_MediaBlk_Nat
170828_Smp_Nat_B,170828_Blk_MediaBlk_Nat
170828_Smp_Nat_C,170828_Blk_MediaBlk_Nat
180131_Smp_Exp_1,180131_Blk_MediaBlk_1
180131_Smp_Exp_2,180131_Blk_MediaBlk_1
180131_Smp_Exp_3,180131_Blk_MediaBlk_1
