Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,180716_Blk_Blk0p2_1,I132.1021R0.87_CyanoAq,0.74,1142630,369081,245091,-1.3,molecules1
molecules1,161110_Blk_MediaBlk_DiatomA,I132.1021R0.87_CyanoAq,0.87,454042,54006,137942,-0.5,molecules1
molecules1,161110_Blk_MediaBlk_DiatomB,I132.1021R0.87_CyanoAq,0.87,424371,43491,142272,-0.4,molecules1
molecules1,161110_Blk_MediaBlk_DiatomC,I132.1021R0.87_CyanoAq,0.87,372716,46831,95782,-0.5,molecules1
molecules1,161110_Blk_MediaBlk_DiatomH,I132.1021R0.87_CyanoAq,0.88,345808,113292,84144,-0.5,molecules1
molecules1,161110_Blk_MediaBlk_DiatomZ,I132.1021R0.87_CyanoAq,0.88,224621,93170,49078,-0.7,molecules1
molecules1,170413_Smp_KM1513-15m_A,I132.1021R0.87_CyanoAq,0.73,190214656,0,34964568,0.3,molecules1
molecules1,180716_Smp_S7E41D30_1,I132.1021R0.87_CyanoAq,0.89,388614656,9235005,154719744,-0.3,molecules1
molecules1,161110_Smp_Cy_A,I132.1021R0.87_CyanoAq,0.87,295939520,990142,68744488,-0.9,molecules1
molecules1,161110_Smp_Cy_B,I132.1021R0.87_CyanoAq,0.87,274030912,2743267,65429172,-1,molecules1
molecules1,161110_Smp_Cy_C,I132.1021R0.87_CyanoAq,0.87,361538368,4048311,78712704,-1.2,molecules1
molecules1,161110_Smp_To_A,I132.1021R0.87_CyanoAq,0.87,271086720,620236,68977040,-1.1,molecules1
molecules1,161110_Smp_To_B,I132.1021R0.87_CyanoAq,0.88,242840752,1294566,62966868,-0.8,molecules1
molecules1,161110_Smp_To_C,I132.1021R0.87_CyanoAq,0.88,247039616,2010937,66764620,-1.2,molecules1
molecules1,161110_Smp_2090_A,I132.1021R0.87_CyanoAq,0.88,4892998,290908,1490633,-0.6,molecules1
molecules1,161110_Smp_2090_B,I132.1021R0.87_CyanoAq,0.88,4728574,262289,1377632,-1.1,molecules1
molecules1,161110_Smp_2090_C,I132.1021R0.87_CyanoAq,0.87,5814757,271937,1727774,-0.2,molecules1
molecules1,161110_Smp_371_A,I132.1021R0.87_CyanoAq,0.87,3920313,190233,1161570,-0.5,molecules1
molecules1,161110_Smp_371_B,I132.1021R0.87_CyanoAq,0.88,4246156,200727,1200699,-0.9,molecules1
molecules1,161110_Smp_371_C,I132.1021R0.87_CyanoAq,0.88,3556325,196257,1066379,-0.5,molecules1
molecules1,161110_Smp_Tp_A,I132.1021R0.87_CyanoAq,0.88,156611504,402512,44069576,-0.8,molecules1
molecules1,161110_Smp_Tp_E,I132.1021R0.87_CyanoAq,0.88,83538504,1266386,24701946,-0.6,molecules1
molecules1,161110_Smp_Tp_F,I132.1021R0.87_CyanoAq,0.88,94856008,416977,27196880,-0.8,molecules1
molecules1,180716_Blk_Blk0p2_1,I166.0864R1.12_CyanoAq,1.14,321646,0,136477,-1.7,molecules1
molecules1,161110_Blk_MediaBlk_DiatomA,I166.0864R1.12_CyanoAq,1.12,159214,78540,55272,-0.6,molecules1
molecules1,161110_Blk_MediaBlk_DiatomB,I166.0864R1.12_CyanoAq,1.12,212122,0,65631,-0.4,molecules1
molecules1,161110_Blk_MediaBlk_DiatomC,I166.0864R1.12_CyanoAq,1.12,218327,0,61173,-0.4,molecules1
molecules1,161110_Blk_MediaBlk_DiatomH,I166.0864R1.12_CyanoAq,1.12,106011,12293,35147,-0.6,molecules1
molecules1,161110_Blk_MediaBlk_DiatomZ,I166.0864R1.12_CyanoAq,1.15,637561,180752,267756,-1,molecules1
molecules1,170413_Smp_KM1513-15m_A,I166.0864R1.12_CyanoAq,1.13,53038320,512624,21104338,0,molecules1
molecules1,180716_Smp_S7E41D30_1,I166.0864R1.12_CyanoAq,1.14,247024496,1723882,110058824,-0.8,molecules1
molecules1,161110_Smp_Cy_A,I166.0864R1.12_CyanoAq,1.12,62044604,1930652,27020588,-0.9,molecules1
molecules1,161110_Smp_Cy_B,I166.0864R1.12_CyanoAq,1.12,47463280,1666918,20419714,-0.8,molecules1
