Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,180716_Blk_Blk0p2_1,I132.1021R0.87_CyanoAq,0.74,1142630,369081,245091,-1.3,molecules1
molecules1,170413_Smp_KM1513-15m_A,I132.1021R0.87_CyanoAq,0.73,190214656,0,34964568,0.3,molecules1
molecules1,180716_Smp_S7E41D30_1,I132.1021R0.87_CyanoAq,0.89,388614656,9235005,154719744,-0.3,molecules1
molecules1,170828_Blk_MediaBlk_N,I132.1021R0.87_CyanoAq,0.88,1095176,41507,524392,-0.9,molecules1
molecules1,170828_Blk_MediaBlk_O,I132.1021R0.87_CyanoAq,0.88,613081,79930,187582,-0.6,molecules1
molecules1,170828_Smp_1314_A,I132.1021R0.87_CyanoAq,0.88,4564185,86961,2662628,-1.2,molecules1
molecules1,170828_Smp_1314_B,I132.1021R0.87_CyanoAq,0.88,3581739,226226,1570266,-0.6,molecules1
molecules1,170828_Smp_1314_C,I132.1021R0.87_CyanoAq,0.88,4460619,292372,1910720,-0.6,molecules1
molecules1,170828_Smp_1545_A,I132.1021R0.87_CyanoAq,0.88,27233402,251596,13872087,-1.2,molecules1
molecules1,170828_Smp_1545_B,I132.1021R0.87_CyanoAq,0.88,26976412,436782,9801122,-1,molecules1
molecules1,170828_Smp_1545_C,I132.1021R0.87_CyanoAq,0.88,14375051,394299,8158800,-1.1,molecules1
molecules1,170828_Blk_MediaBlk_71,I132.1021R0.87_CyanoAq,0.87,315122,11220,88462,-0.8,molecules1
molecules1,170828_Smp_1771_A,I132.1021R0.87_CyanoAq,0.88,4778298,1152449,1795904,-1.1,molecules1
molecules1,170828_Smp_1771_B,I132.1021R0.87_CyanoAq,0.88,6894715,1551485,2306045,-1,molecules1
molecules1,170828_Smp_1771_C,I132.1021R0.87_CyanoAq,0.88,6060986,1333020,1945697,-1.4,molecules1
molecules1,170828_Blk_MediaBlk_21,I132.1021R0.87_CyanoAq,0.87,247848,5086,79828,-1.3,molecules1
molecules1,170828_Smp_2021_A,I132.1021R0.87_CyanoAq,0.88,84176424,3837556,37135764,-1.3,molecules1
molecules1,170828_Smp_2021_B,I132.1021R0.87_CyanoAq,0.88,80254696,3518812,29937042,-1.4,molecules1
molecules1,170828_Smp_2021_C,I132.1021R0.87_CyanoAq,0.88,39124468,1684231,13871543,-1.2,molecules1
molecules1,170828_Blk_MediaBlk_49,I132.1021R0.87_CyanoAq,0.87,299485,37206,79509,-1.1,molecules1
molecules1,170828_Smp_449_A,I132.1021R0.87_CyanoAq,0.87,4209687,229552,1703346,-0.9,molecules1
molecules1,170828_Smp_449_B,I132.1021R0.87_CyanoAq,0.88,5208151,294717,2010422,-1.2,molecules1
molecules1,170828_Smp_449_C,I132.1021R0.87_CyanoAq,0.88,4226434,96534,1612581,-1,molecules1
molecules1,180302_Blk_MediaBlk_3430,I132.1021R0.87_CyanoAq,0.89,213424,54150,117573,-0.1,molecules1
molecules1,180302_Smp_3430_A,I132.1021R0.87_CyanoAq,0.89,21286646,871405,12744546,-0.1,molecules1
molecules1,180302_Smp_3430_B,I132.1021R0.87_CyanoAq,0.89,22284554,921617,13250099,-0.2,molecules1
molecules1,180302_Smp_3430_C,I132.1021R0.87_CyanoAq,0.89,27698012,933455,15729276,-0.1,molecules1
molecules1,180716_Blk_Blk0p2_1,I166.0864R1.12_CyanoAq,1.14,321646,0,136477,-1.7,molecules1
molecules1,170413_Smp_KM1513-15m_A,I166.0864R1.12_CyanoAq,1.13,53038320,512624,21104338,0,molecules1
molecules1,180716_Smp_S7E41D30_1,I166.0864R1.12_CyanoAq,1.14,247024496,1723882,110058824,-0.8,molecules1
molecules1,170828_Blk_MediaBlk_N,I166.0864R1.12_CyanoAq,1.12,449314,0,224553,-1.1,molecules1
molecules1,170828_Blk_MediaBlk_O,I166.0864R1.12_CyanoAq,1.12,253343,0,145291,-0.5,molecules1
molecules1,170828_Smp_1314_A,I166.0864R1.12_CyanoAq,1.12,3058816,158365,1427606,-1,molecules1
molecules1,170828_Smp_1314_B,I166.0864R1.12_CyanoAq,1.12,2629867,165442,1234061,-0.9,molecules1
molecules1,170828_Smp_1314_C,I166.0864R1.12_CyanoAq,1.12,3031597,136149,1441527,-0.6,molecules1
molecules1,170828_Smp_1545_A,I166.0864R1.12_CyanoAq,1.12,9620561,44534,4548647,-1,molecules1
molecules1,170828_Smp_1545_B,I166.0864R1.12_CyanoAq,1.12,5423126,199925,2680284,-1.1,molecules1
molecules1,170828_Smp_1545_C,I166.0864R1.12_CyanoAq,1.12,4704281,101202,2133772,-0.9,molecules1
molecules1,170828_Blk_MediaBlk_71,I166.0864R1.12_CyanoAq,1.11,81786,0,33690,-0.9,molecules1
molecules1,170828_Smp_1771_A,I166.0864R1.12_CyanoAq,1.12,11066502,788755,5051745,-1.5,molecules1
molecules1,170828_Smp_1771_B,I166.0864R1.12_CyanoAq,1.12,15315200,1055829,7187013,-0.9,molecules1
molecules1,170828_Smp_1771_C,I166.0864R1.12_CyanoAq,1.12,10540720,812388,4843446,-1.3,molecules1
