Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,170413_Smp_KM1513-15m_A,I132.1021R0.87_CyanoAq,0.73,190214656,0,34964568,0.3,molecules1
molecules1,180716_Smp_S7E41D30_1,I132.1021R0.87_CyanoAq,0.89,388614656,9235005,154719744,-0.3,molecules1
molecules1,180302_Blk_MediaBlk_RAC5,I132.1021R0.87_CyanoAq,0.73,799751,0,170819,0.2,molecules1
molecules1,180302_Smp_P3_A,I132.1021R0.87_CyanoAq,0.9,16846966,785178,4958690,-0.2,molecules1
molecules1,180302_Smp_P3_B,I132.1021R0.87_CyanoAq,0.89,15819313,382055,4500911,-0.5,molecules1
molecules1,180302_Smp_P3_C,I132.1021R0.87_CyanoAq,0.89,16827702,485678,4964907,-0.2,molecules1
molecules1,180302_Smp_P5-5_A,I132.1021R0.87_CyanoAq,0.89,5612753,261767,1791386,0,molecules1
molecules1,180302_Smp_P5-5_B,I132.1021R0.87_CyanoAq,0.89,6523234,267260,2262683,0.1,molecules1
molecules1,180302_Smp_P5-5_C,I132.1021R0.87_CyanoAq,0.89,6345033,290187,1843382,-0.1,molecules1
molecules1,170413_Smp_KM1513-15m_A,I166.0864R1.12_CyanoAq,1.13,53038320,512624,21104338,0,molecules1
molecules1,180716_Smp_S7E41D30_1,I166.0864R1.12_CyanoAq,1.14,247024496,1723882,110058824,-0.8,molecules1
molecules1,180302_Blk_MediaBlk_RAC5,I166.0864R1.12_CyanoAq,1.13,124619,0,50551,0,molecules1
molecules1,180302_Smp_P3_A,I166.0864R1.12_CyanoAq,1.14,7968051,65542,3445913,0.1,molecules1
molecules1,180302_Smp_P3_B,I166.0864R1.12_CyanoAq,1.13,7385837,0,3175284,-0.2,molecules1
molecules1,180302_Smp_P3_C,I166.0864R1.12_CyanoAq,1.13,7669655,83676,3406031,-0.2,molecules1
molecules1,180302_Smp_P5-5_A,I166.0864R1.12_CyanoAq,1.13,4451666,103876,1924165,0.4,molecules1
molecules1,180302_Smp_P5-5_B,I166.0864R1.12_CyanoAq,1.13,5489669,60745,2437587,0,molecules1
molecules1,180302_Smp_P5-5_C,I166.0864R1.12_CyanoAq,1.13,4906300,117210,2116670,0,molecules1
