Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,180716_Blk_Blk0p2_1,I132.1021R0.87_CyanoAq,0.74,1142630,369081,245091,-1.3,molecules1
molecules1,170413_Smp_KM1513-15m_A,I132.1021R0.87_CyanoAq,0.73,190214656,0,34964568,0.3,molecules1
molecules1,180716_Smp_S7E41D30_1,I132.1021R0.87_CyanoAq,0.89,388614656,9235005,154719744,-0.3,molecules1
molecules1,161118_Blk_MediaBlk_A,I132.1021R0.87_CyanoAq,0.89,1392285,0,218185,-1.5,molecules1
molecules1,161118_Blk_MediaBlk_C,I132.1021R0.87_CyanoAq,0.88,715048,0,101731,-1.6,molecules1
molecules1,161118_Smp_7803_B,I132.1021R0.87_CyanoAq,0.89,321141504,10676318,87877656,-1.4,molecules1
molecules1,161118_Smp_7803_F,I132.1021R0.87_CyanoAq,0.88,234165504,1027729,65846940,-1.8,molecules1
molecules1,161118_Smp_8102_A,I132.1021R0.87_CyanoAq,0.89,113832368,634383,30130284,-1.6,molecules1
molecules1,161118_Smp_8102_F,I132.1021R0.87_CyanoAq,0.9,122248944,735364,27885268,-1.6,molecules1
molecules1,161118_Smp_8501_B,I132.1021R0.87_CyanoAq,0.89,27805780,384709,7182845,-1.1,molecules1
molecules1,161118_Smp_8501_C,I132.1021R0.87_CyanoAq,0.89,61086604,0,17041634,-1.8,molecules1
molecules1,161118_Smp_8501_D,I132.1021R0.87_CyanoAq,0.89,37832160,0,9183851,-1.3,molecules1
molecules1,161118_Smp_MED4_D,I132.1021R0.87_CyanoAq,0.88,22460640,171569,5324427,-1,molecules1
molecules1,161118_Smp_MED4_E,I132.1021R0.87_CyanoAq,0.89,34267524,694511,9730476,-1.2,molecules1
molecules1,161118_Smp_MED4_F,I132.1021R0.87_CyanoAq,0.9,28178830,260347,7376207,-1.7,molecules1
molecules1,170828_Blk_MediaBlk_1314P,I132.1021R0.87_CyanoAq,0.72,1436610,0,354109,-0.9,molecules1
molecules1,170828_Smp_1314P_A,I132.1021R0.87_CyanoAq,0.88,4583262,35805,1754675,-1.2,molecules1
molecules1,170828_Smp_1314P_B,I132.1021R0.87_CyanoAq,0.88,3466618,89461,1507640,-1.1,molecules1
molecules1,170828_Smp_1314P_C,I132.1021R0.87_CyanoAq,0.88,3140444,79436,1185449,-1.2,molecules1
molecules1,170828_Blk_MediaBlk_As9601,I132.1021R0.87_CyanoAq,0.87,524393,67254,170998,-1.2,molecules1
molecules1,170828_Smp_As9601_A,I132.1021R0.87_CyanoAq,0.88,6917377,136676,2612383,-1.2,molecules1
molecules1,170828_Smp_As9601_B,I132.1021R0.87_CyanoAq,0.88,6820331,23170,2139631,-1,molecules1
molecules1,170828_Smp_As9601_C,I132.1021R0.87_CyanoAq,0.88,6738464,66321,2405267,-1.4,molecules1
molecules1,170828_Blk_MediaBlk_Nat,I132.1021R0.87_CyanoAq,0.88,319217,69171,90032,-1.1,molecules1
molecules1,170828_Smp_Nat_A,I132.1021R0.87_CyanoAq,0.88,10797739,127720,4235665,-1,molecules1
molecules1,170828_Smp_Nat_B,I132.1021R0.87_CyanoAq,0.88,9779604,74909,3714800,-1.4,molecules1
molecules1,170828_Smp_Nat_C,I132.1021R0.87_CyanoAq,0.87,9028515,136400,3489306,-1.2,molecules1
molecules1,180716_Blk_Blk0p2_1,I166.0864R1.12_CyanoAq,1.14,321646,0,136477,-1.7,molecules1
molecules1,170413_Smp_KM1513-15m_A,I166.0864R1.12_CyanoAq,1.13,53038320,512624,21104338,0,molecules1
molecules1,180716_Smp_S7E41D30_1,I166.0864R1.12_CyanoAq,1.14,247024496,1723882,110058824,-0.8,molecules1
molecules1,161118_Blk_MediaBlk_A,I166.0864R1.12_CyanoAq,1.13,401305,0,143532,-1.9,molecules1
molecules1,161118_Blk_MediaBlk_C,I166.0864R1.12_CyanoAq,1.13,191297,0,66734,-1.4,molecules1
molecules1,161118_Smp_7803_B,I166.0864R1.12_CyanoAq,1.13,150100032,898169,59844628,-1.7,molecules1
molecules1,161118_Smp_7803_F,I166.0864R1.12_CyanoAq,1.12,86636080,601099,41457084,-1.8,molecules1
molecules1,161118_Smp_8102_A,I166.0864R1.12_CyanoAq,1.13,41470696,216200,16600813,-1.7,molecules1
molecules1,161118_Smp_8102_F,I166.0864R1.12_CyanoAq,1.13,36259188,390480,14500502,-1.4,molecules1
molecules1,161118_Smp_8501_B,I166.0864R1.12_CyanoAq,1.13,22464144,77228,8687564,-1.4,molecules1
molecules1,161118_Smp_8501_C,I166.0864R1.12_CyanoAq,1.13,62628564,232987,26019484,-1.9,molecules1
molecules1,161118_Smp_8501_D,I166.0864R1.12_CyanoAq,1.13,37170216,556616,14987563,-1.5,molecules1
molecules1,161118_Smp_MED4_D,I166.0864R1.12_CyanoAq,1.13,15775251,142451,4665710,-1.1,molecules1
molecules1,161118_Smp_MED4_E,I166.0864R1.12_CyanoAq,1.13,21593264,126167,8471290,-1.4,molecules1
molecules1,161118_Smp_MED4_F,I166.0864R1.12_CyanoAq,1.13,19081300,196570,7857036,-2.1,molecules1
