Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,180716_Blk_Blk0p2_1,I132.1021R0.87_CyanoAq,0.74,1142630,369081,245091,-1.3,molecules1
molecules1,170413_Smp_KM1513-15m_A,I132.1021R0.87_CyanoAq,0.73,190214656,0,34964568,0.3,molecules1
molecules1,180716_Smp_S7E41D30_1,I132.1021R0.87_CyanoAq,0.89,388614656,9235005,154719744,-0.3,molecules1
molecules1,170216_Blk_MediaBlk_Pc55x,I132.1021R0.87_CyanoAq,0.88,380188,64766,104967,-0.8,molecules1
molecules1,170216_Smp_Pc55x_A,I132.1021R0.87_CyanoAq,0.88,30327212,407234,9285470,-0.4,molecules1
molecules1,170216_Smp_Pc55x_B,I132.1021R0.87_CyanoAq,0.88,32959254,364258,10917154,-0.4,molecules1
molecules1,170216_Smp_Pc55x_C,I132.1021R0.87_CyanoAq,0.88,21670560,215497,6848358,-0.6,molecules1
molecules1,161110_Blk_MediaBlk_DiatomZ,I132.1021R0.87_CyanoAq,0.88,224621,93170,49078,-0.7,molecules1
molecules1,170216_Smp_Np_A,I132.1021R0.87_CyanoAq,0.88,92183064,1294116,27614442,-0.5,molecules1
molecules1,170216_Smp_Np_C,I132.1021R0.87_CyanoAq,0.88,104121888,966050,34551716,-0.9,molecules1
molecules1,170216_Smp_Np_F,I132.1021R0.87_CyanoAq,0.88,99455936,488925,33667548,-0.8,molecules1
molecules1,170216_Smp_Pt_C,I132.1021R0.87_CyanoAq,0.88,177276592,1623971,50726164,-0.8,molecules1
molecules1,170216_Smp_Pt_F,I132.1021R0.87_CyanoAq,0.88,185898080,1275870,52258464,-0.7,molecules1
molecules1,180716_Blk_Blk0p2_1,I166.0864R1.12_CyanoAq,1.14,321646,0,136477,-1.7,molecules1
molecules1,170413_Smp_KM1513-15m_A,I166.0864R1.12_CyanoAq,1.13,53038320,512624,21104338,0,molecules1
molecules1,180716_Smp_S7E41D30_1,I166.0864R1.12_CyanoAq,1.14,247024496,1723882,110058824,-0.8,molecules1
molecules1,170216_Blk_MediaBlk_Pc55x,I166.0864R1.12_CyanoAq,1.13,109946,77608,44852,-0.2,molecules1
molecules1,170216_Smp_Pc55x_A,I166.0864R1.12_CyanoAq,1.13,166384064,1861198,72227040,-0.6,molecules1
molecules1,170216_Smp_Pc55x_B,I166.0864R1.12_CyanoAq,1.13,185306672,2030879,79550912,-0.8,molecules1
molecules1,170216_Smp_Pc55x_C,I166.0864R1.12_CyanoAq,1.13,95652408,1398607,42509692,-0.8,molecules1
molecules1,161110_Blk_MediaBlk_DiatomZ,I166.0864R1.12_CyanoAq,1.15,744322,98950,279269,-1,molecules1
molecules1,170216_Smp_Np_A,I166.0864R1.12_CyanoAq,1.12,85241200,2981939,36418492,-0.2,molecules1
molecules1,170216_Smp_Np_C,I166.0864R1.12_CyanoAq,1.13,92027384,2110524,39162164,-0.5,molecules1
molecules1,170216_Smp_Np_F,I166.0864R1.12_CyanoAq,1.13,86943112,2386244,36955812,-0.7,molecules1
molecules1,170216_Smp_Pt_C,I166.0864R1.12_CyanoAq,1.12,69154576,3205067,29062972,-0.6,molecules1
molecules1,170216_Smp_Pt_F,I166.0864R1.12_CyanoAq,1.13,69201392,3221942,29137858,-0.8,molecules1
molecules1,180716_Blk_Blk0p2_1,I268.1042R1.02_CyanoAq,1.03,44987,0,24892,-1.3,molecules1
molecules1,170413_Smp_KM1513-15m_A,I268.1042R1.02_CyanoAq,1.05,32003674,354902,16641391,-0.1,molecules1
molecules1,180716_Smp_S7E41D30_1,I268.1042R1.02_CyanoAq,1.04,48731748,228116,25331158,-0.1,molecules1
molecules1,170216_Blk_MediaBlk_Pc55x,I268.1042R1.02_CyanoAq,1.01,1809,0,2641,-0.6,molecules1
molecules1,170216_Smp_Pc55x_A,I268.1042R1.02_CyanoAq,1.02,1765867,0,811461,0.1,molecules1
molecules1,170216_Smp_Pc55x_B,I268.1042R1.02_CyanoAq,1.02,2557788,30808,1326190,0.1,molecules1
molecules1,170216_Smp_Pc55x_C,I268.1042R1.02_CyanoAq,1.02,749314,0,373376,-0.5,molecules1
molecules1,161110_Blk_MediaBlk_DiatomZ,I268.1042R1.02_CyanoAq,1.01,25014,0,15060,-1.6,molecules1
molecules1,170216_Smp_Np_A,I268.1042R1.02_CyanoAq,1.02,13067119,28382,6646295,0,molecules1
molecules1,170216_Smp_Np_C,I268.1042R1.02_CyanoAq,1.02,30007242,515610,14276895,-0.3,molecules1
molecules1,170216_Smp_Np_F,I268.1042R1.02_CyanoAq,1.02,14598118,47966,6396701,-0.4,molecules1
molecules1,170216_Smp_Pt_C,I268.1042R1.02_CyanoAq,1.02,9074739,54906,4398708,-0.4,molecules1
molecules1,170216_Smp_Pt_F,I268.1042R1.02_CyanoAq,1.02,7293420,48183,3770366,-0.3,molecules1
molecules1,180716_Blk_Blk0p2_1,I136.0619R0.89_CyanoAq,0.9,555333,0,355586,-1.1,molecules1
molecules1,170413_Smp_KM1513-15m_A,I136.0619R0.89_CyanoAq,0.92,17822804,503856,12308540,0.6,molecules1
