Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,170821_Blk_FilterBlk_N,I126.904R4.8_HILICNeg,5.4,4238418,296731,158044,0.5,molecules1
molecules1,170821_Blk_FilterBlk_O,I126.904R4.8_HILICNeg,5.2,11365445,245262,665525,0.1,molecules1
molecules1,170821_Blk_FilterBlk_71,I126.904R4.8_HILICNeg,4.53,13146984,156841,683014,1.4,molecules1
molecules1,170821_Blk_FilterBlk_21,I126.904R4.8_HILICNeg,4.49,19697650,126860,1092811,1.2,molecules1
molecules1,170821_Blk_FilterBlk_49,I126.904R4.8_HILICNeg,4.46,9781328,0,532161,1.2,molecules1
molecules1,180227_Blk_MediaBlk_3430,I126.904R4.8_HILICNeg,4.6,6766966,0,487462,-0.4,molecules1
molecules1,170410_Smp_KM1513-15m_A,I126.904R4.8_HILICNeg,4.03,259657104,1724413,25834260,-0.7,molecules1
molecules1,180702_Smp_S7E41D30_1,I126.904R4.8_HILICNeg,5.24,142199376,0,16244445,1.2,molecules1
molecules1,170821_Smp_1314_A,I126.904R4.8_HILICNeg,5.31,25435416,162457,950069,0.4,molecules1
molecules1,170821_Smp_1314_B,I126.904R4.8_HILICNeg,5.2,27338994,151277,1377591,0.5,molecules1
molecules1,170821_Smp_1314_C,I126.904R4.8_HILICNeg,5.2,20406238,227008,1107858,0.3,molecules1
molecules1,170821_Smp_1545_A,I126.904R4.8_HILICNeg,5.33,29690254,429578,1220083,0.6,molecules1
molecules1,170821_Smp_1545_B,I126.904R4.8_HILICNeg,5.18,34300008,194269,1932078,0.4,molecules1
molecules1,170821_Smp_1545_C,I126.904R4.8_HILICNeg,5.16,32473326,269910,1836068,0.5,molecules1
molecules1,170821_Smp_1771_A,I126.904R4.8_HILICNeg,4.41,31404658,321534,1789211,1.3,molecules1
molecules1,170821_Smp_1771_B,I126.904R4.8_HILICNeg,4.19,15097110,69794,643655,-0.1,molecules1
molecules1,170821_Smp_1771_C,I126.904R4.8_HILICNeg,4.32,18214360,152592,890120,-0.1,molecules1
molecules1,170821_Smp_2021_A,I126.904R4.8_HILICNeg,4.44,35123032,113350,1475840,1.3,molecules1
molecules1,170821_Smp_2021_B,I126.904R4.8_HILICNeg,4.24,33557536,257542,1836810,0,molecules1
molecules1,170821_Smp_2021_C,I126.904R4.8_HILICNeg,4.89,24603470,144586,1306430,-0.1,molecules1
