Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,161114_Blk_MediaBlk_A,I126.904R4.8_HILICNeg,4.57,1112901,0,146635,-0.1,molecules1
molecules1,161114_Blk_MediaBlk_C,I126.904R4.8_HILICNeg,4.6,971470,0,117991,0.2,molecules1
molecules1,170821_Blk_FilterBlk_1314P,I126.904R4.8_HILICNeg,4.99,411559,0,19431,0.8,molecules1
molecules1,170821_Blk_FilterBlk_As9601,I126.904R4.8_HILICNeg,5.04,330989,0,21614,1.1,molecules1
molecules1,170821_Blk_FilterBlk_Nat,I126.904R4.8_HILICNeg,5.13,158955,154,17331,0.9,molecules1
molecules1,170410_Smp_KM1513-15m_A,I126.904R4.8_HILICNeg,4.03,259657104,1724413,25834260,-0.7,molecules1
molecules1,180702_Smp_S7E41D30_1,I126.904R4.8_HILICNeg,5.24,142199376,0,16244445,1.2,molecules1
molecules1,161114_Smp_7803_B,I126.904R4.8_HILICNeg,4.6,2562884,0,262902,-0.1,molecules1
molecules1,161114_Smp_7803_F,I126.904R4.8_HILICNeg,4.58,2350169,0,278504,0.1,molecules1
molecules1,161114_Smp_8102_A,I126.904R4.8_HILICNeg,4.53,2844787,0,374941,0,molecules1
molecules1,161114_Smp_8102_F,I126.904R4.8_HILICNeg,4.55,2544174,0,301493,0,molecules1
molecules1,161114_Smp_8501_B,I126.904R4.8_HILICNeg,4.55,2732282,0,293134,0.1,molecules1
molecules1,161114_Smp_8501_C,I126.904R4.8_HILICNeg,4.55,2227913,0,226672,0.1,molecules1
molecules1,161114_Smp_8501_D,I126.904R4.8_HILICNeg,4.53,2540189,0,276995,0.1,molecules1
molecules1,161114_Smp_MED4_D,I126.904R4.8_HILICNeg,4.41,1742809,0,216618,0.1,molecules1
molecules1,161114_Smp_MED4_E,I126.904R4.8_HILICNeg,4.53,1621618,0,198075,0.2,molecules1
molecules1,161114_Smp_MED4_F,I126.904R4.8_HILICNeg,4.52,1699577,0,200613,0.3,molecules1
molecules1,170821_Smp_1314P_A,I126.904R4.8_HILICNeg,5.07,1315618,0,74229,0.3,molecules1
molecules1,170821_Smp_1314P_B,I126.904R4.8_HILICNeg,5.1,1281684,0,66485,0.5,molecules1
molecules1,170821_Smp_1314P_C,I126.904R4.8_HILICNeg,5,1235928,0,61868,0.7,molecules1
molecules1,170821_Smp_As9601_A,I126.904R4.8_HILICNeg,5.07,1189872,0,59897,0.7,molecules1
molecules1,170821_Smp_As9601_B,I126.904R4.8_HILICNeg,5.04,1481135,0,82321,0.4,molecules1
molecules1,170821_Smp_As9601_C,I126.904R4.8_HILICNeg,4.99,735466,0,40818,0.7,molecules1
molecules1,170821_Smp_Nat_A,I126.904R4.8_HILICNeg,5.17,1188282,0,63272,0.2,molecules1
molecules1,170821_Smp_Nat_B,I126.904R4.8_HILICNeg,5.09,910758,0,53831,0.4,molecules1
molecules1,170821_Smp_Nat_C,I126.904R4.8_HILICNeg,5.01,1026388,0,50898,0.7,molecules1
