Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,180709_Blk_Blk0p2_2,I126.904R4.8_HILICNeg,3.51,1358046,0,148684,0,molecules1
molecules1,161107_Blk_MediaBlk_DiatomC,I126.904R4.8_HILICNeg,4.31,67073616,187046,6213665,-0.7,molecules1
molecules1,161107_Blk_MediaBlk_DiatomYBC,I126.904R4.8_HILICNeg,4.2,68607280,2005786,7053493,-0.6,molecules1
molecules1,161107_Blk_MediaBlk_DiatomA,I126.904R4.8_HILICNeg,4.38,19120468,0,1480367,-0.5,molecules1
molecules1,161107_Blk_MediaBlk_DiatomB,I126.904R4.8_HILICNeg,4.32,25369594,0,2069287,-0.7,molecules1
molecules1,161107_Blk_MediaBlk_DiatomZ,I126.904R4.8_HILICNeg,4.2,41581684,482916,3763919,-0.5,molecules1
molecules1,170410_Smp_KM1513-15m_A,I126.904R4.8_HILICNeg,4.03,259657104,1724413,25834260,-0.7,molecules1
molecules1,180702_Smp_S7E41D30_1,I126.904R4.8_HILICNeg,5.24,142199376,0,16244445,1.2,molecules1
molecules1,161107_Smp_2090_A,I126.904R4.8_HILICNeg,4.28,98186208,0,10019622,-0.1,molecules1
molecules1,161107_Smp_2090_B,I126.904R4.8_HILICNeg,4.58,49403056,321205,4838044,-0.1,molecules1
molecules1,161107_Smp_2090_C,I126.904R4.8_HILICNeg,4.34,67710552,813016,7027000,-0.3,molecules1
molecules1,161107_Smp_371_A,I126.904R4.8_HILICNeg,4.1,73791736,784336,7907718,0,molecules1
molecules1,161107_Smp_371_B,I126.904R4.8_HILICNeg,4.14,79236784,547252,8344832,-0.1,molecules1
molecules1,161107_Smp_371_C,I126.904R4.8_HILICNeg,4.08,66042680,387036,7024251,0,molecules1
molecules1,161107_Smp_Cy_A,I126.904R4.8_HILICNeg,4.29,37620128,0,3352235,-0.3,molecules1
molecules1,161107_Smp_Cy_B,I126.904R4.8_HILICNeg,4.34,35045164,0,2973705,-0.1,molecules1
molecules1,161107_Smp_Cy_C,I126.904R4.8_HILICNeg,4.34,38599400,44325,3311922,0,molecules1
molecules1,161107_Smp_To_A,I126.904R4.8_HILICNeg,4.46,30981046,0,2252973,-0.7,molecules1
molecules1,161107_Smp_To_B,I126.904R4.8_HILICNeg,4.43,33406116,0,2221255,-0.4,molecules1
molecules1,161107_Smp_To_C,I126.904R4.8_HILICNeg,4.46,28385766,0,1942112,0.1,molecules1
molecules1,161107_Smp_Tp_A,I126.904R4.8_HILICNeg,4.21,60412448,0,5053147,-0.3,molecules1
molecules1,161107_Smp_Tp_E,I126.904R4.8_HILICNeg,4.18,55867428,662615,4748715,0,molecules1
