Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,180227_Blk_MediaBlk_RAC5,I126.904R4.8_HILICNeg,3.78,0,0,0,#N/A,molecules1
molecules1,170410_Smp_KM1513-15m_A,I126.904R4.8_HILICNeg,4.03,259657104,1724413,25834260,-0.7,molecules1
molecules1,180702_Smp_S7E41D30_1,I126.904R4.8_HILICNeg,5.24,142199376,0,16244445,1.2,molecules1
molecules1,180227_Smp_P3_A,I126.904R4.8_HILICNeg,4.66,1266844,0,142699,-0.4,molecules1
molecules1,180227_Smp_P3_B,I126.904R4.8_HILICNeg,4.47,1023992,0,115013,-0.4,molecules1
molecules1,180227_Smp_P3_C,I126.904R4.8_HILICNeg,4.58,930173,0,106874,-0.3,molecules1
molecules1,180227_Smp_P5-5_A,I126.904R4.8_HILICNeg,4.54,226671,0,80497,0,molecules1
molecules1,180227_Smp_P5-5_B,I126.904R4.8_HILICNeg,4.52,345039,0,72987,0.2,molecules1
molecules1,180227_Smp_P5-5_C,I126.904R4.8_HILICNeg,4.45,563251,0,88478,-0.3,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I146.045R12.11_HILICNeg,10.98,74957,0,60937,6.8,molecules1
molecules1,170410_Smp_KM1513-15m_A,I146.045R12.11_HILICNeg,12.23,464086496,6774343,56264092,-0.8,molecules1
molecules1,180702_Smp_S7E41D30_1,I146.045R12.11_HILICNeg,12.55,158998032,1689216,18839038,0.9,molecules1
molecules1,180227_Smp_P3_A,I146.045R12.11_HILICNeg,11.73,5388463,0,481024,-0.5,molecules1
molecules1,180227_Smp_P3_B,I146.045R12.11_HILICNeg,11.69,9014967,0,664483,-0.4,molecules1
molecules1,180227_Smp_P3_C,I146.045R12.11_HILICNeg,11.65,9050342,0,624773,-0.3,molecules1
molecules1,180227_Smp_P5-5_A,I146.045R12.11_HILICNeg,11.66,15028666,0,1078702,0,molecules1
molecules1,180227_Smp_P5-5_B,I146.045R12.11_HILICNeg,11.63,7970059,0,559943,-0.2,molecules1
molecules1,180227_Smp_P5-5_C,I146.045R12.11_HILICNeg,11.61,7677457,0,582201,-0.3,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I317.0553R12.1_HILICNeg,10.94,0,0,0,#N/A,molecules1
molecules1,170410_Smp_KM1513-15m_A,I317.0553R12.1_HILICNeg,12.06,345384608,3471614,30656906,-0.7,molecules1
molecules1,180702_Smp_S7E41D30_1,I317.0553R12.1_HILICNeg,12.57,102218136,1416191,13702323,0.3,molecules1
molecules1,180227_Smp_P3_A,I317.0553R12.1_HILICNeg,11.89,22564634,0,1941685,-0.8,molecules1
molecules1,180227_Smp_P3_B,I317.0553R12.1_HILICNeg,11.79,13461460,0,1082568,-0.8,molecules1
molecules1,180227_Smp_P3_C,I317.0553R12.1_HILICNeg,11.77,12850381,0,1007854,-1,molecules1
molecules1,180227_Smp_P5-5_A,I317.0553R12.1_HILICNeg,11.77,1076670,0,165031,0.7,molecules1
molecules1,180227_Smp_P5-5_B,I317.0553R12.1_HILICNeg,11.9,340809,0,68010,-0.6,molecules1
molecules1,180227_Smp_P5-5_C,I317.0553R12.1_HILICNeg,11.72,1791741,0,187431,-0.3,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I267.0726R11.17_HILICNeg,12.18,0,0,0,#N/A,molecules1
molecules1,170410_Smp_KM1513-15m_A,I267.0726R11.17_HILICNeg,11.3,517322656,3252136,58198672,-1,molecules1
molecules1,180702_Smp_S7E41D30_1,I267.0726R11.17_HILICNeg,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_P3_A,I267.0726R11.17_HILICNeg,11.58,946747,0,121811,-0.7,molecules1
molecules1,180227_Smp_P3_B,I267.0726R11.17_HILICNeg,11.48,815675,0,152994,-1.1,molecules1
molecules1,180227_Smp_P3_C,I267.0726R11.17_HILICNeg,11.51,1129632,0,106844,-1.2,molecules1
molecules1,180227_Smp_P5-5_A,I267.0726R11.17_HILICNeg,11.46,2499711,0,243278,-0.1,molecules1
molecules1,180227_Smp_P5-5_B,I267.0726R11.17_HILICNeg,11.4,2029336,0,209514,-1.1,molecules1
molecules1,180227_Smp_P5-5_C,I267.0726R11.17_HILICNeg,11.39,2962820,0,205326,-0.8,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I244.0828R9.94_HILICNeg,21.98,925685,0,464967,5.4,molecules1
molecules1,170410_Smp_KM1513-15m_A,I244.0828R9.94_HILICNeg,10.69,175468464,5686526,15379566,-0.5,molecules1
molecules1,180702_Smp_S7E41D30_1,I244.0828R9.94_HILICNeg,10.32,103806456,1355562,10807818,0.8,molecules1
molecules1,180227_Smp_P3_A,I244.0828R9.94_HILICNeg,21.99,963928,0,308678,4.3,molecules1
molecules1,180227_Smp_P3_B,I244.0828R9.94_HILICNeg,21.55,851212,0,127130,4.3,molecules1
molecules1,180227_Smp_P3_C,I244.0828R9.94_HILICNeg,21.99,510867,0,240416,5.4,molecules1
molecules1,180227_Smp_P5-5_A,I244.0828R9.94_HILICNeg,21.98,985590,109358,483788,6,molecules1
molecules1,180227_Smp_P5-5_B,I244.0828R9.94_HILICNeg,21.98,636277,0,347322,4.5,molecules1
molecules1,180227_Smp_P5-5_C,I244.0828R9.94_HILICNeg,21.98,367189,0,268939,4.7,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I124.0064R10.88_HILICNeg,1.24,55500,0,58716,-0.2,molecules1
molecules1,170410_Smp_KM1513-15m_A,I124.0064R10.88_HILICNeg,11.1,79724208,0,11848153,-1,molecules1
molecules1,180702_Smp_S7E41D30_1,I124.0064R10.88_HILICNeg,11.47,397584832,0,19832832,0.5,molecules1
molecules1,180227_Smp_P3_A,I124.0064R10.88_HILICNeg,13.72,59860,0,49868,-4,molecules1
molecules1,180227_Smp_P3_B,I124.0064R10.88_HILICNeg,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_P3_C,I124.0064R10.88_HILICNeg,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_P5-5_A,I124.0064R10.88_HILICNeg,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_P5-5_B,I124.0064R10.88_HILICNeg,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_P5-5_C,I124.0064R10.88_HILICNeg,20.37,52119,0,38549,0.7,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I150.0413R8.14_HILICNeg,21.98,206183,0,129815,1.3,molecules1
molecules1,170410_Smp_KM1513-15m_A,I150.0413R8.14_HILICNeg,8.71,159402128,741477,12886241,-0.9,molecules1
molecules1,180702_Smp_S7E41D30_1,I150.0413R8.14_HILICNeg,8.4,51161120,0,4551224,0.8,molecules1
molecules1,180227_Smp_P3_A,I150.0413R8.14_HILICNeg,21.99,106982,0,57702,-1.3,molecules1
molecules1,180227_Smp_P3_B,I150.0413R8.14_HILICNeg,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_P3_C,I150.0413R8.14_HILICNeg,21.98,157496,0,72713,0.4,molecules1
molecules1,180227_Smp_P5-5_A,I150.0413R8.14_HILICNeg,21.98,128112,0,82867,0,molecules1
molecules1,180227_Smp_P5-5_B,I150.0413R8.14_HILICNeg,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_P5-5_C,I150.0413R8.14_HILICNeg,21.99,188126,0,94493,0.2,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I167.0204R10.56_HILICNeg,21.98,152323,0,88347,-0.6,molecules1
molecules1,170410_Smp_KM1513-15m_A,I167.0204R10.56_HILICNeg,10.89,30031414,383835,4573721,-0.9,molecules1
molecules1,180702_Smp_S7E41D30_1,I167.0204R10.56_HILICNeg,10.85,519412,0,87793,0.4,molecules1
molecules1,180227_Smp_P3_A,I167.0204R10.56_HILICNeg,2,88547,0,86469,-6.2,molecules1
molecules1,180227_Smp_P3_B,I167.0204R10.56_HILICNeg,1.95,894025,0,205775,-5.7,molecules1
molecules1,180227_Smp_P3_C,I167.0204R10.56_HILICNeg,1.96,671709,0,157403,-5.3,molecules1
molecules1,180227_Smp_P5-5_A,I167.0204R10.56_HILICNeg,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
