Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,170821_Blk_FilterBlk_N,I285.1445R8.18_HILICPos,9.58,4232,0,2590,3.5,molecules1
molecules1,170821_Blk_FilterBlk_O,I285.1445R8.18_HILICPos,9.29,8931,0,2782,2,molecules1
molecules1,170821_Blk_FilterBlk_71,I285.1445R8.18_HILICPos,8.98,0,0,0,#N/A,molecules1
molecules1,170821_Blk_FilterBlk_21,I285.1445R8.18_HILICPos,8.85,0,0,0,#N/A,molecules1
molecules1,170821_Blk_FilterBlk_49,I285.1445R8.18_HILICPos,8.81,0,0,0,#N/A,molecules1
molecules1,180227_Blk_MediaBlk_3430,I285.1445R8.18_HILICPos,7.58,10165,0,6187,1.5,molecules1
molecules1,170410_Smp_KM1513-15m_A,I285.1445R8.18_HILICPos,9.24,139078960,9492172,9722521,-0.5,molecules1
molecules1,180702_Smp_S7E41D30_1,I285.1445R8.18_HILICPos,8.47,96761936,8000324,6721465,-0.1,molecules1
molecules1,170821_Smp_1314_A,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1314_B,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1314_C,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1545_A,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1545_B,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1545_C,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1771_A,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1771_B,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1771_C,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_2021_A,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_2021_B,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_2021_C,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_449_A,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_449_B,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_449_C,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_3430_A,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_3430_B,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_3430_C,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180130_Blk_MediaBlk_1,I285.1445R8.18_HILICPos,9.65,0,0,0,#N/A,molecules1
molecules1,180130_Smp_Exp_1,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180130_Smp_Exp_2,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180130_Smp_Exp_3,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Blk_FilterBlk_N,I152.0567R8.12_HILICPos,8.3,817069,0,64460,0,molecules1
molecules1,170821_Blk_FilterBlk_O,I152.0567R8.12_HILICPos,8.3,1131350,0,94733,0.1,molecules1
molecules1,170821_Blk_FilterBlk_71,I152.0567R8.12_HILICPos,8.2,101092,0,8183,-0.5,molecules1
molecules1,170821_Blk_FilterBlk_21,I152.0567R8.12_HILICPos,8.25,112340,0,15345,-0.5,molecules1
molecules1,170821_Blk_FilterBlk_49,I152.0567R8.12_HILICPos,8.29,273024,0,21142,-0.5,molecules1
molecules1,180227_Blk_MediaBlk_3430,I152.0567R8.12_HILICPos,8.18,152243,0,31431,0.4,molecules1
molecules1,170410_Smp_KM1513-15m_A,I152.0567R8.12_HILICPos,8.7,1675238144,21305752,145692336,-0.4,molecules1
molecules1,180702_Smp_S7E41D30_1,I152.0567R8.12_HILICPos,8.38,500314272,6960100,37756872,-0.1,molecules1
molecules1,170821_Smp_1314_A,I152.0567R8.12_HILICPos,8.3,1530373888,17963082,101990984,-0.5,molecules1
molecules1,170821_Smp_1314_B,I152.0567R8.12_HILICPos,8.3,1967805952,25678134,126984752,-0.7,molecules1
molecules1,170821_Smp_1314_C,I152.0567R8.12_HILICPos,8.3,1535020288,17539740,101288928,-0.4,molecules1
molecules1,170821_Smp_1545_A,I152.0567R8.12_HILICPos,8.29,9516952,125970,776461,0.3,molecules1
molecules1,170821_Smp_1545_B,I152.0567R8.12_HILICPos,8.3,5909559,39718,459663,0.2,molecules1
molecules1,170821_Smp_1545_C,I152.0567R8.12_HILICPos,8.3,7413722,7413,574979,0.5,molecules1
molecules1,170821_Smp_1771_A,I152.0567R8.12_HILICPos,8.29,1323325568,20579928,94885568,-1.1,molecules1
molecules1,170821_Smp_1771_B,I152.0567R8.12_HILICPos,8.28,1966381568,26347718,144248272,-1.3,molecules1
molecules1,170821_Smp_1771_C,I152.0567R8.12_HILICPos,8.3,1585119360,22281982,114747144,-0.9,molecules1
molecules1,170821_Smp_2021_A,I152.0567R8.12_HILICPos,8.27,932131008,11456172,80469400,-1.2,molecules1
molecules1,170821_Smp_2021_B,I152.0567R8.12_HILICPos,8.25,1084795008,11143244,95666920,-1,molecules1
molecules1,170821_Smp_2021_C,I152.0567R8.12_HILICPos,8.15,641933120,9160197,61566916,-1.2,molecules1
molecules1,170821_Smp_449_A,I152.0567R8.12_HILICPos,8.28,128765608,1434087,10339492,-0.4,molecules1
molecules1,170821_Smp_449_B,I152.0567R8.12_HILICPos,8.3,255669424,3421472,22304566,-0.7,molecules1
molecules1,170821_Smp_449_C,I152.0567R8.12_HILICPos,8.3,147133840,2015931,12427909,-0.7,molecules1
molecules1,180227_Smp_3430_A,I152.0567R8.12_HILICPos,8.14,2296934,0,122035,0.1,molecules1
molecules1,180227_Smp_3430_B,I152.0567R8.12_HILICPos,8.23,5530540,0,270949,0.5,molecules1
molecules1,180227_Smp_3430_C,I152.0567R8.12_HILICPos,8.2,4409549,0,230474,0.5,molecules1
molecules1,180130_Blk_MediaBlk_1,I152.0567R8.12_HILICPos,8.25,462027,0,24552,0.9,molecules1
molecules1,180130_Smp_Exp_1,I152.0567R8.12_HILICPos,8.2,33379886,354410,1808079,1,molecules1
molecules1,180130_Smp_Exp_2,I152.0567R8.12_HILICPos,8.17,30337620,158031,1706192,1,molecules1
molecules1,180130_Smp_Exp_3,I152.0567R8.12_HILICPos,8.22,22859136,0,1296977,0.9,molecules1
molecules1,170821_Blk_FilterBlk_N,I285.1445R6.57_HILICPos,6.7,49559,0,20975,2.3,molecules1
molecules1,170821_Blk_FilterBlk_O,I285.1445R6.57_HILICPos,6.34,64494,0,20470,2,molecules1
molecules1,170821_Blk_FilterBlk_71,I285.1445R6.57_HILICPos,6.23,227203,0,53148,2.6,molecules1
molecules1,170821_Blk_FilterBlk_21,I285.1445R6.57_HILICPos,6.42,398499,0,87053,4,molecules1
molecules1,170821_Blk_FilterBlk_49,I285.1445R6.57_HILICPos,6.34,243368,0,86724,3.2,molecules1
molecules1,180227_Blk_MediaBlk_3430,I285.1445R6.57_HILICPos,6.23,297235,0,14312,2.3,molecules1
molecules1,170410_Smp_KM1513-15m_A,I285.1445R6.57_HILICPos,7.75,1132951808,15307836,96339392,-0.7,molecules1
molecules1,180702_Smp_S7E41D30_1,I285.1445R6.57_HILICPos,6.62,686213056,2121786,21407496,-0.1,molecules1
molecules1,170821_Smp_1314_A,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1314_B,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1314_C,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1545_A,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1545_B,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1545_C,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Smp_1771_A,I285.1445R6.57_HILICPos,6.9,403721472,8794150,16832428,-0.6,molecules1
molecules1,170821_Smp_1771_B,I285.1445R6.57_HILICPos,6.91,332100768,5876226,12749601,-0.7,molecules1
molecules1,170821_Smp_1771_C,I285.1445R6.57_HILICPos,6.86,189126912,4793226,7685335,-0.4,molecules1
molecules1,170821_Smp_2021_A,I285.1445R6.57_HILICPos,6.89,14713515008,281983296,545778496,-2.1,molecules1
molecules1,170821_Smp_2021_B,I285.1445R6.57_HILICPos,6.86,17287254016,318083104,654551488,-1.6,molecules1
molecules1,170821_Smp_2021_C,I285.1445R6.57_HILICPos,6.81,5626974208,101088728,214076064,-1.6,molecules1
molecules1,170821_Smp_449_A,I285.1445R6.57_HILICPos,6.91,1473100800,26565712,56005208,-0.9,molecules1
molecules1,170821_Smp_449_B,I285.1445R6.57_HILICPos,6.89,2233354752,44558572,91655200,-1.4,molecules1
molecules1,170821_Smp_449_C,I285.1445R6.57_HILICPos,6.89,1731231744,34263364,67223568,-1.3,molecules1
molecules1,180227_Smp_3430_A,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_3430_B,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_3430_C,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180130_Blk_MediaBlk_1,I285.1445R6.57_HILICPos,8.69,28948,0,8982,1.3,molecules1
molecules1,180130_Smp_Exp_1,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180130_Smp_Exp_2,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180130_Smp_Exp_3,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170821_Blk_FilterBlk_N,I130.05R12.12_HILICPos,11.39,774155,0,25727,0.1,molecules1
molecules1,170821_Blk_FilterBlk_O,I130.05R12.12_HILICPos,12.66,200865,0,10668,0.2,molecules1
molecules1,170821_Blk_FilterBlk_71,I130.05R12.12_HILICPos,13.09,6648,0,6636,-1.4,molecules1
molecules1,170821_Blk_FilterBlk_21,I130.05R12.12_HILICPos,13.73,0,0,0,#N/A,molecules1
molecules1,170821_Blk_FilterBlk_49,I130.05R12.12_HILICPos,12.95,0,0,0,#N/A,molecules1
molecules1,180227_Blk_MediaBlk_3430,I130.05R12.12_HILICPos,12.83,129173,0,14698,-0.5,molecules1
molecules1,170410_Smp_KM1513-15m_A,I130.05R12.12_HILICPos,12.24,104922256,5449844,12509823,0.3,molecules1
molecules1,180702_Smp_S7E41D30_1,I130.05R12.12_HILICPos,12.56,98895448,7850663,12645331,0.1,molecules1
molecules1,170821_Smp_1314_A,I130.05R12.12_HILICPos,12.12,19309846,1123061,1937902,0,molecules1
molecules1,170821_Smp_1314_B,I130.05R12.12_HILICPos,12.12,19325656,1619116,1706350,0.1,molecules1
molecules1,170821_Smp_1314_C,I130.05R12.12_HILICPos,12.1,17635804,2025882,1506678,0.1,molecules1
molecules1,170821_Smp_1545_A,I130.05R12.12_HILICPos,12.1,43867524,2333429,4196763,0.2,molecules1
molecules1,170821_Smp_1545_B,I130.05R12.12_HILICPos,12.1,44448508,2985374,3656086,0.4,molecules1
molecules1,170821_Smp_1545_C,I130.05R12.12_HILICPos,12.08,42508960,1892625,3564827,0.4,molecules1
molecules1,170821_Smp_1771_A,I130.05R12.12_HILICPos,11.61,11215867,224919,891257,-0.2,molecules1
molecules1,170821_Smp_1771_B,I130.05R12.12_HILICPos,11.46,12281012,37849,928336,-0.8,molecules1
molecules1,170821_Smp_1771_C,I130.05R12.12_HILICPos,11.51,10090102,365054,828891,-0.4,molecules1
molecules1,170821_Smp_2021_A,I130.05R12.12_HILICPos,11.57,104878920,5347278,9508578,-0.8,molecules1
molecules1,170821_Smp_2021_B,I130.05R12.12_HILICPos,11.54,128890640,5086029,9924339,-0.4,molecules1
molecules1,170821_Smp_2021_C,I130.05R12.12_HILICPos,11.81,32719094,1682654,2805586,-0.5,molecules1
molecules1,170821_Smp_449_A,I130.05R12.12_HILICPos,11.62,19965988,513758,1611189,0,molecules1
