Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,170706_Blk_Blk0p2_1,I285.1445R8.18_HILICPos,8.46,4792,0,4165,0,molecules1
molecules1,170410_Smp_KM1513-15m_A,I285.1445R8.18_HILICPos,9.24,139078960,9492172,9722521,-0.5,molecules1
molecules1,180702_Smp_S7E41D30_1,I285.1445R8.18_HILICPos,8.47,96761936,8000324,6721465,-0.1,molecules1
molecules1,161114_Blk_MediaBlk_A,I285.1445R8.18_HILICPos,8.37,69625,0,10294,0.7,molecules1
molecules1,161114_Blk_MediaBlk_C,I285.1445R8.18_HILICPos,8.45,59574,0,9081,1.4,molecules1
molecules1,161114_Smp_7803_B,I285.1445R8.18_HILICPos,0.66,131941,0,10664,3.6,molecules1
molecules1,161114_Smp_7803_F,I285.1445R8.18_HILICPos,6.5,103679,0,15545,3.7,molecules1
molecules1,161114_Smp_8102_A,I285.1445R8.18_HILICPos,0.59,96506,0,22018,2.2,molecules1
molecules1,161114_Smp_8102_F,I285.1445R8.18_HILICPos,1.42,148843,0,17968,4,molecules1
molecules1,161114_Smp_8501_B,I285.1445R8.18_HILICPos,1.42,81241,17614,16841,2.6,molecules1
molecules1,161114_Smp_8501_C,I285.1445R8.18_HILICPos,2.09,136093,0,35758,8.9,molecules1
molecules1,161114_Smp_8501_D,I285.1445R8.18_HILICPos,2.06,179412,0,26293,8.2,molecules1
molecules1,161114_Smp_MED4_D,I285.1445R8.18_HILICPos,5.01,108801,0,11933,2.6,molecules1
molecules1,161114_Smp_MED4_E,I285.1445R8.18_HILICPos,5.09,147775,0,25039,2.6,molecules1
molecules1,161114_Smp_MED4_F,I285.1445R8.18_HILICPos,7.21,160010,0,13558,2.1,molecules1
molecules1,170821_Blk_FilterBlk_1314P,I285.1445R8.18_HILICPos,8.24,0,0,0,#N/A,molecules1
molecules1,170821_Smp_1314P_A,I285.1445R8.18_HILICPos,5.47,40858,0,17423,1.7,molecules1
molecules1,170821_Smp_1314P_B,I285.1445R8.18_HILICPos,2.81,34396,0,17586,4,molecules1
molecules1,170821_Smp_1314P_C,I285.1445R8.18_HILICPos,4.05,75385,0,43694,2.6,molecules1
molecules1,170821_Blk_FilterBlk_As9601,I285.1445R8.18_HILICPos,8.33,5465,0,2974,5.2,molecules1
molecules1,170821_Smp_As9601_A,I285.1445R8.18_HILICPos,3.33,55810,0,48396,4.7,molecules1
molecules1,170821_Smp_As9601_B,I285.1445R8.18_HILICPos,1.67,62695,0,13417,11.5,molecules1
molecules1,170821_Smp_As9601_C,I285.1445R8.18_HILICPos,3.25,72163,0,55963,5.1,molecules1
molecules1,170821_Blk_FilterBlk_Nat,I285.1445R8.18_HILICPos,8.16,0,0,0,#N/A,molecules1
molecules1,170821_Smp_Nat_A,I285.1445R8.18_HILICPos,2.25,39700,0,21199,2.2,molecules1
molecules1,170821_Smp_Nat_B,I285.1445R8.18_HILICPos,1.72,50275,0,20681,9.2,molecules1
molecules1,170821_Smp_Nat_C,I285.1445R8.18_HILICPos,1.54,21435,0,8345,5.3,molecules1
molecules1,170706_Blk_Blk0p2_1,I152.0567R8.12_HILICPos,8.4,539962,0,47027,-0.8,molecules1
molecules1,170410_Smp_KM1513-15m_A,I152.0567R8.12_HILICPos,8.7,1675238144,21305752,145692336,-0.4,molecules1
molecules1,180702_Smp_S7E41D30_1,I152.0567R8.12_HILICPos,8.38,500314272,6960100,37756872,-0.1,molecules1
molecules1,161114_Blk_MediaBlk_A,I152.0567R8.12_HILICPos,8.64,2685792,9327,175740,-0.7,molecules1
molecules1,161114_Blk_MediaBlk_C,I152.0567R8.12_HILICPos,8.66,580345,9860,51048,-0.9,molecules1
molecules1,161114_Smp_7803_B,I152.0567R8.12_HILICPos,8.72,11000131,0,874956,-0.5,molecules1
molecules1,161114_Smp_7803_F,I152.0567R8.12_HILICPos,8.7,13913851,0,1146410,-0.8,molecules1
molecules1,161114_Smp_8102_A,I152.0567R8.12_HILICPos,8.69,76542664,625573,6458683,-0.5,molecules1
molecules1,161114_Smp_8102_F,I152.0567R8.12_HILICPos,8.69,51253624,246122,4225704,-0.7,molecules1
molecules1,161114_Smp_8501_B,I152.0567R8.12_HILICPos,8.69,38309588,0,3123322,-0.6,molecules1
molecules1,161114_Smp_8501_C,I152.0567R8.12_HILICPos,8.67,33774212,0,2721686,-0.5,molecules1
molecules1,161114_Smp_8501_D,I152.0567R8.12_HILICPos,8.7,38843876,0,3178078,-0.8,molecules1
molecules1,161114_Smp_MED4_D,I152.0567R8.12_HILICPos,8.7,31119542,481579,2750595,-0.4,molecules1
molecules1,161114_Smp_MED4_E,I152.0567R8.12_HILICPos,8.7,27474760,710126,2280465,-0.5,molecules1
molecules1,161114_Smp_MED4_F,I152.0567R8.12_HILICPos,8.7,32803654,548479,2833984,-0.7,molecules1
molecules1,170821_Blk_FilterBlk_1314P,I152.0567R8.12_HILICPos,8.25,721250,0,57820,-0.7,molecules1
molecules1,170821_Smp_1314P_A,I152.0567R8.12_HILICPos,8.29,25662964,382057,2016620,-0.3,molecules1
molecules1,170821_Smp_1314P_B,I152.0567R8.12_HILICPos,8.3,16009730,153171,1250675,-0.6,molecules1
molecules1,170821_Smp_1314P_C,I152.0567R8.12_HILICPos,8.32,19600112,334669,1566933,-0.7,molecules1
molecules1,170821_Blk_FilterBlk_As9601,I152.0567R8.12_HILICPos,8.32,1240443,4545,97858,-0.1,molecules1
molecules1,170821_Smp_As9601_A,I152.0567R8.12_HILICPos,8.29,13290466,0,1015780,-0.2,molecules1
molecules1,170821_Smp_As9601_B,I152.0567R8.12_HILICPos,8.33,13854265,179046,1086785,-0.4,molecules1
molecules1,170821_Smp_As9601_C,I152.0567R8.12_HILICPos,8.33,11880932,0,900499,-0.4,molecules1
molecules1,170821_Blk_FilterBlk_Nat,I152.0567R8.12_HILICPos,8.29,797570,0,56119,-0.2,molecules1
molecules1,170821_Smp_Nat_A,I152.0567R8.12_HILICPos,8.3,7605471,60512,606536,-0.3,molecules1
molecules1,170821_Smp_Nat_B,I152.0567R8.12_HILICPos,8.29,7697534,0,584292,-0.6,molecules1
molecules1,170821_Smp_Nat_C,I152.0567R8.12_HILICPos,8.3,6052911,0,474495,-0.4,molecules1
molecules1,170706_Blk_Blk0p2_1,I285.1445R6.57_HILICPos,7.1,8738,0,4521,0.3,molecules1
molecules1,170410_Smp_KM1513-15m_A,I285.1445R6.57_HILICPos,7.75,1132951808,15307836,96339392,-0.7,molecules1
molecules1,180702_Smp_S7E41D30_1,I285.1445R6.57_HILICPos,6.62,686213056,2121786,21407496,-0.1,molecules1
molecules1,161114_Blk_MediaBlk_A,I285.1445R6.57_HILICPos,7.16,121370,29733,9281,2.4,molecules1
molecules1,161114_Blk_MediaBlk_C,I285.1445R6.57_HILICPos,7.04,159413,0,13017,2.3,molecules1
molecules1,161114_Smp_7803_B,I285.1445R6.57_HILICPos,0.66,131941,0,10664,3.6,molecules1
molecules1,161114_Smp_7803_F,I285.1445R6.57_HILICPos,6.5,103679,0,15545,3.7,molecules1
molecules1,161114_Smp_8102_A,I285.1445R6.57_HILICPos,0.59,96506,0,22018,2.2,molecules1
molecules1,161114_Smp_8102_F,I285.1445R6.57_HILICPos,1.42,148843,0,17968,4,molecules1
molecules1,161114_Smp_8501_B,I285.1445R6.57_HILICPos,1.42,81241,17614,16841,2.6,molecules1
molecules1,161114_Smp_8501_C,I285.1445R6.57_HILICPos,2.09,136093,0,35758,8.9,molecules1
molecules1,161114_Smp_8501_D,I285.1445R6.57_HILICPos,2.06,179412,0,26293,8.2,molecules1
molecules1,161114_Smp_MED4_D,I285.1445R6.57_HILICPos,5.01,108801,0,11933,2.6,molecules1
molecules1,161114_Smp_MED4_E,I285.1445R6.57_HILICPos,5.09,147775,0,25039,2.6,molecules1
molecules1,161114_Smp_MED4_F,I285.1445R6.57_HILICPos,7.21,160010,0,13558,2.1,molecules1
molecules1,170821_Blk_FilterBlk_1314P,I285.1445R6.57_HILICPos,7.16,10551,0,5126,1.5,molecules1
molecules1,170821_Smp_1314P_A,I285.1445R6.57_HILICPos,5.47,40858,0,17423,1.7,molecules1
