Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,170706_Blk_Blk0p2_1,I285.1445R8.18_HILICPos,9.13,0,0,0,#N/A,molecules1
molecules1,170410_Smp_KM1513-15m_A,I285.1445R8.18_HILICPos,9.24,139078960,9492172,9722521,-0.5,molecules1
molecules1,180702_Smp_S7E41D30_1,I285.1445R8.18_HILICPos,8.47,96761936,8000324,6721465,-0.1,molecules1
molecules1,170213_Blk_MediaBlk_Pc55x,I285.1445R8.18_HILICPos,9.17,0,0,0,#N/A,molecules1
molecules1,161107_Blk_MediaBlk_DiatomZ,I285.1445R8.18_HILICPos,9.09,0,0,0,#N/A,molecules1
molecules1,170213_Smp_Pc55x_A,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Pc55x_B,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Pc55x_C,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Np_A_rerun,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Np_C_rerun,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Np_F,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Pt_C,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Pt_F_rerun,I285.1445R8.18_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170706_Blk_Blk0p2_1,I285.1445R6.57_HILICPos,7.1,8738,0,4521,0.3,molecules1
molecules1,170410_Smp_KM1513-15m_A,I285.1445R6.57_HILICPos,7.75,1132951808,15307836,96339392,-0.7,molecules1
molecules1,180702_Smp_S7E41D30_1,I285.1445R6.57_HILICPos,6.62,686213056,2121786,21407496,-0.1,molecules1
molecules1,170213_Blk_MediaBlk_Pc55x,I285.1445R6.57_HILICPos,7.63,7997,0,7773,0.7,molecules1
molecules1,161107_Blk_MediaBlk_DiatomZ,I285.1445R6.57_HILICPos,6.83,28220,0,8021,1,molecules1
molecules1,170213_Smp_Pc55x_A,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Pc55x_B,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Pc55x_C,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Np_A_rerun,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Np_C_rerun,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Np_F,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Pt_C,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170213_Smp_Pt_F_rerun,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170706_Blk_Blk0p2_1,I130.05R12.12_HILICPos,12.43,49605,0,7922,-0.8,molecules1
molecules1,170410_Smp_KM1513-15m_A,I130.05R12.12_HILICPos,12.24,104922256,5449844,12509823,0.3,molecules1
molecules1,180702_Smp_S7E41D30_1,I130.05R12.12_HILICPos,12.56,98895448,7850663,12645331,0.1,molecules1
molecules1,170213_Blk_MediaBlk_Pc55x,I130.05R12.12_HILICPos,12.19,32347,0,9500,-1.2,molecules1
molecules1,161107_Blk_MediaBlk_DiatomZ,I130.05R12.12_HILICPos,12.05,16522,0,7439,-0.2,molecules1
molecules1,170213_Smp_Pc55x_A,I130.05R12.12_HILICPos,12.02,69344800,2918118,5570068,-0.6,molecules1
molecules1,170213_Smp_Pc55x_B,I130.05R12.12_HILICPos,12.03,81827888,3628432,6765444,-0.7,molecules1
molecules1,170213_Smp_Pc55x_C,I130.05R12.12_HILICPos,12,51307520,2651700,4522572,-0.2,molecules1
molecules1,170213_Smp_Np_A_rerun,I130.05R12.12_HILICPos,12.05,541730496,37056040,34599456,-0.6,molecules1
molecules1,170213_Smp_Np_C_rerun,I130.05R12.12_HILICPos,12.06,540710592,42141912,36017276,-0.4,molecules1
molecules1,170213_Smp_Np_F,I130.05R12.12_HILICPos,12,532392096,35461524,34168736,-1.1,molecules1
molecules1,170213_Smp_Pt_C,I130.05R12.12_HILICPos,12.03,1478660864,90449464,84107104,-0.4,molecules1
