Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,180227_Blk_MediaBlk_RAC5,I285.1445R8.18_HILICPos,6.06,65195,0,12805,2.1,molecules1
molecules1,170410_Smp_KM1513-15m_A,I285.1445R8.18_HILICPos,9.24,139078960,9492172,9722521,-0.5,molecules1
molecules1,180702_Smp_S7E41D30_1,I285.1445R8.18_HILICPos,8.47,96761936,8000324,6721465,-0.1,molecules1
molecules1,180227_Smp_P3_A,I285.1445R8.18_HILICPos,2.22,85322,0,16830,3,molecules1
molecules1,180227_Smp_P3_B,I285.1445R8.18_HILICPos,1.04,73554,0,9292,3.5,molecules1
molecules1,180227_Smp_P3_C,I285.1445R8.18_HILICPos,4.18,125776,0,87943,4.7,molecules1
molecules1,180227_Smp_P5-5_A,I285.1445R8.18_HILICPos,1.8,178306,0,16681,5.6,molecules1
molecules1,180227_Smp_P5-5_B,I285.1445R8.18_HILICPos,4.73,95996,0,32512,2.4,molecules1
molecules1,180227_Smp_P5-5_C,I285.1445R8.18_HILICPos,6.52,134694,0,101893,1.4,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I152.0567R8.12_HILICPos,9.19,21938,0,7493,0.7,molecules1
molecules1,170410_Smp_KM1513-15m_A,I152.0567R8.12_HILICPos,8.7,1675238144,21305752,145692336,-0.4,molecules1
molecules1,180702_Smp_S7E41D30_1,I152.0567R8.12_HILICPos,8.38,500314272,6960100,37756872,-0.1,molecules1
molecules1,180227_Smp_P3_A,I152.0567R8.12_HILICPos,8.98,10988744,0,673302,-0.1,molecules1
molecules1,180227_Smp_P3_B,I152.0567R8.12_HILICPos,8.91,15532757,0,1020816,0,molecules1
molecules1,180227_Smp_P3_C,I152.0567R8.12_HILICPos,8.89,14622557,0,1024772,-0.1,molecules1
molecules1,180227_Smp_P5-5_A,I152.0567R8.12_HILICPos,8.86,17967248,0,1181315,0,molecules1
molecules1,180227_Smp_P5-5_B,I152.0567R8.12_HILICPos,8.91,18209406,0,1189399,-0.1,molecules1
molecules1,180227_Smp_P5-5_C,I152.0567R8.12_HILICPos,8.86,14506835,0,923166,0,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I285.1445R6.57_HILICPos,6.06,65195,0,12805,2.1,molecules1
molecules1,170410_Smp_KM1513-15m_A,I285.1445R6.57_HILICPos,7.75,1132951808,15307836,96339392,-0.7,molecules1
molecules1,180702_Smp_S7E41D30_1,I285.1445R6.57_HILICPos,6.62,686213056,2121786,21407496,-0.1,molecules1
molecules1,180227_Smp_P3_A,I285.1445R6.57_HILICPos,2.22,85322,0,16830,3,molecules1
molecules1,180227_Smp_P3_B,I285.1445R6.57_HILICPos,1.04,73554,0,9292,3.5,molecules1
molecules1,180227_Smp_P3_C,I285.1445R6.57_HILICPos,4.18,125776,0,87943,4.7,molecules1
molecules1,180227_Smp_P5-5_A,I285.1445R6.57_HILICPos,1.8,178306,0,16681,5.6,molecules1
molecules1,180227_Smp_P5-5_B,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_P5-5_C,I285.1445R6.57_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I130.05R12.12_HILICPos,11.57,8145,0,5948,-1.3,molecules1
molecules1,170410_Smp_KM1513-15m_A,I130.05R12.12_HILICPos,12.24,104922256,5449844,12509823,0.3,molecules1
molecules1,180702_Smp_S7E41D30_1,I130.05R12.12_HILICPos,12.56,98895448,7850663,12645331,0.1,molecules1
molecules1,180227_Smp_P3_A,I130.05R12.12_HILICPos,11.74,2117111,0,159413,-0.4,molecules1
molecules1,180227_Smp_P3_B,I130.05R12.12_HILICPos,11.67,2133267,190245,134113,-0.4,molecules1
molecules1,180227_Smp_P3_C,I130.05R12.12_HILICPos,11.73,2202824,258760,159057,-0.6,molecules1
molecules1,180227_Smp_P5-5_A,I130.05R12.12_HILICPos,11.59,2572311,171514,159186,-0.1,molecules1
molecules1,180227_Smp_P5-5_B,I130.05R12.12_HILICPos,11.61,2285221,0,137178,-0.4,molecules1
molecules1,180227_Smp_P5-5_C,I130.05R12.12_HILICPos,11.61,2404975,0,172659,-0.2,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I195.0765R10.08_HILICPos,0.13,23652,0,14345,-0.1,molecules1
molecules1,170410_Smp_KM1513-15m_A,I195.0765R10.08_HILICPos,10.79,2444396,0,238315,-0.8,molecules1
molecules1,180702_Smp_S7E41D30_1,I195.0765R10.08_HILICPos,10.39,204924880,3763126,24310582,0.1,molecules1
molecules1,180227_Smp_P3_A,I195.0765R10.08_HILICPos,0.14,25096,0,8510,0.4,molecules1
molecules1,180227_Smp_P3_B,I195.0765R10.08_HILICPos,0.12,29687,0,14874,0.5,molecules1
molecules1,180227_Smp_P3_C,I195.0765R10.08_HILICPos,3.16,18087,0,9099,-0.1,molecules1
molecules1,180227_Smp_P5-5_A,I195.0765R10.08_HILICPos,6.47,22867,0,8866,0.5,molecules1
molecules1,180227_Smp_P5-5_B,I195.0765R10.08_HILICPos,1.84,25330,0,6159,0.2,molecules1
molecules1,180227_Smp_P5-5_C,I195.0765R10.08_HILICPos,2.25,42273,0,10048,0.2,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I158.0813R7.81_HILICPos,3.33,33590532,1956112,1199635,-0.8,molecules1
molecules1,170410_Smp_KM1513-15m_A,I158.0813R7.81_HILICPos,9.3,17658166,0,497703,0.5,molecules1
molecules1,180702_Smp_S7E41D30_1,I158.0813R7.81_HILICPos,8.24,17603070,3453816,841511,-0.3,molecules1
molecules1,180227_Smp_P3_A,I158.0813R7.81_HILICPos,3.29,35583120,1855070,1295492,-0.9,molecules1
molecules1,180227_Smp_P3_B,I158.0813R7.81_HILICPos,3.32,25394382,1281070,887658,-0.8,molecules1
molecules1,180227_Smp_P3_C,I158.0813R7.81_HILICPos,3.33,23579294,1481124,875028,-0.7,molecules1
molecules1,180227_Smp_P5-5_A,I158.0813R7.81_HILICPos,3.35,52446132,2983369,1875338,-0.6,molecules1
molecules1,180227_Smp_P5-5_B,I158.0813R7.81_HILICPos,3.32,27991940,1853239,978534,-0.8,molecules1
molecules1,180227_Smp_P5-5_C,I158.0813R7.81_HILICPos,3.34,57132116,2715955,2080644,-0.8,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I297.0846R5.35_HILICPos,0.07,3307260,0,617577,-7,molecules1
molecules1,170410_Smp_KM1513-15m_A,I297.0846R5.35_HILICPos,6.32,20577942,60310,1467232,-0.1,molecules1
molecules1,180702_Smp_S7E41D30_1,I297.0846R5.35_HILICPos,5.58,1461457,0,169690,0.5,molecules1
molecules1,180227_Smp_P3_A,I297.0846R5.35_HILICPos,0.04,3059107,0,546607,-7.4,molecules1
molecules1,180227_Smp_P3_B,I297.0846R5.35_HILICPos,0.05,3573530,0,641344,-6.4,molecules1
molecules1,180227_Smp_P3_C,I297.0846R5.35_HILICPos,0.02,2704585,0,554024,-8,molecules1
molecules1,180227_Smp_P5-5_A,I297.0846R5.35_HILICPos,0.07,4038282,0,730730,-7.5,molecules1
molecules1,180227_Smp_P5-5_B,I297.0846R5.35_HILICPos,0.04,4687528,0,819323,-7.5,molecules1
molecules1,180227_Smp_P5-5_C,I297.0846R5.35_HILICPos,0.1,3109967,0,596523,-7.1,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I176.0918R7.43_HILICPos,3.33,62359876,2087527,2282148,-0.5,molecules1
molecules1,170410_Smp_KM1513-15m_A,I176.0918R7.43_HILICPos,8.25,9486131,0,573031,0.1,molecules1
molecules1,180702_Smp_S7E41D30_1,I176.0918R7.43_HILICPos,7.79,1544545,0,108598,1.6,molecules1
molecules1,180227_Smp_P3_A,I176.0918R7.43_HILICPos,3.31,64231800,2298097,2301103,-0.6,molecules1
molecules1,180227_Smp_P3_B,I176.0918R7.43_HILICPos,3.38,44607428,1678506,1592949,-0.4,molecules1
molecules1,180227_Smp_P3_C,I176.0918R7.43_HILICPos,3.4,43409836,2181420,1557734,-0.4,molecules1
molecules1,180227_Smp_P5-5_A,I176.0918R7.43_HILICPos,3.35,95553360,3401093,3599378,-0.3,molecules1
molecules1,180227_Smp_P5-5_B,I176.0918R7.43_HILICPos,3.35,50232764,2005009,1858524,-0.5,molecules1
molecules1,180227_Smp_P5-5_C,I176.0918R7.43_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I221.0843R5.58_HILICPos,0.02,794553,0,145030,-0.3,molecules1
molecules1,170410_Smp_KM1513-15m_A,I221.0843R5.58_HILICPos,6.93,1226684,0,61766,-0.1,molecules1
molecules1,180702_Smp_S7E41D30_1,I221.0843R5.58_HILICPos,5.86,388894,0,38188,-0.1,molecules1
molecules1,180227_Smp_P3_A,I221.0843R5.58_HILICPos,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,180227_Smp_P3_B,I221.0843R5.58_HILICPos,0.1,701875,0,132825,-0.4,molecules1
molecules1,180227_Smp_P3_C,I221.0843R5.58_HILICPos,0.08,734113,0,173441,-0.9,molecules1
molecules1,180227_Smp_P5-5_A,I221.0843R5.58_HILICPos,0.08,736308,0,152458,-0.4,molecules1
molecules1,180227_Smp_P5-5_B,I221.0843R5.58_HILICPos,0.07,1005613,0,177348,-0.4,molecules1
molecules1,180227_Smp_P5-5_C,I221.0843R5.58_HILICPos,0.08,834881,0,165637,-0.3,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I120.0811R5.29_HILICPos,5.74,1099405,2038878,33684,-1.2,molecules1
molecules1,170410_Smp_KM1513-15m_A,I120.0811R5.29_HILICPos,6.25,105430096,1868945,2996265,-0.5,molecules1
molecules1,180702_Smp_S7E41D30_1,I120.0811R5.29_HILICPos,5.99,247591104,1424251,8451591,-0.8,molecules1
molecules1,180227_Smp_P3_A,I120.0811R5.29_HILICPos,5.43,8554276,1775737,241288,-1.1,molecules1
molecules1,180227_Smp_P3_B,I120.0811R5.29_HILICPos,5.26,7825717,1373010,235080,-1.1,molecules1
molecules1,180227_Smp_P3_C,I120.0811R5.29_HILICPos,5.26,8049544,1092177,241627,-1.1,molecules1
molecules1,180227_Smp_P5-5_A,I120.0811R5.29_HILICPos,5.19,4672655,1415374,150180,-0.6,molecules1
molecules1,180227_Smp_P5-5_B,I120.0811R5.29_HILICPos,5.19,5566618,1781334,172525,-1.1,molecules1
molecules1,180227_Smp_P5-5_C,I120.0811R5.29_HILICPos,5.15,4254892,1654685,156737,-1,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I160.0969R6.82_HILICPos,8.74,1326415,0,39845,-0.1,molecules1
molecules1,170410_Smp_KM1513-15m_A,I160.0969R6.82_HILICPos,7.73,24228162,0,1890649,-0.3,molecules1
molecules1,180702_Smp_S7E41D30_1,I160.0969R6.82_HILICPos,7.12,8626087,0,666402,-0.2,molecules1
molecules1,180227_Smp_P3_A,I160.0969R6.82_HILICPos,8.87,321334,0,22777,-0.2,molecules1
molecules1,180227_Smp_P3_B,I160.0969R6.82_HILICPos,6.88,1003814,181845,31767,-0.2,molecules1
molecules1,180227_Smp_P3_C,I160.0969R6.82_HILICPos,4.17,394355,40768,37932,-0.5,molecules1
molecules1,180227_Smp_P5-5_A,I160.0969R6.82_HILICPos,2.64,1635734,865779,67532,-0.1,molecules1
molecules1,180227_Smp_P5-5_B,I160.0969R6.82_HILICPos,2.61,1470371,232412,42267,-0.6,molecules1
molecules1,180227_Smp_P5-5_C,I160.0969R6.82_HILICPos,2.59,1827397,718821,81385,-0.2,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I145.0608R10.18_HILICPos,7.3,67276,0,46899,-0.1,molecules1
molecules1,170410_Smp_KM1513-15m_A,I145.0608R10.18_HILICPos,10.89,4268345,0,442995,0,molecules1
molecules1,180702_Smp_S7E41D30_1,I145.0608R10.18_HILICPos,10.57,232432736,3639494,26176776,-0.3,molecules1
molecules1,180227_Smp_P3_A,I145.0608R10.18_HILICPos,0.19,80782,0,11487,-0.2,molecules1
molecules1,180227_Smp_P3_B,I145.0608R10.18_HILICPos,0.12,33419,0,27163,-0.2,molecules1
molecules1,180227_Smp_P3_C,I145.0608R10.18_HILICPos,0.12,174737,0,40089,-0.1,molecules1
molecules1,180227_Smp_P5-5_A,I145.0608R10.18_HILICPos,7.1,54474,0,33712,-0.2,molecules1
molecules1,180227_Smp_P5-5_B,I145.0608R10.18_HILICPos,0.13,58964,0,9751,-0.3,molecules1
molecules1,180227_Smp_P5-5_C,I145.0608R10.18_HILICPos,6.52,48528,0,33460,-0.1,molecules1
molecules1,180227_Blk_MediaBlk_RAC5,I121.0684R10.7_HILICPos,9.75,44826,0,6779,4,molecules1
