Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,161107_Std_4uM_StdsInH2O_1,Alanine,11.3,28216066,2882428,1786280,-0.4,molecules1
molecules1,161107_Std_4uM_StdsInH2O_2,Alanine,11.34,32246156,3983975,1838455,-0.8,molecules1
molecules1,161107_Std_4uM_StdsInH2O_3,Alanine,11.34,30970300,5658483,1808820,-0.7,molecules1
molecules1,161107_Std_4uM_StdsInH2O_4,Alanine,11.35,36205968,4386794,2197618,-1.1,molecules1
molecules1,161114_Std_4uM_StdsInH2O_1,Alanine,11.3,41244216,2807727,3436397,-0.4,molecules1
molecules1,161114_Std_4uM_StdsInH2O_2,Alanine,11.32,42230864,2596964,3498061,-0.7,molecules1
molecules1,161114_Std_4uM_StdsInH2O_3,Alanine,11.32,81801744,3401871,4869163,-1,molecules1
molecules1,170123_Std_4uM_StdsInH2O_1,Alanine,11.29,41782800,2632953,3287782,0.5,molecules1
molecules1,170123_Std_4uM_StdsInH2O_2,Alanine,11.28,45794656,3101662,3668353,0,molecules1
molecules1,170123_Std_4uM_StdsInH2O_3,Alanine,11.29,65220640,3434133,4479402,0.3,molecules1
molecules1,170410_Std_4uM_StdsInH2O_1,Alanine,11.38,39449708,2731480,2619307,0.6,molecules1
molecules1,170410_Std_4uM_StdsInH2O_2,Alanine,11.38,44987144,3788448,3056125,0.4,molecules1
molecules1,170410_Std_4uM_StdsInH2O_3,Alanine,11.42,27055970,2854584,1693795,-0.5,molecules1
molecules1,170419_Std_4uM_StdsInH2O_1,Alanine,10.73,23636706,3125689,1724011,0,molecules1
molecules1,170419_Std_4uM_StdsInH2O_2,Alanine,10.73,38455332,3652879,3133706,0.1,molecules1
molecules1,170821_Std_4uM-StdsInH2O_1,Alanine,10.89,32860848,1338596,2672773,0.3,molecules1
molecules1,170821_Std_4uM-StdsInH2O_2,Alanine,10.83,34184240,1181693,1948665,0.2,molecules1
molecules1,180227_Std_4uMStdsInH2O_1,Alanine,10.71,46064360,2150271,2557566,0.4,molecules1
molecules1,180227_Std_4uMStdsInH2O_1a,Alanine,10.65,52951428,3301334,2900688,-0.3,molecules1
molecules1,180702_Std_4uMStdsMix1InH2O_1,Alanine,10.94,50812200,1182761,4809488,-0.5,molecules1
molecules1,180702_Std_4uMStdsMix1InH2O_2,Alanine,10.64,48656004,1914442,3341769,-0.3,molecules1
