Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,190715_Std_4uMStdsMix1InH2O_1,Alanine,10.1,31569310,2873941,2355620,-0.3,molecules1
molecules1,190715_Std_4uMStdsMix1InH2O_2,Alanine,10.24,26894468,1922771,2146372,-0.3,molecules1
molecules1,190715_Std_4uMStdsMix2InH2O_1,Alanine,10.1,30742,702832,17825,-0.3,molecules1
molecules1,190715_Std_4uMStdsMix2InH2O_2,Alanine,10.16,33205,587089,11511,-0.4,molecules1
molecules1,190715_Std_4uMStdsMix1InMatrix_1,Alanine,10.11,39352880,3534944,3113746,-0.5,molecules1
molecules1,190715_Std_4uMStdsMix1InMatrix_2,Alanine,10.24,35587340,2158668,3067505,-0.1,molecules1
molecules1,190715_Std_4uMStdsMix2InMatrix_1,Alanine,10.11,9287103,3530106,912568,-0.6,molecules1
molecules1,190715_Std_4uMStdsMix2InMatrix_2,Alanine,10.25,6232479,3622082,673163,-0.3,molecules1
molecules1,190715_Std_H2OinMatrix_1,Alanine,10.13,11703968,2738720,974070,-0.2,molecules1
molecules1,190715_Std_H2OinMatrix_2,Alanine,10.27,9400266,1295251,818857,-0.2,molecules1
molecules1,190715_Std_4uMStdsMix1InH2O_1,beta-Alanine,11.39,139903,252062,38106,-0.3,molecules1
molecules1,190715_Std_4uMStdsMix1InH2O_2,beta-Alanine,11.59,380072,297766,28463,-0.2,molecules1
molecules1,190715_Std_4uMStdsMix2InH2O_1,beta-Alanine,10.78,32566188,2294393,2630628,0.1,molecules1
molecules1,190715_Std_4uMStdsMix2InH2O_2,beta-Alanine,10.93,31184374,1618866,2600217,-0.1,molecules1
molecules1,190715_Std_4uMStdsMix1InMatrix_1,beta-Alanine,10.83,3060520,1564589,227807,-0.2,molecules1
molecules1,190715_Std_4uMStdsMix1InMatrix_2,beta-Alanine,10.96,2096695,1822997,171137,-0.1,molecules1
molecules1,190715_Std_4uMStdsMix2InMatrix_1,beta-Alanine,10.8,37196296,1704192,3047847,-0.3,molecules1
molecules1,190715_Std_4uMStdsMix2InMatrix_2,beta-Alanine,10.9,32027330,2701386,2986775,0,molecules1
molecules1,190715_Std_H2OinMatrix_1,beta-Alanine,10.77,2542810,2168921,223949,-0.3,molecules1
molecules1,190715_Std_H2OinMatrix_2,beta-Alanine,10.94,2740125,939102,199699,-0.3,molecules1
molecules1,190715_Std_4uMStdsMix1InH2O_1,Sarcosine,9.31,321114,1205476,36249,-0.6,molecules1
molecules1,190715_Std_4uMStdsMix1InH2O_2,Sarcosine,9.53,288950,779140,40865,-0.5,molecules1
molecules1,190715_Std_4uMStdsMix2InH2O_1,Sarcosine,9.41,82171864,3451845,6925541,-0.4,molecules1
molecules1,190715_Std_4uMStdsMix2InH2O_2,Sarcosine,9.55,69043248,2588019,5788107,0.2,molecules1
molecules1,190715_Std_4uMStdsMix1InMatrix_1,Sarcosine,9.46,1813341,1234609,160000,-0.8,molecules1
