Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM
molecules1,180716_Blk_Blk0p2_1,I132.1021R0.87_CyanoAq,0.74,1142630,369081,245091,-1.3
molecules1,180716_Blk_Blk0p2_2,I132.1021R0.87_CyanoAq,0.89,846975,395471,373925,0.1
molecules1,180716_Blk_BlkMQ_2,I132.1021R0.87_CyanoAq,0.89,2166790,497474,814033,-1.3
molecules1,180716_Blk_BlkMQBlk_1,I132.1021R0.87_CyanoAq,0.89,762870,645385,264116,-0.5
molecules1,180716_Blk_BlkMQBlk_3,I132.1021R0.87_CyanoAq,0.89,995268,620751,318158,-0.4
molecules1,180716_Blk_FilterBlk_1,I132.1021R0.87_CyanoAq,0.89,1268053,793384,405601,-0.5
molecules1,170413_Blk_FilterBlk_A,I132.1021R0.87_CyanoAq,0.79,4764597,702392,1256082,0.7
molecules1,170413_Blk_FilterBlk_B,I132.1021R0.87_CyanoAq,0.79,2070924,733275,484486,0.5
molecules1,170425_Blk_FilterBlk_A,I132.1021R0.87_CyanoAq,0.83,2631009,0,403648,0
molecules1,170425_Blk_FilterBlk_B,I132.1021R0.87_CyanoAq,0.83,2274885,424936,319577,0.1
molecules1,170413_Poo_April11AqExtractsFull_1,I132.1021R0.87_CyanoAq,0.73,115879296,0,19541158,0.1
molecules1,170413_Poo_April11AqExtractsFull_2,I132.1021R0.87_CyanoAq,0.73,90543280,0,18228696,0.6
molecules1,170413_Poo_April11AqExtractsFull_3,I132.1021R0.87_CyanoAq,0.73,61010860,0,13307014,0.3
molecules1,170413_Poo_April11AqExtractsHalf_1,I132.1021R0.87_CyanoAq,0.73,85704576,0,16423465,0.4
molecules1,170413_Poo_April11AqExtractsHalf_2,I132.1021R0.87_CyanoAq,0.73,52514412,0,11955213,0.2
molecules1,170413_Poo_April11AqExtractsHalf_3,I132.1021R0.87_CyanoAq,0.73,47967304,39237,11985956,0.2
molecules1,170413_Smp_KM1513-15m_A,I132.1021R0.87_CyanoAq,0.73,190214656,0,34964568,0.3
molecules1,170413_Smp_KM1513-15m_B,I132.1021R0.87_CyanoAq,0.73,205083056,605996,35701932,0
molecules1,170413_Smp_KM1513-15m_C,I132.1021R0.87_CyanoAq,0.73,150344592,631905,31518090,0.2
molecules1,170413_Smp_KM1513-45m_A,I132.1021R0.87_CyanoAq,0.73,74410056,0,14032253,0.4
molecules1,170413_Smp_KM1513-45m_B,I132.1021R0.87_CyanoAq,0.74,69099296,0,14393177,0.7
molecules1,170413_Smp_KM1513-45m_C,I132.1021R0.87_CyanoAq,0.73,71462224,0,14310753,0.6
molecules1,170413_Smp_KM1513-75m_A,I132.1021R0.87_CyanoAq,0.8,88693824,901124,12940242,-0.1
molecules1,170413_Smp_KM1513-75m_B,I132.1021R0.87_CyanoAq,0.73,66254836,279379,14068912,0.6
molecules1,170413_Smp_KM1513-75m_C,I132.1021R0.87_CyanoAq,0.73,116505480,0,21595334,0.4
molecules1,170413_Smp_KM1513-125m_A,I132.1021R0.87_CyanoAq,0.8,82897208,0,14036158,0.4
molecules1,170413_Smp_KM1513-125m_B,I132.1021R0.87_CyanoAq,0.73,47134508,0,8468224,0.4
molecules1,170413_Smp_KM1513-125m_C,I132.1021R0.87_CyanoAq,0.8,56167976,512681,8049466,0.7
molecules1,170425_Poo_TruePoo_Full1,I132.1021R0.87_CyanoAq,0.71,111658056,0,33518564,-0.2
molecules1,170425_Poo_TruePoo_Full2,I132.1021R0.87_CyanoAq,0.71,89766616,0,26702986,-0.2
molecules1,170425_Poo_TruePoo_Full3,I132.1021R0.87_CyanoAq,0.71,58750736,274374,17820900,-0.3
molecules1,170425_Poo_TruePoo_Full4,I132.1021R0.87_CyanoAq,0.71,51930336,178321,15627549,-0.3
molecules1,170425_Poo_TruePoo_Half1,I132.1021R0.87_CyanoAq,0.7,96395960,413929,33972068,-0.2
molecules1,170425_Poo_TruePoo_Half2,I132.1021R0.87_CyanoAq,0.7,84689632,416813,28411520,0.1
molecules1,170425_Poo_TruePoo_Half3,I132.1021R0.87_CyanoAq,0.71,67778368,0,23558502,-0.5
molecules1,170425_Poo_TruePoo_Half4,I132.1021R0.87_CyanoAq,0.7,46635728,7039,16996076,0.1
molecules1,170425_Smp_S11C1_A,I132.1021R0.87_CyanoAq,0.71,49001396,285033,12481294,-0.5
molecules1,170425_Smp_S12C1_A,I132.1021R0.87_CyanoAq,0.71,151344416,0,47107296,0
molecules1,170425_Smp_S12C1_B,I132.1021R0.87_CyanoAq,0.72,141391184,424258,47357832,-0.6
molecules1,170425_Smp_S13C1_A,I132.1021R0.87_CyanoAq,0.72,58449096,84396,21008444,-0.3
molecules1,170425_Smp_S13C1_B,I132.1021R0.87_CyanoAq,0.72,109594720,542425,38853092,0
molecules1,170425_Smp_S14C1_A,I132.1021R0.87_CyanoAq,0.72,119798424,0,44773792,-0.5
molecules1,170425_Smp_S14C1_B,I132.1021R0.87_CyanoAq,0.72,117112864,0,30089776,-0.2
molecules1,170425_Smp_S14C1_C,I132.1021R0.87_CyanoAq,0.71,98697064,65498,32770050,-0.4
molecules1,170425_Smp_S2C1_B,I132.1021R0.87_CyanoAq,0.73,146344144,645484,38111836,-0.3
molecules1,170425_Smp_S2C1_C,I132.1021R0.87_CyanoAq,0.71,117344280,0,33178296,0
molecules1,170425_Smp_S2C3_A,I132.1021R0.87_CyanoAq,0.71,73165416,0,25685980,-0.4
molecules1,170425_Smp_S4C1_A,I132.1021R0.87_CyanoAq,0.71,108193992,581539,40997644,0.4
molecules1,170425_Smp_S4C1_B,I132.1021R0.87_CyanoAq,0.71,76872120,416738,31116220,-0.3
molecules1,170425_Smp_S4C1_C,I132.1021R0.87_CyanoAq,0.71,69027344,131764,25144634,0
molecules1,170425_Smp_S4C2_A,I132.1021R0.87_CyanoAq,0.72,67498336,27948,29269280,0
molecules1,170425_Smp_S4C2_B,I132.1021R0.87_CyanoAq,0.71,156199376,816635,65086512,-0.4
molecules1,170425_Smp_S6C1_A,I132.1021R0.87_CyanoAq,0.72,122992312,0,50796244,-0.1
molecules1,170425_Smp_S6C1_B,I132.1021R0.87_CyanoAq,0.72,64730516,0,22558992,0
molecules1,170425_Smp_S6C1_C,I132.1021R0.87_CyanoAq,0.71,66369180,0,21756112,-0.3
molecules1,170425_Smp_S6C2_A,I132.1021R0.87_CyanoAq,0.71,99105984,409117,33986772,-0.4
molecules1,170425_Smp_S6C2_B,I132.1021R0.87_CyanoAq,0.71,91099816,0,28763434,0
molecules1,170425_Smp_S8C1_A,I132.1021R0.87_CyanoAq,0.88,47288556,164900,8396951,-0.1
molecules1,170425_Smp_S9C1_A,I132.1021R0.87_CyanoAq,0.72,100110568,499626,19737844,-0.2
molecules1,170425_Smp_S9C1_B,I132.1021R0.87_CyanoAq,0.72,77359184,0,14549265,0.1
molecules1,170425_Smp_S9C2_A,I132.1021R0.87_CyanoAq,0.73,57825340,0,12103820,-0.4
molecules1,170425_Smp_S9C2_B,I132.1021R0.87_CyanoAq,0.72,45842492,0,10144263,0.3
molecules1,170425_Smp_U3_A,I132.1021R0.87_CyanoAq,0.71,129888840,350988,38182472,-0.3
molecules1,170425_Smp_U3_B,I132.1021R0.87_CyanoAq,0.72,129826184,173733,34040468,-0.3
molecules1,170425_Smp_U4_A,I132.1021R0.87_CyanoAq,0.72,159864640,0,59148652,-0.3
molecules1,170425_Smp_U4_B,I132.1021R0.87_CyanoAq,0.71,135316096,0,52512368,0.2
molecules1,170425_Smp_U6_A,I132.1021R0.87_CyanoAq,0.71,151235792,434041,43365520,-0.3
molecules1,170425_Smp_U6_B,I132.1021R0.87_CyanoAq,0.87,152317952,0,31762028,0.1
molecules1,170425_Smp_U7_A,I132.1021R0.87_CyanoAq,0.87,97139384,339390,18430952,-0.1
molecules1,170425_Smp_U7_B,I132.1021R0.87_CyanoAq,0.71,51871344,150974,14047509,0.1
molecules1,170425_Smp_U8_A,I132.1021R0.87_CyanoAq,0.72,111861592,315968,30827736,0
molecules1,170425_Smp_U8_B,I132.1021R0.87_CyanoAq,0.72,172184640,0,29636880,0.1
molecules1,170425_Smp_U9_A,I132.1021R0.87_CyanoAq,0.72,104002752,203113,24601646,-0.1
