

Software Version	3.04.17



Experiment File Path:	C:\Plate_reader\Ingalls\Heal\20181102_DSS3_CarbonSources1_part2.xpt
Protocol File Path:	C:\Plate_reader\Ingalls\Heal\BacterialGrowthKinetics.prt



Plate Number	Plate 1
Date	11/4/2018
Time	12:26:00 PM
Reader Type:	Synergy H1
Reader Serial Number:	18091219
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:02:00, 721 Reads
    Shake	Orbital: 0:03 (MM:SS)
	Frequency: 559 cpm (1 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:02:00, 721 Reads
    Shake	Orbital: 0:03 (MM:SS)
	Frequency: 559 cpm (1 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:02:00, 721 Reads
    Shake	Orbital: 0:03 (MM:SS)
	Frequency: 559 cpm (1 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:02:00, 721 Reads
    Shake	Orbital: 0:03 (MM:SS)
	Frequency: 559 cpm (1 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
	MB_neg	MB_pos	L1_noC_neg	L1_noC_pos	L1_Acetate_pos	L1_Trigonelline_pos	L1_Homarine_pos	L1_Taurine_pos	L1_Betaine_pos	L1_Glutamate_pos	Starter	L1_allC_neg	Name
B	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
	MB_neg	MB_pos	L1_noC_neg	L1_noC_pos	L1_Acetate_pos	L1_Trigonelline_pos	L1_Homarine_pos	L1_Taurine_pos	L1_Betaine_pos	L1_Glutamate_pos	Starter	L1_allC_neg	Name
C	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
	MB_neg	MB_pos	L1_noC_neg	L1_noC_pos	L1_Acetate_pos	L1_Trigonelline_pos	L1_Homarine_pos	L1_Taurine_pos	L1_Betaine_pos	L1_Glutamate_pos	Starter	L1_allC_neg	Name
D	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
	MB_neg	MB_pos	L1_noC_neg	L1_noC_pos	L1_Acetate_pos	L1_Trigonelline_pos	L1_Homarine_pos	L1_Taurine_pos	L1_Betaine_pos	L1_Glutamate_pos	Starter	L1_allC_neg	Name
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
	MB_neg	MB_pos	L1_noC_neg	L1_noC_pos	L1_Acetate_pos	L1_Trigonelline_pos	L1_Homarine_pos	L1_Taurine_pos	L1_Betaine_pos	L1_Glutamate_pos	Starter	L1_allC_neg	Name
F	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
	MB_neg	MB_pos	L1_noC_neg	L1_noC_pos	L1_Acetate_pos	L1_Trigonelline_pos	L1_Homarine_pos	L1_Taurine_pos	L1_Betaine_pos	L1_Glutamate_pos	Starter	L1_allC_neg	Name
G	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
	MB_neg	MB_pos	L1_noC_neg	L1_noC_pos	L1_Acetate_pos	L1_Trigonelline_pos	L1_Homarine_pos	L1_Taurine_pos	L1_Betaine_pos	L1_Glutamate_pos	Starter	L1_allC_neg	Name
H	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
	MB_neg	MB_pos	L1_noC_neg	L1_noC_pos	L1_Acetate_pos	L1_Trigonelline_pos	L1_Homarine_pos	L1_Taurine_pos	L1_Betaine_pos	L1_Glutamate_pos	Starter	L1_allC_neg	Name

Read 1:600

Time	T° Read 1:600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:05	30.1	0.182	0.972	0.196	0.232	0.664	0.409	0.379	0.438	0.676	0.178	0.914	0.177	0.179	1.010	0.195	0.249	0.627	0.414	0.381	0.465	0.655	0.170	0.889	0.190	0.177	0.935	0.199	0.249	0.795	0.438	0.415	0.432	0.651	0.177	1.029	0.186	0.175	1.199	0.197	0.240	0.738	0.597	0.413	0.465	0.663	0.179	1.005	0.186	0.184	1.073	0.201	0.240	0.764	0.622	0.422	0.496	0.681	0.168	0.952	0.198	1.107	1.229	0.210	0.249	0.797	0.453	0.397	0.389	0.701	0.169	0.950	0.187	0.180	0.842	0.198	0.247	0.752	0.547	0.399	0.385	0.703	0.173	0.866	0.185	0.202	0.752	0.197	0.244	0.866	0.568	0.416	0.373	0.706	0.170	0.895	0.193
0:02:05	30.0	0.175	0.933	0.187	0.217	0.558	0.384	0.356	0.430	0.618	0.170	0.792	0.173	0.173	0.971	0.188	0.235	0.539	0.392	0.357	0.452	0.606	0.164	0.777	0.186	0.172	0.892	0.192	0.235	0.714	0.419	0.390	0.425	0.607	0.171	0.921	0.179	0.167	1.138	0.189	0.228	0.664	0.584	0.388	0.457	0.618	0.172	0.896	0.180	0.174	1.008	0.191	0.226	0.684	0.601	0.395	0.490	0.635	0.163	0.822	0.190	1.105	1.190	0.197	0.234	0.707	0.431	0.369	0.383	0.644	0.164	0.825	0.182	0.170	0.784	0.189	0.228	0.668	0.524	0.366	0.375	0.640	0.167	0.760	0.180	0.185	0.671	0.176	0.212	0.706	0.523	0.378	0.365	0.631	0.163	0.794	0.188
0:04:05	30.0	0.129	0.840	0.140	0.158	0.453	0.303	0.277	0.384	0.545	0.114	0.684	0.152	0.128	0.880	0.154	0.183	0.431	0.317	0.274	0.403	0.516	0.119	0.706	0.153	0.139	0.799	0.157	0.185	0.605	0.348	0.306	0.371	0.516	0.121	0.825	0.144	0.108	1.025	0.148	0.178	0.566	0.521	0.303	0.408	0.531	0.120	0.790	0.147	0.118	0.929	0.148	0.173	0.581	0.528	0.314	0.444	0.550	0.124	0.737	0.149	1.060	1.091	0.147	0.178	0.603	0.359	0.289	0.344	0.549	0.129	0.733	0.150	0.114	0.684	0.145	0.165	0.544	0.454	0.290	0.328	0.550	0.117	0.662	0.154	0.119	0.595	0.105	0.133	0.611	0.474	0.298	0.315	0.552	0.117	0.705	0.166
0:06:05	30.0	0.106	0.844	0.101	0.123	0.470	0.298	0.283	0.382	0.544	0.113	0.679	0.110	0.104	0.862	0.104	0.136	0.425	0.300	0.267	0.403	0.514	0.114	0.708	0.108	0.106	0.786	0.102	0.134	0.580	0.331	0.301	0.370	0.514	0.117	0.819	0.109	0.104	1.005	0.104	0.130	0.547	0.516	0.296	0.406	0.530	0.113	0.783	0.113	0.105	0.926	0.104	0.131	0.577	0.516	0.304	0.435	0.548	0.115	0.731	0.111	1.053	1.094	0.109	0.133	0.593	0.351	0.284	0.330	0.546	0.117	0.719	0.108	0.104	0.678	0.106	0.130	0.616	0.459	0.284	0.326	0.548	0.115	0.657	0.110	0.119	0.597	0.101	0.127	0.606	0.477	0.293	0.306	0.554	0.115	0.696	0.117
0:08:05	30.0	0.105	0.865	0.101	0.124	0.490	0.297	0.287	0.381	0.543	0.113	0.685	0.109	0.104	0.861	0.103	0.137	0.425	0.300	0.272	0.403	0.517	0.114	0.684	0.107	0.105	0.782	0.102	0.135	0.599	0.331	0.302	0.370	0.516	0.117	0.832	0.109	0.104	0.996	0.104	0.131	0.546	0.518	0.296	0.406	0.528	0.114	0.783	0.112	0.105	0.922	0.103	0.131	0.559	0.514	0.303	0.435	0.550	0.115	0.741	0.110	1.052	1.077	0.104	0.133	0.612	0.351	0.286	0.330	0.551	0.117	0.719	0.107	0.104	0.678	0.105	0.129	0.598	0.461	0.284	0.325	0.548	0.114	0.655	0.110	0.118	0.598	0.101	0.126	0.644	0.485	0.290	0.306	0.553	0.115	0.691	0.111
0:10:05	30.0	0.105	0.861	0.101	0.124	0.477	0.297	0.291	0.382	0.544	0.114	0.691	0.109	0.104	0.864	0.103	0.138	0.421	0.301	0.275	0.403	0.519	0.114	0.660	0.107	0.105	0.782	0.102	0.135	0.584	0.331	0.301	0.370	0.516	0.117	0.835	0.109	0.104	1.002	0.103	0.131	0.547	0.525	0.295	0.406	0.528	0.113	0.788	0.112	0.105	0.907	0.103	0.131	0.558	0.514	0.304	0.435	0.548	0.115	0.741	0.110	1.049	1.091	0.103	0.133	0.599	0.352	0.287	0.331	0.550	0.117	0.714	0.107	0.104	0.680	0.105	0.129	0.597	0.468	0.284	0.325	0.549	0.114	0.657	0.109	0.117	0.597	0.101	0.126	0.619	0.486	0.288	0.307	0.553	0.115	0.697	0.110
0:12:05	30.0	0.105	0.856	0.101	0.125	0.485	0.297	0.290	0.383	0.546	0.114	0.695	0.109	0.104	0.875	0.103	0.138	0.424	0.301	0.280	0.404	0.526	0.114	0.657	0.107	0.105	0.782	0.102	0.135	0.589	0.331	0.306	0.371	0.520	0.118	0.834	0.109	0.104	1.000	0.103	0.131	0.540	0.526	0.300	0.405	0.532	0.113	0.803	0.112	0.105	0.907	0.103	0.131	0.551	0.512	0.305	0.434	0.548	0.115	0.750	0.110	1.050	1.088	0.104	0.133	0.602	0.354	0.287	0.332	0.548	0.117	0.731	0.107	0.104	0.687	0.106	0.128	0.566	0.482	0.282	0.326	0.553	0.115	0.658	0.109	0.117	0.601	0.101	0.125	0.615	0.492	0.290	0.307	0.555	0.116	0.694	0.110
0:14:05	30.0	0.105	0.855	0.101	0.123	0.484	0.297	0.286	0.383	0.546	0.114	0.704	0.109	0.104	0.888	0.103	0.138	0.427	0.300	0.280	0.403	0.527	0.114	0.727	0.107	0.105	0.779	0.102	0.135	0.597	0.331	0.305	0.371	0.521	0.117	0.853	0.109	0.104	1.008	0.103	0.131	0.539	0.529	0.303	0.403	0.530	0.114	0.815	0.112	0.105	0.908	0.103	0.131	0.549	0.511	0.305	0.434	0.551	0.115	0.757	0.110	1.059	1.094	0.105	0.132	0.606	0.357	0.285	0.331	0.546	0.117	0.726	0.107	0.104	0.692	0.105	0.128	0.566	0.495	0.282	0.325	0.552	0.114	0.654	0.109	0.118	0.601	0.101	0.125	0.605	0.496	0.290	0.308	0.557	0.115	0.694	0.110
0:16:05	30.0	0.105	0.851	0.101	0.124	0.491	0.298	0.290	0.383	0.546	0.114	0.703	0.109	0.104	0.893	0.103	0.138	0.423	0.301	0.279	0.403	0.532	0.114	0.716	0.107	0.105	0.779	0.102	0.135	0.588	0.332	0.304	0.371	0.523	0.117	0.846	0.108	0.104	1.003	0.103	0.131	0.543	0.539	0.300	0.402	0.533	0.113	0.808	0.112	0.104	0.915	0.103	0.131	0.540	0.515	0.303	0.433	0.549	0.115	0.740	0.110	1.057	1.087	0.105	0.131	0.602	0.358	0.285	0.332	0.549	0.117	0.717	0.107	0.104	0.690	0.105	0.129	0.549	0.509	0.283	0.327	0.549	0.115	0.650	0.109	0.118	0.602	0.101	0.125	0.616	0.497	0.290	0.307	0.556	0.116	0.688	0.110
0:18:05	30.0	0.105	0.849	0.101	0.123	0.495	0.298	0.292	0.382	0.545	0.114	0.725	0.109	0.104	0.890	0.103	0.139	0.420	0.301	0.279	0.403	0.532	0.114	0.745	0.107	0.105	0.783	0.102	0.135	0.585	0.334	0.306	0.371	0.522	0.117	0.844	0.109	0.104	1.006	0.103	0.131	0.548	0.545	0.299	0.402	0.536	0.114	0.826	0.112	0.105	0.918	0.103	0.131	0.550	0.513	0.303	0.434	0.550	0.115	0.746	0.110	1.047	1.088	0.105	0.131	0.586	0.360	0.283	0.333	0.551	0.117	0.725	0.107	0.104	0.690	0.105	0.128	0.536	0.526	0.284	0.328	0.555	0.115	0.653	0.109	0.118	0.600	0.101	0.125	0.618	0.499	0.290	0.307	0.555	0.116	0.694	0.110
