"#Sample 170410_Smp_KM1513-15m_C, mz 138.0549 extracted",,
RT,intensity,Column
0.005122066,4862.76416,HILIC
0.020422066,6128.219727,HILIC
0.035722066,6402.794922,HILIC
0.051022068,1482.668335,HILIC
0.066322066,16843.69531,HILIC
0.081622064,32028.64844,HILIC
0.09692207,32808.08203,HILIC
0.112222068,18802.18945,HILIC
0.127522066,20811.41406,HILIC
0.142822072,22116.9043,HILIC
0.158122063,23230.00781,HILIC
0.173422068,30593.05469,HILIC
0.188722059,28830.61523,HILIC
0.204022065,20101.98047,HILIC
0.21932207,14257.4834,HILIC
0.234622061,24352.32227,HILIC
0.249922067,27071.98242,HILIC
0.265222073,25371.45313,HILIC
0.280522078,9602.785156,HILIC
0.295822054,19661.97266,HILIC
0.31112206,16514.55859,HILIC
0.326422065,20180.25,HILIC
0.341722071,10540.18457,HILIC
0.357022077,7936.308594,HILIC
0.372322053,7733.497559,HILIC
0.387622058,8961.916992,HILIC
0.402922064,15619.63965,HILIC
0.41822207,14893.79688,HILIC
0.433522075,11112.2832,HILIC
0.448822081,8599.112305,HILIC
0.464122057,5643.125977,HILIC
0.479422063,32296,HILIC
0.494722068,22941.26953,HILIC
0.510022044,9905.194336,HILIC
0.52532208,22781.45117,HILIC
0.540622056,12212.6084,HILIC
0.555922091,8194.319336,HILIC
0.571222067,11576.70703,HILIC
0.586522043,17984.41992,HILIC
0.601822078,12067.69727,HILIC
0.617122054,10092.14551,HILIC
0.63242209,9624.610352,HILIC
0.647722065,13561.80273,HILIC
0.663022041,23250.58789,HILIC
0.678322077,23163.9043,HILIC
0.693622053,16581.94727,HILIC
0.708922088,13858.05566,HILIC
0.724222064,16896.14453,HILIC
0.73952204,9815.425781,HILIC
0.754822075,9263.182617,HILIC
0.770122051,12194.92676,HILIC
0.785422087,17915.33398,HILIC
0.800722063,23984.55859,HILIC
0.816022038,9762.680664,HILIC
0.831322074,9577.897461,HILIC
0.84662205,11062.60254,HILIC
0.861922085,10648.38867,HILIC
0.877222061,11152.49023,HILIC
0.892522037,22531.66602,HILIC
0.907822073,27568.8418,HILIC
0.923122048,15844.54785,HILIC
0.938422084,17268.34375,HILIC
0.95372206,14274.16699,HILIC
0.969022095,17982.95508,HILIC
0.984322071,23500.83203,HILIC
0.999622047,24870.18164,HILIC
1.014922023,18952.62305,HILIC
1.030222058,13512.90039,HILIC
1.045522094,18809.46484,HILIC
1.06082201,26281.94922,HILIC
1.076122046,24350.65234,HILIC
1.091422081,22984.4707,HILIC
1.106722116,30614.91016,HILIC
1.122022033,28979.77734,HILIC
1.137322068,24386.91211,HILIC
1.152622104,19036.86914,HILIC
1.16792202,23408.05078,HILIC
1.183222055,36310.38281,HILIC
1.198522091,24515.89453,HILIC
1.213822007,25454.9082,HILIC
1.229122043,22500.95898,HILIC
1.244422078,9574.40332,HILIC
1.259722114,11632.40332,HILIC
1.27502203,27305.35352,HILIC
1.290322065,24059.00586,HILIC
1.305622101,27202.99414,HILIC
1.320922017,16265.01758,HILIC
1.336222053,28142.19922,HILIC
1.351522088,26233.85547,HILIC
1.366822124,16071.65234,HILIC
1.38212204,11511.57715,HILIC
1.397422075,24829.2793,HILIC
1.412722111,21667.99609,HILIC
1.428022027,20570.86328,HILIC
1.443322062,29572.47266,HILIC
1.458622098,26572.66406,HILIC
1.473922014,28090.66992,HILIC
1.48922205,32118.41211,HILIC
1.504522085,21610.88281,HILIC
1.519822121,12725.00293,HILIC
1.535122037,26405.67773,HILIC
1.550422072,32650.58594,HILIC
