Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,161107_Std_4uM_StdsInH2O_1,Uracil,4.28,128949648,42200628,9406380,-4.7,molecules1
molecules1,161107_Std_4uM_StdsInH2O_2,Uracil,4.28,108140376,59549604,8308185,-5.3,molecules1
molecules1,161107_Std_4uM_StdsInH2O_3,Uracil,4.28,126631936,37615312,9025874,-5.2,molecules1
molecules1,161107_Std_4uM_StdsInH2O_4,Uracil,4.26,117618024,37476132,8226941,-5.4,molecules1
molecules1,161114_Std_4uM_StdsInH2O_1,Uracil,4.26,91887752,25566168,7696522,-5,molecules1
molecules1,161114_Std_4uM_StdsInH2O_2,Uracil,4.28,97972144,20324250,7584374,-5.1,molecules1
molecules1,161114_Std_4uM_StdsInH2O_3,Uracil,4.25,87511984,15707792,7173395,-5.6,molecules1
molecules1,170123_Std_4uM_StdsInH2O_1,Uracil,4.25,113618728,32048520,8432711,-4.7,molecules1
molecules1,170123_Std_4uM_StdsInH2O_2,Uracil,4.27,125837448,36234356,8423778,-4.7,molecules1
molecules1,170123_Std_4uM_StdsInH2O_3,Uracil,4.23,123242392,21304590,8551220,-5,molecules1
molecules1,170213_Std_4uM_StdsInH2O_1,Uracil,4.29,219136992,46152320,12212059,-4.3,molecules1
molecules1,170213_Std_4uM_StdsInH2O_2,Uracil,4.28,178682848,27024854,11114969,-4.7,molecules1
molecules1,170213_Std_4uM_StdsInH2O_3,Uracil,4.25,185098000,15906862,11842276,-4.5,molecules1
molecules1,170410_Std_4uM_StdsInH2O_1,Uracil,4.25,96157624,22879648,6714322,-4.7,molecules1
molecules1,170410_Std_4uM_StdsInH2O_2,Uracil,4.22,126108264,26602650,7892223,-5.4,molecules1
molecules1,170410_Std_4uM_StdsInH2O_3,Uracil,4.21,124805848,22176690,7741473,-6.3,molecules1
molecules1,170419_Std_4uM_StdsInH2O_1,Uracil,3.73,136444832,18320376,13182723,-4.9,molecules1
molecules1,170419_Std_4uM_StdsInH2O_2,Uracil,3.69,96539664,4356215,8533031,-5.2,molecules1
molecules1,170821_Std_4uM-StdsInH2O_1,Uracil,3.82,51593728,6899337,4175645,-4.7,molecules1
molecules1,170821_Std_4uM-StdsInH2O_2,Uracil,3.76,79535616,5731314,6665078,-4.8,molecules1
molecules1,180227_Std_4uMStdsInH2O_1,Uracil,3.73,71139856,151897,4397529,-4.1,molecules1
molecules1,180227_Std_4uMStdsInH2O_1a,Uracil,3.76,74075600,7433254,4846204,-4.8,molecules1
molecules1,180227_Std_4uMStdsInH2O_2,Uracil,3.67,79481144,3948525,5280597,-5.3,molecules1
molecules1,180702_Std_4uMStdsMix1InH2O_1,Uracil,3.96,129811,0,70214,-2.7,molecules1
molecules1,180702_Std_4uMStdsMix1InH2O_2,Uracil,4.24,509294,254953,66821,-3.5,molecules1
molecules1,180702_Std_4uMStdsMix1InMatrix_1,Uracil,3.86,321343,277396,88340,-3.2,molecules1
molecules1,180702_Std_4uMStdsMix1InMatrix_2,Uracil,3.84,337224,1268571,66841,-2.8,molecules1
molecules1,180702_Std_4uMStdsMix2InH2O_1,Uracil,3.83,62912024,0,7019657,-4.4,molecules1
molecules1,180702_Std_4uMStdsMix2InH2O_2,Uracil,3.81,69269568,0,5607469,-3.4,molecules1
molecules1,180702_Std_4uMStdsMix2InMatrix_1,Uracil,3.83,61605308,0,6783404,-4.6,molecules1
molecules1,180702_Std_4uMStdsMix2InMatrix_2,Uracil,3.81,74296176,0,5885866,-3.3,molecules1
molecules1,190715_Std_4uMStdsMix1InH2O_1,Uracil,3.94,800888,546954,89478,-4.1,molecules1
molecules1,190715_Std_4uMStdsMix1InH2O_2,Uracil,4.14,1355750,0,118992,-4.5,molecules1
molecules1,190715_Std_4uMStdsMix1InMatrix_1,Uracil,4.79,14993878,4344741,630979,-5,molecules1
molecules1,190715_Std_4uMStdsMix1InMatrix_2,Uracil,4.89,12811809,1937578,503924,-5.5,molecules1
molecules1,190715_Std_4uMStdsMix2InH2O_1,Uracil,3.48,39268808,344439,2100750,-4.9,molecules1
molecules1,190715_Std_4uMStdsMix2InH2O_2,Uracil,3.52,39334072,0,2168932,-5.5,molecules1
molecules1,190715_Std_4uMStdsMix2InMatrix_1,Uracil,3.51,43392460,300142,2495658,-4.7,molecules1
molecules1,190715_Std_4uMStdsMix2InMatrix_2,Uracil,3.55,40663580,0,2305427,-5.6,molecules1
molecules1,190715_Std_H2OinMatrix_1,Uracil,3.65,964146,3686291,89676,-4.5,molecules1
molecules1,190715_Std_H2OinMatrix_2,Uracil,3.94,1425862,3981367,107446,-5,molecules1
