Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,190715_Std_4uMStdsMix1InH2O_1,Alanine,10.1,31569310,2873941,2355620,-0.3,molecules1
molecules1,190715_Std_4uMStdsMix1InH2O_2,Alanine,10.24,26894468,1922771,2146372,-0.3,molecules1
molecules1,190715_Std_4uMStdsMix2InH2O_1,Alanine,10.01,92429,903500,31246,-0.2,molecules1
molecules1,190715_Std_4uMStdsMix2InH2O_2,Alanine,10.12,5796,935116,6758,-0.1,molecules1
molecules1,190715_Std_4uMStdsMix1InMatrix_1,Alanine,10.11,39352880,3534944,3113746,-0.5,molecules1
molecules1,190715_Std_4uMStdsMix1InMatrix_2,Alanine,10.24,35587340,2158668,3067505,-0.1,molecules1
molecules1,190715_Std_4uMStdsMix2InMatrix_1,Alanine,10.11,9294398,3647776,912568,-0.6,molecules1
molecules1,190715_Std_4uMStdsMix2InMatrix_2,Alanine,10.25,7241056,3068076,710847,-0.3,molecules1
molecules1,190715_Std_H2OinMatrix_1,Alanine,10.13,11975568,2224096,983259,-0.2,molecules1
molecules1,190715_Std_H2OinMatrix_2,Alanine,10.27,7983817,2170566,786012,-0.2,molecules1
molecules1,161107_Std_4uM_StdsInH2O_1,Alanine,11.3,28216066,2882428,1786280,-0.4,molecules1
molecules1,161107_Std_4uM_StdsInH2O_2,Alanine,11.34,32317978,4174240,1839350,-0.8,molecules1
molecules1,161107_Std_4uM_StdsInH2O_3,Alanine,11.34,31315616,5206338,1816321,-0.7,molecules1
molecules1,161107_Std_4uM_StdsInH2O_4,Alanine,11.35,32029836,7356630,2110696,-1.1,molecules1
molecules1,161114_Std_4uM_StdsInH2O_1,Alanine,11.3,41244216,2807727,3436397,-0.4,molecules1
molecules1,161114_Std_4uM_StdsInH2O_2,Alanine,11.32,42230864,2596964,3498061,-0.7,molecules1
molecules1,170123_Std_4uM_StdsInH2O_1,Alanine,11.29,41782800,2632953,3287782,0.5,molecules1
molecules1,170123_Std_4uM_StdsInH2O_2,Alanine,11.28,45794656,3101662,3668353,0,molecules1
molecules1,170123_Std_4uM_StdsInH2O_3,Alanine,11.29,65220640,3434133,4479402,0.3,molecules1
molecules1,170213_Std_4uM_StdsInH2O_1,Alanine,11.35,31153022,5144823,1787934,-0.4,molecules1
molecules1,170213_Std_4uM_StdsInH2O_2,Alanine,11.34,43051488,10648631,2444191,-1.5,molecules1
molecules1,170213_Std_4uM_StdsInH2O_3,Alanine,11.33,43180864,8920033,2414621,-1.8,molecules1
molecules1,170410_Std_4uM_StdsInH2O_1,Alanine,11.38,39449708,2731480,2619307,0.6,molecules1
molecules1,170410_Std_4uM_StdsInH2O_2,Alanine,11.38,45985212,3526052,3078284,0.4,molecules1
molecules1,170410_Std_4uM_StdsInH2O_3,Alanine,11.42,27157474,3246982,1695280,-0.5,molecules1
molecules1,170419_Std_4uM_StdsInH2O_1,Alanine,10.73,24872206,2427248,1750974,0,molecules1
