Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
molecules1,161110_Std_250nMStdsInH2O_1,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,161110_Std_250nMStdsInH2O_2,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,161118_Std_250nMStdsInH2O_1,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,161118_Std_250nMStdsInH2O_2,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170216_Std_250nM_StdsInH2O_1,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170216_Std_250nM_StdsInH2O_2,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170216_Std_250nM_StdsInH2O_3,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170413_Std_250nMStdsInH2O_1,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170413_Std_4uM_StdsInH2O_2,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170413_Std_4uM_StdsInH2O_3,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170425_Std_250nMStdsInH2O_1,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170425_Std_250nMStdsInH2O_2,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170828_Std_250nMStdsInH2O_1,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,170828_Std_250nMStdsInH2O_2,Agmatine,#N/A,#N/A,#N/A,#N/A,#N/A,molecules1
molecules1,1800302_Std_250nMStdsInH2O_1,Agmatine,0.65,58001796,177305,28503830,-3,molecules1
molecules1,1800302_Std_250nMStdsInH2O_2,Agmatine,0.65,84990536,332014,35617900,-2.9,molecules1
molecules1,180716_Std_250nMStdsInH2O_1,Agmatine,0.65,32401110,488327,18088486,-3.6,molecules1
molecules1,180716_Std_250nMStdsInH2O_2,Agmatine,0.66,42760984,270597,30066432,-3.6,molecules1
