Compound name in figures,Complete compound name,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
4-Hydroxyisoleucine,Hydroxyisoleucine,0.3337934775527475,0.30480417812909516,0.41926154930085996,0.7345378804316823,0.8149542191905634,0.7790776875090332,0.7921177978648563,0.7527028696556873,0.5240292836760626,0.6050985769765336,0.4643941054769416,0.6187044794999885,0.8957904639587266,1.7127661708385342,1.5430439574203283,1.5973695972583712,2.109627207053827,1.9032686377272858,3.0539300023914437,2.2287663795782544,1.2263767078791743,2.6504254691436064,0.7985810215053978,1.6426459831147988,1.2629062285154324,1.6865811384332583,1.6774009036237754,2.112814154373802,2.333329732816074,1.5333943074557141,1.4694289959508833,0.1969866141124234,0.24381352345493726,0.18385888478805368,0.15001152477988147,0.16253845716471457,0.06655256369065092,3.1756982784767738,2.6160270543888475,0.8839529389330892,0.32213192956476583,1.3506681668939373,0.9978680566514807,0.8295647029848315,1.059513824812109,0.961699632751216,1.6142501080449176,2.830725011006904,1.142525289518661,0.8922387395186823,1.329894849918746,1.5497650435711625,1.5808919771555556,1.6355868367465551,1.2502271520686443,2.0561790906294437,1.8606920652885537,0.7955763629139542
Acetyl-L-carnitine,O-Acetylcarnitine,0.0024720943907632974,0.002301441692902536,0.0026879701125806666,0.0035746684108489833,0.003779230806713252,0.003304849498097302,0.0019148948051334596,0.0021236541294793474,0.001911078684457394,0.002158224962469306,0.0019540264920390005,0.002619939432702254,0.004709958035622873,0.004584180787883697,0.004504844226515973,0.0032943196185366242,0.004035768898706589,0.0025881537688152187,0.0032919697227390167,0.004199675713628342,0.0032457974074511994,0.0031083334219023833,0.001862967475072863,0.0032497137644440575,0.002241901738751803,0.002521525174637765,0.002463029581298544,0.0036443935581967823,0.003485246826674596,0.0027461239272000837,0.003200748167932645,0.00158222990033054,0.002426991576751523,0.0019177294127067854,0.0018389821206656303,0.003753800020667165,0.0012978531938982268,0.05682118184665562,0.029624661599657483,0.004879496026972409,0.0016199449186560441,0.009978301468498138,0.0037486269569217395,0.0035471731751683146,0.00793211242420192,0.006033367291861824,0.012922978769378634,0.02115317252426454,0.0031057637017636083,0.003218293829612914,0.00589222090575894,0.01227916004731977,0.011176980250349307,0.006180151961485333,0.004780801844953943,0.008144462219347347,0.007254681224270584,0.0027752814268296186
Adenine,Adenine,0.01192143523356024,0.01131281133823892,0.016545016633033902,0.01815596592998721,0.022531122411964005,0.024913626364788388,0.029317943347406776,0.03133356398840635,0.020869329517539448,0.01683043475210419,0.01832003817686535,0.0229868771277987,0.03718529977619926,0.03770839775005004,0.11572333807608678,0.030408756975000836,0.027464778179739007,0.04108799866541774,0.12653039474378439,0.05585798682329176,0.018288366905061897,0.013207543865056185,0.024856972857676508,0.027465830820033413,0.016647894154018645,0.02519732835871953,0.04074036618878,0.04950777458488721,0.04685762358318499,0.02478642225803126,0.029149129234527095,0.009136800185980568,0.012702283521706876,0.012130492653774387,0.010292268405161203,0.0067707980089641556,0.005075757651158722,0.12497483416068833,0.09779963453701847,0.05320982988690128,0.011814786686073886,0.04573093103459505,0.02590840483115452,0.06993784995577526,0.04906412903439346,0.039651175584782504,0.03914641085903907,0.08735168602377728,0.025715497056849765,0.047199285513468026,0.037774322996656326,0.11979418251367951,0.09424673251723042,0.071621721852856507,0.035809047468572205,0.12109473023692754,0.06588000596020799,0.0897570677755537
Adenosine,Adenosine,0.010923477292059008,0.013954050635996567,0.031327714170733434,0.0454710425110399,0.04355728634011725,0.04491336456230281,0.03889676500076017,0.03972473211787134,0.026368499608836554,0.026464838784252404,0.0234016418098816,0.04667069483808752,0.1079783170773247,0.1821574037743434,0.21330556980470786,0.12133034000192419,0.08445644527203192,0.1371782247622842,0.20235520986017735,0.21031646334998916,0.010261611267724189,0.0231391248379045,0.03046191360632511,0.08050777586530171,0.04910253210577736,0.03722837557284992,0.03675672232420461,0.15310495113266245,0.047901627230395503,0.09930484195584412,0.058292129130497104,0.0055744586047426865,0.007198129148177783,0.005465703652631905,0.006706784455241348,0.008301448691593362,0.006461770103778282,0.23776877768831156,0.15871532723032955,0.08466089077763311,0.011105818582885075,0.11583527147333825,0.12182193693416174,0.12113088867879628,0.1364090114174299,0.11925130200592482,0.07261736004670706,0.2078235031708815,0.10016323489756737,0.0810936529742704,0.13618079741790887,0.24442574608967402,0.2567526990567518,0.10326882014150351,0.15009232534270425,0.26752439016925716,0.11481670572367891,0.10204783554260533
SAH,S-Adenosylhomocysteine,8.245082604940025e-5,NA,NA,6.177307709747803e-4,7.386091223757709e-4,1.5143559869940763e-4,3.203215253301194e-4,2.867412798845247e-4,1.867026667352729e-4,2.3212337479175486e-4,2.3489861653331617e-5,8.340364849404811e-5,5.590422970434189e-4,7.082944160907063e-4,3.5971276564237825e-5,2.7544782847971913e-4,5.498525088481046e-4,NA,NA,4.719063389459411e-5,1.4942777397651346e-4,6.0478748637917174e-5,NA,1.6161465051305122e-4,2.614110257973014e-4,5.212053295972792e-4,4.086327162082193e-4,8.450416503219044e-4,5.233045183398613e-4,6.456112844079635e-4,NA,4.889064555979872e-5,NA,NA,NA,NA,NA,0.005668693339848587,0.00519055979609687,NA,NA,8.841321799901154e-4,8.05579453060951e-4,3.3030063020993757e-4,0.002220666935727602,0.0018028498748324767,9.738312700675584e-4,0.0018083271902931957,8.19318897810615e-4,5.138476162319405e-4,7.735305668599129e-4,4.227878845020458e-4,2.123547010208054e-4,5.22015266348375e-4,3.5745943966170274e-4,3.3959040705970264e-4,9.577108143601044e-5,NA
SAM,S-Adenosylmethionine,0.001715944203445491,4.5910309571181536e-4,9.524745792087628e-4,0.008119273517783075,0.009401867998157324,0.005147717367410517,0.003712858911512381,0.004800924646333952,0.003875318052798927,0.0017187072168313607,0.0019464509763614734,0.0030688871283337874,0.013831174836963216,0.03828619507214165,0.012445980744443925,0.012482001373513558,0.009243487244050792,0.01133023020254175,0.005951866688610241,0.004311505731131743,0.006058790707970934,0.0031502397022934534,0.0027068113650364134,0.004371174995445964,0.006766544509552327,0.02108524238191454,0.01386298018286792,0.024702222025200234,0.019225247069100223,0.08540302693047333,0.005364166411292748,0.003086661775996982,NA,NA,NA,0.004085354702219124,7.260391899503049e-5,0.16895126651112685,0.068713829822334635,4.905885384790316e-4,7.959578279217926e-5,0.01671458445523358,0.07372868832985674,0.007229048998896906,0.025787125680905073,0.016110537487132554,0.03813143128025582,0.09483207552970663,0.07865906593696378,0.02257008288068207,0.19350184150687977,0.0367592780151987,0.015350832906606706,0.030717435950422076,0.051649155068755045,0.03065931579423815,0.0422662434549293,0.01117087536623814
Agmatine,Agmatine,0.0017340960328029683,8.906937176681451e-4,8.390703059341544e-4,0.0030788653918623747,0.0030734269678955937,0.002352903824135962,0.002305611159212806,0.0018284374678228016,0.002246508258689512,0.0020853459486690905,0.0017533695674733561,0.0025540591510506824,1.5901972039660174e-4,1.2788549750875996e-4,7.879083933745765e-4,1.1466348782341533e-4,2.8201566053394757e-4,6.473073527291365e-5,5.625200033349126e-4,5.778109827509713e-4,2.5664752810930123e-4,2.3297226980213427e-4,3.0757652593217395e-4,4.229159662191281e-4,3.67255597056765e-4,3.8024592523580586e-4,6.908247806944046e-4,9.87879166995898e-5,7.50528076261814e-4,4.200234333776525e-4,6.737390568038095e-4,NA,NA,1.4958377135618686e-4,NA,3.197165978072027e-4,8.606764328813304e-5,3.609672763873561e-4,NA,1.1666714110683666e-4,3.34725513222173e-4,1.279636226678624e-4,6.41375931354399e-5,1.0182965486903448e-4,3.653832872093091e-5,2.4782378055709475e-4,2.3879358975324895e-4,8.096065338273734e-4,6.278149758680109e-5,3.092409314956616e-4,4.5297236644720824e-4,7.055304803321801e-4,9.229409959557123e-4,5.030829210839431e-4,1.8125036911776385e-4,7.64182590746453e-4,3.157280136721713e-4,3.500411223441832e-4
Alanine,L-Alanine,0.14092200283646103,0.15961040250385095,0.2662192664425994,0.3250352961425523,0.41661668048409184,0.42857330129047955,0.2265795659885615,0.31158701408417533,0.2743735263273372,0.13394144563264462,0.1940497430393338,0.39791646247004325,0.4775697430223854,0.4401146782873346,0.3517326813687489,0.19815450442712804,0.3372977621827551,0.402867088488148,1.115381659205572,0.3869253944747995,0.2605579620799008,0.27295977975076646,0,0,0,0.2212436508483789,0.28851897795297593,0.4230048042411263,0.25807125568544537,0.3649594766293508,0.28087053529137385,0.1463270073602822,0.19716658883043134,0.11840024110697296,0.19173987230328363,0.18892512914085724,0.06928907510333909,3.9916255776768446,2.459617901498418,0.827667089431751,0.3189384435743617,0.9466814267900494,0.3877794381700388,0.5920801403238837,0.9891963793530449,0.5931517536473458,0.5340823055318109,0.6489042705474158,0.2843044513316463,0.2728150862617019,0.37695478222887224,0.7922476598634505,0.8541339310675575,0.5768027392878867,0.4582608309181089,0.5752958947154958,0.5190023973834963,0.24108892177023797
Allopurinol,Allopurinol,0.0055637589559713,0.00874157608404655,0.011247195305542008,0.010342583383459584,0.009223844108735536,0.013435129512153606,0.0059985152141974075,0.008083501657280869,0.008149544286844201,0.005484381843887893,0.007049898817485156,0.006964514923669957,0.009706870036676314,0.013035796656643164,0.015426789932031533,0.005500097974007991,0.004154039168696838,0.0022831139412494515,0.010719718782530998,0.0022940421430795543,0.002045929200965426,0.001972070644746505,0.0015206784506618396,0.0015231918858138217,0.0038777999494568655,0.004294797205479036,0.00212803784809082,0.004839949508818635,0.0033196885559181833,0.003428190946632133,0.005407352095530867,0.0016265392667146657,0.001987243126216164,0.0025143055556029444,0.008645805554541058,0.004707691171054548,0.001034321105928973,0.02385598548921139,0.01855714786823161,0.029320701600063306,0.0050513546460989045,0.007965902249679123,0.0056074046143430745,0.007024562355870014,0.012741863588286662,0.006475838020141622,0.0035985183529299064,0.009074750112318359,9.903499173756207e-4,0.0014439066332432118,0.018205328060981015,0.023330997063735294,0.021228603065772803,0.005851584274714182,0.004363054402955446,0.029275740641789887,0.0052949878670355745,0.0022909781865223544
APA,Amino Propanesulfonic Acid,0.023105681705615465,0.01547610056227539,0.03497915810939149,0.012091113068021285,0.013815970881176145,0.009284623472187474,0.014217098420695237,0.012467436573509903,0.013618834682043555,0.009059452704455117,0.008030377373592459,0.014518611705425444,0.01805992189813738,0.0049098150998279225,0.014741145493679246,0.010679869613670113,0.0020825389551926542,0.001092096986402699,0.01188641515468647,0.019750989618276718,0.01309010829502736,0.011541506228364919,0.008984406580713967,0.02216187018279807,0.014614587125950582,0.006305308969260881,0.005579235231853996,0.012334565920047637,0.015556097245910585,0.004908075230153851,0.01678690200891663,NA,0.003581013824601259,NA,0.00946654261695586,0.013015693944096891,6.447720533512014e-4,0.37316841956686775,0.1879450149436737,0.019027471094909505,NA,0.050874994522874493,0.01620190573730259,0.017524733996064176,0.03588382680978529,0.023911719235134535,0.015309888545483076,0.040587253595294734,0.0013222271438810516,0.00789336826769077,0.01844896855155936,0.04412435406659007,0.047463326442733475,0.027906314391817504,0.0059739275115082684,0.012910722940092809,0.01666074078308788,0.0044550443354374435
