Compound,Quantification method,Proxy compound for relative RF,Environmental samples applied,Culture samples applied
4-Hydroxyisoleucine,external RF and RF ratio,NA,MGL1704,NA
4-Hydroxyisoleucine,relative RF and RF ratio,Leucine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Acetyl-L-carnitine,external RF and RF ratio,NA,MGL1704,3430
Acetyl-L-carnitine,relative RF and RF ratio,Betaine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Adenine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Adenosine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Adenosyl Homocysteine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Adenosyl Methionine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Agmatine,external RF and RF ratio,NA,MGL1704,NA
Agmatine,relative RF and RF ratio,Phenylalanine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Alanine,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
Alanine,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Allopurinol,external RF and RF ratio,NA,MGL1704,NA
Allopurinol,relative RF and RF ratio,Phenylalanine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Amino Propanesulfonic Acid,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
AMP,isotopologue,NA,"KM1513, KOK1606, MGL1704",NA
AMP,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Arginine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Argininosuccinic Acid,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 3430"
Argininosuccinic Acid,relative RF and RF ratio,Arginine,NA,"7803, 8102, 8501, MED4, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Arsenobetaine,external RF and RF ratio,NA,MGL1704,NA
Arsenobetaine,relative RF and RF ratio,Betaine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Asparagine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Aspartic acid,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
beta-Alanine,external RF and RF ratio,NA,MGL1704,NA
beta-Alanine,relative RF and RF ratio,Alanine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
beta-Glutamic acid,relative RF and RF ratio,Glutamic acid,"KM1513, KOK1606, MGL1704",NA
beta-Glutamic acid,external RF and RF ratio,NA,NA,"7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Betaine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Betonicine,external RF and RF ratio,NA,MGL1704,NA
Betonicine,relative RF and RF ratio,Betaine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Butyryl-L-carnitine,external RF and RF ratio,NA,MGL1704,3430
Butyryl-L-carnitine,relative RF and RF ratio,Betaine,"KM1513, KOK1606","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Carnitine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 3430"
Carnitine,relative RF and RF ratio,Betaine,NA,"7803, 8102, 8501, MED4, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Choline,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Citrulline,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 3430"
Citrulline,relative RF and RF ratio,Arginine,NA,"7803, 8102, 8501, MED4, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt"
Creatine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Cystathionine,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
Cysteic Acid,external RF and RF ratio,NA,"KM1513, KOK1606, MGL1704","7803, 8102, 8501, MED4, 1314P, As9601, Nat, 1314, 1545, 1771, 2021, 449, 2090, 371, Cy, To, Tp, Pc55x, Np, Pt, 3430"
