MassFeature_Column,Identification,Confidence,mz,rt,Column,z,NPTZ depth profile cluster,NPSG depth profile cluster,Transect cluster,Culture cluster
I102.0549R12.14_HILICNeg_X_HILICNeg,NA,4,102.0549424,728.6243451,HILIC,-1,a,a,a,a
Uracil_X_HILICNeg,Uracil,1,111.019453,240,HILIC,-1,a,NA,d,NA
I124.0064R10.88_HILICNeg_X_HILICNeg,Taurine,1,124.006394,652.5603017,HILIC,-1,a,a,a,f
Isethionic Acid_X_HILICNeg,Isethionic Acid,1,124.990857,432,HILIC,-1,b,a,a,e
I126.904R4.8_HILICNeg_X_HILICNeg,Iodine,1,126.9039935,287.951141,HILIC,-1,d,a,b,d
L-Pyroglutamic acid_X_HILICNeg,L-Pyroglutamic acid,1,128.034768,478.2,HILIC,-1,a,a,a,e
Malic Acid_X_HILICNeg,Malic Acid,1,133.0137,718.2,HILIC,-1,a,a,a,e
Amino Propanesulfonic Acid_X_HILICNeg,Amino Propanesulfonic Acid,1,138.022491,689.4,HILIC,-1,b,a,a,d
I139.0157R7.24_HILICNeg_X_HILICNeg,(S)-2-Hydroxypropylphosphonate,3,139.0156775,434.5020319,HILIC,-1,c,b,d,NA
I148.9235R3.57_HILICNeg_X_HILICNeg,NA,4,148.9234908,214.0767263,HILIC,-1,f,a,b,d
DHPS_X_HILICNeg,DHPS,1,155.001422,640.2,HILIC,-1,b,b,a,e
N-acetyltaurine_X_HILICNeg,N-acetyltaurine,1,166.017406,224.4,HILIC,-1,c,b,a,d
I167.0204R10.56_HILICNeg_X_HILICNeg,URATE ID:CCMSLIB00000578100,2,167.0203618,633.4822175,HILIC,-1,b,b,c,f
Cysteic Acid_X_HILICNeg,Cysteic Acid,1,167.996671,729,HILIC,-1,b,a,a,a
Sulfolactic Acid_X_HILICNeg,Sulfolactic Acid,1,168.980687,796.5,HILIC,-1,b,a,a,g
I172.0067R5.44_HILICNeg_X_HILICNeg,2-Aminobenzenesulfonate,3,172.0066965,326.6395585,HILIC,-1,c,b,b,f
I186.0253R12.12_HILICNeg_X_HILICNeg,NA,4,186.0253259,727.1395421,HILIC,-1,d,a,a,c
I192.9131R3.72_HILICNeg_X_HILICNeg,NA,4,192.9130555,223.118902,HILIC,-1,NA,a,g,NA
I192.9808R2.93_HILICNeg_X_HILICNeg,NA,4,192.9808412,175.5976961,HILIC,-1,g,a,a,d
I194.9965R12.04_HILICNeg_X_HILICNeg,NA,4,194.9964701,722.4974859,HILIC,-1,c,b,a,e
Gluconic Acid_X_HILICNeg,Gluconic Acid,1,195.05048,647.4,HILIC,-1,b,c,c,g
I214.0388R5.25_HILICNeg_X_HILICNeg,NA,4,214.0388327,314.7142973,HILIC,-1,NA,a,a,NA
